contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,GROENLINKS,Democraten 66 (D66),Zuid Centraal,CDA,ChristenUnie,TROTS,Arnhemse Ouderen Partij,Partij voor de Dieren,Verenigd Arnhem,OPA Arnhem,Gelderse Centrumdemocraten (Gelderse C.D.),Libertarische Partij (LP),Partij Rechten Kind (PRK),Nederlandse Volks-Unie (NVU),Sociaal Lokaal Arnhem
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Waalstaete,0202::SB47,,1797,808,1,10,0,0,0,733,86,0,0,0,0,0,0,819,151,135,44,22,74,2,59,30,7,70,24,141,11,2,0,2,15,19
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wijkcentrum Symfonie,0202::SB49,,1805,801,3,4,0,0,0,722,86,0,0,0,0,0,0,808,98,105,36,41,204,4,16,29,10,9,15,192,1,5,1,16,8,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Hugo de Grootschool,0202::SB50,,1324,539,2,3,0,0,0,489,55,0,0,0,0,0,0,544,61,102,32,52,125,5,20,27,7,13,14,54,4,3,1,0,8,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool De Sterrenkring,0202::SB51,,1827,684,3,5,0,0,0,652,40,0,0,0,0,0,0,692,74,110,78,138,173,5,28,15,4,2,26,2,7,1,5,9,1,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Evangelisch Lutherse Gemeente Arnhem,0202::SB52,,1283,484,4,2,0,0,0,458,32,0,0,0,0,0,0,490,58,103,57,52,116,7,20,13,5,8,26,9,0,1,2,2,1,4
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wijkcentrum De Lommerd,0202::SB53,,2161,1132,6,5,0,0,0,1076,67,0,0,0,0,0,0,1143,112,243,90,230,270,6,43,32,7,14,45,11,1,3,3,1,8,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Buurthuis De Paperclip,0202::SB55,,1949,481,1,6,0,0,0,450,38,0,0,0,0,0,0,488,60,118,35,69,71,5,21,10,6,15,22,25,4,0,5,4,2,9
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC De Spil,0202::SB58,,1426,640,0,4,0,0,0,575,69,0,0,0,0,0,0,644,96,168,38,48,67,30,22,38,8,21,22,58,7,3,2,3,4,5
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Kantine v.v. MASV,0202::SB59,,1753,647,1,5,0,0,0,576,79,0,0,0,2,0,0,655,80,113,55,36,113,46,32,20,7,22,18,72,7,0,5,9,3,9
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC De Malburcht,0202::SB60,,2430,802,3,5,0,0,0,733,77,0,0,0,0,0,0,810,107,189,40,39,106,53,25,41,8,33,20,84,7,3,5,10,16,16
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Eilandstaete,0202::SB62,,1979,609,3,3,0,0,0,551,64,0,0,0,0,0,0,615,70,130,75,23,84,43,43,32,9,22,14,43,1,1,0,2,6,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Boerderij 't Duifje,0202::SB63,,1288,448,1,4,0,0,0,414,39,0,0,0,0,0,0,453,50,109,21,16,37,45,30,14,8,31,27,15,9,1,4,7,7,17
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool Het Mozaïek,0202::SB64,,1173,329,1,5,0,0,0,293,42,0,0,0,0,0,0,335,84,56,10,6,20,12,3,16,1,9,10,84,0,1,2,5,0,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool Het Mozaïek,0202::SB65,,1889,584,0,8,0,1,0,500,91,0,0,1,0,0,0,591,108,106,22,14,32,55,10,17,14,12,12,146,4,4,1,7,9,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Malburgstaete,0202::SB67,,2052,769,6,2,0,0,0,713,64,0,0,0,0,0,0,777,106,168,28,27,59,72,56,32,11,63,19,78,19,1,1,2,13,14
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool De Piramide,0202::SB70,,1047,675,2,6,0,0,0,603,80,0,0,0,0,0,0,683,60,60,104,49,119,100,61,49,7,15,15,5,16,2,3,1,3,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Dr. Aletta Jacobsschool,0202::SB71,,1081,466,0,1,0,0,0,418,49,0,0,0,0,0,0,467,49,90,21,34,55,70,11,36,5,9,13,44,12,0,1,1,5,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau SWOA De Petersborg,0202::SB72,,1866,895,1,1,0,3,0,831,69,0,0,0,3,0,0,900,96,159,60,42,102,148,83,55,11,59,14,29,19,2,2,5,0,9
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jongerencentrum De Madser,0202::SB74,,1360,271,0,0,0,0,0,243,28,0,0,0,0,0,0,271,32,73,7,11,22,41,18,15,6,7,8,12,8,1,2,3,3,2
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jongerencentrum De Madser,0202::SB75,,1327,640,3,1,0,0,0,599,48,0,3,0,3,0,0,647,79,162,30,21,57,86,29,34,14,33,21,30,13,2,1,9,3,16
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Dorpshuis Ons Gebouw Elden,0202::SB76,,1702,861,0,0,0,0,0,790,71,0,0,0,0,0,0,861,56,139,95,54,100,150,124,38,12,33,13,2,23,3,3,4,2,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Sporthal Elderveld,0202::SB77,,1656,565,5,2,0,0,0,510,62,0,0,0,0,0,0,572,46,118,41,47,90,85,21,40,10,21,17,1,8,0,0,4,1,15
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wijkcentrum Elderveld,0202::SB78,,1329,900,0,3,0,0,0,811,92,0,0,0,0,0,0,903,89,156,54,71,114,150,72,64,18,51,21,0,10,1,0,3,2,24
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau SWOA De Gaanderij,0202::SB79,,1419,599,0,2,0,0,0,554,47,0,0,0,0,0,0,601,57,158,30,30,60,81,25,40,5,46,14,5,11,1,1,8,4,23
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wooncentrum Jan Hovingflat,0202::SB80,,1491,698,4,1,0,0,0,647,56,0,0,0,0,0,0,703,57,176,48,22,64,107,45,59,12,46,10,9,7,8,0,3,7,18
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Kerkelijk Centrum De Kandelaar,0202::SB81,,1473,697,4,2,0,1,0,647,57,0,0,0,1,0,0,704,75,115,36,40,64,121,58,54,13,50,19,9,13,0,1,6,2,21
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Brede School De Laar-West,0202::SB83,,1724,575,0,3,0,0,0,512,66,0,0,0,0,0,0,578,51,115,58,29,86,67,33,37,10,17,18,11,13,3,0,7,6,14
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Brede School De Laar-West,0202::SB84,,1589,498,2,4,0,0,0,454,50,0,0,0,0,0,0,504,41,129,19,30,50,86,21,30,8,23,14,6,7,1,4,3,4,22
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Sport&Ontmoetingscentr De Laar-West,0202::SB85,,1494,751,0,3,0,1,0,694,61,0,0,754,0,0,0,755,97,139,66,31,103,118,43,30,17,32,20,15,14,1,5,4,3,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Brede School Het Startblok,0202::SB87,,1761,681,0,2,0,0,0,615,68,0,0,0,0,0,0,683,68,144,56,38,105,94,43,32,6,18,23,7,12,0,4,7,14,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wijkcentrum Boerderij De Kroon,0202::SB88,,1604,705,3,6,0,0,0,652,62,0,0,0,0,0,0,714,56,176,50,41,81,127,25,53,6,29,22,9,6,2,1,13,1,7
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Brede School Het Startblok (Toermalijn),0202::SB89,,1526,632,2,2,0,0,0,582,54,0,0,0,0,0,0,636,56,128,46,21,92,118,24,40,12,28,23,3,13,0,3,10,5,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Gemeenschapsruimte Rijkershof,0202::SB90,,2059,682,0,3,0,0,0,624,61,0,0,0,0,0,0,685,77,133,56,40,87,95,22,23,23,33,14,22,28,1,0,4,2,22
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Sportcentrum Rijkerswoerd,0202::SB91,,1635,713,4,1,0,0,0,639,79,0,0,0,0,0,0,718,76,106,81,40,98,101,55,39,21,21,23,17,8,1,3,5,6,12
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Activiteitencentrum Rijkerswoerd (Siza),0202::SB92,,2184,418,1,0,0,0,0,366,53,0,0,0,0,0,0,419,35,64,47,12,77,76,28,18,1,10,9,17,3,3,0,2,3,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau SWOA 't Pluspunt,0202::SB93,,2028,1411,8,5,0,0,0,1257,167,0,0,0,0,0,0,1424,137,250,144,73,250,190,84,68,39,47,28,38,18,2,3,5,3,32
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Lea Dasbergschool,0202::SB94,,1131,515,0,1,0,0,0,480,36,0,0,0,0,0,0,516,79,100,52,29,52,69,18,24,17,14,11,17,18,0,1,2,3,9
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Brede School De Salamander,0202::SB96,,1761,1006,2,6,0,0,0,897,117,0,0,0,0,0,0,1014,111,94,213,49,224,97,60,51,12,17,21,20,4,5,4,1,5,18
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool Het Jongleren,0202::SB97,,2227,992,4,5,0,2,0,860,139,0,0,0,0,0,0,999,94,96,192,46,237,95,56,58,18,20,20,21,6,0,2,12,7,12
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau De Buitenplaats (Siza),0202::SB98,,1916,620,2,1,0,0,0,552,71,0,0,0,0,0,0,623,51,69,100,50,130,75,38,31,18,9,16,4,2,0,2,9,1,15
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,"Stembureau Station, ontvangsthal Arnhem CS",0202::SB105,,0,871,3,4,0,0,0,834,45,0,1,0,1,0,0,879,93,139,99,121,241,18,35,37,9,8,30,13,5,0,2,4,4,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Ziekenhuis Rijnstate (hal),0202::SB106,,0,307,1,1,0,0,0,275,34,0,0,0,0,0,0,309,31,57,39,23,65,14,16,12,4,18,10,6,3,0,0,1,2,6
