contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijk Moerdijk,CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Burger Belangen Moerdijk
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Ankerkuil,1709::SB14,4781 AR,926,254,209,9,0,0,0,423,49,0,0,0,0,0,0,472,138,14,53,9,4,20,7,9
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau GSch.huis Noordhoek,1709::SB15,4759 BD,896,461,1,2,0,0,0,417,47,0,0,0,0,0,0,464,315,22,67,12,6,27,0,12
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau 't Sandt,1709::SB16,4758 AJ,1767,839,4,0,0,0,0,741,102,0,0,0,0,0,0,843,145,99,121,20,138,77,8,231
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Mauritshuis,1709::SB17,4797 AC,1694,1085,5,2,0,1,0,971,122,0,0,0,1,0,0,1093,250,254,227,104,37,36,39,138
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Blokhut,1709::SB18,4797 HT,701,360,2,0,0,0,0,324,38,0,0,0,0,0,0,362,95,71,43,26,14,39,21,51
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Parel,1709::SB19,4793 CB,1399,720,7,1,0,1,0,661,68,0,0,0,1,0,0,729,249,189,69,45,10,114,19,25
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Fendertshof,1709::SB20,4793 ES,1211,567,7,4,0,0,0,522,56,0,0,0,0,0,0,578,165,151,72,36,10,76,36,21
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Openbare Basisschool De Springplank,1709::SB21,4793 BC,1505,610,4,4,0,0,0,559,59,0,0,0,0,0,0,618,232,121,76,51,16,87,17,10
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Pestalozzihuis,1709::SB22,4794 AA,848,361,1,0,0,0,0,314,48,0,0,0,0,0,0,362,123,67,49,15,13,48,13,33
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau kantine VV Oudemolen,1709::SB23,4793 TB,534,179,2,2,0,0,0,157,26,0,0,0,0,0,0,183,26,76,20,7,5,20,16,9
