contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),ALA,Partij Vrij Almelo (PVA),GROENLINKS,ChristenUnie,Leefbaar Almelo,Libertarische Partij (LP),BURGERBELANGENALMELO,LKA,14,Almelooooo / Lijst Jan Hammink,Almelo Centraal
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum De Trefhoek 1,0141::SB11,7603 AD,2338,1254,3,6,0,1,0,1144,120,0,0,0,1,0,0,1264,113,131,234,194,111,62,55,22,52,31,17,120,31,20,30,31
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum De Trefhoek 2,0141::SB12,7603 AD,1909,564,3,0,0,2,0,474,95,0,0,0,2,0,0,569,53,63,90,95,61,18,31,6,36,14,3,43,8,9,10,24
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau MFA Eninver,0141::SB14,7604 EH,2881,1279,3,15,0,0,0,1125,173,0,1,0,1,0,0,1298,175,84,140,131,118,81,55,30,73,61,3,75,13,201,11,28
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Hoog Schuilenburg,0141::SB15,7604 GC,1779,888,5,6,0,0,0,816,83,0,0,0,0,0,0,899,122,58,149,80,105,76,32,13,67,16,8,71,8,57,17,9
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Kunstmagneetschool,0141::SB16,7606 TW,1597,714,2,4,0,0,0,615,105,0,0,0,0,0,0,720,71,37,75,76,73,28,28,15,24,40,5,46,5,160,11,20
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau OBS De Hagedoornschool,0141::SB17,7605 EG,1871,484,2,6,0,0,0,418,74,0,0,0,0,0,0,492,43,14,19,19,50,10,27,6,17,33,2,70,8,134,23,9
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau cafe-zaal Het Zuiden,0141::SB18,7606 BM,1159,414,1,3,0,0,0,368,50,0,0,0,0,0,0,418,38,12,35,35,60,21,31,7,22,19,1,46,11,36,18,22
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Pniëlkerk,0141::SB20,7606 GX,3001,1235,8,4,0,0,0,1093,154,0,0,0,0,0,0,1247,149,48,109,113,90,44,68,26,51,68,1,115,23,282,29,19
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau 't Nieje Veurbrook,0141::SB21,7606 JS,1351,618,2,2,0,0,0,563,59,0,0,0,0,0,0,622,57,77,112,83,32,47,22,17,26,21,1,46,9,27,22,19
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum De Schelf (zaal 3),0141::SB22,7608 KH,1613,1184,5,5,0,1,0,1055,140,0,0,0,1,0,0,1195,122,83,157,130,201,59,64,28,95,18,6,98,19,10,50,44
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum De Schelf (zaal 6),0141::SB23,7608 KH,1942,662,1,7,0,0,0,587,83,0,0,0,0,0,0,670,77,47,87,70,82,61,45,14,34,18,9,49,7,5,26,31
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau OBS De Tandem (Havezathe),0141::SB24,7608 CL,3629,1605,7,9,0,0,0,1444,178,0,0,0,1,0,1,1622,149,109,248,184,211,102,92,45,108,28,19,164,24,14,56,52
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Verzorgingstehuis Friso,0141::SB26,7608 RM,1808,953,1,10,0,1,0,869,96,0,0,0,1,0,0,965,102,128,221,147,81,71,32,15,36,12,6,44,7,0,22,29
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau PC Basisschool De Huve,0141::SB28,7609 GP,3437,1457,6,10,0,0,0,1296,177,0,0,0,0,0,0,1473,145,106,145,121,214,90,79,66,164,38,21,138,11,28,38,53
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum Möll'nwiek 1,0141::SB29,7609 LA,1465,546,1,0,0,0,0,485,62,0,0,0,0,0,0,547,76,51,81,107,39,38,12,24,37,11,4,35,4,6,17,4
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum Möll'nwiek 2,0141::SB30,7609 LA,1646,796,0,2,0,1,0,711,88,0,0,0,1,0,0,799,82,90,97,87,89,52,23,34,66,21,7,81,14,10,21,22
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Basisschool De Mare,0141::SB31,7609 VK,1687,1040,0,2,0,0,0,894,147,0,1,1,0,0,0,1041,118,146,142,158,65,82,37,21,57,28,6,86,20,25,16,33
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Gemeenschapscentrum 't Aahoes,0141::SB32,7611 BD,1174,639,1,4,0,0,0,588,56,0,0,0,0,0,0,644,81,61,81,69,53,102,18,16,66,12,1,41,7,0,18,13
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Verzorgingstehuis Trivium,0141::SB33,7627 NT,1429,802,0,21,0,0,0,690,133,0,0,0,0,0,0,823,23,83,437,78,26,43,14,11,8,13,1,45,6,1,10,3
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau AOC Oost,0141::SB34,7609 PH,1798,898,1,5,0,0,0,782,122,0,0,0,0,0,0,904,127,134,117,121,56,69,50,22,75,13,7,41,10,20,8,28
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,"Stembureau Pinkstergemeente ""De Banier""",0141::SB35,7607 NG,1372,869,1,0,0,1,0,740,131,0,0,0,1,0,0,871,58,188,144,131,41,96,7,23,65,12,3,39,6,5,15,36
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Mobiel stembureau,0141::SB36,,0,280,1,2,0,0,0,254,29,0,0,0,0,0,0,283,26,27,43,41,24,21,6,13,24,8,3,16,3,10,7,8
