contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Pro Hengelo,VVD,SP (Socialistische Partij),Burger Belangen,Democraten 66 (D66),GROENLINKS,ChristenUnie,Armoede Partij Nederland
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Daltonschool - Breemars,0164::SB27,7553 HW,1380,616,3,2,0,0,0,581,40,0,0,0,0,0,0,621,80,42,133,53,139,70,57,11,12,19
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Stichting De Schole,0164::SB28,7554 RK,227,150,0,0,0,0,0,137,13,0,0,0,0,0,0,150,61,8,29,20,3,4,15,6,3,1
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool De Bleek,0164::SB29,7554 PR,805,484,0,0,0,0,0,432,52,0,0,0,0,0,0,484,247,14,56,68,48,11,25,8,4,3
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Daltonschool - Vöcker,0164::SB30,7555 KA,1397,799,3,1,0,0,0,712,91,0,0,0,0,0,0,803,118,90,166,127,121,35,101,19,17,5
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Buurthuis De Nijverheid,0164::SB31,7555 JW,1537,771,2,0,0,0,0,712,61,0,0,0,0,0,0,773,135,73,139,91,151,61,61,26,18,16
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Clubgebouw Excelsiorhuis,0164::SB32,7555 DN,1492,748,2,2,0,0,0,706,46,0,0,0,0,0,0,752,83,81,141,65,213,52,69,18,16,10
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Daltonschool 't Schöppert,0164::SB33,7558 DJ,1552,916,2,3,0,0,0,829,92,0,0,0,0,0,0,921,133,81,211,126,132,45,118,39,28,3
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Thaborkerk,0164::SB34,7558 BA,890,505,0,1,0,0,0,458,48,0,0,0,0,0,0,506,87,47,111,41,103,36,45,7,18,10
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool De Timp,0164::SB35,7558 LA,1548,926,1,4,0,0,0,840,91,0,0,0,0,0,0,931,160,65,164,119,178,33,106,38,54,9
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool 't Eimink,0164::SB36,7558 LA,1093,603,3,0,0,0,0,543,63,0,0,0,0,0,0,606,98,42,134,89,80,41,73,14,25,7
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Hasseler Hummeltje,0164::SB37,7558 WV,1793,880,1,3,0,0,0,790,94,0,0,0,0,0,0,884,105,58,192,119,159,53,125,33,27,9
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool De Borgh,0164::SB38,7558 WV,1796,943,5,3,0,0,0,844,107,0,0,0,0,0,0,951,98,76,184,102,186,57,146,24,61,9
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Wooncentrum 't Voskamp,0164::SB39,7558 EX,1195,693,3,2,0,0,0,643,55,0,0,0,0,0,0,698,109,72,153,43,121,48,70,28,43,6
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool De Telgenkamp,0164::SB40,7559 AR,1776,1015,2,1,0,0,0,924,94,0,0,0,0,0,0,1018,153,83,235,162,114,47,138,40,32,11
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool De Telgenkamp,0164::SB41,7559 NB,1796,964,0,5,0,0,0,848,121,0,0,0,0,0,0,969,136,85,200,199,114,46,139,22,21,2
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Europaschool,0164::SB42,7559 NN,1875,1113,3,6,0,1,0,995,128,0,0,0,1,0,0,1123,140,104,181,233,123,48,218,37,18,11
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Daltonschool De Rank,0164::SB43,7559 HR,1859,853,3,2,0,0,0,757,101,0,0,0,0,0,0,858,140,35,137,229,80,26,149,21,32,4
