contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Samenwerking Venray,PP2,VVD,SP (Socialistische Partij),inVENtief,Democraten 66 (D66)
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Heide,0984::SB11,5812 AB,385,277,1,0,0,0,0,241,37,0,0,0,0,0,0,278,158,11,34,9,12,26,8,19
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Ysselsteyn,0984::SB12,5813 AC,1728,1021,1,2,0,0,0,862,162,0,0,0,0,0,0,1024,594,32,49,37,80,85,31,113
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Merselo,0984::SB13,5815 AN,851,494,1,5,0,0,0,450,50,0,0,0,0,0,0,500,274,10,40,33,27,55,23,32
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Vredepeel,0984::SB14,5816 AG,168,97,0,0,0,0,0,85,12,0,0,0,0,0,0,97,86,1,3,1,3,0,2,1
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Smakt,0984::SB15,5817 AD,172,102,3,0,0,0,0,92,13,0,0,0,0,0,0,105,28,20,11,5,10,17,2,9
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,"Stembureau Vincent van Gogh, Noordsingel",0984::SB16,5801 GJ,1724,807,7,0,0,0,0,702,112,0,0,0,0,0,0,814,164,48,91,46,123,99,87,149
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau de Sprank,0984::SB17,5801 VV,1945,1279,7,4,0,0,0,1127,163,0,0,0,0,0,0,1290,256,59,91,98,211,185,150,229
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Basisschool Coninxhof,0984::SB18,5801 RE,1643,788,4,0,0,0,0,708,84,0,0,0,0,0,0,792,153,42,75,84,57,144,117,116
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,"Stembureau de Kiosk, Brukske",0984::SB19,5802 NN,1807,625,5,2,0,0,0,533,99,0,0,0,0,0,0,632,88,63,45,72,25,155,140,37
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau P.L.I.V.,0984::SB20,5802 HP,1850,727,2,4,0,0,0,629,104,0,0,0,0,0,0,733,123,77,62,90,33,149,136,57
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau OBS De Landweert,0984::SB21,5803 CN,1434,567,8,0,0,1,0,504,72,0,0,0,1,0,0,576,70,59,73,41,39,143,61,81
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau de Kruudwis,0984::SB22,5803 HE,1435,684,4,2,0,0,0,603,87,0,0,0,0,0,0,690,85,41,92,51,50,174,81,110
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Blitterswijck,0984::SB23,5863 AT,869,439,5,1,0,0,0,397,48,0,0,0,0,0,0,445,89,17,9,192,21,71,20,20
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Geijsteren,0984::SB24,5862 AD,347,230,2,2,0,0,0,220,14,0,0,0,0,0,0,234,118,11,5,32,13,23,15,13
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Wanssum,0984::SB25,5861 BN,1552,827,5,2,0,0,0,738,96,0,0,0,0,0,0,834,408,22,45,178,51,75,13,35
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Schouwburg,0984::SB26,5801 BV,1736,581,4,2,0,0,0,531,56,0,0,0,0,0,0,587,118,36,84,58,54,111,57,63
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Mobiel stembureau,0984::SB27,,0,171,1,0,0,0,0,155,17,0,0,0,0,0,0,172,41,20,14,12,10,26,13,35
