contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BREDA'97,TROTS/OPA,Bredase Ondernemers Ouderen-Partij,GemeenteBelangen Breda
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Woon- zorgcentrum Raffy,0758::SB15,,2712,900,0,2,1,0,0,788,113,0,0,1,0,0,0,901,122,189,91,126,61,179,30,29,39,34
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Wegwijzer,0758::SB16,,1897,639,1,4,0,0,0,575,69,0,0,0,0,0,0,644,73,108,58,79,30,189,26,34,21,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Wisselaar,0758::SB17,,1916,562,3,8,0,0,0,501,72,0,0,0,0,0,0,573,36,125,60,66,14,175,13,37,23,13
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gemeenschapshuis De Biesdonk,0758::SB18,,1834,697,5,5,0,0,0,621,86,0,0,0,0,0,0,707,42,130,98,107,37,174,23,47,19,20
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Vuchterhage,0758::SB19,,1680,726,1,5,0,0,0,671,61,0,0,0,0,0,0,732,60,107,91,88,54,195,38,52,23,18
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Ons sbo,0758::SB25,,1552,501,0,6,0,0,0,448,59,0,0,0,0,0,0,507,53,124,43,72,46,109,13,12,18,11
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau H. Michaëlkerk,0758::SB26,,2148,865,10,7,0,0,0,824,58,0,0,0,0,0,0,882,130,120,106,141,91,173,30,28,16,30
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Poelewei,0758::SB27,,2377,1116,12,7,0,0,0,1014,123,0,0,0,2,0,0,1137,129,150,106,256,121,226,45,29,24,30
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau NHTV,0758::SB28,,2183,1032,0,4,0,0,0,939,98,0,0,0,1,0,0,1037,228,114,99,232,153,130,31,14,14,17
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau 't Houwke,0758::SB29,,1541,843,3,5,0,0,0,803,48,0,0,0,0,0,0,851,155,99,102,122,58,169,33,35,49,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,"Stembureau KBS ""Weilust""",0758::SB30,,1288,670,3,4,0,0,0,616,61,0,0,0,0,0,0,677,105,105,71,108,47,135,26,25,17,31
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau OBS De Tweesprong,0758::SB31,,1588,807,1,1,0,0,0,736,73,0,0,0,0,0,0,809,152,131,111,116,76,121,21,31,27,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Serviceresidentie Vredenbergh,0758::SB32,,1704,818,5,0,0,0,0,737,86,0,0,0,0,0,0,823,234,69,124,192,83,63,20,11,15,7
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Sacramentskerk,0758::SB33,,2027,1302,3,0,0,0,0,1183,122,0,0,0,0,0,0,1305,263,131,126,366,181,139,30,27,21,18
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gemeenschapshuis Zandberg,0758::SB34,,2106,1211,0,1,0,0,0,1101,111,0,0,0,0,0,0,1212,282,125,89,318,196,119,34,16,20,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Dr. de Visserschool,0758::SB40,,1702,1135,1,2,0,0,0,1005,133,0,0,0,0,0,0,1138,374,111,91,322,102,66,29,20,10,10
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau School De Rotonde,0758::SB41,,1992,1137,1,4,0,1,0,1016,125,0,0,1,0,0,0,1141,283,100,128,231,120,151,38,28,39,19
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gemeenschapshuis Erasmus,0758::SB42,,1386,670,3,0,0,1,0,623,51,0,0,0,1,0,0,674,118,73,54,133,62,131,31,28,25,15
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Nbs School Dirk van Veen,0758::SB43,,1876,992,0,2,0,1,0,925,71,0,1,0,2,0,0,996,262,84,134,204,65,133,32,27,37,14
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Burchtgaarde,0758::SB44,,1489,832,2,3,0,0,0,768,69,0,0,0,0,0,0,837,137,86,119,166,64,146,37,33,26,18
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Huize De Werve,0758::SB45,,1664,864,4,1,0,0,0,778,91,0,0,0,0,0,0,869,241,59,105,178,87,105,50,21,12,6
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Christoffelschool,0758::SB46,,1506,737,1,4,0,0,0,687,55,0,0,0,0,0,0,742,136,89,123,123,56,126,28,29,20,7
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Thebe De IJpelaar,0758::SB47,,1405,728,4,0,0,0,0,679,53,0,0,0,0,0,0,732,139,72,94,126,70,142,36,16,24,9
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Woon- zorgcentrum Overakker,0758::SB48,,1397,940,1,0,0,0,0,841,100,0,0,0,0,0,0,941,241,65,152,176,87,113,24,36,28,18
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Scoutinggebouw De Mokkenboom,0758::SB55,,2146,1056,3,2,0,1,0,958,104,0,0,0,1,0,0,1062,292,95,127,229,144,92,25,24,15,13
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Het Brederocollege,0758::SB56,,2086,1210,5,1,0,2,0,1096,122,0,0,0,2,0,0,1218,268,143,124,309,148,118,29,34,21,16
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Verpleeghuis Aeneas,0758::SB57,,1098,661,0,0,0,0,0,614,47,0,0,0,0,0,0,661,144,55,81,126,61,116,17,35,15,11
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Clubhuis Tennisvereniging BLTV,0758::SB58,,1825,915,1,2,0,0,0,835,83,0,0,0,0,0,0,918,379,47,147,201,37,38,22,21,14,9
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Cafe-Zalencentrum Het Witte Schaap,0758::SB65,,2102,707,5,1,0,1,0,640,72,0,0,1,0,0,0,712,122,81,50,103,64,171,28,35,21,32
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau TVC Breda,0758::SB66,,2158,332,3,5,0,0,0,303,37,0,0,0,0,0,0,340,35,28,57,34,20,97,17,16,20,8
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Weerijs,0758::SB67,,1831,489,8,1,0,0,0,456,42,0,0,0,0,0,0,498,57,59,38,76,71,124,18,20,19,7
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Multifunctioneel Centrum Scheldestraat,0758::SB68,,2503,699,1,2,0,0,0,628,74,0,0,0,0,0,0,702,101,100,40,136,66,162,27,33,26,8
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gymzaal Boksvereniging De Bredase Ring,0758::SB69,,2018,685,5,1,0,0,0,640,51,0,0,0,0,0,0,691,114,75,44,123,62,162,24,35,24,22
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Het Huis van de Heuvel,0758::SB70,,1887,899,4,7,0,1,0,830,81,0,0,0,1,0,0,911,143,114,84,131,84,211,30,39,22,41
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Het Kompas,0758::SB71,,1620,676,6,2,0,0,0,620,64,0,0,0,0,0,0,684,103,74,65,131,88,143,30,14,16,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Het Huis van de Heuvel,0758::SB72,,2296,539,3,3,0,1,0,482,64,0,0,0,1,0,0,546,84,69,45,101,35,112,23,29,17,24
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS Effen,0758::SB73,,803,479,0,0,0,0,0,417,62,0,0,0,0,0,0,479,137,14,110,96,23,45,14,20,10,10
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Jongerenwerkwinkel Princenhage,0758::SB74,,2120,992,1,5,0,0,0,899,99,0,0,0,0,0,0,998,152,99,96,212,84,207,28,49,32,33
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gemeenschapshuis De Koe,0758::SB75,,1651,944,7,4,0,0,0,870,85,0,0,0,0,0,0,955,176,125,92,176,75,165,36,46,35,18
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Verpleeg en verzorgingshuis Haga,0758::SB76,,1415,652,2,4,0,1,0,594,65,0,0,0,1,0,0,659,142,53,119,82,40,133,22,28,22,11
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Boomgaard,0758::SB77,,2048,986,2,3,0,2,0,852,137,0,0,2,0,0,0,989,203,130,84,239,95,131,42,31,16,15
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Gemeenschapshuis Liesbos,0758::SB78,,660,329,0,2,0,0,0,300,31,0,0,0,0,0,0,331,83,12,109,37,29,36,7,7,8,1
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Beemdentil,0758::SB85,,2064,1003,3,3,0,0,0,910,99,0,0,0,0,0,0,1009,144,135,100,181,94,190,48,35,44,32
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Nutsbasisschool De Hoogakker,0758::SB86,,1825,676,2,3,0,0,0,625,56,0,0,0,0,0,0,681,92,72,55,111,69,164,38,30,24,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Ontmoetingsruimte Sporthal,0758::SB87,,1934,723,3,3,0,0,0,651,78,0,0,0,0,0,0,729,109,98,49,122,76,151,48,14,36,20
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Nutsbasisschool De Hoogakker,0758::SB88,,2063,789,2,5,0,0,0,712,84,0,0,0,0,0,0,796,138,67,68,113,65,212,31,23,29,43
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Kindcentrum Olympia,0758::SB89,,2056,612,5,1,0,0,0,538,80,0,0,0,0,0,0,618,71,106,58,78,26,178,21,28,26,20
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BSW diensten,0758::SB90,,1980,653,5,4,0,0,0,598,64,0,0,0,0,0,0,662,96,81,58,83,47,174,32,33,24,25
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Nutsbasisschool Burgst,0758::SB91,,1660,812,3,3,0,0,0,736,82,0,0,0,0,0,0,818,191,87,77,158,66,109,53,20,29,22
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Woonzorgcentrum Heksenwiel,0758::SB92,,1501,754,2,4,0,0,0,690,70,0,0,0,0,0,0,760,93,88,91,86,59,210,24,48,31,24
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau SCC 't Kraaienest,0758::SB93,,1712,899,5,3,0,0,0,820,88,0,0,0,1,0,0,908,220,87,111,158,53,154,45,24,26,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau KBS De Driezwing,0758::SB94,,2487,965,3,1,0,1,0,861,107,0,0,1,0,0,0,968,247,93,79,197,65,132,48,28,37,39
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau KBS Kievitsloop,0758::SB95,,1628,752,1,2,0,2,0,693,64,0,0,0,2,0,0,757,175,96,54,115,37,154,43,37,17,24
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau H. Willibrorduskerk,0758::SB101,,970,701,3,2,0,0,0,626,80,0,0,0,0,0,0,706,136,69,155,117,39,57,74,25,21,8
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Dorpshuis 't Web,0758::SB102,,2196,1415,6,0,0,0,0,1292,129,0,0,0,0,0,0,1421,383,154,213,237,68,129,145,21,42,23
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Mandt,0758::SB103,,1275,591,1,5,0,0,0,539,58,0,0,0,0,0,0,597,99,61,60,100,39,97,71,23,26,15
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Woon-Zorgcentrum Zuiderhout,0758::SB104,,1226,626,1,3,0,0,0,569,61,0,0,0,0,0,0,630,148,53,181,82,16,52,35,17,33,9
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau SSC De Pekhoeve,0758::SB201,,1947,1341,0,2,0,0,0,1199,144,0,0,0,0,0,0,1343,342,62,169,236,72,99,300,24,18,19
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,"Stembureau Woon- zorgcentrum ""De Donk""",0758::SB202,,1725,1051,3,0,0,0,0,951,103,0,0,0,0,0,0,1054,276,51,175,170,50,82,207,14,18,8
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau SCC 't Klooster,0758::SB203,,1528,963,3,4,0,2,0,874,98,0,0,0,2,0,0,972,151,46,350,122,18,80,131,25,26,14
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau OBS De Toerrmalijn,0758::SB204,,1380,762,1,0,0,2,0,666,95,0,0,2,0,0,0,761,135,48,254,100,37,63,87,13,12,13
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,"Stembureau BS ""de Spindel""",0758::SB205,,1531,933,0,0,0,1,0,839,93,0,0,1,0,0,0,932,128,50,376,107,36,92,101,13,18,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Amarant,0758::SB206,,1650,949,0,1,0,0,0,848,102,0,0,0,0,0,0,950,329,54,129,191,34,89,65,22,24,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau RK Kerk OLV Ten Hemelopneming,0758::SB301,,1520,811,1,0,0,1,0,728,85,0,0,0,1,0,0,813,163,57,327,100,26,74,20,12,19,13
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Ouderencentrum De Zilverberk,0758::SB302,,1871,1057,1,1,0,0,0,959,100,0,0,0,0,0,0,1059,171,65,398,128,44,117,49,38,26,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Museum De Rijf,0758::SB303,,1891,917,2,1,0,0,0,836,84,0,0,0,0,0,0,920,169,38,370,114,34,78,51,19,23,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Sportpark De Heikant,0758::SB304,,1853,991,3,2,0,0,0,889,107,0,0,0,0,0,0,996,233,35,416,143,24,65,37,8,18,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau De Drie Linden,0758::SB305,,1870,1095,2,0,0,0,0,964,133,0,0,0,0,0,0,1097,273,52,429,127,32,72,56,21,14,19
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,"Stembureau Mobiel Breedonk,Ruitersobs,Leystroom",0758::SB401,,0,211,0,1,0,0,0,200,12,0,0,0,0,0,0,212,39,12,96,27,10,13,0,11,3,0
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Mobiel AVANS + Westerwiek,0758::SB402,,0,178,2,0,0,0,0,160,20,0,0,0,0,0,0,180,30,25,18,34,17,40,4,4,5,1
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Stembureau Amphia Molengracht,0758::SB450,,0,300,1,0,0,0,0,267,34,0,0,0,0,0,0,301,71,29,24,59,25,57,12,11,6,6
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Stembureau Amphia Langendijk,0758::SB451,,0,258,0,0,0,0,0,226,32,0,0,0,0,0,0,258,41,35,24,53,32,47,11,8,4,3
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Stembureau NS Station Breda,0758::SB452,,0,1249,7,2,0,1,0,1190,69,0,0,0,1,0,0,1259,187,158,79,328,232,183,32,12,16,22
