contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),RED AMSTERDAM,CDA,Partij voor de Dieren,TROTS,10,Piratenpartij,De Groenen,Ouderen Partij Amsterdam (OPA),Amsterdam Sociaal,ChristenUnie,LEEFBAAR AMSTERDAM,De Republikeinse Politieke Partij,Partij Voor Vrije Amsterdammers (PVVA),Radicale Oppositie Beweging (R.O.B.),Nieuwe Amsterdamse Toekomst (NAT),OMA Amsterdam,Multicultureel Plus Partij (M+),Basis Inkomen Partij (BIP),Visie Op Amsterdam (Lijst Ina Brouwer),Partij van de Eenheid,Partij van de Ouderen (P.v.d.O.),Libertarische Partij (LP)
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Doopsgezinde Singelkerk,0363::SB35,,931,538,2,1,2,0,0,493,50,0,0,0,2,0,0,543,85,94,45,220,31,10,18,12,2,0,7,4,2,0,2,0,0,2,0,0,0,0,0,0,0,2,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau ASVO school,0363::SB36,,1073,666,6,4,0,0,0,623,48,0,0,5,0,0,0,671,105,119,86,210,50,13,25,13,1,0,14,8,4,2,2,1,0,3,2,0,0,0,0,0,1,3,4
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau ASVO school,0363::SB37,,958,700,2,2,0,0,0,640,64,0,0,0,0,0,0,704,113,115,80,262,47,21,23,11,2,0,3,5,2,1,2,1,0,2,2,2,1,0,0,1,0,4,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Dr. Sarphatihuis,0363::SB38,,1108,589,8,4,0,0,0,567,38,0,4,0,4,0,0,605,96,66,78,189,77,10,5,17,1,1,13,3,5,0,2,3,0,4,3,9,1,0,2,0,1,3,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Dr. Sarphatihuis,0363::SB39,,1026,557,4,3,0,0,0,534,32,0,0,0,2,0,0,566,94,52,61,174,79,9,10,19,0,0,12,7,5,2,2,6,0,8,3,7,0,0,1,3,1,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Mazzo,0363::SB40,,1109,612,1,1,0,9,0,572,34,0,0,9,0,0,0,606,125,68,60,185,80,8,10,20,0,0,16,2,10,0,1,5,2,6,3,1,0,0,2,2,1,5,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Mazzo,0363::SB41,,1156,557,6,1,0,0,0,515,46,0,0,3,0,3,0,561,84,78,62,172,68,5,10,32,1,1,7,4,5,1,2,4,0,5,0,3,4,0,0,3,2,2,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau NH Caransa Hotel,0363::SB42,,996,453,0,0,0,1,0,420,35,0,0,0,1,0,0,455,64,84,37,188,22,14,8,9,0,0,9,2,2,0,3,3,0,3,0,0,1,1,0,1,1,1,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Witte Boei,0363::SB43,,1055,451,6,4,0,1,0,431,31,0,0,0,1,0,0,462,107,22,69,97,84,5,1,9,1,0,8,3,6,4,7,3,0,7,0,2,1,0,1,1,5,8,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Witte Boei,0363::SB44,,1021,478,5,1,0,0,0,444,29,0,0,11,0,11,0,473,71,22,86,123,81,6,7,17,2,1,13,4,8,2,6,6,0,9,0,2,1,1,1,0,1,8,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School De Pool,0363::SB45,,1046,718,3,1,0,0,0,663,57,0,0,0,0,0,0,720,133,38,74,203,133,11,4,35,2,0,22,1,5,0,10,5,0,11,2,5,2,0,2,0,9,10,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School De Pool,0363::SB46,,1060,588,3,2,0,4,0,554,43,0,0,0,4,0,0,597,88,37,95,142,109,14,6,26,2,0,13,2,8,2,8,6,0,6,3,3,0,0,0,2,4,12,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Artis Aquarium,0363::SB47,,0,206,0,1,0,1,0,191,17,0,0,0,1,0,0,208,32,23,34,57,20,8,4,5,0,0,1,4,2,0,4,2,0,4,1,2,0,0,0,1,0,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Amsterdam Outsider Art,0363::SB48,,1134,589,2,2,0,0,0,540,49,0,0,0,4,0,0,589,114,52,68,178,57,11,17,23,1,0,11,4,11,3,8,0,0,4,9,5,0,1,0,2,4,4,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Verpleeghuis Wittenberg,0363::SB49,,870,510,1,3,0,0,0,489,21,0,0,0,0,0,0,510,115,51,72,144,63,5,4,19,2,0,12,1,7,0,2,2,0,2,5,1,0,0,1,0,0,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Woon- en Zorgcentrum De Rietvinck,0363::SB50,,1121,762,6,4,0,0,0,721,52,0,1,0,1,0,0,773,127,52,104,177,132,19,10,33,2,0,17,16,15,4,1,16,1,7,0,4,2,2,0,5,0,13,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Toneelmakerij,0363::SB51,,901,438,6,5,0,0,0,426,23,0,0,8,0,0,0,449,81,41,45,120,65,13,8,17,2,0,6,3,5,0,2,16,0,3,5,2,0,1,1,0,0,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Toneelmakerij,0363::SB52,,827,442,5,5,2,0,0,427,28,0,0,0,0,0,0,455,59,37,51,126,88,13,6,19,0,2,4,2,8,1,2,9,0,6,2,2,0,0,1,1,0,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Basisschool De Kleine Reus,0363::SB53,,930,480,5,2,0,5,0,446,46,0,0,0,5,0,0,492,73,88,38,185,44,9,11,2,0,0,10,0,2,1,1,2,0,4,0,2,1,0,1,0,0,6,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Melkweg Galerie,0363::SB54,,0,24,0,0,0,0,0,21,3,0,0,0,0,0,0,24,4,1,4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Frascati,0363::SB55,,1027,613,1,0,0,15,0,563,36,0,0,15,0,0,0,599,119,71,77,205,42,12,18,15,2,1,9,5,7,2,1,4,0,6,3,9,0,0,2,3,0,0,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Het Marnix,0363::SB56,,1130,631,1,1,0,3,0,610,26,0,0,0,3,0,0,636,104,65,54,158,109,22,8,28,2,1,13,7,11,1,4,4,0,7,5,4,2,0,2,3,1,14,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Centraal Station,0363::SB57,,0,759,7,5,0,0,0,750,21,0,0,0,0,0,0,771,101,96,104,283,65,9,12,21,4,0,14,1,6,0,8,7,0,5,1,13,0,0,1,1,3,2,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Centraal Station,0363::SB58,,890,672,2,4,0,0,0,650,28,0,0,0,0,0,0,678,94,65,107,248,50,9,17,17,3,0,14,5,5,5,5,2,0,4,4,7,2,0,1,2,1,2,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau V&D,0363::SB59,,0,130,2,0,0,0,0,124,8,0,0,0,0,0,0,132,21,18,13,40,13,1,2,5,0,0,1,1,3,2,0,0,0,1,0,5,0,2,0,0,1,1,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Melkweg Galerie,0363::SB60,,1016,610,1,5,0,0,0,576,44,0,0,0,4,0,0,620,91,84,67,219,61,11,19,15,0,0,13,8,3,6,2,1,0,1,3,2,2,1,1,0,0,0,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Westerkerk,0363::SB61,,1083,826,5,3,0,0,0,775,50,0,0,0,0,0,0,825,122,142,81,283,88,11,20,18,1,0,13,2,5,2,4,3,2,6,4,3,3,0,2,5,1,1,4
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Noorderkerk,0363::SB62,,1135,779,5,6,0,4,0,732,54,0,0,4,0,0,0,786,134,78,85,243,93,25,22,24,0,1,15,6,9,2,9,7,1,5,0,2,2,3,0,2,4,5,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau NH Grand Hotel Krasnapolsky,0363::SB63,,1146,656,1,5,0,0,0,638,28,0,4,0,4,0,0,666,90,84,60,248,54,15,8,23,2,0,23,4,6,0,2,1,0,10,3,12,1,0,1,2,0,4,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Universiteit van Amsterdam,0363::SB64,,1117,818,3,5,0,0,0,774,49,0,0,2,0,2,0,823,98,108,117,336,66,9,7,18,1,0,22,1,4,2,4,1,1,5,1,10,0,2,1,1,1,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Stadsarchief - gebouw De Bazel,0363::SB65,,983,709,4,2,0,0,0,647,77,0,0,0,0,0,0,724,104,163,61,275,35,16,14,7,0,0,7,1,3,4,3,1,0,4,3,2,0,0,1,1,0,4,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Rode Hoed,0363::SB66,,1031,663,2,5,0,0,0,602,78,0,0,0,9,0,0,680,108,111,63,270,31,15,15,19,0,0,4,4,6,2,2,0,0,1,1,4,1,1,0,0,0,5,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Het Perron,0363::SB67,,1119,650,0,6,0,3,0,619,39,0,0,0,3,0,0,658,131,55,79,179,110,30,8,24,3,1,0,2,4,1,1,3,0,1,5,1,2,0,3,2,0,2,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Museumwerf 't Kromhout,0363::SB68,,1104,437,5,0,0,0,0,398,46,0,2,2,0,0,0,444,94,32,77,114,64,7,9,8,0,0,8,2,2,1,4,0,0,0,2,2,0,0,0,1,4,5,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Museumwerf 't Kromhout,0363::SB69,,1084,607,3,1,0,0,0,586,25,0,0,0,0,0,0,611,107,50,99,155,101,12,5,18,0,1,9,3,2,3,9,5,0,5,4,6,0,0,1,3,5,3,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Museumwerf 't Kromhout,0363::SB70,,1031,540,4,1,0,0,0,497,49,0,1,0,1,0,0,546,111,41,88,138,90,9,4,14,0,0,10,3,2,1,4,4,0,5,2,6,1,0,1,1,0,5,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau APG,0363::SB71,,405,91,1,0,0,0,0,83,9,0,0,0,0,0,0,92,15,6,4,12,16,1,4,9,0,0,10,5,1,0,0,0,0,3,0,0,0,1,0,0,2,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Station Sloterdijk - Starbucks,0363::SB72,,0,364,1,2,0,0,0,349,17,0,0,1,0,0,0,366,43,51,37,143,32,8,8,10,1,0,8,2,1,2,2,2,0,5,1,2,0,0,2,0,1,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Basisschool De Kleine Reus,0363::SB73,,876,488,4,2,0,0,0,453,42,0,0,0,1,1,0,495,77,81,49,183,30,16,8,17,0,0,9,0,2,0,3,2,0,5,0,1,0,0,0,1,0,3,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Flesseman Centrum van Ouderen,0363::SB74,,1151,873,8,4,0,0,0,850,37,0,2,0,2,0,0,887,149,77,124,207,133,32,13,36,2,0,22,6,7,3,8,7,0,5,1,6,4,1,6,3,1,20,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Ateliers Westerdok,0363::SB75,,771,552,4,1,0,0,0,522,44,0,0,0,0,0,0,566,82,79,60,197,54,12,5,13,0,0,14,4,8,7,3,0,0,3,0,0,3,0,0,4,1,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Ateliers Westerdok,0363::SB76,,780,363,1,3,0,1,0,345,24,0,1,0,2,0,0,369,61,43,50,118,35,5,6,13,0,0,7,1,3,0,2,4,1,6,0,1,1,0,0,2,1,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Pand,0363::SB77,,836,456,1,0,0,0,0,415,42,0,0,0,0,0,0,457,61,91,46,171,27,8,13,9,2,0,5,1,2,0,1,1,0,4,1,4,0,0,0,6,0,1,2
