contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,GROENLINKS,Gemeentebelang,CDA,Deventer Belang,SP (Socialistische Partij),ChristenUnie,Basis Inkomen Partij ( BIP),DeventerNu,Partij van de Rede - ASP,Jij Bent Deventer
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Sint Jozef Verpleeghuis,0150::SB47,,1273,686,1,2,0,0,0,618,71,0,0,0,0,0,0,689,103,143,87,46,84,85,13,60,35,1,3,6,20
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Buurthuis De Ark,0150::SB50,,1367,372,1,1,0,0,0,330,44,0,0,0,0,0,0,374,107,28,12,62,5,12,63,45,17,10,5,2,4
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Oase,0150::SB52,,1752,667,3,6,0,0,0,596,80,0,0,0,0,0,0,676,178,60,34,71,26,54,86,78,48,6,7,14,5
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Saxion Hogeschool IJselland,0150::SB53,,884,528,4,0,0,0,0,476,56,0,0,0,0,0,0,532,83,130,69,65,36,21,15,36,21,4,15,8,25
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Buurthuis Wijk 16,0150::SB61,,1145,674,4,2,0,0,0,618,62,0,0,0,0,0,0,680,104,72,64,41,75,40,129,66,36,4,10,9,24
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau PW Janssen Verpleeghuis,0150::SB70,,1565,812,1,4,0,1,0,744,72,0,0,1,0,0,0,816,136,74,55,76,110,73,43,105,51,14,39,22,14
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Leeuwenkuil,0150::SB71,,1669,829,3,7,0,0,0,761,78,0,0,0,0,0,0,839,117,110,80,78,81,57,57,108,78,11,30,10,12
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Leeuwenkuil,0150::SB72,,1635,871,4,0,0,0,0,789,86,0,0,0,0,0,0,875,139,86,79,73,111,53,48,122,75,14,40,11,20
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau SV Colmschate,0150::SB73,,1760,698,1,3,0,0,0,629,73,0,0,0,0,0,0,702,107,103,113,54,82,72,45,49,34,4,25,3,7
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau De Ulebelt,0150::SB74,,1563,814,7,2,0,0,0,735,88,0,0,0,0,0,0,823,94,147,118,73,88,74,45,78,43,3,31,7,13
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Openbare basisschool De Wiz@rd,0150::SB75,,1509,1305,4,3,0,0,0,1168,144,0,0,0,0,0,0,1312,173,246,212,96,146,103,50,105,89,5,61,9,10
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Gezondheidscentrum Spikvoorde,0150::SB76,,2358,1134,0,4,0,0,0,1015,127,0,0,0,4,4,0,1142,180,207,183,67,108,78,70,94,70,2,60,0,15
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Sam & Ko,0150::SB77,,1155,542,0,0,0,0,0,469,73,0,0,0,0,0,0,542,69,89,98,38,41,37,50,38,43,6,25,2,6
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Deventer Ziekenhuis,0150::SB78,,1,528,1,0,0,0,0,485,44,0,0,0,0,0,0,529,68,89,58,36,92,38,16,64,33,4,13,3,14
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Huize Salland,0150::SB80,,1358,839,0,4,0,0,0,757,86,0,0,0,0,0,0,843,101,141,120,61,143,97,37,59,34,3,26,3,14
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Basisschool Het Roessink,0150::SB82,,1673,859,1,8,0,0,0,781,87,0,0,0,0,0,0,868,144,100,92,48,148,84,47,87,50,5,41,7,6
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau C.B.S. Dol-Fijn,0150::SB83,,1516,861,2,1,0,0,0,779,85,0,0,0,0,0,0,864,140,99,96,40,109,62,72,88,82,10,38,4,21
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Restaurant 't Hof van Colmschate,0150::SB84,,1354,884,2,1,0,0,0,807,80,0,0,0,0,0,0,887,140,95,98,46,154,105,56,87,48,6,22,5,22
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Gebouw voetbalvereniging Helios,0150::SB85,,1746,832,1,3,0,2,0,765,69,0,0,2,0,0,0,834,99,134,108,40,120,112,53,68,47,3,33,4,11
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Bej.centrum 't Dijkhuis,0150::SB88,,1887,1447,0,6,0,0,0,1339,114,0,0,0,0,0,0,1453,56,125,116,29,900,100,15,44,54,1,4,1,2
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Bistro Bodega Graaf Otto,0150::SB89,,741,507,0,1,0,0,0,459,49,0,0,0,0,0,0,508,10,36,46,9,348,23,10,7,15,0,1,0,2
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau de Rythmeen,0150::SB90,,1765,1199,3,2,0,2,0,1116,90,0,0,0,2,0,0,1206,63,103,99,32,744,67,7,38,37,0,3,1,5
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Zorgcentrum Park Braband,0150::SB91,,1867,1095,4,4,0,0,0,1006,97,0,0,0,0,0,0,1103,82,164,140,57,313,186,31,46,49,5,12,0,10
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Zorgcentrum Sparrenheuvel,0150::SB92,,1756,1172,0,0,0,0,0,1094,78,0,0,0,0,0,0,1172,156,183,117,59,308,122,32,102,39,7,28,1,18
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Café Spikker Lettele,0150::SB93,,1119,761,0,1,0,1,0,695,66,0,0,1,0,0,0,761,27,31,45,17,475,117,14,19,8,1,4,2,1
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Hof van Salland,0150::SB94,,1725,1218,7,10,0,0,0,1144,91,0,0,0,0,0,0,1235,89,182,145,124,385,138,32,63,30,1,13,2,14
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Restaurant Nunu,0150::SB95,,418,277,0,0,0,0,0,250,27,0,0,0,0,0,0,277,19,20,22,5,140,28,24,7,9,0,0,2,1
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Terras á la Monique,0150::SB96,,368,254,1,0,0,0,0,245,10,0,0,0,0,0,0,255,6,11,24,4,138,39,4,10,13,1,1,2,1
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Brasserie De Lindeboom,0150::SB97,,1710,1230,0,2,0,0,0,1106,126,0,0,0,0,0,0,1232,133,145,157,60,341,168,37,91,51,10,18,4,15
