contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie - SGP,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,Stadsbelang,Gorcum Actief,JEZUS LEEFT
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Lingewijkgebouw,0512::SB13,,1061,417,2,3,0,0,0,376,46,0,0,0,0,0,0,422,85,18,31,26,81,19,37,79,37,4
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Gebouw Leger des Heils,0512::SB14,,1098,493,0,1,0,0,0,441,53,0,0,0,0,0,0,494,79,41,49,63,63,46,37,54,50,11
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw E,0512::SB15,,1234,713,0,4,0,2,0,576,143,0,0,0,2,0,0,719,165,48,55,100,92,61,47,89,42,14
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Dienstencentrum Rozenobel,0512::SB16,,1750,802,2,5,0,0,0,601,208,0,0,0,0,0,0,809,306,22,30,40,107,33,169,56,32,7
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Exodus Kerk,0512::SB17,,1290,651,2,5,0,0,0,574,84,0,0,0,0,0,0,658,169,37,60,84,85,39,74,61,36,6
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw F,0512::SB18,,1529,718,5,3,0,0,0,627,99,0,0,0,0,0,0,726,101,64,86,86,129,67,54,88,42,1
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw G,0512::SB19,,988,461,0,3,0,0,0,382,82,0,0,0,0,0,0,464,90,24,41,70,93,27,43,47,23,3
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Het Gasthuis,0512::SB20,,1131,452,1,0,0,0,0,397,55,0,0,1,0,1,0,452,67,43,50,51,115,33,33,33,21,6
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Huize St. Clara,0512::SB21,,1157,639,7,4,0,0,0,569,81,0,0,0,0,0,0,650,157,36,80,37,102,36,46,86,47,12
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Bannehof,0512::SB22,,1209,680,3,7,0,0,0,598,92,0,0,0,0,0,0,690,147,58,107,61,101,47,45,81,27,6
