contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roosendaalse Lijst,VVD,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Nieuwe Democraten,GROENLINKS,ChristenUnie,Democraten 66 (D66),Praktisch en Pragmatisch (PeP),VRIJE LIBERALE PARTIJ (V.L.P.),Pleijdooi Voor Cultuur (PVC)
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Wieken,1674::SB33,4707 CC,1524,706,0,6,0,0,0,639,73,0,0,0,0,0,0,712,145,59,76,55,129,70,20,13,44,16,78,1
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Levensschool,1674::SB34,4707 TZ,1210,497,1,1,0,0,0,434,65,0,0,0,0,0,0,499,73,55,73,40,80,38,10,11,34,7,70,6
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau Verpleegtehuis ""Heerma State""",1674::SB35,4708 AW,1166,738,0,1,0,0,0,631,108,0,0,0,0,0,0,739,171,154,104,27,67,42,8,6,57,17,80,5
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau Verpleegtehuis ""Weihoek""",1674::SB36,4708 AV,1246,524,2,1,0,0,0,467,60,0,0,0,0,0,0,527,131,92,61,35,54,29,8,6,23,12,70,3
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau NS Station,1674::SB37,4702 VX,526,566,5,1,0,0,0,524,48,0,0,0,0,0,0,572,87,76,58,45,71,41,28,5,92,8,44,11
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Leonardushof,1674::SB101,4724 BJ,1223,560,0,2,0,0,0,502,60,0,0,0,0,0,0,562,232,57,61,23,42,18,18,7,47,3,52,0
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Café Zalen Donkenhof,1674::SB102,4724 AB,1364,595,3,1,0,0,0,526,73,0,0,0,0,0,0,599,225,70,67,17,55,27,16,2,34,7,75,0
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Geerhoek,1674::SB103,4724 EE,1243,728,3,2,0,0,0,620,113,0,0,0,0,0,0,733,283,82,90,23,58,30,14,2,49,6,86,5
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Café de Bakker,1674::SB104,4727 SP,576,253,2,2,0,0,0,223,34,0,0,0,0,0,0,257,71,51,27,11,14,8,4,0,16,0,49,2
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Schalm,1674::SB105,4726 AH,1407,656,2,2,0,0,0,596,64,0,0,0,0,0,0,660,221,118,64,19,83,22,11,5,24,10,77,2
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Spil,1674::SB106,4725 AC,931,503,1,3,0,0,0,442,65,0,0,0,0,0,0,507,180,60,68,11,21,18,17,2,13,11,101,1
