contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie,GROENLINKS,SWOLLWACHT,Democraten 66 (D66),SP (Socialistische Partij),Piratenpartij,OPA,LIJST WILLEM LUCHT (L.W.L.)
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum De Esdoorn,0193::SB12,8021 WB,1728,750,2,0,0,0,0,690,62,0,0,0,0,0,0,752,110,58,46,160,53,104,97,95,11,15,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Kerk De Fontein,0193::SB13,8043 NX,1553,1033,1,1,0,0,0,940,95,0,0,0,0,0,0,1035,107,148,74,282,64,71,156,100,15,13,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum Fermate,0193::SB14,8031 EM,1454,559,1,1,0,0,0,517,43,0,0,1,0,1,0,560,93,60,57,85,35,63,56,78,3,27,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum Holtenbroek,0193::SB15,8031 HL,1673,1337,2,4,0,0,0,1216,127,0,0,0,0,0,0,1343,250,103,52,266,99,147,156,213,31,19,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Scholengem. van der Capellen,0193::SB16,8031 XM,1445,586,2,8,0,0,0,535,61,0,0,0,0,0,0,596,108,30,12,104,37,89,69,114,8,12,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum De Havezate,0193::SB17,8031 MK,1495,614,5,6,0,0,0,582,43,0,0,0,0,0,0,625,118,52,45,131,34,62,57,88,8,13,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Gymnasium Celeanum,0193::SB18,8032 EM,1637,607,2,2,0,0,0,561,50,0,0,0,0,0,0,611,115,65,48,104,38,64,74,82,2,12,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau De Hoeksteen,0193::SB19,8032 PB,1455,1102,2,3,0,0,0,1022,85,0,0,0,0,0,0,1107,163,109,90,199,98,103,153,152,8,21,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Werkschuit,0193::SB20,8032 TK,1525,1003,4,5,0,0,0,926,81,0,0,5,0,5,0,1007,170,72,92,142,84,123,129,155,9,24,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Wieden,0193::SB21,8033 CS,1407,891,0,1,0,0,0,828,64,0,0,0,0,0,0,892,186,73,63,158,77,44,126,136,7,17,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Kleuterbrug,0193::SB22,8033 AZ,1245,711,2,0,0,0,0,654,59,0,0,0,0,0,0,713,113,67,53,112,63,48,92,151,6,6,0
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum Rivierenhof,0193::SB23,8032 HX,1446,953,1,3,0,0,0,883,74,0,0,0,0,0,0,957,166,91,100,163,78,63,116,137,12,23,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School Het Stroomdal,0193::SB24,8032 CG,1800,932,1,7,0,0,0,853,87,0,0,0,0,0,0,940,157,87,66,138,66,103,95,181,11,23,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Dienstencentrum De Terp,0193::SB25,8022 BG,1456,752,5,3,0,0,0,719,41,0,0,0,0,0,0,760,127,68,52,160,51,51,76,122,24,16,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Geb. Muz. Ver. De Bazuin,0193::SB26,8022 RK,1359,630,4,2,0,0,0,604,32,0,0,0,0,0,0,636,83,51,39,130,56,35,75,131,16,11,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Oosterenk,0193::SB27,8023 DJ,1228,1065,2,3,0,0,0,995,75,0,0,0,0,0,0,1070,153,183,102,133,129,39,228,74,14,7,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum Bestevaer,0193::SB28,8023 TP,1245,664,2,1,0,0,0,623,44,0,0,0,0,0,0,667,85,66,27,129,73,80,86,85,14,13,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Sportservice Zwolle,0193::SB29,8023 BL,1081,695,4,0,0,0,0,645,54,0,0,0,0,0,0,699,107,137,74,107,63,25,112,56,11,3,0
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Clubhuis HTC,0193::SB30,8034 PC,988,620,1,0,0,0,0,541,80,0,0,0,0,0,0,621,47,162,129,138,24,15,78,16,3,6,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum Berkumstede,0193::SB31,8024 CS,1617,1105,3,3,0,0,0,999,112,0,0,0,0,0,0,1111,123,161,200,279,56,63,110,71,3,28,11
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum De Weijenbelt,0193::SB32,8024 BZ,1601,1158,4,2,0,2,0,1083,83,0,0,0,2,0,0,1166,107,176,237,232,50,58,177,79,7,22,13
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Kulturhus Wijthmen,0193::SB33,8026 PS,899,506,0,1,0,0,0,456,51,0,0,0,0,0,0,507,37,54,193,83,35,13,37,37,6,9,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum Westenhage,0193::SB34,8042 AD,1463,872,2,1,0,1,0,784,92,0,0,0,1,0,0,876,120,103,135,227,48,62,53,92,4,25,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Ridderspoor,0193::SB35,8042 HM,1332,882,1,3,0,0,0,798,88,0,0,0,0,0,0,886,130,77,99,186,62,68,86,141,7,21,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Schatkamer,0193::SB36,8043 VL,1848,916,3,1,0,0,0,800,120,0,0,0,0,0,0,920,102,159,45,152,101,95,151,82,11,17,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum S.I.O.,0193::SB37,8014 AZ,1629,1207,5,3,0,11,0,1131,95,0,0,0,11,0,0,1226,195,99,139,293,100,78,112,132,26,30,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Zuidster,0193::SB38,8014 GM,1756,1072,2,5,0,0,0,963,116,0,0,0,0,0,0,1079,158,89,110,240,107,60,139,132,13,20,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau OBS De Marshof,0193::SB39,8014 LA,1344,811,2,1,0,0,0,732,82,0,0,0,0,0,0,814,118,70,49,161,56,63,104,158,9,16,7
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Speellokaal De Marshof,0193::SB40,8014 LA,1249,595,3,0,0,1,0,542,57,0,0,0,1,0,0,599,77,51,55,119,60,40,86,74,9,21,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau De Molenkamp,0193::SB41,8015 PM,506,319,2,0,0,0,0,282,39,0,0,0,0,0,0,321,34,42,56,74,17,14,32,41,0,3,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau De Siggels,0193::SB42,8014 BK,1410,697,3,1,0,0,0,645,56,0,0,0,0,0,0,701,112,57,47,168,54,54,62,106,5,27,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Windesheim Hogeschool,0193::SB43,8017 CA,1352,939,1,2,0,0,0,853,89,0,0,0,0,0,0,942,152,109,73,159,98,38,194,76,11,24,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Ark,0193::SB44,8016 AX,1638,1070,3,0,0,0,0,984,91,0,2,0,2,0,0,1075,167,146,68,196,93,82,141,126,18,28,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Koningskerk,0193::SB45,8016 ET,1532,778,1,1,0,0,0,718,62,0,0,0,0,0,0,780,120,73,71,215,42,48,95,83,9,21,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Ichthus,0193::SB46,8017 AZ,1674,1089,4,0,0,0,0,990,103,0,0,0,0,0,0,1093,151,130,105,234,106,88,158,82,19,16,0
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum De Kievitsbloem,0193::SB47,8014 XP,1713,997,1,4,0,0,0,938,64,0,0,0,0,0,0,1002,172,107,116,193,58,60,73,159,15,33,11
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau IJsselheem locatie Werkeren,0193::SB48,8043 LK,1710,995,3,2,0,0,0,891,109,0,0,0,0,0,0,1000,153,140,66,179,77,68,144,125,10,28,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Krullevaar,0193::SB49,8043 EA,1610,793,2,8,0,0,0,716,88,0,1,0,1,0,0,804,97,85,44,199,53,87,104,104,9,11,0
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School IJsselhof,0193::SB50,8015 BX,1707,967,1,3,0,0,0,895,76,0,0,0,0,0,0,971,121,128,85,201,75,69,159,98,8,18,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Phoenix,0193::SB51,8017 PA,1459,988,3,0,0,0,0,874,117,0,0,0,0,0,0,991,151,125,117,166,93,64,124,120,9,15,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau IJsselbolder,0193::SB52,8016 AX,1317,794,1,0,0,0,0,734,61,0,0,0,0,0,0,795,104,89,81,138,94,58,116,89,8,9,8
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Disloc. De Zevensprong,0193::SB53,8043 EA,1669,919,1,0,0,0,0,819,102,0,1,0,1,0,0,921,110,141,66,176,55,65,164,106,9,25,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Stedelijk Museum,0193::SB54,8011 ML,1515,802,7,0,0,0,0,761,48,0,0,0,0,0,0,809,119,142,46,102,93,38,165,70,17,8,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Stadskantoor,0193::SB55,8017 JZ,877,802,4,3,0,0,0,746,63,0,0,0,0,0,0,809,120,111,80,131,88,42,135,73,11,10,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentr. Het Zonnehuis,0193::SB56,8043 WB,1536,947,2,2,0,0,0,839,112,0,0,0,0,0,0,951,118,150,82,238,47,69,140,75,14,11,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau SBO Facet,0193::SB57,8031 VA,1630,452,1,1,0,0,0,415,39,0,0,0,0,0,0,454,71,30,18,109,21,65,48,69,11,9,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum Het Anker,0193::SB58,8042 GC,1421,697,2,0,0,0,0,635,64,0,0,0,0,0,0,699,85,81,96,170,27,59,77,69,11,21,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Gymzaal van Het Mozaïek,0193::SB59,8012 XG,1416,805,2,0,0,0,0,731,76,0,0,0,0,0,0,807,125,77,45,156,84,68,124,94,16,15,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Strandhuis Milligerplas,0193::SB60,8043 ND,1161,674,1,0,0,0,0,612,63,0,0,0,0,0,0,675,84,117,36,104,37,52,117,95,8,18,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Octopus,0193::SB61,8016 GB,1453,944,2,1,0,1,0,840,108,0,0,0,1,0,0,948,164,98,74,163,85,69,148,111,10,17,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Klokbeker,0193::SB62,8014 BK,1466,736,4,2,0,0,0,672,70,0,0,0,0,0,0,742,94,93,60,174,59,55,109,65,7,18,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum De Vlasakkers,0193::SB63,8022 PZ,1353,505,0,4,0,0,0,509,0,0,0,0,0,0,0,509,82,58,16,93,50,33,56,82,12,21,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Recreatiezaal Parkzicht,0193::SB64,8023 XT,1182,548,7,0,0,0,0,518,37,0,0,0,0,0,0,555,101,64,50,117,40,42,36,71,3,20,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Wendakker,0193::SB65,8043 VW,1594,789,0,1,0,0,0,689,101,0,0,0,0,0,0,790,92,131,76,194,40,51,124,65,6,8,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Tennisvereniging TC'91 Stadshagen,0193::SB66,8043 MV,1152,460,1,2,0,0,0,415,48,0,0,0,0,0,0,463,49,94,27,102,20,33,87,38,3,5,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau NS Station,0193::SB67,8017 JZ,0,680,3,0,0,0,0,650,33,0,0,0,0,0,0,683,101,62,41,117,104,29,137,60,15,11,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Mobiel Stembureau,0193::SB68,8017 JZ,0,154,2,1,0,0,0,143,14,0,0,0,0,0,0,157,32,25,18,32,11,2,11,18,0,5,0
