contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kernachtig Wijchen,CDA,Partij van de Arbeid (P.v.d.A.),Lokale Dorpspartijen,VVD,Democraten 66 (D66),Sociaal Wijchen
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Wijkgebouw Wijchen West,0296::SB11,6602 XW,1846,1296,3,1,0,0,0,1175,125,0,0,0,0,0,0,1300,380,211,177,44,166,281,37
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Basisschool De Bolster,0296::SB12,6601 XR,1390,685,0,5,0,1,0,625,66,0,0,0,1,0,0,691,189,71,83,45,71,102,124
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Basisschool Samsam,0296::SB13,6601 RM,1365,656,2,3,0,0,0,585,76,0,0,0,0,0,0,661,265,66,63,36,85,95,46
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Basisschool 't Palet,0296::SB14,6605 HK,1859,696,7,1,0,0,0,639,65,0,0,0,0,0,0,704,247,59,107,37,72,101,73
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Kulturhus de Zandloper,0296::SB15,6617 AC,1403,841,2,1,0,0,0,737,107,0,0,0,0,0,0,844,422,116,67,52,98,66,20
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Dorpshuis 'de Mijlpaal',0296::SB16,6616 AM,757,492,0,1,0,0,0,439,54,0,0,0,0,0,0,493,293,71,39,17,32,37,3
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Dorpshuis 't Ballegooijke,0296::SB17,6613 AH,538,416,1,1,0,0,0,362,56,0,0,0,0,0,0,418,98,79,74,75,56,24,10
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Dorpshuis 'De Hostert',0296::SB18,6634 AC,519,323,0,0,0,0,0,280,43,0,0,0,0,0,0,323,204,33,20,15,12,23,16
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Basisschool De Boskriek,0296::SB19,6605 SG,1742,962,2,3,0,0,0,878,89,0,0,0,0,0,0,967,326,104,120,47,145,171,49
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Basisschool De Trinoom,0296::SB20,6605 XH,1703,1006,6,0,0,0,0,903,109,0,0,0,0,0,0,1012,313,111,110,37,203,177,55
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Wijkcentrum De Brink,0296::SB21,6603 JR,2060,742,1,1,0,0,0,654,90,0,0,0,0,0,0,744,285,86,72,30,125,100,44
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Station,0296::SB22,6602 BN,0,431,1,0,0,0,0,394,38,0,0,0,0,0,0,432,135,54,63,16,57,83,23
