contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Gemeente Belangen,SP (Socialistische Partij),Burger Partij Hof,ChristenUnie,GROENLINKS
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Buurtgebouw Stokkum,1735::SB11,7475 MV,629,413,3,0,0,0,0,368,48,0,0,0,0,0,0,416,72,74,82,23,111,11,10,2,28
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau OBS ""Elserike""",1735::SB12,7475 TT,586,427,0,1,0,0,0,381,47,0,0,0,0,0,0,428,127,30,86,31,70,5,20,49,9
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau obs ""Brookschole""",1735::SB13,7475 PW,484,338,0,1,0,0,0,296,43,0,0,0,0,0,0,339,42,29,86,16,120,7,13,6,19
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Woonzorgvoorziening ""Anholtskamp""",1735::SB14,7475 CZ,1179,696,4,1,0,0,0,659,42,0,0,0,0,0,0,701,101,138,112,69,149,33,59,17,18
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Woonzorgcomplex ""op 't Niehoes""",1735::SB15,7497 LD,1427,924,4,0,0,0,0,798,130,0,0,0,0,0,0,928,652,25,155,27,20,23,6,7,9
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Gemeenschapscentrum ""Esbrook""",1735::SB16,7495 TC,301,197,0,0,0,0,0,163,34,0,0,0,0,0,0,197,79,20,44,11,30,8,1,0,4
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Gemeenschapscentrum "" 't Kempke""",1735::SB17,7495 RL,592,376,1,0,0,0,0,319,58,0,0,0,0,0,0,377,224,14,74,13,21,11,4,6,9
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Gemeenschapscentrum ""De Marke""",1735::SB18,7496 PP,936,765,4,2,0,0,0,690,81,0,0,0,0,0,0,771,567,10,79,28,33,31,3,5,9
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Gemeenschapscentrum ""De Hoff""",1735::SB19,7495 TW,227,143,0,0,0,0,0,132,11,0,0,0,0,0,0,143,71,5,37,14,10,2,0,4,0
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Parochiehuis,1735::SB20,7491 AB,1002,731,2,1,0,0,0,676,58,0,0,0,0,0,0,734,249,89,111,111,58,55,8,12,38
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau PC Basisschool Rannink,1735::SB21,7491 EA,1449,924,3,0,0,0,0,841,86,0,0,0,0,0,0,927,319,96,107,142,71,98,21,24,46
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Basisschool Erve Hooyerinck,1735::SB22,7491 DP,1182,1009,6,5,0,0,0,940,80,0,0,0,0,0,0,1020,321,131,123,164,110,87,8,18,47
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Verpleeghuis St. Elisabeth,1735::SB23,7491 AJ,1041,666,1,2,0,0,0,622,47,0,0,0,0,0,0,669,280,75,104,63,51,43,4,13,33
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Woonzorgcentrum Herfstzon,1735::SB24,7471 RG,1147,289,0,0,0,0,0,264,25,0,0,0,0,0,0,289,65,71,26,29,27,40,5,9,17
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Zalencentrum Beltman,1735::SB25,7478 BD,826,470,0,0,0,0,0,429,41,0,0,0,0,0,0,470,60,61,50,70,162,45,6,8,8
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau RK Petrusschool,1735::SB26,7496 AH,845,360,0,0,0,1,0,331,30,0,0,0,1,0,0,361,278,5,34,10,14,12,1,5,1
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Basisschool De Toonladder,1735::SB27,7491 EA,1288,438,2,0,0,0,0,393,47,0,0,0,0,0,0,440,132,60,81,90,34,22,3,0,16
