contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,GROENLINKS/Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),BVH (Burger Vertegenwoordiging Heuvelrug),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),ChristenUnie
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Dorpskerk,1581::SB11,3953 MH,943,656,1,1,0,0,0,584,74,0,0,0,0,0,0,658,128,54,148,89,61,120,42,14
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Kerk De Ark,1581::SB12,3951 LC,1192,544,1,0,0,0,0,501,44,0,0,0,0,0,0,545,126,61,98,89,64,39,43,24
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Twee Marken,1581::SB13,3951 CR,1362,1180,2,3,0,0,0,1057,128,0,0,0,0,0,0,1185,180,143,192,274,203,68,81,39
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Bibliotheek Amerongen,1581::SB14,3958 CD,1104,877,2,2,0,0,0,812,69,0,0,0,0,0,0,881,147,119,133,147,102,111,77,41
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Sporthal De Ploeg,1581::SB15,3958 GR,1567,832,2,4,0,0,0,761,77,0,0,0,0,0,0,838,106,106,140,102,82,69,161,66
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Ridderhof,1581::SB16,3958 DC,1381,755,4,2,0,0,0,693,68,0,0,0,0,0,0,761,121,90,141,111,84,48,102,58
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Buurthucht,1581::SB17,3959 AM,997,689,0,0,0,0,0,585,104,0,0,0,0,0,0,689,39,27,172,48,35,282,29,57
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Michaëlhuis,1581::SB18,3956 BW,1560,959,0,0,0,0,0,842,117,0,0,0,0,0,0,959,161,87,200,160,56,156,86,53
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Meander,1581::SB19,3956 EW,1397,653,2,1,0,0,0,586,70,0,0,0,0,0,0,656,102,63,144,113,50,76,72,33
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Schermerij,1581::SB20,3956 HA,1371,842,3,3,0,0,0,766,82,0,0,0,0,0,0,848,141,107,163,155,74,66,113,23
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Binder,1581::SB21,3956 ED,1384,962,14,2,0,0,0,876,102,0,0,0,0,0,0,978,155,118,158,171,94,99,123,44
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Cultuurhuis Pléiade,1581::SB22,3941 HV,1665,1534,1,3,0,2,0,1363,177,0,0,0,2,0,0,1540,272,165,207,338,106,288,121,37
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Het Zonnehuis,1581::SB23,3941 RB,1652,901,1,5,0,0,0,793,114,0,0,0,0,0,0,907,181,94,124,178,77,175,48,24
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Sporthal Steinheim,1581::SB24,3941 MB,1768,833,3,3,0,0,0,776,63,0,0,0,0,0,0,839,109,92,104,123,68,172,120,45
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Huize Beatrix,1581::SB25,3941 ZE,1577,1157,1,2,0,0,0,1009,151,0,0,0,0,0,0,1160,254,97,187,201,123,176,86,33
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Park Boswijk,1581::SB26,3941 AA,1283,519,1,2,0,0,0,479,43,0,0,0,0,0,0,522,111,65,65,114,50,66,39,9
