contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,SP (Socialistische Partij),ChristenUnie,Basis Inkomen Partij (BIP),ONSUTRECHT,OPA Utrecht (Ouderen Politiek Actief),Student & Starter,Stadsbelang Utrecht,Partij Vrij Utrecht (PVU),Nederland Duurzaam,Libertarische Partij (LP),Ouderen Partij Utrecht (OPU),Partij voor de Dieren
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Parkschool, Van Riebeeckstraat 40",0344::SB12,3531 EJ,1693,961,7,5,0,0,0,858,115,0,0,0,0,0,0,973,197,169,260,46,26,90,30,1,34,8,44,18,7,1,0,12,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis,  Abel Tasmanstraat  88 B",0344::SB14,3531 GW,1528,1039,2,5,0,1,0,976,71,0,0,0,1,0,0,1047,298,96,297,68,42,78,29,1,16,7,33,37,9,4,2,4,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Maetsuykerstraat 2",0344::SB15,3531 HS,3256,1235,5,9,0,0,0,1121,128,0,0,0,0,0,0,1249,316,166,335,84,39,106,32,3,6,5,47,36,12,5,4,7,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Staringstraat 1",0344::SB16,3532 VM,3251,1721,0,0,0,0,0,1561,157,0,0,3,0,0,0,1718,398,204,489,158,78,159,38,2,30,4,70,43,13,3,3,7,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Louis Couperusstraat 85",0344::SB18,3532 CX,1294,838,3,4,0,0,0,766,77,0,0,2,0,0,0,843,218,74,237,68,39,62,36,1,5,6,28,33,5,3,0,6,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Laan van Nieuw-Guinea 20",0344::SB19,3531 JJ,1773,1177,9,1,0,0,0,1095,93,0,1,0,1,0,0,1188,308,121,309,87,45,100,35,2,11,5,49,41,20,3,1,15,25
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Vleutenseweg 515",0344::SB20,3532 HK,2838,1300,1,3,1,1,0,1184,118,0,0,2,0,0,0,1302,247,140,305,99,76,143,83,6,11,10,52,38,36,2,6,11,35
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Eben-Haezer school V. Hugoplnts 33,0344::SB22,3533 CJ,1671,848,2,0,0,0,0,750,100,0,0,0,0,0,0,850,155,103,187,90,77,85,47,5,4,5,11,36,8,3,0,6,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Franz Schubertstraat 20",0344::SB23,3533 GW,1536,1513,5,2,0,0,0,1367,153,0,0,0,0,0,0,1520,362,116,450,200,105,100,50,2,3,3,10,66,9,5,0,10,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Asielzoekerscentrum, J. Haydnlaan 2",0344::SB24,3533 AE,1073,594,0,5,0,0,0,556,43,0,0,0,0,0,0,599,80,52,157,71,65,64,22,1,2,3,8,39,6,0,2,9,13
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Park Welgelegen Leidseweg 132-213,0344::SB25,3533 HD,1317,768,0,4,0,0,0,698,74,0,0,0,0,0,0,772,119,79,190,102,80,47,27,2,1,7,16,45,9,6,1,12,25
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Oranjekapel, A'damsestrwg 441 A",0344::SB26,3553 EA,1770,990,3,0,0,0,0,927,66,0,0,0,0,0,0,993,226,76,275,52,58,88,50,5,3,2,75,26,25,0,4,9,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, St.-Bonifaciusstraat 8",0344::SB27,3553 SR,1684,634,2,2,0,0,0,575,63,0,0,0,0,0,0,638,140,57,132,62,39,56,26,4,8,5,28,18,18,4,0,16,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis, St.-Ludgerusstr 251",0344::SB28,3553 SX,1364,838,2,3,0,0,0,779,64,0,0,0,0,0,0,843,147,81,195,89,30,70,41,1,14,11,48,22,36,1,1,22,29
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Bisschopsplein 8",0344::SB29,3553 SK,1656,623,1,2,0,0,0,578,48,0,0,0,0,0,0,626,78,64,167,48,29,59,48,0,7,8,20,26,28,2,6,10,23
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Plesmanlaan 21",0344::SB30,3555 AM,1423,558,5,5,0,0,0,516,52,0,0,0,0,0,0,568,64,70,99,33,28,97,28,3,11,6,13,33,29,1,0,22,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Vorstelijk Compl. Pr. Beatrixlaan 2,0344::SB31,3554 JK,3261,1153,6,8,0,0,0,1060,107,0,0,0,0,0,0,1167,175,134,223,101,77,134,119,6,16,11,32,45,20,0,2,26,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymlokaal, Prof.H.Bavinckstraat 3",0344::SB32,3555 GS,1905,801,6,6,0,0,0,742,71,0,0,0,0,0,0,813,47,127,177,84,45,130,38,1,21,7,16,41,22,4,1,22,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymlokaal, Prinses Margrietstr. 124",0344::SB34,3554 JL,3310,836,3,11,0,0,0,763,89,0,2,0,2,0,0,852,126,111,218,49,40,89,59,0,27,12,15,27,17,4,1,11,30
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Bibliotheek, Zwanenvechtlaan 4",0344::SB35,3554 GJ,1456,963,10,5,0,0,0,869,110,0,1,0,1,0,0,979,154,170,163,69,44,140,44,8,34,6,40,18,22,5,4,11,31
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Van Hoornekade 6",0344::SB36,3554 AW,1694,724,4,6,0,0,0,666,68,0,0,0,0,0,0,734,126,84,155,46,48,67,47,2,22,2,31,27,22,8,0,23,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal,  Amsterdamsestraatweg 3",0344::SB38,3513 AA,3218,1821,13,4,0,0,0,1754,84,0,0,0,0,0,0,1838,369,140,579,191,79,165,40,7,39,1,97,27,27,9,1,12,38
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Hogeschool Utrecht, Oudenoord 700",0344::SB40,3513 EX,3763,1195,7,4,0,0,0,1088,128,0,10,0,10,0,0,1216,242,115,360,85,31,144,42,5,22,6,59,26,10,4,3,5,36
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis, 2e Daalsedijk 2 BS",0344::SB41,3551 EJ,1503,652,3,2,0,0,0,610,47,0,0,0,0,0,0,657,122,79,214,47,27,62,23,3,12,1,28,10,4,2,3,3,12
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau WSC Noordwest, Amsterdamsestrw. 283",0344::SB42,3551 DJ,1800,1029,5,1,0,1,0,963,73,0,0,0,1,0,0,1036,184,98,306,82,47,98,36,3,19,9,56,24,26,3,1,19,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Opzoomerstraat 1",0344::SB43,3551 BP,1519,638,6,2,0,0,0,612,34,0,0,0,0,0,0,646,114,66,124,49,37,95,28,1,10,6,28,22,17,1,2,11,27
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymlokaal, Laan van Chartroise 166",0344::SB44,3552 EZ,2736,1065,3,6,0,0,0,953,121,0,0,0,0,0,0,1074,193,116,241,88,52,152,52,8,23,6,35,46,9,5,5,17,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kerkcentrum, Boerhaaveplein 199",0344::SB45,3552 CT,1569,553,5,1,0,0,0,517,42,0,0,0,0,0,0,559,103,51,94,30,25,108,42,1,8,15,25,13,6,2,0,16,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Het Vechthuis, Jagerskade 13-15",0344::SB47,3552 TL,1199,557,0,1,0,0,0,513,45,0,0,0,0,0,0,558,98,59,157,37,15,50,14,3,1,3,26,14,23,2,3,22,30
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal,Teun de Jagerdreef 3",0344::SB49,3561 JK,1710,779,3,4,0,0,0,725,62,0,0,0,1,0,0,787,109,92,115,30,73,61,155,0,52,1,39,9,10,0,4,12,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Bibliotheek, Gloriantdreef 1",0344::SB50,3562 KW,2348,1311,7,3,0,0,0,1210,113,0,0,0,2,0,0,1323,155,172,271,101,81,177,74,10,26,16,45,53,31,10,4,52,33
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymlokaal, Winterboeidreef 8",0344::SB52,3561 HX,1104,743,1,1,0,0,0,681,64,0,0,0,0,0,0,745,135,78,150,34,66,84,77,2,25,6,23,24,9,4,5,5,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Activiteitencentr., Vulcanusdrf 47",0344::SB54,3561 CB,1472,538,6,7,0,0,0,480,71,0,0,0,0,0,0,551,52,114,75,24,31,107,19,4,25,10,2,15,16,5,0,18,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sint Rafael Kerk, Lichtenberchdr. 4",0344::SB55,3562 RD,3210,935,5,8,0,0,0,814,134,0,0,0,0,0,0,948,78,210,118,31,61,175,36,0,89,11,12,39,23,0,0,25,27
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Seniorencomplex, Dommeringdreef 60",0344::SB56,3562 AL,1942,639,1,8,0,0,0,568,80,0,0,0,0,0,0,648,65,97,63,36,56,133,24,11,42,9,18,29,19,1,0,21,15
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum , Perudreef 8",0344::SB58,3563 VA,2977,943,5,6,1,0,0,848,105,0,0,1,0,0,0,953,108,174,120,37,93,196,28,15,40,10,5,27,24,5,2,30,29
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Huis aan de Vecht, C. Ricadreef 9",0344::SB60,3563 TA,2030,747,2,10,0,0,0,686,73,0,0,0,0,0,0,759,88,139,72,28,70,129,42,5,29,22,5,49,19,2,1,16,31
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal,  Beiroetdreef 3",0344::SB62,3564 XC,1533,558,3,5,0,0,0,500,66,0,0,0,0,0,0,566,63,76,62,32,56,124,21,2,30,6,6,30,21,1,2,12,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Verpleeghuis,  Indusdreef 5",0344::SB63,3564 GV,1452,492,1,5,0,0,0,451,47,0,0,0,0,0,0,498,36,111,55,24,42,81,21,10,28,11,10,25,11,3,0,13,11
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis De Boog, Gambiadreef 60",0344::SB64,3564 ES,2067,699,3,6,0,0,0,630,78,0,0,0,0,0,0,708,60,183,92,17,51,120,30,5,52,15,12,20,13,1,2,10,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Ramsesdreef 190",0344::SB65,3564 CL,2278,698,2,3,0,0,0,610,93,0,0,0,0,0,0,703,59,126,88,43,66,118,37,13,41,3,6,35,23,1,4,12,23
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Stichting S.W.K., Draaiweg 51",0344::SB67,3515 EJ,3668,1758,2,1,0,0,0,1624,132,0,0,5,0,0,0,1756,383,167,553,221,56,150,44,1,5,8,58,40,20,1,11,5,35
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sportschool, Willem  Arntszkade 5",0344::SB69,3515 AG,1584,1048,4,0,0,0,0,969,83,0,0,0,0,0,0,1052,234,92,322,117,34,95,34,4,6,5,44,18,7,2,2,6,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Griftsteede, Van Swindenstraat 129",0344::SB70,3514 XR,1412,1003,1,1,0,4,0,931,70,0,0,4,0,0,0,1001,236,74,323,92,41,88,46,4,5,3,23,24,3,1,0,11,29
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, M.v.Reedestr. 4",0344::SB71,3515 XJ,1306,1056,2,1,0,0,0,977,82,0,0,0,0,0,0,1059,265,105,335,93,43,78,24,1,4,3,26,21,10,6,2,6,34
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis, Samuel v. Houtenstraat 1",0344::SB73,3515 EA,2824,1508,15,5,0,0,0,1406,121,0,0,1,0,0,0,1527,363,148,362,91,53,205,88,7,30,9,48,31,12,4,1,15,41
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau ZIMIHC theater Wittevrouwen,0344::SB74,3572 SP,1606,1120,4,0,0,0,0,1036,88,0,0,0,0,0,0,1124,251,109,337,135,51,110,28,4,1,4,31,28,1,4,1,3,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Wijkbureau,  F.C. Dondersstraat 1",0344::SB75,3572 JA,1413,862,2,2,0,0,0,800,66,0,0,0,0,0,0,866,168,58,287,99,28,82,28,2,2,0,53,17,8,1,2,1,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Poortstraat 73 (ing Bladst)",0344::SB76,3572 HD,1829,1816,5,4,0,0,0,1655,170,0,0,0,0,0,0,1825,398,158,658,195,46,153,51,1,1,4,43,39,10,3,8,3,45
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School Wittevr., Oude Kerkstr. 2a",0344::SB77,3572 TJ,1534,713,3,2,0,0,0,646,72,0,0,0,0,0,0,718,161,58,248,91,30,40,16,0,4,1,36,10,4,1,0,1,12
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Smijerslaan 2",0344::SB78,3572 LP,1291,761,1,0,0,0,0,692,70,0,0,0,0,0,0,762,162,69,227,111,37,56,18,2,1,3,21,20,6,3,1,5,19
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau RK Kerk, W.d.Zwijgerplantsoen 19",0344::SB80,3571 VK,1283,1082,1,1,0,0,0,1000,88,0,0,0,4,0,0,1088,190,121,352,159,71,56,42,1,3,4,24,32,2,2,2,5,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Marnix Academie, Vogelsanglaan 1",0344::SB81,3571 ZM,2770,1494,2,0,0,0,0,1371,125,0,0,0,0,0,0,1496,255,159,384,153,122,137,79,3,5,11,46,52,19,10,2,16,41
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gebouw Brandweer, Sartreweg 11",0344::SB82,3573 PW,1068,720,3,0,0,0,1,663,60,0,0,0,1,0,0,724,163,58,192,67,39,75,17,3,3,6,6,46,7,5,1,11,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Ché Guevarastraat 15",0344::SB83,3573 BK,1359,915,3,0,0,0,0,854,65,0,0,0,1,0,0,919,181,119,250,84,45,98,17,5,5,6,13,29,26,3,1,7,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Winklerln 365",0344::SB84,3571 KE,1268,881,1,0,0,0,0,813,69,0,0,0,0,0,0,882,122,89,167,122,121,86,44,0,2,6,9,70,11,4,1,16,11
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Eykmanlaan 72",0344::SB85,3571 JV,1172,871,0,2,0,0,0,769,104,0,0,0,0,0,0,873,151,102,244,121,79,48,30,0,1,8,9,40,10,1,1,8,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Prof. van Bemmelenlaan 34",0344::SB86,3571 EN,1166,982,2,0,1,0,0,870,115,0,0,0,1,0,0,985,185,111,323,137,61,41,30,0,1,4,16,32,9,4,2,9,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Krammstate,  C.Krammlaan 2",0344::SB87,3571 AX,1481,784,8,3,0,0,0,750,45,0,0,0,0,0,0,795,188,55,212,46,38,41,23,0,1,0,140,11,8,1,2,0,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Parnassos, Kruisstraat 201",0344::SB88,3581 GK,1312,909,3,4,0,0,0,858,58,0,0,0,0,0,0,916,200,56,298,93,39,92,28,5,1,3,35,16,6,5,2,9,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Kruisdwarsstraat 6",0344::SB89,3581 GL,1361,804,1,2,0,0,0,746,61,0,0,0,0,0,0,807,188,71,271,104,34,47,19,3,2,5,23,9,3,3,0,2,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Schoolplein 6",0344::SB90,3581 PX,1114,897,1,2,0,0,0,841,59,0,0,0,0,0,0,900,160,77,345,124,42,57,14,2,3,2,34,11,1,4,4,0,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Buurth.'Oudwijk' Oudwkr.dw.str.148,0344::SB91,3581 LJ,2971,1946,5,3,1,10,0,1792,174,0,1,0,12,0,0,1966,435,157,619,205,84,135,67,8,1,10,68,49,13,9,3,16,67
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Homeruslaan 40",0344::SB93,3581 MJ,1323,947,2,0,0,1,0,876,72,0,0,1,0,0,0,948,206,64,298,131,37,93,30,3,1,5,29,20,5,1,0,7,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Voormalig schoolgebouw, Alkhof 55",0344::SB94,3582 AX,1885,1025,5,2,0,0,0,963,71,0,0,0,2,0,0,1034,205,71,341,108,48,82,28,1,4,1,55,26,8,4,4,11,28
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis, Keerkringplein 40",0344::SB95,3582 PL,1573,719,0,2,0,0,0,654,67,0,0,0,0,0,0,721,127,41,208,63,47,68,14,5,3,4,27,34,31,0,5,20,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, BF Andreaeln 9",0344::SB96,3582 KA,3075,1601,5,2,0,0,0,1509,100,0,1,0,1,0,0,1609,359,104,527,113,50,92,41,3,10,5,200,11,17,3,8,16,42
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Burg F Andreaelaan 100",0344::SB98,3582 KD,1330,762,3,6,0,0,0,710,61,0,0,0,0,0,0,771,120,71,212,92,61,62,29,1,6,5,22,23,6,3,1,27,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gebouw Rode Kruis, Koningsweg 2",0344::SB99,3582 GE,1124,747,5,0,0,0,0,690,62,0,0,0,0,0,0,752,164,62,202,65,32,84,23,1,2,6,24,26,11,0,1,11,33
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Frans Halsstraat 22 A",0344::SB100,3583 BP,1560,1356,1,2,0,0,0,1227,132,0,0,0,0,0,0,1359,306,109,419,156,67,119,44,1,1,1,41,33,1,3,2,16,37
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Revalidatiecentr. Rembrandtkade 10,0344::SB101,3583 TM,1460,868,2,1,0,1,0,794,78,0,0,0,1,0,0,872,196,104,285,85,28,67,26,1,5,1,34,12,3,3,1,5,12
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau L. des Heils, Oudwijkerveldstr. 120",0344::SB102,3581 JP,1221,963,0,2,0,0,0,867,98,0,0,0,0,0,0,965,169,74,325,163,44,56,35,4,1,0,32,23,8,3,0,5,21
