contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD/Volkspartij voor Vrijheid en Democratie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),LHN (Lijst Hilbrand Nawijn),CDA,SP (Socialistische Partij),Zó! Zoetermeer,GroenLinks,ChristenUnie/SGP,TROTS,- -,GROEP HOP,OPA Zoetermeer
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Prot.Chr. Basisschool Noordeinde,0637::SB44,2728 DC,1359,899,1,2,0,0,0,706,198,0,0,0,2,0,2,904,125,82,214,121,99,73,48,42,38,15,10,11,21
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Wijkgebouw 't Span,0637::SB45,2728 BR,1439,763,2,5,0,0,0,700,71,0,0,0,1,0,0,771,103,81,157,118,86,62,50,28,36,10,2,8,22
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Baanbreker,0637::SB46,2728 AG,1324,701,2,4,0,1,0,583,125,0,0,0,1,0,0,708,102,84,164,95,42,72,46,23,30,16,5,7,15
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool De Buut,0637::SB47,2728 AG,1403,1040,4,3,0,2,0,933,116,0,0,0,2,0,0,1049,198,109,225,157,72,97,64,28,41,12,13,6,18
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Het Kwakernest b.s.o.,0637::SB48,2728 DP,1368,213,0,0,0,0,0,187,26,0,0,0,0,0,0,213,34,23,59,24,14,10,15,18,8,2,1,4,1
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Schoolgebouw Hodenpijlstraat,0637::SB49,2729 FA,1408,986,7,2,0,0,0,855,139,0,0,1,0,0,1,994,189,128,194,127,88,72,63,15,53,19,9,12,17
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS Het Groene Hart,0637::SB50,2729 EB,1695,694,7,1,0,0,0,605,97,0,0,0,0,0,0,702,139,94,141,122,57,30,38,13,22,10,11,1,16
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Centrum Campus 1,0637::SB51,2721 NB,1321,633,2,3,2,0,0,573,63,0,0,2,0,0,0,636,66,77,90,152,57,59,39,15,32,6,4,11,25
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Centrum Campus 2,0637::SB52,2721 NB,1292,680,2,1,0,2,0,599,86,0,0,0,2,0,0,685,108,83,117,122,59,47,45,16,25,18,10,7,23
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Middin-Heemburgh,0637::SB53,2729 LR,1517,362,0,1,0,0,0,316,47,0,0,0,0,0,0,363,72,41,78,54,24,26,13,14,18,5,3,5,9
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Shaanti Dhaam,0637::SB54,2729 LN,1540,581,1,2,0,0,0,494,90,0,0,0,0,0,0,584,107,81,135,73,27,56,34,6,20,13,10,8,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Stadsboerderij De Weidemolen,0637::SB55,2721 DX,1537,632,1,0,0,0,0,540,93,0,0,0,0,0,0,633,174,52,138,79,60,19,40,15,33,12,4,3,3
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Basisschool De Oranjerie,0637::SB56,2721 GG,1693,887,3,2,0,0,0,755,137,0,0,0,0,0,0,892,219,63,189,152,74,53,40,12,48,12,6,6,13
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Middin - De Waterparel,0637::SB57,2721 HJ,1591,566,2,0,0,1,0,493,74,0,0,1,0,0,0,567,116,44,154,91,52,27,34,9,18,5,6,6,4
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau De Oosterpoort,0637::SB58,2721 GE,1376,613,3,1,1,0,0,538,78,0,0,1,0,0,0,616,123,60,119,106,55,47,41,12,15,15,5,4,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Tienersoos Morapad,0637::SB59,2719 JA,1486,778,3,0,0,2,0,679,100,0,0,2,0,0,0,779,159,73,172,125,64,38,45,28,31,8,11,4,20
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Stadsboerderij De Balijhoeve,0637::SB60,2719 JZ,1542,724,4,1,0,0,0,634,95,0,0,0,0,0,0,729,108,65,162,120,59,52,54,35,36,12,7,5,9
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Waterlelie,0637::SB61,2719 HE,1231,756,1,1,0,0,0,677,81,0,0,0,0,0,0,758,128,64,195,108,93,39,45,23,40,6,2,2,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Edelsteen,0637::SB62,2719 SN,1472,930,3,3,0,0,0,839,97,0,0,0,0,0,0,936,181,68,235,114,97,67,59,30,41,19,5,7,7
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Prins Clausschool,0637::SB63,2719 VG,1481,920,0,1,0,0,0,823,97,0,0,1,0,1,0,920,180,58,216,140,114,72,26,33,43,18,6,9,5
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Kerkelijk Centrum De Regenboog,0637::SB64,2719 CR,1384,865,1,6,1,0,0,801,70,0,0,1,0,0,0,871,114,104,140,173,133,67,40,21,32,5,1,3,32
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Kerk De Wijngaard,0637::SB65,2719 AZ,1450,947,4,3,0,0,0,861,93,0,0,0,0,0,0,954,147,83,218,117,121,72,39,31,55,34,7,11,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool Het Palet,0637::SB66,2718 BZ,1374,858,6,5,0,0,0,750,119,0,0,0,0,0,0,869,101,76,166,121,85,69,68,42,38,63,13,4,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Jongerencentrum De Spott,0637::SB67,2718 CX,1546,396,3,4,0,0,0,359,46,0,0,0,2,0,0,405,69,38,65,63,39,34,26,9,22,16,0,4,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Buurtcentrum De Vlieger,0637::SB68,2718 GH,1163,1027,9,1,0,1,0,934,104,0,0,0,1,0,0,1038,139,103,208,155,104,116,68,33,31,48,2,8,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Basisschool De Saffier,0637::SB69,2718 JT,1540,723,1,2,0,0,0,643,83,0,0,0,0,0,0,726,114,66,119,119,64,72,47,20,42,21,13,14,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Montessorischool Passe-Partout,0637::SB70,2718 CT,1472,383,2,1,0,0,0,341,45,0,0,0,0,0,0,386,66,23,86,68,41,30,20,12,14,4,5,5,9
