contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),CDA,Partij van de Arbeid (P.v.d.A.),Stadspartij Heerlen,Ouderen Partij Heerlen,VVD,Hart-Leers,Democraten 66 (D66),GROENLINKS,RPN,Partij Hoensbroeks Belang,1Parkstad.nl
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool De Windwijzer,0917::SB47,,1890,968,4,2,0,0,0,871,103,0,0,0,0,0,0,974,307,64,67,22,166,53,106,75,37,19,0,52
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Breedeschool Sam-Sam,0917::SB48,,1859,640,2,1,0,0,0,565,80,0,0,0,2,0,0,645,203,40,36,23,75,48,137,24,14,22,0,18
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Carbooncollege,0917::SB101,,1780,816,4,6,0,0,0,734,98,0,0,0,6,0,0,832,187,77,36,37,104,42,19,17,8,82,205,2
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Buurtcentrum de Koffiepot,0917::SB104,,1467,690,0,5,0,0,0,595,100,0,0,0,0,0,0,695,162,43,37,78,81,36,13,11,12,41,173,3
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Dr. A. Schweitzerschool,0917::SB106,,2051,870,2,0,0,0,0,764,108,0,0,0,0,0,0,872,201,70,37,35,92,50,30,23,37,31,257,7
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Multifunctioneel Centrum Gebrook,0917::SB107,,1993,844,4,3,0,0,0,746,111,0,0,0,6,0,0,857,250,47,30,40,92,42,19,36,54,63,160,11
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool de Vlieger,0917::SB109,,2080,720,0,5,0,0,0,635,93,0,0,0,3,0,0,728,204,58,29,22,63,38,54,46,7,30,152,17
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Ouderencentrum Weijenberg,0917::SB112,,1888,754,2,4,0,0,0,677,85,0,0,0,2,0,0,762,172,82,42,26,71,38,50,36,20,41,168,8
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis Mariarade,0917::SB114,,1949,915,2,4,0,0,0,802,120,0,0,0,1,0,0,922,158,93,37,71,59,64,31,41,29,44,273,15
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau bs de Heyster,0917::SB115,,1778,576,3,5,0,0,0,523,61,0,0,0,0,0,0,584,142,110,31,24,30,37,28,13,12,20,120,9
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Ouderencentrum Butting Inn,0917::SB116,,1543,695,3,2,0,0,0,699,1,0,0,0,0,0,0,700,208,59,22,10,95,30,28,20,7,25,165,26
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,"Stembureau Royal, Pius, Adalante  (mobiel stembureau)",0917::SB200,,0,91,5,0,0,0,0,88,10,0,0,0,2,0,0,98,27,9,8,8,9,4,12,0,3,1,9,1
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,"Stembureau Atrium, Hollehof, Mondriaan (mobiel stembureau)",0917::SB201,,0,153,0,3,0,0,0,147,10,0,0,0,1,0,0,157,36,27,8,7,29,12,11,10,8,4,1,0
