contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),STADSPARTIJ Zutphen Warnsveld,VVD,GROENLINKS,Democraten 66 (D66),Burgerbelang Zutphen Warnsveld,CDA,SP (Socialistische Partij),ChristenUnie
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau School De Parel,0301::SB14,,1970,972,1,4,0,0,0,893,84,0,0,0,0,0,0,977,114,144,53,97,118,135,55,200,56
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Buurthuis De Uitwijk,0301::SB15,,1488,1097,0,3,0,1,0,1030,71,0,0,0,1,0,0,1101,172,94,74,107,103,180,94,225,48
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Vrije School Zutphen VO,0301::SB16,,1014,500,1,0,0,0,0,462,39,0,0,0,0,0,0,501,63,60,57,68,66,54,34,71,27
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Ziekenhuis Zutphen,0301::SB17,,1736,779,3,2,0,1,0,706,79,0,0,0,1,0,0,785,73,70,105,64,96,161,47,119,44
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Lea Dasbergschool,0301::SB18,,1269,967,0,1,0,1,0,889,78,0,0,1,0,0,0,967,118,115,80,98,130,186,48,142,50
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Educatief Centrum De Mene (1),0301::SB19,,1821,952,2,2,0,0,0,867,89,0,0,0,0,0,0,956,98,94,160,66,148,182,66,100,38
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Educatief Centrum De Mene (2),0301::SB20,,1376,433,3,0,0,0,0,392,44,0,0,0,0,0,0,436,59,35,67,32,66,79,27,47,21
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Chr. School Arcade,0301::SB21,,1367,987,2,0,0,0,0,926,63,0,0,0,0,0,0,989,87,55,130,65,90,305,86,102,67
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau De Kei,0301::SB22,,1258,727,1,1,0,0,0,669,60,0,0,0,0,0,0,729,56,47,41,27,86,246,90,90,44
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau 't Warnshuus,0301::SB23,,1634,1280,7,8,0,0,0,1197,98,0,0,0,0,0,0,1295,133,101,123,89,121,379,95,177,62
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Zorg-wooncentrum den Bouw,0301::SB24,,1157,801,1,0,0,0,0,732,71,0,0,0,1,0,0,803,54,56,158,56,112,190,94,53,28
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Het Nutsgebouw,0301::SB25,,1223,864,2,1,0,0,0,799,68,0,0,0,0,0,0,867,72,63,100,89,128,207,69,107,29
