contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijk Rijswijk,Gemeentebelangen Rijswijk (GR),VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BETER VOOR RIJSWIJK (BVR)
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Gebouw Trias,0603::SB13,2284 XL,1231,530,1,6,0,0,0,504,33,0,0,0,0,0,0,537,41,95,29,53,57,51,9,62,133
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Woonzorgcentrum Steenvoorde,0603::SB14,2285 CH,1089,571,1,3,0,0,0,507,68,0,0,0,0,0,0,575,54,79,87,62,86,62,21,32,88
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau sportcentrum De Schilp,0603::SB15,2285 SP,1485,760,5,4,0,0,0,670,99,0,0,0,0,0,0,769,87,85,112,64,58,101,57,48,148
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Sportzaal van Vlietlaan,0603::SB16,2285 XL,1389,624,1,4,0,0,0,576,53,0,0,0,0,0,0,629,64,81,73,61,82,54,33,52,124
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Basisschool Steenvoorde (gymzaal),0603::SB17,2285 VD,1183,526,4,3,0,0,0,495,38,0,0,0,0,0,0,533,63,82,44,59,43,33,31,63,108
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Basisschool Wethouder Brederode,0603::SB18,2286 MV,1713,1021,5,2,0,0,0,904,124,0,0,0,0,0,0,1028,144,127,107,79,166,64,48,111,175
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Petrusschool,0603::SB19,2286 RL,1359,706,1,0,0,0,0,625,82,0,0,0,0,0,0,707,53,130,49,66,96,41,30,88,153
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Shalomschool (Gymzaal),0603::SB20,2286 GE,1219,709,3,1,0,0,0,635,78,0,0,0,0,0,0,713,68,113,27,86,69,47,30,95,174
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Stervoorde,0603::SB21,2286 BA,1130,726,2,5,0,0,0,664,69,0,0,0,0,0,0,733,77,115,92,61,86,54,36,71,134
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Gemeenschappelijke ruimte  't Hoekje,0603::SB22,2286 GA,1291,595,4,0,0,0,0,540,59,0,0,0,0,0,0,599,68,114,65,54,75,48,27,35,109
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Groepswonen voor ouderen,0603::SB23,2287 EH,1705,691,4,6,0,0,0,631,70,0,0,0,0,0,0,701,67,102,75,80,71,54,23,78,141
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Chr.Basisschool Melodie (Gymzaal),0603::SB24,2287 BS,1407,546,1,3,0,0,0,493,57,0,0,0,0,0,0,550,76,75,37,71,45,58,30,45,109
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Buurthuis De Drassige Driehoek,0603::SB25,2288 CN,531,368,0,1,0,0,0,330,39,0,0,0,0,0,0,369,24,99,37,15,33,68,43,30,19
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Gebouw Chateau Blanc,0603::SB26,2289 BE,1232,703,2,0,0,0,0,634,71,0,0,0,0,0,0,705,37,145,86,74,48,103,70,79,61
