contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Algemeen Belang Dongeradeel,VVD,Dongeradeel Sociaal,Artikel50
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis De Terpring,0058::SB13,9153 BR,265,153,5,0,0,0,0,144,14,0,0,0,0,0,0,158,26,60,13,7,13,23,8,3
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis De Jister,0058::SB14,9131 KM,661,325,2,0,0,0,0,295,32,0,0,0,0,0,0,327,158,59,13,20,42,4,22,7
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau lokaal bij de PKN-kerk,0058::SB15,9132 LT,457,238,1,2,0,0,0,211,30,0,0,0,0,0,0,241,50,78,19,15,33,12,23,8
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis d'Ald Skoalle,0058::SB16,9147 BM,566,309,1,0,0,0,0,263,47,0,0,0,0,0,0,310,69,102,17,26,26,15,47,7
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau 't Sintrum,0058::SB17,9151 KN,1247,669,1,1,0,0,0,590,81,0,0,0,0,0,0,671,173,205,74,30,53,43,82,9
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau lokaal De Gearkomst,0058::SB19,9134 NM,275,172,2,0,0,0,0,154,20,0,0,0,0,0,0,174,48,32,11,42,22,8,5,4
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau verzorgingshuis De Skûle,0058::SB20,9123 JZ,749,426,1,0,0,0,0,385,41,0,0,1,0,1,0,426,128,97,28,49,82,18,19,5
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau lokaal De Wynroas,0058::SB21,9142 VT,400,206,0,0,0,0,0,181,25,0,0,0,0,0,0,206,51,61,15,11,34,10,16,8
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau gebouw Elim,0058::SB22,9135 PK,186,115,0,0,0,0,0,105,10,0,0,0,0,0,0,115,25,19,19,32,15,1,4,0
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau Dorpshuis De Nespel,0058::SB23,9143 WG,312,179,0,0,0,0,0,162,17,0,0,0,0,0,0,179,44,65,12,17,15,9,12,5
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau Nij Sion,0058::SB24,9138 TB,346,204,0,0,0,0,0,189,15,0,0,0,0,0,0,204,87,48,8,16,25,5,12,3
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis De Terp,0058::SB25,9137 RW,698,351,0,2,0,0,0,331,22,0,0,0,0,0,0,353,111,95,16,15,54,26,30,4
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau café Fryslân,0058::SB26,9125 EG,155,116,4,0,0,0,0,104,16,0,0,0,0,0,0,120,35,26,8,12,17,10,4,4
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau verzorgingshuis Spiker,0058::SB27,9145 CG,1078,600,1,1,0,0,0,544,58,0,0,0,0,0,0,602,156,165,45,75,74,29,45,11
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis De Pipenâle,0058::SB28,9141 VH,282,182,2,0,0,0,0,164,20,0,0,0,0,0,0,184,29,27,7,18,75,6,14,6
