contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,STADSPARTIJ,SP (Socialistische Partij),Democraten 66 (D66),CDA,ChristenUnie,Student en Stad,Partij voor de Dieren,11,Piratenpartij,Libertarische Partij (LP)
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Het Heerenhuis,0014::SB11,9712 NR,995,483,2,1,0,0,0,463,23,0,0,0,0,0,0,486,51,65,48,32,36,155,27,15,27,15,3,4,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Borgmanschool,0014::SB12,9712 CS,1839,1141,7,1,0,0,0,1091,58,0,0,0,0,0,0,1149,150,62,185,61,133,298,40,28,82,69,2,17,14
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Het Paleis,0014::SB13,9712 LM,1603,780,2,0,0,0,0,742,40,0,0,0,0,0,0,782,84,77,87,34,62,260,36,14,65,34,1,12,14
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Ebbingepoort,0014::SB14,9712 XA,965,496,6,4,0,4,0,479,31,0,0,0,0,0,0,510,89,41,60,33,66,104,33,13,20,27,1,3,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Leger des Heils,0014::SB20,9713 GL,1635,957,11,2,0,0,0,909,62,0,0,0,1,0,0,971,129,90,88,70,111,258,55,33,51,44,0,11,17
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurt- en speeltuinvereniging FEO,0014::SB21,9713 CL,1406,511,3,0,0,0,0,483,31,0,0,0,0,0,0,514,77,52,50,30,42,159,16,14,41,19,0,9,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Oosterparkheem,0014::SB22,9713 VX,1839,562,2,2,0,0,0,530,36,0,0,0,0,0,0,566,87,41,67,40,100,114,21,27,17,23,0,16,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Simon van Hasseltschool,0014::SB23,9713 KX,1626,616,7,1,0,0,0,577,49,2,0,0,2,0,0,626,85,39,67,45,163,111,11,12,26,44,0,10,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Treslinghuis,0014::SB24,9713 SW,1093,482,4,6,0,1,0,472,21,0,0,0,1,0,0,493,63,23,42,38,159,74,20,10,13,26,0,12,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Franciscuscentrum,0014::SB25,9713 PV,1546,477,1,9,0,0,0,458,29,0,0,0,0,0,0,487,67,12,45,41,149,66,15,18,14,30,2,13,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau OBS Siebe Jan Boumaschool,0014::SB26,9713 VA,1418,597,4,2,0,0,0,564,39,0,0,0,0,0,0,603,74,40,59,38,151,113,18,22,19,41,2,15,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Rebound Groningen,0014::SB30,9714 CV,1503,737,7,2,0,0,0,718,28,0,0,0,0,0,0,746,88,63,76,21,83,213,35,31,76,34,0,13,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Baptistenkerk De Cirkel,0014::SB31,9714 AT,1742,716,3,1,0,0,0,689,32,0,0,0,0,0,0,721,80,47,103,32,93,184,42,30,48,34,3,9,11
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Van Heemskerckschool,0014::SB32,9714 JS,1680,645,2,2,0,0,0,623,26,0,0,0,0,0,0,649,98,50,78,24,63,152,31,45,53,34,1,10,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Wijkcentrum Het Floreshuis,0014::SB40,9715 HH,1505,1198,4,6,0,0,0,1158,52,0,2,0,2,0,0,1210,141,83,125,59,179,312,69,52,88,60,4,17,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Vrouwencentrum Jasmijn,0014::SB42,9715 HS,1588,454,0,1,0,0,0,427,28,0,0,0,0,0,0,455,80,24,54,13,97,76,16,22,23,39,0,6,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Gymzaal O.B.S. Karrepad,0014::SB43,9715 NR,1065,478,0,2,0,0,0,446,32,0,0,2,0,0,0,478,67,31,48,30,75,113,29,21,28,20,2,10,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Gymzaal O.B.S. Karrepad,0014::SB44,9715 NR,1423,415,2,1,0,0,0,396,22,0,0,0,0,0,0,418,57,24,43,15,75,110,18,14,24,17,0,9,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Hamrikheem,0014::SB46,9715 SX,1327,551,0,2,0,0,0,511,41,0,0,1,0,1,0,552,100,22,28,38,169,81,30,28,14,25,0,9,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Wessel Gansfortcollege,0014::SB47,9731 BW,934,560,0,0,0,0,0,503,57,0,0,0,0,0,0,560,80,29,51,63,97,112,42,42,13,20,1,5,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum Hunzeborgh,0014::SB48,9731 EB,1015,692,3,0,0,0,0,624,71,0,0,0,0,0,0,695,110,76,70,74,76,164,37,36,9,24,1,7,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Kantine GTV Van Starkenborgh,0014::SB49,9731 BW,927,501,1,2,0,0,0,462,43,0,0,0,0,0,0,505,89,36,59,53,71,106,27,21,10,19,3,3,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Christelijk Centrum Groningen,0014::SB50,9716 AV,1468,547,7,1,0,0,0,520,35,0,0,0,0,0,0,555,80,37,49,37,84,119,26,31,36,28,0,11,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau BSV  De Hoogte,0014::SB51,9716 GZ,1632,578,5,1,0,2,0,559,27,0,0,0,2,0,0,586,77,29,40,39,184,82,24,25,13,41,4,9,11
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Dependance Nassauschool,0014::SB60,9717 ED,1638,947,7,0,0,0,0,894,59,0,0,1,0,1,0,953,169,66,168,64,116,202,46,35,33,33,0,8,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum Oranjewijk,0014::SB61,9717 BK,1259,843,5,1,0,0,0,780,69,0,0,0,0,0,0,849,109,47,143,47,129,185,26,29,64,47,0,11,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Poort,0014::SB62,9717 JW,1906,883,4,0,0,0,0,834,53,0,0,0,0,0,0,887,140,52,116,29,117,227,33,30,60,47,4,16,12
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Casa de la Trova,0014::SB63,9717 KP,1683,588,1,1,0,0,0,550,40,0,0,0,0,0,0,590,79,35,77,27,66,161,22,24,55,22,1,8,11
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtpand Op Mars,0014::SB71,9718 HN,1050,480,0,0,0,0,0,449,31,0,0,0,0,0,0,480,52,56,64,26,41,132,28,13,48,11,0,4,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Noorderpoortcollege,0014::SB72,9718 JB,1439,832,5,2,0,0,0,791,48,0,0,0,0,0,0,839,116,90,93,41,57,250,33,22,90,22,0,12,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Sportief Negentig,0014::SB73,9718 BA,1381,661,1,0,0,0,0,626,36,0,1,1,0,0,0,662,81,81,59,39,46,217,22,28,48,18,2,13,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau MJD-Zorgloket Groningen,0014::SB74,9718 KT,1533,894,2,2,0,0,0,838,61,0,1,0,1,0,0,899,136,71,128,46,65,269,27,31,89,19,0,8,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Zorgpunt Hoendiep,0014::SB75,9718 TA,1456,477,0,0,0,0,0,453,24,0,0,0,0,0,0,477,55,60,39,24,20,169,24,14,47,12,0,10,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Columnakerk,0014::SB80,9718 TJ,989,584,0,3,0,0,0,564,23,0,0,0,0,0,0,587,77,53,55,58,87,121,17,37,35,26,0,10,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau BSO Schildersbuurt,0014::SB81,9718 RZ,970,542,1,0,0,0,0,515,28,0,0,0,0,0,0,543,95,22,67,70,99,102,18,18,15,20,0,13,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Salvator Mariaparochie,0014::SB100,9721 HW,1106,776,3,1,0,0,0,735,45,0,0,0,0,0,0,780,97,62,80,70,103,166,64,49,26,41,1,14,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Sporthal De Wijert,0014::SB101,9721 LB,1065,493,0,1,0,0,0,472,22,0,0,0,0,0,0,494,93,33,42,54,60,80,36,32,14,37,0,10,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Vondelflat,0014::SB102,9721 LC,796,347,3,1,0,0,0,340,11,0,0,0,0,0,0,351,57,43,17,25,52,57,42,32,4,11,0,5,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Opstandingskerk,0014::SB104,9721 JM,908,497,4,4,0,0,0,477,28,0,0,0,0,0,0,505,68,36,28,41,122,72,29,54,12,22,1,10,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Bolster,0014::SB105,9721 NH,1410,562,1,2,0,0,0,546,19,0,0,0,0,0,0,565,93,33,47,57,97,67,41,57,23,34,1,7,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau C.B.S. Tamarisk,0014::SB106,9721 SW,1339,630,3,2,0,0,0,593,42,0,0,0,0,0,0,635,78,122,53,41,52,149,60,30,7,24,0,9,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Zuiderflat,0014::SB107,9721 VV,1111,796,0,1,0,0,0,746,51,0,0,0,0,0,0,797,97,171,34,71,93,124,95,64,7,29,0,1,10
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Brederoschool,0014::SB108,9721 XA,1109,845,1,1,0,0,0,775,72,0,0,0,0,0,0,847,124,116,71,68,66,233,72,45,14,22,1,10,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Joseph Haydnschool,0014::SB110,9722 CL,1160,889,2,1,0,0,0,837,57,0,0,0,1,0,0,894,138,94,122,70,87,219,72,17,18,45,1,5,1
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurt- en Speeltuinver. Helpman,0014::SB111,9722 BX,1358,711,1,4,0,0,0,660,56,0,0,0,0,0,0,716,100,70,76,65,69,141,85,35,20,44,0,4,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Speellokaal,0014::SB112,9722 JV,1268,599,3,3,0,0,0,549,56,0,0,0,0,0,0,605,83,88,85,57,36,150,39,14,11,26,0,2,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Evangelische Gemeente Helperkerk,0014::SB114,9722 GP,1436,698,5,3,0,0,0,668,38,0,0,0,0,0,0,706,84,49,104,73,104,124,31,21,19,67,0,14,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Dagverblijf De Kleine Beer,0014::SB115,9722 VH,1140,1058,1,1,0,0,0,968,92,0,0,0,0,0,0,1060,137,199,88,82,80,223,126,44,13,53,2,5,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Multifunctioneelcentrum Engelbert,0014::SB120,9723 ER,778,411,1,0,0,0,0,373,39,0,0,0,0,0,0,412,58,80,31,36,70,54,25,8,8,28,2,8,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum Poortershoes,0014::SB130,9724 CA,1545,1296,4,1,0,1,0,1233,69,0,0,0,1,0,0,1302,174,91,192,109,181,298,44,41,81,51,2,24,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Silo Today,0014::SB131,9724 GG,1557,853,1,0,0,2,0,816,40,0,0,0,2,0,0,856,150,96,109,83,92,185,43,20,30,29,1,12,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Euroborg,0014::SB133,9723 ZS,1288,502,4,1,0,0,0,476,31,0,0,0,0,0,0,507,79,63,41,37,53,127,23,11,26,27,1,7,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau CBK,0014::SB134,9724 DA,1405,441,2,2,0,0,0,417,28,0,0,0,0,0,0,445,57,46,57,38,65,105,4,15,22,21,0,6,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,"Stembureau S.B.O. Groningen, Klaslokaal Dino's",0014::SB140,9724 EJ,1576,552,2,0,0,0,0,503,51,0,0,0,0,0,0,554,86,56,78,38,50,150,31,13,18,23,3,5,1
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Grafisch Museum,0014::SB141,9725 CC,1529,935,3,0,0,0,0,891,47,0,0,0,0,0,0,938,119,101,97,50,70,255,71,53,68,38,0,7,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurthuiskamer Merwede,0014::SB142,9725 KE,1509,924,3,1,0,0,0,876,52,0,0,0,0,0,0,928,119,61,112,65,109,206,75,70,39,40,1,15,12
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Puddingfabriek,0014::SB143,9725 BG,1221,647,3,1,0,0,0,605,49,0,0,0,3,0,0,654,76,35,99,30,96,173,32,19,43,28,1,9,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,"Stembureau S.B.O. Groningen, Klaslokaal",0014::SB144,9724 EJ,1177,400,2,1,0,0,0,371,32,0,0,0,0,0,0,403,71,33,62,32,33,107,18,6,14,16,0,3,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Augustinuscollege,0014::SB151,9726 GP,1667,765,4,1,0,0,0,729,41,0,0,0,0,0,0,770,83,69,60,54,72,238,39,41,68,19,4,7,11
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum Badstratenbuurt,0014::SB152,9726 BS,1535,742,6,1,0,1,0,708,40,0,0,1,0,0,0,748,92,52,75,50,90,200,38,32,59,35,0,10,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau O.D.S. De Starter,0014::SB161,9727 HW,1435,742,3,2,0,0,0,706,41,0,0,0,0,0,0,747,112,70,65,53,90,190,47,62,27,15,1,6,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Willem Lodewijk Gymnasium,0014::SB162,9727 CK,643,304,1,0,0,0,0,287,18,0,0,0,0,0,0,305,32,34,30,33,29,61,25,17,22,14,0,4,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau MEE Groningen,0014::SB163,9727 AC,1027,556,0,0,0,0,0,522,34,0,0,0,0,0,0,556,71,45,44,59,48,127,38,54,35,19,2,8,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Heymanscentrum,0014::SB171,9728 HD,933,496,1,2,1,0,0,456,42,0,0,1,0,0,0,498,74,41,34,61,87,59,54,45,8,26,0,5,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Menno Lutterhuis,0014::SB172,9728 AC,1648,1028,3,3,0,0,0,980,54,0,0,0,0,0,0,1034,141,103,70,90,135,167,127,112,19,45,2,8,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau BSV Corpus den Hoorn,0014::SB174,9728 NB,1367,561,1,0,0,0,0,522,40,0,0,0,0,0,0,562,101,39,47,51,118,90,24,30,19,23,3,7,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Maartenshof,0014::SB180,9728 PG,1495,933,1,2,0,1,0,869,68,0,0,0,1,0,0,937,158,76,76,86,153,159,97,53,19,32,1,10,13
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Drees-Flat,0014::SB181,9728 SX,1323,710,2,4,0,0,0,672,44,0,0,0,0,0,0,716,93,71,75,86,132,114,54,35,5,34,0,6,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Het Wall House,0014::SB182,9728 WT,1053,636,2,0,0,0,0,592,46,0,0,0,0,0,0,638,86,111,65,28,73,151,48,20,4,41,1,5,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Boerhaaveschool,0014::SB183,9728 NH,1261,1003,0,1,0,0,0,895,110,0,0,0,1,0,0,1005,144,177,98,85,46,273,87,36,25,24,1,3,4
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Oosterhoogebrugschool,0014::SB200,9731 CB,1009,460,0,3,0,1,0,430,34,0,0,0,1,0,0,464,88,41,24,62,98,72,22,19,8,14,1,5,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Schakel,0014::SB201,9731 AA,1158,863,4,0,0,1,0,806,62,0,0,0,1,0,0,868,125,103,54,110,182,157,40,34,13,27,1,5,12
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Noorderpoortcollege,0014::SB202,9731 BH,1138,562,2,1,0,0,0,508,57,0,0,0,0,0,0,565,111,29,37,78,75,103,31,35,12,35,0,2,14
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Basisschool De Vuurtoren,0014::SB211,9732 JS,1325,799,3,1,0,0,0,729,75,0,1,0,1,0,0,804,107,50,50,107,238,86,44,41,15,34,2,18,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Kimkiel,0014::SB215,9732 KZ,1246,289,3,1,0,0,0,276,17,0,0,0,0,0,0,293,40,30,15,27,64,46,16,17,4,21,1,3,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Ontmoetingsruimte Het Stuurhuis,0014::SB220,9733 AG,1405,613,6,8,0,2,0,579,46,0,0,2,0,0,0,625,118,32,34,96,183,45,29,23,7,30,0,11,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Basisschool De Swoaistee,0014::SB221,9733 EB,1264,713,0,6,0,0,0,658,61,0,0,0,0,0,0,719,111,28,70,69,208,96,28,40,11,27,3,17,5
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Wijkcentrum Het Dok,0014::SB222,9733 CA,1523,966,3,4,0,0,0,899,74,0,0,0,0,0,0,973,146,52,63,127,275,110,55,64,5,38,2,15,14
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Zorgcentrum Mercator,0014::SB223,9733 HH,1276,656,2,0,0,0,0,605,53,0,0,0,0,0,0,658,90,51,76,71,154,79,44,32,8,34,0,11,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Basisschool De Driebond,0014::SB230,9734 AA,1730,775,6,0,0,0,0,697,84,0,0,0,0,0,0,781,124,68,58,86,158,113,50,50,11,30,4,11,12
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum 't Heerdenhoes,0014::SB260,9737 LK,1441,818,3,4,0,0,0,771,54,0,0,0,0,0,0,825,124,24,91,64,219,102,55,59,11,41,1,21,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Sporthal Beijum,0014::SB261,9737 BV,1185,434,1,1,0,0,0,412,24,0,0,0,0,0,0,436,53,6,38,57,97,54,31,48,5,30,1,11,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Activiteitencentrum Trefpunt,0014::SB262,9737 AB,1073,364,2,2,0,0,0,346,22,0,0,0,0,0,0,368,55,14,43,42,100,41,9,28,5,22,1,2,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Kentalis Tine Marcusschool,0014::SB263,9737 HK,936,555,0,3,0,0,0,522,36,0,0,0,0,0,0,558,98,25,45,67,124,60,31,31,18,34,1,6,15
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Buurtcentrum De Kleihorn,0014::SB264,9736 CT,1163,621,2,1,0,0,0,573,51,0,0,0,0,0,0,624,98,26,65,57,151,66,32,51,13,43,2,8,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Expeditie,0014::SB266,9736 PB,1493,587,7,3,0,0,0,552,45,0,0,0,0,0,0,597,82,15,59,65,147,74,28,58,13,25,4,10,7
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau De Heerdstee,0014::SB267,9736 EA,1164,422,2,0,0,0,0,400,24,0,0,0,0,0,0,424,71,16,40,41,87,57,18,36,8,35,3,7,3
