contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,Pro'98 (Pro Barneveld - PvdA - D66),ChristenUnie,VVD,Burger Initiatief
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Zorgcentrum ""Elim""",0203::SB11,3771 VB,1451,1156,1,3,0,0,0,988,172,0,0,0,0,0,0,1160,369,173,233,194,93,94
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Zorgcentrum ""Nebo""",0203::SB12,3771 HP,670,876,2,4,0,0,0,797,85,0,0,0,0,0,0,882,158,165,192,160,120,81
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Ds. J. Fraanjeschool loc. ""De Burgt""",0203::SB13,3772 TD,1104,764,0,1,0,0,0,642,122,0,0,0,0,0,0,764,239,76,152,156,87,54
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Tennisbaan De Watermolen,0203::SB14,3772 MB,1854,1047,1,2,0,0,0,894,157,0,0,0,1,0,1,1051,212,153,250,193,139,100
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Openbare Basisschool De Zandberg,0203::SB15,3771 KV,1652,928,1,0,0,0,0,821,108,0,0,0,0,0,0,929,179,157,292,132,72,96
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Gereformeerde Gemeente in Nederland,0203::SB16,3772 PP,1520,976,0,3,0,1,0,827,153,0,0,0,1,0,0,980,492,78,137,149,82,38
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Veluwehal Barneveld,0203::SB17,3771 CB,916,631,0,1,0,0,0,554,78,0,0,0,0,0,0,632,152,104,146,90,66,73
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Willem van Oranjeschool,0203::SB18,3773 AS,1305,563,1,0,0,0,0,495,69,0,0,0,0,0,0,564,131,77,90,187,37,41
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau PWA School, ingang Kindcentrum",0203::SB19,3772 EE,1269,519,2,3,0,0,0,442,82,0,0,0,0,0,0,524,100,58,145,101,48,67
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Dorpshuis ""De Belleman""",0203::SB20,3785 KT,911,650,0,1,1,0,0,570,80,0,0,1,0,0,0,650,128,265,41,77,109,30
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Evangeliegemeente de Kandelaar,0203::SB21,3781 TK,937,830,1,3,0,0,0,723,113,0,0,0,2,0,0,836,97,187,124,189,115,118
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Chr. Basissch. ""Dr.W. van den Bergh""",0203::SB22,3781 EJ,1182,797,6,0,0,0,0,736,67,0,0,0,0,0,0,803,65,196,122,171,110,133
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Woon en Zorgcentrum Nieuw Avondrust,0203::SB23,3781 GH,1030,821,0,7,0,0,0,747,81,0,0,0,0,0,0,828,78,183,150,169,96,145
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau (N.H.) Koningin Wilhelminaschool,0203::SB24,3781 GG,1168,721,0,0,0,0,0,622,99,0,0,0,0,0,0,721,98,152,106,151,125,89
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Kerkcentrum ""Odulf""",0203::SB25,3781 BX,1106,742,1,0,0,0,0,651,92,0,0,0,0,0,0,743,79,177,122,115,93,156
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Kerkelijk Centrum 't Kerkheem,0203::SB26,3781 GA,860,586,0,1,0,0,0,512,75,0,0,0,0,0,0,587,42,141,99,148,89,67
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Hervormde Gemeente Ichtuskerk,0203::SB27,3781 TE,857,354,0,1,0,0,0,318,37,0,0,0,0,0,0,355,23,79,56,82,60,54
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Kerkelijk Centrum Bethabara,0203::SB28,3781 GE,863,517,1,1,0,0,0,471,48,0,0,0,0,0,0,519,53,132,87,124,63,58
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Christelijke Basisschool ""De Bron""",0203::SB29,3776 MK,1178,839,0,3,0,0,0,710,132,0,0,0,0,0,0,842,223,141,93,148,139,95
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau School m/d Bijbel ""De Lichtboei""",0203::SB30,3774 BP,1209,1015,3,1,0,0,0,819,200,0,0,0,0,0,0,1019,526,112,44,157,110,66
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Koningin Beatrixschool,0203::SB31,3774 BG,1001,688,2,0,0,0,0,587,103,0,0,0,0,0,0,690,375,86,19,139,21,48
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Kulturhus De Essenburcht,0203::SB32,3774 DA,1335,1045,5,0,0,0,0,875,175,0,0,0,0,0,0,1050,604,119,39,168,43,72
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Dorpshuis ""De Koepel""",0203::SB33,3886 PA,913,645,0,0,0,0,0,554,91,0,0,0,0,0,0,645,204,81,88,70,129,73
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Dr. Kruimelstaete,0203::SB34,3886 ME,727,430,0,2,0,0,0,380,52,0,0,0,0,0,0,432,156,75,53,58,42,46
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Multifunctioneel Centrum Glindster,0203::SB35,3794 MZ,590,420,2,0,0,0,0,339,83,0,0,0,0,0,0,422,63,117,84,46,57,53
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Sportpark ""Overbeek""",0203::SB36,3784 WZ,1100,688,0,2,0,0,0,690,0,0,0,0,0,0,0,690,184,215,57,56,120,56
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Verenigingsgebouw ""De Kooi""",0203::SB37,3775 KP,211,144,0,0,0,0,0,129,15,0,0,0,0,0,0,144,20,29,32,28,20,15
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Mobiel Stembureau,0203::SB38,,0,343,1,1,0,0,0,301,44,0,0,0,0,0,0,345,56,57,101,69,25,35
