contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Hart voor Hilversum,SP (Socialistische Partij),CDA,GROENLINKS,ChristenUnie,Leefbaar Hilversum,Hilversum 1,Lijst Yilmaz
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Serviceflat 'Westerheem',0402::SB12,1215 EM,1252,822,4,2,0,0,0,756,72,0,0,0,0,0,0,828,198,135,69,99,69,100,46,57,19,29,1
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Bavinckschool,0402::SB13,1214 JS,1672,1163,4,1,0,0,0,1024,144,0,0,0,0,0,0,1168,351,178,116,132,78,89,70,65,28,47,9
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Violenschool,0402::SB14,1214 CJ,2141,870,4,5,0,0,0,773,106,0,0,0,0,0,0,879,203,91,90,176,105,44,59,40,30,24,8
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Intern. school (vh Rembr.sch.),0402::SB15,1213 BH,2412,1160,7,2,0,0,0,1070,100,0,1,0,1,0,0,1170,329,182,89,215,110,68,64,51,20,29,3
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Hilversumse School Vereniging,0402::SB16,1213 BM,957,640,1,0,0,0,0,558,84,0,0,0,1,0,0,642,209,153,44,90,25,54,36,12,9,8,0
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Wijkcentrum 'De Zoutkeet',0402::SB17,1215 PR,1525,841,2,5,0,0,0,804,44,0,0,0,0,0,0,848,185,122,56,136,86,81,52,39,38,36,10
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Verzorgingshuis 'Zuiderheide',0402::SB18,1215 KG,1990,952,2,2,0,0,0,879,77,0,0,0,0,0,0,956,184,138,77,117,124,131,34,83,38,22,4
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Zorgcentrum 'St. Carolus',0402::SB20,1215 AN,1846,1102,0,5,1,0,0,1022,90,0,5,0,5,0,0,1112,265,168,114,101,136,109,67,67,26,42,7
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Goudenregenschool,0402::SB21,1214 NC,2210,1110,2,2,0,1,0,1000,116,0,0,0,2,0,0,1116,240,164,93,130,141,87,112,55,31,53,4
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Woond.centr. 'De Egelantier',0402::SB22,1214 EH,2025,981,3,3,0,0,0,894,93,0,0,0,0,0,0,987,251,135,111,128,133,47,59,35,27,44,11
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Diependaalse Kerk,0402::SB23,1214 KE,2123,1294,1,2,0,1,0,1149,147,0,0,1,0,0,0,1296,371,383,84,96,59,128,59,56,22,36,0
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Woondienstencentrum Lopes Dias,0402::SB25,1222 VE,3076,1305,7,12,0,0,0,1206,119,0,0,0,1,0,0,1325,191,61,165,200,230,94,85,69,44,62,104
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Speeltuinver. Erfgooierskwartier,0402::SB27,1222 BC,1593,583,3,7,0,0,0,548,45,0,0,0,0,0,0,593,65,29,88,95,121,29,38,32,23,40,23
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Da Costaschool,0402::SB28,1222 LH,2002,1080,2,4,0,0,0,988,98,0,0,0,0,0,0,1086,229,154,121,157,110,107,60,69,24,34,15
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Van Leeuwenhoekschool,0402::SB29,1222 TJ,1723,1027,1,0,0,0,0,913,115,0,0,0,0,0,0,1028,256,153,89,156,125,69,53,47,25,44,10
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Scouting clubhuis 'De Orion',0402::SB30,1223 AJ,2098,1213,2,3,0,0,0,1102,117,0,0,0,1,0,0,1219,306,144,166,158,108,96,102,50,37,43,3
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Wijkcentrum De Geus,0402::SB31,1221 BV,2366,743,4,4,0,0,0,675,76,0,0,0,0,0,0,751,142,49,64,177,116,41,45,18,35,38,18
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Dudok Wonen,0402::SB32,1221 CN,2182,913,2,4,0,0,0,812,107,0,0,0,0,0,0,919,165,68,101,163,120,76,57,53,39,47,24
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Sportcafé 'De Lieberg',0402::SB33,1221 EM,1962,782,5,1,0,0,0,709,79,0,0,0,0,0,0,788,121,63,75,198,118,59,38,39,28,32,11
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Lorentzschool,0402::SB34,1223 HN,1925,1353,4,4,0,0,0,1217,144,0,0,0,0,0,0,1361,291,102,160,255,166,100,93,70,49,52,15
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Wijkcentrum 'St.Joseph',0402::SB35,1223 LD,2252,865,1,7,0,0,0,790,83,0,0,0,0,0,0,873,121,56,98,175,132,79,36,39,53,41,35
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Gebouw 'Rotor Media',0402::SB36,1223 RE,1961,681,3,0,0,0,0,614,70,0,0,0,0,0,0,684,91,36,71,166,125,45,29,23,36,23,36
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Evangelische Omroep,0402::SB37,1213 AC,1770,618,1,2,0,0,0,556,65,0,0,0,0,0,0,621,130,65,36,110,68,46,42,54,19,21,27
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Zorgcentrum 'Gooiers Erf',0402::SB38,1212 EM,1733,1117,2,11,0,4,0,1027,107,0,0,0,4,0,0,1134,185,143,107,197,137,122,57,58,46,34,31
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Wijkcentrum 'De Kruisdam',0402::SB39,1218 CB,1575,1232,4,7,0,0,0,1128,115,0,0,0,0,0,0,1243,336,128,114,189,188,114,49,38,44,24,8
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Gebouw 'T Luye Gat',0402::SB40,1218 CR,1778,777,2,2,0,0,0,705,76,0,0,0,0,0,0,781,253,86,97,86,97,45,42,35,19,17,0
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Station Hilversum,0402::SB41,,1,1300,14,8,0,0,0,1249,73,0,0,1,0,0,0,1322,361,124,137,197,169,61,109,59,48,25,10
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Ned. Inst. voor Beeld en Geluid,0402::SB42,1217 GP,594,329,1,0,0,0,0,286,44,0,0,0,0,0,0,330,90,56,36,41,29,28,19,12,8,9,1
