contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Inwonersbelang Hellevoetsluis,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,CDA,Democraten 66 (D66)
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Buiten Veste,0530::SB11,3224 HD,1303,295,1,4,0,1,0,280,21,0,0,0,1,0,0,301,156,31,51,16,23,18
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Schoollocatie Sterrenwacht,0530::SB12,3224 GM,1290,660,4,1,0,0,0,597,68,0,0,0,0,0,0,665,348,88,52,70,52,50
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Houthoeffe,0530::SB13,3225 AC,1378,592,2,6,0,0,0,533,67,0,0,0,0,0,0,600,331,72,51,57,48,33
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Schoollocatie,0530::SB14,3225 AJ,1325,270,5,5,0,0,0,250,30,0,0,0,0,0,0,280,138,28,35,20,25,24
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Zuidwester,0530::SB15,3224 AM,1326,438,4,2,0,0,0,399,45,0,0,0,0,0,0,444,221,74,54,35,34,20
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Tweemaster,0530::SB16,3225 PA,1413,528,2,4,0,0,0,490,44,0,0,0,0,0,0,534,274,50,57,49,65,33
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Locatie Careyn,0530::SB17,3225 GT,1184,291,3,1,0,0,0,264,31,0,0,0,0,0,0,295,153,44,25,26,29,14
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Kring,0530::SB18,3223 GE,1197,606,1,1,3,0,0,545,66,0,0,0,3,0,0,611,281,138,57,24,58,48
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Kring II,0530::SB19,3223 GE,1310,711,4,3,0,0,0,634,81,0,0,3,0,0,0,715,319,171,60,41,63,57
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,"Stembureau School Het Palet, loc Bonsenhoek",0530::SB20,3223 HR,1209,744,2,4,0,1,0,671,78,0,0,1,0,0,0,749,293,230,40,31,74,76
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Recreatiezaal Parkzicht 1,0530::SB21,3223 HZ,1178,530,0,2,0,1,0,481,52,0,0,0,1,0,0,533,225,136,44,17,61,47
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Sportlocatie (I),0530::SB22,3223 MA,1223,449,2,2,0,0,0,403,50,0,0,0,0,0,0,453,168,133,26,22,50,50
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Sportlocatie (II),0530::SB23,3223 MA,1204,707,1,2,0,1,0,624,85,0,0,1,0,0,0,709,240,237,32,43,53,102
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau De Rozenhoek,0530::SB24,3223 BL,1343,666,6,2,0,0,0,605,69,0,0,0,0,0,0,674,234,198,70,43,65,56
