contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,P.v.d.A.-GroenLinks,ChristenUnie/SGP,Politieke Unie (P.U.),ONS Noordoostpolder,Democraten 66 (D66),Partij van vrije Poldermensen (PvvP),SP (Socialistische Partij)
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau OJS de Zevensprong, Ellertsveld 15",0171::SB12,,1988,1149,3,0,0,0,0,1049,103,0,0,0,0,0,0,1152,279,124,108,176,82,123,101,58,98
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Buurthuis De Erven,Amstelland 2",0171::SB13,,1781,1253,4,3,0,0,0,1114,146,0,0,0,0,0,0,1260,286,176,71,222,107,141,110,64,76
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Dorpshuis de Bosfluiter, Amazonestr 46",0171::SB20,,1195,669,2,3,0,0,0,605,69,0,0,0,0,0,0,674,250,118,40,63,57,32,30,11,68
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Verz.huis Markehof,Walcherselaan 2",0171::SB21,,1475,834,1,1,0,0,0,773,64,0,1,0,1,0,0,837,254,59,56,99,187,56,48,12,63
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau CBS De Zeester, Noordzoom 119",0171::SB22,,1419,876,1,1,0,0,0,789,89,0,0,0,0,0,0,878,198,99,64,112,232,66,27,19,59
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Prot.centrum, Voorstraat 21",0171::SB23,,1114,698,2,3,0,0,0,660,43,0,0,0,0,0,0,703,149,69,68,75,158,41,57,17,64
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Steunpunt Ouderen, Baanhoek 21",0171::SB24,,1150,640,4,0,0,0,0,584,60,0,0,0,0,0,0,644,160,82,51,88,106,37,45,19,52
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau CBS het Lichtschip, Ingang EP Seidelstr.",0171::SB25,,1118,561,2,0,0,0,0,519,44,0,0,0,0,0,0,563,118,46,34,89,111,28,46,16,73
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Museum Nagele, Ring 23",0171::SB26,,1480,790,1,0,0,0,0,724,67,0,0,0,0,0,0,791,155,168,76,114,74,57,47,34,65
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau RK.parochiehuis, Vossenburcht 17",0171::SB27,,1601,967,0,1,0,0,0,968,0,0,0,0,0,0,0,968,233,110,41,346,82,58,39,11,47
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau MFC Mozaïek, Westerrand 42-44",0171::SB28,,1048,649,1,4,0,0,0,600,54,0,0,0,0,0,0,654,136,94,18,90,142,70,23,20,56
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Ontmoetingskerk, Galamalaan 35",0171::SB29,,1217,691,0,0,0,1,0,617,75,0,0,0,1,0,0,692,209,103,27,97,62,65,71,14,43
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Gymzaal de Kwartslag, Venelaan 3",0171::SB30,,1247,647,4,0,0,1,0,610,42,0,0,0,1,0,0,652,179,98,44,69,104,36,25,18,74
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Bantsiliek , Zuidwend 2",0171::SB31,,1007,612,0,1,0,0,0,551,62,0,0,0,0,0,0,613,133,81,44,45,100,30,117,22,40
