contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Inwonersbelangen,Progressief Woerden (PvdA/GroenLinks),Democraten 66 (D66),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),STERK Woerden (SW),LijstvanderDoes
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Chr. Margrietschool,0632::SB20,3446 DR,1437,1079,1,1,0,0,0,969,112,0,0,0,0,0,0,1081,186,166,110,139,190,93,24,69,102
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau De Regenboogschool,0632::SB21,3446 JG,1380,814,1,1,0,0,0,734,83,0,1,0,1,0,0,817,139,154,89,78,187,23,12,34,98
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Minkema College,0632::SB22,3446 GL,931,464,2,0,0,0,0,417,49,0,0,0,0,0,0,466,91,41,60,48,89,16,28,35,56
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau MFC Milandhof,0632::SB23,3474 KC,1767,1171,2,2,0,0,0,1032,143,0,0,0,0,0,0,1175,560,63,35,39,65,181,108,36,84
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau RK-parochiecentrum Kanis,0632::SB24,3471 GT,772,488,0,2,0,0,0,438,52,0,0,0,0,0,0,490,156,34,53,23,37,50,80,8,47
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau MFC De Schulenburch,0632::SB25,3471 EJ,1071,835,1,0,0,0,0,763,73,0,0,0,0,0,0,836,235,55,54,80,80,138,66,24,103
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,"Stembureau Elim, Hervormd Centrum",0632::SB26,3471 CM,930,463,0,1,0,0,0,425,39,0,0,0,0,0,0,464,164,22,23,26,28,99,55,6,40
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Huize Gaza,0632::SB27,3481 EC,1265,739,2,2,0,0,0,674,69,0,0,0,0,0,0,743,194,95,178,67,95,33,28,18,31
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau PC De Fontein,0632::SB28,3481 GH,1284,590,3,1,0,0,0,527,65,0,0,2,0,0,0,592,118,58,161,86,77,30,7,23,30
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,"Stembureau 'Het Trefpunt', Centrum NH Kerk",0632::SB29,3481 XA,1165,884,1,0,0,0,0,779,106,0,0,0,0,0,0,885,198,104,225,88,113,44,49,37,26
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Bibliotheek Harmelen,0632::SB30,3481 CS,1178,672,2,2,0,0,0,608,67,0,0,1,0,0,0,675,133,81,182,86,107,32,6,36,9
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Recreatiecentrum H2O,0632::SB31,3481 WE,1427,770,0,3,0,0,0,698,75,0,0,0,0,0,0,773,166,103,197,86,86,36,11,58,27
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,"Stembureau Station Woerden, mobiel stembureau",0632::SB32,3446 GM,0,720,3,3,0,0,0,676,50,0,0,0,0,0,0,726,86,75,62,150,167,50,35,48,47
