contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),Gemeentebelangen Bronckhorst (GBB),SGP/ChristenUnie
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Café-restaurant Nijhof / Halle,1876::SB11,7025 AA,1153,574,5,0,0,0,0,537,42,0,0,0,0,0,0,579,163,110,67,39,74,97,24
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Zorgcentrum De  Zonnekamp / Zelhem,1876::SB12,7021 ZX,1420,728,2,2,0,0,0,696,36,0,0,0,0,0,0,732,203,79,153,33,58,173,29
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Voorm. Jan Ligthartschool / Zelhem,1876::SB13,7021 DL,1397,736,5,1,0,0,0,689,53,0,0,0,0,0,0,742,162,95,135,50,63,194,37
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Kulturhus Vorden,1876::SB14,7251 AB,1529,1111,2,3,0,0,0,1044,72,0,0,0,0,0,0,1116,313,194,173,112,174,108,37
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Basisschool Het Hoge / Vorden,1876::SB15,7251 XX,1430,710,2,0,0,0,0,649,63,0,0,0,0,0,0,712,187,155,117,68,109,66,8
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Basisschool De Vordering / Vorden,1876::SB16,7251 BH,1587,973,6,10,0,0,0,929,60,0,0,0,0,0,0,989,227,227,161,89,166,88,15
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Basisschool De Kraanvogel / Vorden,1876::SB17,7251 LT,1026,561,3,0,0,0,0,492,72,0,0,0,0,0,0,564,182,137,39,66,78,49,10
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Ludgerusgebouw / Vierakker,1876::SB18,7233 SH,1102,691,6,3,0,0,0,638,62,0,0,0,0,0,0,700,249,171,59,64,77,61,10
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Sporthal / Steenderen,1876::SB19,7201 BA,981,602,7,1,0,0,0,559,51,0,0,0,0,0,0,610,145,108,95,93,59,95,7
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Zaal Kraantje Lek / Olburgen,1876::SB20,7225 NA,282,174,1,1,0,0,0,160,16,0,0,0,0,0,0,176,62,30,17,16,22,25,2
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Basisschool De Rank / Toldijk,1876::SB21,7227 DC,702,468,1,0,0,0,0,413,56,0,0,0,0,0,0,469,199,101,36,21,56,43,12
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Zaal Herfkens / Baak,1876::SB22,7223 DJ,887,560,3,1,0,0,0,521,43,0,0,0,0,0,0,564,194,96,64,69,60,63,14
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Zorgbad Zonnewater,1876::SB23,6997 AH,883,571,2,2,0,0,0,520,55,0,0,0,0,0,0,575,98,132,60,114,101,53,13
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Zorgcentrum Hyndendael / Hummelo,1876::SB24,6999 AN,1277,787,1,7,0,0,0,727,68,0,0,0,0,0,0,795,321,129,111,48,92,66,20
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Kulturhus / Drempt,1876::SB25,6996 AJ,855,472,4,2,0,0,0,439,39,0,0,0,0,0,0,478,140,88,60,53,48,71,12
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Willibrorduskerk / Drempt,1876::SB26,6996 DD,512,303,0,2,0,0,0,281,24,0,0,0,0,0,0,305,153,42,23,17,28,37,3
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Basisschool De Steenuil /Steenderen,1876::SB27,7221 BH,979,598,2,3,0,0,0,544,59,0,0,0,0,0,0,603,175,103,95,64,60,92,9
