contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,CPB (Christelijke Partij Burgerbelangen),BuitenGewoon Leefbaar,ChristenUnie,Democraten 66 (D66)
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Willemsoord, MFC et Kloniehuus",1708::SB11,8338 ST,1025,502,0,0,0,0,0,467,35,0,0,0,0,0,0,502,87,96,60,20,162,20,57
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Onna, Dorpshuis",1708::SB12,8344 XR,1006,436,3,0,0,0,0,397,42,0,0,0,0,0,0,439,57,84,64,13,134,32,52
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Eesveen, De Driesprong",1708::SB13,8347 JP,727,385,6,2,0,0,0,357,36,0,0,0,0,0,0,393,77,60,100,12,77,24,35
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijkerwold, MFC Hoogthij",1708::SB14,8341 SC,1663,1011,4,1,0,0,0,936,80,0,0,0,0,0,0,1016,149,145,79,25,504,39,70
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Kallenkote, Dorpshuis",1708::SB15,8345 HH,288,183,1,0,0,0,0,165,19,0,0,0,0,0,0,184,18,35,31,11,63,12,13
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Vollenhove, Oranjerie",1708::SB16,8325 AZ,1190,655,0,2,0,0,0,593,64,0,0,0,0,0,0,657,112,86,20,286,79,56,16
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Vollenhove, Tilvoorde",1708::SB17,8325 BA,947,540,1,0,0,0,0,486,55,0,0,0,0,0,0,541,78,76,19,217,76,51,23
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Vollenhove, Nieuw Clarenberg",1708::SB18,8325 AZ,970,741,3,3,0,0,0,689,58,0,0,0,0,0,0,747,103,129,23,248,90,103,45
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau St Jansklooster, Sint Janskamp",1708::SB19,8326 BZ,1175,759,1,7,0,0,0,681,86,0,0,0,0,0,0,767,22,58,22,382,55,195,25
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Kadoelen, Vrijgemaakte Ger Kerk",1708::SB20,8326 AV,734,498,0,0,0,0,0,444,54,0,0,0,0,0,0,498,13,42,6,147,32,242,16
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Belt-Schutsloot, Dorpshuis",1708::SB21,8066 PT,435,328,0,0,0,0,0,311,17,0,0,0,0,0,0,328,9,10,17,173,75,31,13
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Wanneperveen, Dorpshuis",1708::SB22,7946 AP,1352,731,2,3,0,0,0,682,54,0,0,0,0,0,0,736,100,85,105,201,143,41,56
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Giethoorn, Zonnewiede",1708::SB23,8355 BB,945,609,1,1,0,0,0,536,75,0,0,0,0,0,0,611,108,57,118,34,190,8,94
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Giethoorn, Kantine SV Giethoorn",1708::SB24,8355 BL,1042,555,1,1,0,0,0,492,65,0,0,0,0,0,0,557,102,99,78,25,147,25,79
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Dwarsgracht, Dorpshuis",1708::SB25,8355 CT,151,123,0,0,0,0,0,109,14,0,0,0,0,0,0,123,8,19,22,20,34,6,14
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Blokzijl, De Ploats",1708::SB26,8356 DB,1108,691,2,1,0,0,0,625,69,0,0,0,0,0,0,694,78,115,69,216,110,32,71
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Oldemarkt, Zalencentrum  Dalzicht",1708::SB27,8375 AH,1301,842,3,3,0,0,0,780,68,0,0,0,0,0,0,848,81,186,65,18,404,41,47
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Oldemarkt, Landerijen",1708::SB28,8375 CD,1059,618,3,1,0,0,0,566,56,0,0,0,0,0,0,622,57,139,53,20,289,17,43
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Ossenzijl, Dorpshuis",1708::SB29,8376 HX,460,272,1,0,0,0,0,241,32,0,0,0,0,0,0,273,17,34,16,1,132,35,37
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Kalenberg, KGH",1708::SB30,8377 HL,188,110,1,0,0,0,0,98,13,0,0,0,0,0,0,111,17,12,13,1,36,6,25
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Scheerwolde, Streekcentrum",1708::SB31,8371 WJ,594,392,1,0,0,0,0,345,48,0,0,0,0,0,0,393,38,108,65,30,92,28,31
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Kuinre, Dorpshuis",1708::SB32,8374 KC,698,427,1,1,0,0,0,380,49,0,0,0,0,0,0,429,38,56,13,164,125,17,14
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Blankenham, Dorpshuis",1708::SB33,8373 EJ,277,207,0,0,0,0,0,187,20,0,0,0,0,0,0,207,20,42,20,43,32,6,44
