contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Capelle,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),CDA,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,SP (Socialistische Partij),CAPELLE.Nu!
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Wooncomplex ""Spinoza""",0502::SB17,2907 KE,1965,642,1,3,0,0,0,587,59,0,0,0,0,0,0,646,264,85,45,65,19,2,31,96,35
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Ontmoetingsruimte De Vogeltuinen,0502::SB18,2908 CC,1577,548,3,3,0,0,0,503,51,0,0,0,0,0,0,554,239,65,47,54,23,7,38,60,15
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Ontmoetingsruimte De Vogeltuinen,0502::SB19,2908 CC,1420,694,5,1,0,0,0,622,78,0,0,0,0,0,0,700,292,88,53,74,22,22,35,85,23
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Serviceflat ""Bermensteyn"",",0502::SB20,2907 GH,1369,830,3,4,0,0,0,771,66,0,0,0,0,0,0,837,318,99,79,106,55,14,65,73,21
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Buurtcentrum (hoofdingang),0502::SB21,2907 BD,1684,651,6,0,0,0,0,593,64,0,0,0,0,0,0,657,254,64,41,91,18,11,42,90,40
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Buurtcentrum (hoofdingang),0502::SB22,2907 BD,1463,752,6,1,0,0,0,691,68,0,0,0,0,0,0,759,339,79,67,96,26,6,39,64,36
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Ref.basisschool ""Rehoboth""",0502::SB23,2907 TK,1790,686,8,2,0,0,0,606,90,0,0,0,0,0,0,696,228,72,58,76,23,48,47,109,25
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Kerkgebouw "" De Voorhof""",0502::SB24,2907 LA,1161,672,0,2,0,0,0,576,98,0,0,0,0,0,0,674,134,51,103,92,67,141,62,18,4
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Schenkelkerk,0502::SB25,2906 LA,1602,783,3,0,0,0,0,684,102,0,0,0,0,0,0,786,184,63,62,39,50,247,54,72,12
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Serviceflat ""Schinckelhove""",0502::SB26,2906 AA,1471,765,4,1,0,0,0,685,85,0,0,0,0,0,0,770,243,108,35,76,51,89,48,83,32
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau IJsselland Ziekenhuis,0502::SB27,2906 RN,1215,805,2,4,0,0,0,720,91,0,0,0,0,0,0,811,200,88,112,149,57,42,85,66,6
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Verpleeghuis ""Rijckehove""",0502::SB28,2901 HM,1838,1080,3,0,0,0,0,956,127,0,0,0,0,0,0,1083,351,123,156,171,61,52,60,92,14
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Chr.basisschool ""De Fontein""",0502::SB29,2901 CN,1898,1092,4,3,0,0,0,948,151,0,0,0,0,0,0,1099,315,96,149,136,62,108,136,84,6
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau O.B.S. ""West""",0502::SB30,2901 GA,1729,986,0,3,0,1,0,846,144,0,0,0,1,0,0,990,322,103,161,194,41,31,51,73,10
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Moriakerk,0502::SB31,2901 AJ,1794,736,0,1,0,0,0,621,116,0,0,0,0,0,0,737,178,77,95,74,25,178,52,49,8
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau MFC Fascinatio,0502::SB32,2909 PK,2025,831,4,5,0,0,0,734,106,0,0,0,0,0,0,840,207,127,148,186,30,10,38,64,21
