contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),GROENLINKS,Leefbaar Almere,SP (Socialistische Partij),CDA,ChristenUnie,Almere Liberaal,Almere Partij/OPA,Klimaat en Omgevings Partij Almere (KOP),13,De Partij van de Dialoog,Groen Liberaal
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Porto-cabin nabij Pimpernelstraat 32,0034::SB25,,1299,475,2,4,0,0,0,431,50,0,0,0,0,0,0,481,138,68,32,41,16,43,59,18,17,8,20,2,1,7,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Driemaster I,0034::SB26,,1532,686,2,3,0,0,0,629,62,0,0,0,0,0,0,691,176,77,43,76,32,82,75,32,37,6,24,8,0,6,12
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Spectrum I,0034::SB27,,1619,898,5,5,0,0,0,842,67,0,1,0,1,0,0,909,143,76,116,165,54,132,75,31,39,19,11,18,1,6,12
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Ichthus,0034::SB28,,1033,349,0,2,0,0,0,312,39,0,0,0,0,0,0,351,78,33,41,48,11,52,39,18,10,2,9,6,0,1,1
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Argonaut (voorheen Waterhoek),0034::SB29,,2333,993,7,3,1,0,0,900,102,0,0,1,0,1,0,1002,257,129,51,88,40,131,132,37,42,9,45,10,6,3,13
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Zeetuin,0034::SB30,,857,427,5,5,0,0,0,403,34,0,0,0,0,0,0,437,124,46,31,53,8,36,51,23,12,7,20,12,1,0,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Montessorischool Buiten,0034::SB31,,1172,482,3,1,0,0,0,441,45,0,0,0,0,0,0,486,121,75,30,37,15,56,67,14,20,7,14,6,13,1,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Tjasker,0034::SB32,,1668,801,5,5,0,0,0,748,63,0,0,0,0,0,0,811,180,84,85,99,36,102,88,32,29,9,23,10,1,1,22
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Hasselbraam,0034::SB33,,1684,758,1,3,0,0,0,674,88,0,0,0,0,0,0,762,173,112,95,113,27,74,65,22,37,9,16,2,0,4,9
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum De Wieken,0034::SB34,,1637,693,8,6,0,0,0,610,97,0,0,0,0,0,0,707,178,102,36,74,32,59,102,25,33,5,17,18,4,0,8
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Zorgcentrum De Kiekendief,0034::SB35,,1169,458,5,2,0,0,0,426,39,0,0,0,0,0,0,465,100,81,17,45,17,49,69,26,19,11,17,5,1,1,0
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Centrum Verpleeghuiszorg Polderburen,0034::SB36,,1240,443,0,2,0,0,0,412,33,0,0,0,0,0,0,445,110,59,36,50,17,64,37,32,15,4,8,4,0,0,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Heliotroop,0034::SB37,,1251,852,3,1,0,0,0,772,84,0,0,0,0,0,0,856,210,106,82,111,39,101,81,32,31,13,18,6,1,8,13
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Taalcentrum Almere (v.h De Peperbus),0034::SB38,,1237,666,1,1,0,0,0,614,54,0,0,0,0,0,0,668,158,70,60,99,36,89,62,28,10,19,18,5,0,7,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Oase,0034::SB39,,1057,519,0,1,0,0,0,467,53,0,0,0,0,0,0,520,117,48,53,75,17,69,37,27,28,14,16,9,1,2,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Duizendpoot,0034::SB40,,1524,843,3,4,0,0,0,759,92,0,0,0,1,0,0,851,177,91,92,121,30,118,91,46,28,16,20,10,0,0,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum Parkwijk,0034::SB41,,715,871,4,4,0,0,0,780,99,0,0,0,0,0,0,879,168,95,93,138,44,93,72,53,43,23,23,15,0,3,8
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Dependance school De Buitenburcht,0034::SB42,,1948,852,4,3,0,0,0,792,67,0,0,0,0,0,0,859,225,90,55,104,36,76,119,37,31,31,26,5,1,3,13
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Boventoon,0034::SB43,,1448,607,0,0,0,0,0,542,65,0,0,0,0,0,0,607,116,80,62,92,29,67,66,25,29,13,16,10,0,0,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum 't Kardoes,0034::SB44,,1644,494,0,8,0,0,0,455,47,0,0,0,0,0,0,502,93,114,24,76,27,37,58,15,20,8,13,3,2,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Zorgcentrum Buitenhaeghe,0034::SB45,,1428,543,1,3,0,0,0,504,44,0,0,0,1,0,0,548,114,83,29,54,16,43,60,40,38,11,27,12,2,0,14
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Schoolgebouw Walt Disneyplantsoen 88,0034::SB46,,1624,518,4,1,0,0,0,476,47,0,0,0,0,0,0,523,112,64,67,68,26,51,46,28,24,8,12,3,2,0,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Wooncentrum De Rotonde,0034::SB47,,1279,623,1,3,0,0,0,572,55,0,0,0,0,0,0,627,154,78,54,73,11,100,57,36,24,7,19,9,0,0,1
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Montessorischool,0034::SB48,,1451,564,4,1,0,0,0,511,58,0,0,0,0,0,0,569,158,76,41,88,12,57,55,25,12,6,18,6,1,0,9
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Torteltuin,0034::SB49,,1959,1076,5,4,0,0,0,973,112,0,0,0,0,0,0,1085,197,94,115,166,52,151,95,45,68,36,22,23,2,3,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Lichtboei,0034::SB50,,1140,625,1,3,0,0,0,556,73,0,0,0,0,0,0,629,109,66,81,116,28,76,33,39,34,13,9,12,1,1,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Syncope I,0034::SB51,,1404,693,0,5,0,0,0,609,89,0,0,0,0,0,0,698,146,60,100,140,28,74,49,38,24,13,7,9,1,1,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Vedelaar,0034::SB52,,1602,667,1,2,0,0,0,608,62,0,0,0,0,0,0,670,133,83,69,116,30,73,69,33,11,12,15,12,4,2,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,"Stembureau De Toonladder, gebouw De Concertmeester",0034::SB53,,1597,988,3,2,0,0,0,901,92,0,0,0,0,0,0,993,215,120,83,139,50,99,98,71,42,16,35,13,1,0,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Dependance school De Kraanvogel I,0034::SB54,,2072,704,2,3,0,0,0,635,74,0,0,0,0,0,0,709,159,109,75,91,31,61,58,30,51,11,21,3,0,1,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Albatros,0034::SB55,,1517,1029,5,12,0,0,0,907,139,0,0,0,0,0,0,1046,179,123,130,193,39,115,90,34,40,24,25,22,1,0,14
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Bommelstein I,0034::SB56,,1007,549,3,3,0,0,0,504,51,0,0,0,0,0,0,555,122,43,50,77,30,77,54,28,23,10,14,13,0,1,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,"Stembureau School 't Zonnewiel, ingang t/o Sporthal",0034::SB57,,1223,770,0,1,0,0,0,679,92,0,0,0,0,0,0,771,110,93,104,129,29,99,66,57,30,21,17,8,0,1,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Polygoon I,0034::SB58,,1231,697,3,3,0,0,0,538,59,0,0,106,0,0,0,597,104,91,96,120,69,78,62,24,19,5,6,17,1,1,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum Het Forum,0034::SB59,,1525,786,4,3,0,0,0,713,80,0,0,0,0,0,0,793,179,102,61,78,48,85,77,34,51,18,23,15,0,0,15
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Bombardon,0034::SB60,,1578,802,4,3,2,0,0,726,85,0,0,0,2,0,0,811,150,95,126,114,41,74,56,42,61,18,9,13,1,0,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Filmwijkcentrum,0034::SB61,,1540,979,4,7,0,0,0,891,99,0,0,0,0,0,0,990,201,127,115,117,53,86,98,44,53,20,14,10,1,3,37
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Aurora I,0034::SB62,,1858,959,1,5,0,0,0,881,84,0,0,0,0,0,0,965,186,95,103,160,35,98,73,56,76,18,21,12,1,2,23
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Dependance School de Kraanvogel II,0034::SB63,,1429,726,3,2,0,0,0,641,90,0,0,0,0,0,0,731,181,75,74,89,37,71,83,29,51,5,19,3,0,0,9
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Stichting Stad & Natuur,0034::SB64,,1176,764,1,1,0,0,0,654,112,0,0,0,0,0,0,766,114,29,275,107,34,58,23,66,13,21,7,10,0,1,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Kraanvogel,0034::SB65,,1028,420,1,2,0,0,0,366,57,0,0,0,0,0,0,423,55,43,78,83,21,42,25,26,21,5,10,9,0,0,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum Viplounge,0034::SB66,,1721,752,3,1,0,0,0,675,81,0,0,0,0,0,0,756,118,116,143,131,44,59,52,25,28,11,3,1,3,6,12
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Kindercentrum Almere,0034::SB67,,1492,356,0,0,0,0,0,313,43,0,0,0,0,0,0,356,55,46,65,74,18,26,22,12,20,7,2,4,1,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Egelantier I,0034::SB68,,1372,412,1,3,0,0,0,353,63,0,0,0,0,0,0,416,80,61,56,66,12,42,30,13,25,4,6,6,0,0,11
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Omnibus,0034::SB69,,1245,724,1,3,0,0,0,645,83,0,0,0,0,0,0,728,123,58,186,126,25,59,33,55,15,16,15,3,0,1,9
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Letterland,0034::SB70,,1405,667,5,2,0,0,0,588,86,0,0,0,0,0,0,674,111,149,74,125,34,37,43,30,27,8,16,1,1,0,11
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Palet,0034::SB71,,1144,906,7,5,0,0,0,799,119,0,0,0,0,0,0,918,195,131,111,122,39,87,75,25,48,17,40,6,2,1,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Optimist I,0034::SB72,,1170,681,5,3,0,0,0,609,80,0,0,0,0,0,0,689,140,92,77,117,22,58,73,27,34,10,17,5,0,1,8
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Archipel I,0034::SB73,,1524,694,6,6,0,0,0,622,84,0,0,0,0,0,0,706,136,119,97,128,25,61,48,25,14,12,12,7,3,0,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Egelantier II,0034::SB74,,1365,664,3,5,0,0,0,573,99,0,0,0,0,0,0,672,136,98,77,101,17,64,57,35,31,20,16,6,0,1,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum De Cobra,0034::SB75,,1006,337,0,2,0,0,0,307,32,0,0,0,0,0,0,339,63,38,39,47,16,42,34,22,16,4,9,0,5,0,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Brede school Het Meesterwerk,0034::SB76,,1376,653,0,2,0,0,0,561,94,0,0,0,0,0,0,655,124,100,94,88,30,63,60,32,29,10,14,5,0,2,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Archipel II,0034::SB77,,1332,665,1,1,0,0,0,583,84,0,0,0,0,0,0,667,134,90,109,122,26,67,44,14,22,11,12,4,0,0,10
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtontmoetingscentrum Het Boegbeeld,0034::SB78,,1362,515,2,5,0,0,0,466,56,0,0,0,0,0,0,522,91,82,57,80,29,57,57,13,13,8,14,7,2,2,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Gebouw De Compositie,0034::SB79,,1019,584,1,4,3,0,0,516,70,0,0,3,0,0,0,586,129,73,109,102,20,37,35,39,19,6,7,3,0,0,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Avontuur,0034::SB80,,1779,834,4,2,0,0,0,744,96,0,0,0,0,0,0,840,178,94,120,124,33,98,81,30,22,17,9,9,2,3,14
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurthuis De Cartoon,0034::SB81,,1325,692,2,2,0,0,0,616,80,0,0,0,0,0,0,696,148,58,107,97,36,65,57,43,29,14,9,12,3,1,13
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Windwijzer,0034::SB82,,1511,968,2,1,0,0,0,837,133,0,0,0,0,1,0,970,187,83,259,170,28,82,35,42,27,23,17,6,0,0,9
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Kristal,0034::SB83,,1575,535,2,1,0,0,0,482,56,0,0,0,0,0,0,538,127,66,52,61,22,56,51,42,28,9,12,2,0,1,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Flevoziekenhuis,0034::SB84,,1004,889,1,3,0,0,0,816,78,0,1,0,1,0,0,894,175,104,109,123,39,113,95,50,29,18,18,7,0,3,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Panta Rhei,0034::SB85,,1023,726,2,2,0,0,0,648,82,0,0,0,0,0,0,730,192,57,71,82,37,89,90,24,20,30,21,7,0,0,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Kerkcentrum Goede Rede,0034::SB86,,1133,701,0,5,0,0,0,637,69,0,0,0,0,0,0,706,210,69,38,54,37,130,81,18,15,7,21,11,1,1,8
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Waterspiegel,0034::SB87,,1278,309,1,2,0,0,0,265,47,0,0,0,0,0,0,312,61,43,20,38,12,23,25,14,63,3,5,1,0,0,1
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Syncope II,0034::SB88,,1447,578,0,1,0,0,0,516,63,0,0,0,0,0,0,579,97,65,88,92,40,75,45,29,11,13,10,6,1,2,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Dukdalf,0034::SB89,,1380,562,3,5,0,0,0,489,81,0,0,0,0,0,0,570,125,87,80,67,16,50,55,30,28,9,3,5,1,0,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Digitalis II,0034::SB90,,1271,425,9,1,0,0,0,384,52,0,1,0,1,0,0,436,79,53,29,73,18,52,46,29,14,9,11,5,1,1,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Gezondheidscentrum Archipel,0034::SB91,,1449,598,0,5,0,0,0,535,68,0,0,0,0,0,0,603,119,102,59,92,23,47,57,31,25,7,27,5,0,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Aurora II,0034::SB92,,1813,773,5,4,0,0,0,699,83,0,0,0,0,0,0,782,156,122,94,126,31,67,53,38,32,18,14,7,1,3,11
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Optimist II,0034::SB93,,1256,483,1,5,0,0,0,424,65,0,0,0,0,0,0,489,102,55,57,56,14,61,62,28,20,5,11,7,0,0,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Gebouw 's-Heerenloo I,0034::SB94,,1402,309,3,2,0,0,0,278,36,0,0,0,0,0,0,314,75,50,40,39,12,26,28,12,13,2,8,0,0,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Architect,0034::SB95,,1204,526,3,3,0,0,0,475,57,0,0,0,0,0,0,532,130,54,38,52,18,81,56,23,20,19,9,18,0,1,7
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Clubhuis Watersportvereniging WSVNPW,0034::SB96,,1591,554,2,1,0,0,0,475,83,0,1,0,1,0,0,558,101,42,148,107,19,36,34,28,12,14,6,0,1,1,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Station NS Almere Muziekwijk,0034::SB97,,0,780,0,4,0,0,0,725,59,0,0,0,0,0,0,784,124,146,63,130,61,78,74,29,20,17,16,9,4,1,8
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Portocabin Station NS Almere Centrum,0034::SB98,,0,965,8,7,0,0,0,903,79,0,0,0,2,0,2,982,190,143,89,153,62,91,108,25,37,19,20,9,1,2,16
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Bibliotheek Almere Stad,0034::SB99,,0,270,1,2,0,0,0,250,23,0,0,0,0,0,0,273,33,31,38,52,17,34,25,5,9,6,7,5,2,0,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Happy Kids Almere,0034::SB100,,1377,516,1,3,0,0,0,456,64,0,0,0,0,0,0,520,73,48,85,88,25,72,35,29,20,14,10,13,0,1,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Sporthal Indische Buurt,0034::SB101,,1350,296,4,3,0,0,0,257,46,0,0,0,0,0,0,303,61,42,37,37,17,28,31,16,13,5,4,0,0,0,5
