contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Leefbaar Apeldoorn,Democraten 66 (D66),Gemeentebelangen,ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Progressief Sociaal Apeldoorn (PSA),Verenigde Senioren Partij,Hart voor Apeldoorn/OPA,14
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum De Veenkamp,0200::SB21,,1535,954,5,3,0,0,0,862,100,0,0,0,0,0,0,962,127,104,90,70,142,36,142,68,39,46,20,32,37,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Wijkcentrum De Groene Hoven,0200::SB22,,1479,981,1,3,0,0,0,885,100,0,0,0,0,0,0,985,138,113,102,75,171,40,146,58,42,31,19,34,12,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Open Hofkerk,0200::SB23,,1256,620,1,1,0,0,0,575,47,0,0,0,0,0,0,622,106,51,79,44,64,29,74,43,39,36,20,24,9,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zorggroep Apeldoorn Casa Bonita,0200::SB24,,1525,721,3,2,0,0,0,666,60,0,0,0,0,0,0,726,85,77,70,37,131,44,126,46,41,27,12,18,7,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Sporthal Welgelegen(voorheen Dynamo),0200::SB25,,1155,521,0,1,0,0,0,485,39,0,2,0,2,0,0,524,59,61,49,40,87,33,65,56,16,29,8,8,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Prinses Beatrixschool,0200::SB26,,874,498,2,0,0,0,0,437,63,0,0,0,0,0,0,500,101,85,30,25,86,18,34,13,53,26,7,12,6,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Kantine WWNA,0200::SB27,,834,431,0,0,0,0,0,374,56,0,0,1,0,1,0,430,62,96,16,30,87,8,38,18,24,27,6,9,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau PC Montessorischool Passe-Partout,0200::SB28,,1612,851,0,1,0,0,0,774,78,0,0,0,0,0,0,852,64,161,84,71,170,44,92,58,25,29,17,23,10,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zaal achter Julianakerk,0200::SB29,,956,784,8,3,0,0,0,740,55,0,0,0,0,0,0,795,114,104,73,68,132,35,100,50,32,33,13,22,8,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Zonnewende,0200::SB30,,1381,650,0,0,0,0,0,576,74,0,0,0,0,0,0,650,76,95,77,51,132,40,75,31,16,12,18,14,13,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Eben-Haezerkerk,0200::SB31,,1551,743,0,0,0,0,0,693,51,0,1,0,1,0,0,744,87,65,53,59,105,38,140,39,41,32,13,54,17,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Geref. Basisschool 't Schrijvertje,0200::SB32,,1494,606,2,3,0,0,0,546,65,0,0,0,0,0,0,611,30,17,117,34,51,72,124,21,37,33,27,27,16,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Veluwse College Mheenpark,0200::SB33,,1179,701,1,0,0,0,0,629,73,0,0,0,0,0,0,702,98,77,67,56,107,35,94,40,40,37,13,30,6,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Ichthusschool,0200::SB34,,1593,914,3,2,1,0,0,840,80,0,0,0,1,0,0,920,117,61,92,94,137,50,123,66,26,53,30,41,22,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau GGNet (Spatie),0200::SB35,,1763,900,0,0,0,0,0,816,84,0,0,0,0,0,0,900,128,125,62,68,178,51,127,43,52,30,12,12,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Bundel,0200::SB36,,1446,907,0,0,0,0,0,815,92,0,0,0,0,0,0,907,117,122,96,78,157,55,120,32,29,39,26,23,12,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Kantine ZVV,0200::SB37,,1372,315,0,0,0,0,0,288,27,0,0,0,0,0,0,315,36,31,40,26,52,31,44,13,9,7,8,12,6,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon-Zorgcentrum Kon. Wilhelmina,0200::SB38,,1272,1011,2,5,0,0,0,931,87,0,0,0,0,0,0,1018,145,79,117,68,129,78,167,37,65,40,29,45,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Dr. Martin Luther Kingschool,0200::SB39,,1332,498,1,0,0,0,0,451,48,0,0,0,0,0,0,499,56,30,85,30,76,38,56,31,20,30,14,21,11,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Verzorgingshuis Talma Borgh,0200::SB40,,1541,1033,8,1,0,0,0,957,85,0,0,0,0,0,0,1042,135,125,82,100,175,50,143,37,52,46,39,33,16,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Het Atrium,0200::SB41,,1326,607,3,1,0,0,0,550,61,0,0,0,0,0,0,611,48,34,180,42,69,50,61,29,14,27,23,17,10,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau PCBS De Regenboog-Woudhuis,0200::SB42,,1626,690,2,2,0,0,0,619,75,0,0,0,0,0,0,694,109,94,60,67,124,25,84,27,18,30,19,12,20,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Buurthuis Ons Huus,0200::SB43,,607,345,3,0,0,0,0,302,46,0,0,0,0,0,0,348,120,49,7,23,18,22,20,15,46,13,2,6,2,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Horst,0200::SB44,,1466,732,1,4,0,0,0,674,63,0,0,0,0,0,0,737,49,41,88,78,94,50,122,42,22,50,32,43,16,5
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Klootschietvereniging Het Woudhuis,0200::SB45,,1614,824,1,1,0,0,0,733,93,0,0,0,0,0,0,826,102,177,60,55,149,52,100,43,34,21,13,10,8,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau BSO De Zonnehoek,0200::SB46,,1555,761,1,1,0,0,0,698,65,0,0,0,0,0,0,763,71,41,104,68,111,36,103,70,30,51,17,28,30,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum Berghorst,0200::SB47,,1027,520,0,0,0,0,0,473,47,0,0,0,0,0,0,520,65,41,49,58,91,23,67,26,19,25,16,30,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Obs. De Kosmos,0200::SB48,,1271,785,1,2,0,0,0,722,66,0,0,0,0,0,0,788,91,59,63,87,130,42,103,70,22,35,31,21,29,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Schakel- RK-school loc.Muntersdonk,0200::SB49,,1394,653,0,1,0,0,0,602,52,0,0,0,0,0,0,654,78,44,45,59,89,44,134,41,20,40,23,18,16,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Regenboog,0200::SB50,,1471,750,2,0,0,0,0,700,57,0,0,0,5,0,0,757,87,92,68,68,141,47,88,31,25,34,23,31,14,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Bongerd,0200::SB51,,1333,743,1,2,0,0,0,665,81,0,0,0,0,0,0,746,77,47,78,71,115,54,120,50,20,32,26,24,27,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School Het Gilde,0200::SB52,,1050,594,3,0,0,0,0,534,63,0,0,0,0,0,0,597,59,38,66,57,87,52,81,31,22,24,28,25,21,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Schakel,0200::SB53,,1528,714,1,2,0,0,0,660,57,0,0,0,0,0,0,717,87,72,71,98,112,41,89,51,16,20,21,19,16,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Terebint,0200::SB54,,1340,799,2,0,0,0,0,718,83,0,0,0,0,0,0,801,89,66,70,112,115,53,128,36,35,32,25,24,11,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Wijkcentrum De Stolp,0200::SB55,,1452,718,9,4,0,0,0,670,61,0,0,0,0,0,0,731,68,46,70,74,113,38,125,46,15,42,27,34,17,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum De Matenhof,0200::SB56,,1539,696,7,5,0,0,0,656,52,0,0,0,0,0,0,708,79,52,79,43,106,35,129,37,14,40,34,34,13,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Ambelt,0200::SB57,,1681,802,5,1,0,0,0,724,84,0,0,0,0,0,0,808,102,48,89,68,128,42,108,72,48,51,13,23,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Marke,0200::SB58,,1599,843,0,1,0,0,0,772,72,0,0,0,0,0,0,844,79,52,98,101,145,59,115,75,24,35,25,15,18,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Ploeg,0200::SB59,,1434,709,1,0,0,0,0,658,52,0,0,0,0,0,0,710,88,54,68,89,104,43,118,26,27,32,9,29,18,4
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Veluws College Cortenbosch,0200::SB60,,1572,542,2,1,0,0,0,493,52,0,0,0,0,0,0,545,60,78,52,27,104,26,56,41,21,33,19,13,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Buurthuis Ugchelens Belang,0200::SB61,,1454,896,1,1,0,0,0,839,59,0,0,0,0,0,0,898,126,136,67,52,160,41,98,54,39,45,22,39,17,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Steenbeek,0200::SB62,,1243,843,0,3,0,0,0,754,92,0,0,0,0,0,0,846,111,126,81,67,148,39,114,55,26,36,16,16,7,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum Sprengenhof,0200::SB63,,1519,909,1,1,0,0,0,814,97,0,0,0,0,0,0,911,115,104,100,53,144,57,117,60,40,49,17,40,12,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zorggroep Apeldoorn loc Randerode,0200::SB64,,1018,675,2,3,0,0,0,601,79,0,0,0,0,0,0,680,93,56,76,46,110,41,107,36,22,32,14,26,15,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Verkeersschool Frank Schuurman,0200::SB65,,970,333,0,4,0,0,0,304,33,0,0,0,0,0,0,337,28,32,45,28,54,15,40,24,10,26,9,10,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zaal Vrijzicht,0200::SB66,,1541,719,2,5,0,0,0,663,63,0,0,0,0,0,0,726,70,78,80,64,125,50,82,47,18,39,27,26,11,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau De Rietendakschool,0200::SB67,,1258,562,3,2,0,0,0,512,55,0,0,0,0,0,0,567,43,45,93,49,91,43,44,52,12,38,17,20,15,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School De Eendracht,0200::SB68,,1342,765,0,0,0,0,0,706,59,0,0,0,0,0,0,765,77,77,102,54,147,57,87,34,36,41,26,15,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Lokaal bij As Soena moskee,0200::SB69,,1460,673,1,5,0,0,0,625,54,0,0,0,0,0,0,679,85,75,77,40,113,40,82,46,13,46,16,19,20,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Duivensportcentrum,0200::SB70,,1522,670,0,0,0,0,0,609,61,0,0,0,0,0,0,670,54,88,59,79,126,41,69,38,25,40,22,20,9,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Meester Lugtmeijerschool,0200::SB71,,1312,737,0,2,0,2,0,668,71,0,0,2,0,0,0,739,69,59,97,64,127,65,73,51,14,40,28,23,24,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- zorgcentrum Avondzon,0200::SB72,,1487,647,1,2,0,0,0,600,50,0,0,0,0,0,0,650,66,44,104,66,79,37,66,35,20,49,21,37,20,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Koningin Emmaschool,0200::SB73,,1362,543,1,1,0,0,0,492,56,0,0,0,3,0,0,548,52,17,80,71,61,62,42,42,21,30,20,25,18,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Openbare Basisschool Zuiderpark,0200::SB74,,1061,311,0,0,0,0,0,290,21,0,0,0,0,0,0,311,39,15,66,33,42,25,29,12,11,15,11,6,7,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Clubgebouw Gelvandria,0200::SB75,,1675,314,1,2,0,0,0,281,36,0,0,0,0,0,0,317,41,30,34,19,56,20,47,29,12,13,2,1,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Nieuw Zuidzicht,0200::SB76,,1296,473,1,1,0,0,0,427,48,0,0,0,0,0,0,475,56,34,76,51,50,32,42,19,16,22,23,32,20,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum Sainte Marie,0200::SB77,,1024,623,4,4,0,0,0,588,43,0,0,0,0,0,0,631,103,54,78,49,99,39,83,28,18,26,9,32,5,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Sebastiaanschool,0200::SB78,,991,372,2,2,0,0,0,337,39,0,0,0,0,0,0,376,24,25,72,43,42,26,38,17,14,23,19,15,14,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Buurthuis Maasstraat,0200::SB79,,1293,716,1,6,0,0,0,650,73,0,0,0,0,0,0,723,79,59,93,68,79,66,111,33,34,32,23,20,18,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Dienstencentrum Stichting De Veste,0200::SB80,,1556,436,2,2,0,0,0,388,52,0,0,0,0,0,0,440,45,18,86,42,64,29,44,26,12,24,14,22,10,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau DokZuid,0200::SB81,,1302,664,1,3,0,0,0,608,60,0,0,0,0,0,0,668,72,32,133,42,84,79,67,49,15,32,17,20,14,8
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Dorpshuis Het Blanke Schot,0200::SB82,,1655,1153,0,1,0,0,0,985,169,0,0,0,0,0,0,1154,84,47,12,13,15,2,92,9,851,11,3,10,4,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Kamp Nieuw Milligen gebouw 70,0200::SB83,,354,194,0,0,0,0,0,169,25,0,0,0,0,0,0,194,19,28,7,9,15,6,13,3,85,8,1,0,0,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Brandweerkazerne Hoog Soeren,0200::SB84,,301,204,0,0,0,0,0,186,18,0,0,0,0,0,0,204,21,48,14,9,48,8,10,23,5,10,2,2,4,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Chr.Geref. Andreaskerk,0200::SB85,,1385,761,0,1,0,0,0,692,70,0,0,0,0,0,0,762,85,108,70,44,128,38,143,33,62,25,3,10,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Het Dorpshuus,0200::SB86,,1151,632,4,0,0,1,0,591,46,0,0,0,1,0,0,637,69,151,44,101,78,29,60,25,9,31,3,21,11,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Het Zonnehuis,0200::SB87,,1216,637,0,3,0,0,0,582,58,0,0,0,0,0,0,640,111,63,60,21,81,41,84,21,75,36,5,18,15,6
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zorgcentrum De Vier Dorpen,0200::SB88,,1539,622,3,2,0,0,0,551,76,0,0,0,0,0,0,627,91,144,61,29,81,30,52,24,31,46,4,19,2,8
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Zaal achter Gereformeerde Kerk,0200::SB89,,1063,603,1,1,0,0,0,538,67,0,0,0,0,0,0,605,140,76,13,29,72,19,87,6,101,21,13,12,9,5
