contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelangen,Partij van de Arbeid (P.v.d.A.),CDA,Lokaal Alternatief,VVD,SP (Socialistische Partij),GROENLINKS,Ouderenpartij Kerkrade,ONS KERKRADE (OK),1Parkstad.nl,Democraten 66 (D66)
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Zorgcentrum Laethof,0928::SB17,,1320,626,6,2,0,0,0,575,60,0,1,0,1,0,0,635,74,48,38,13,22,57,22,20,308,9,15
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs de Schatkist,0928::SB18,,1764,810,1,1,0,0,0,694,118,0,0,0,0,0,0,812,104,62,40,10,24,89,17,20,421,10,13
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs de Veldhof,0928::SB19,,1033,645,3,5,0,0,0,557,96,0,0,0,0,0,0,653,86,43,26,14,14,47,17,15,355,16,12
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Winkelpand APS-groep,0928::SB20,,886,480,2,0,0,0,0,438,44,0,0,0,0,0,0,482,73,43,32,18,25,42,7,19,195,5,21
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Clublokaal v.v. R.K.T.S.V.,0928::SB21,,1190,500,3,1,0,0,0,451,53,0,0,0,0,0,0,504,125,69,71,37,36,58,13,18,55,7,11
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs de Doorkijk,0928::SB22,,1672,773,3,1,0,0,0,683,94,0,0,0,0,0,0,777,167,99,150,54,82,81,21,14,58,23,24
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Zorgcentrum Firenschat,0928::SB23,,1245,745,1,1,0,0,0,661,86,0,0,0,0,0,0,747,144,91,120,75,56,112,25,22,45,23,32
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs de Schakel,0928::SB24,,1267,572,0,4,0,0,0,500,76,0,0,0,0,0,0,576,140,68,73,75,21,63,27,12,72,14,7
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Lupinehof,0928::SB25,,886,408,1,0,0,0,0,373,36,0,0,0,0,0,0,409,107,66,38,53,7,62,7,7,48,7,6
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Gemeenschapshuis Heilust,0928::SB26,,1552,732,2,6,0,0,0,640,100,0,0,0,0,0,0,740,251,80,41,149,30,76,26,17,32,12,18
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau voormalig Schoolgebouw,0928::SB27,,1118,434,1,2,0,0,0,398,39,0,0,0,0,0,0,437,97,62,52,58,28,45,23,21,24,14,10
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Verenigingsgebouw Heidsjer Trefpunt,0928::SB28,,1711,855,5,3,0,0,0,766,97,0,0,0,0,0,0,863,251,98,126,76,46,104,20,15,47,42,30
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs De Spoorzoeker,0928::SB29,,1752,881,3,5,0,0,0,783,106,0,0,0,0,0,0,889,235,120,112,87,52,97,36,29,67,31,15
