contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,Partij van de Arbeid (P.v.d.A.),Lokale Partij Borsele,VVD,Democraten 66 (D66),OPA Borsele
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Oudelande,0654::SB12,4436 AD,544,335,2,0,0,0,0,298,39,0,0,0,0,0,0,337,56,17,40,148,30,30,14
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Baarland,0654::SB13,4435 AD,500,298,1,6,0,0,0,262,43,0,0,0,0,0,0,305,64,61,51,62,19,30,11
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Hoedekenskerke,0654::SB14,4433 AL,555,365,4,0,0,0,0,336,33,0,0,0,0,0,0,369,90,101,33,54,33,34,20
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Kwadendamme,0654::SB15,4434 AC,782,497,0,3,0,0,0,455,45,0,0,0,0,0,0,500,278,18,48,77,32,28,16
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Nisse,0654::SB16,4443 AE,489,330,3,0,0,0,0,301,32,0,0,0,0,0,0,333,82,57,46,46,33,38,28
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Heer Abtskerke,0654::SB17,4444 AG,402,248,0,1,0,0,0,232,17,0,0,0,0,0,0,249,70,18,34,53,34,25,14
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Gravenpolder 18,0654::SB18,4431 BP,1017,894,0,2,0,0,0,765,131,0,0,0,0,0,0,896,117,536,34,97,39,33,38
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Gravenpolder 19,0654::SB19,4431 BP,1102,650,0,0,0,0,0,563,87,0,0,0,0,0,0,650,120,303,53,67,30,52,25
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Gravenpolder 20,0654::SB20,4431 EK,1161,847,1,2,0,0,0,743,107,0,0,0,0,0,0,850,101,555,52,62,19,41,17
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Heinkenszand 21,0654::SB21,4451 TL,1082,657,1,2,0,0,0,605,55,0,0,0,0,0,0,660,219,17,110,91,112,57,51
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Lewedorp 22,0654::SB22,4456 AG,680,326,2,0,0,0,0,295,33,0,0,0,0,0,0,328,145,33,39,48,22,21,18
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Heerenhoek 23,0654::SB23,4453 BE,767,384,3,0,0,0,0,340,47,0,0,0,0,0,0,387,121,7,65,78,68,25,20
