contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),TROTS,Algemeen Ouderen Verbond,Gemeente Belangen Schiedam,PS (Progressief Schiedam),Leefbaar Schiedam,12,S.O.S. - SCHIEDAM,ChristenUnie-SGP
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Openbare Basisschool Het Windas,0606::SB23,,1706,962,7,0,0,0,0,857,112,0,0,0,0,0,0,969,82,166,147,171,46,48,6,64,69,37,82,4,15,25
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Krona Lounge,0606::SB24,,2190,1404,7,4,0,0,0,1236,179,0,0,0,0,0,0,1415,120,252,130,347,59,105,10,83,61,42,150,9,11,25
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Van Beethovenflat (recreatiezaal),0606::SB25,,2112,950,1,6,0,0,0,848,109,0,0,0,0,0,0,957,139,59,89,94,49,107,16,145,50,38,107,13,13,31
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau De Blauwe Brug,0606::SB26,,558,598,0,5,0,0,0,543,60,0,0,0,0,0,0,603,101,28,75,56,11,63,4,104,19,36,68,13,7,13
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Zorgcentrum Harg-Spaland,0606::SB27,,2208,819,0,5,0,0,0,741,83,0,0,0,0,0,0,824,161,42,148,50,23,81,12,105,42,28,59,19,23,26
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau De Blauwe Brug,0606::SB28,,1617,332,0,1,0,0,0,296,37,0,0,0,0,0,0,333,46,9,29,42,13,36,6,42,12,9,61,10,10,7
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Ontmoetingscentrum De Woudhoek,0606::SB29,,1813,825,2,2,0,0,0,762,67,0,0,0,0,0,0,829,118,53,89,65,24,101,6,181,39,26,76,1,18,28
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,"Stembureau Dorpskerk Schiedam, Terpzicht",0606::SB30,,1828,789,4,2,0,0,0,692,103,0,0,0,0,0,0,795,52,143,134,135,41,62,8,57,30,30,60,3,10,24
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Verpleeg- en reactiveringscentrum DrieMaasStede,0606::SB31,,1239,543,3,1,0,0,0,494,53,0,0,0,0,0,0,547,55,49,59,63,32,51,3,77,44,31,62,0,7,10
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Openbare Basisschool De Klinker,0606::SB32,,1687,920,3,2,0,0,0,820,105,0,0,0,0,0,0,925,93,99,95,153,55,89,11,88,45,51,110,6,12,13
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Openbare Basisschool De Klinker,0606::SB33,,1674,757,6,2,0,0,0,670,96,0,0,0,1,0,0,766,94,64,97,133,37,69,10,76,26,37,85,2,14,13
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Ontmoetingscentrum De Werf,0606::SB34,,1896,775,6,4,0,0,0,678,107,0,0,0,0,0,0,785,51,158,123,164,40,43,3,48,24,31,63,0,12,15
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Dienstencentrum de Valm,0606::SB35,,2173,524,0,1,0,0,0,464,61,0,0,0,0,0,0,525,61,140,57,105,18,26,7,19,25,11,39,3,4,9
