contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie - SGP,"PROgressief 21 (D66, GroenLinks, PvdA)",VVD,De Lokale Partij
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau voormalige obs Sportbasisschool,0267::SB12,3862 GR,1464,828,3,2,0,0,0,755,78,0,0,0,0,0,0,833,211,252,130,100,135
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Prins Willem-Alexanderschool,0267::SB13,3862 KG,1382,863,12,3,0,0,0,790,88,0,0,0,0,0,0,878,243,173,175,94,178
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Vrijgemaakt Gereformeerde Kerk,0267::SB14,3862 MC,1585,783,2,0,0,0,0,730,56,0,1,0,1,0,0,786,208,224,141,57,153
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau school De Appelgaard,0267::SB15,3862 PD,1044,639,0,2,0,0,0,547,94,0,0,0,0,0,0,641,278,194,59,68,40
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Johannes Calvijnschool,0267::SB16,3864 ER,1449,718,3,0,0,0,0,630,91,0,0,0,0,0,0,721,205,192,35,101,185
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau gebouw De Voorpost,0267::SB17,3864 EC,1253,652,4,3,0,0,0,573,86,0,0,0,0,0,0,659,182,159,59,116,136
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau school 't Blokhuus,0267::SB21,3871 EM,1150,994,1,0,0,0,0,898,98,0,1,0,1,0,0,996,155,144,270,230,195
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau gebouw De Hobbit,0267::SB22,3871 TD,1437,896,5,0,0,0,0,833,69,0,1,0,1,0,0,902,167,155,254,172,148
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Zalencentrum De Haen,0267::SB23,3871 AM,1433,1306,4,4,0,0,0,1189,125,0,0,0,0,0,0,1314,223,222,335,282,244
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Willem Farelschool,0267::SB24,3871 JM,1578,553,0,1,0,0,0,482,72,0,0,0,0,0,0,554,83,194,106,94,76
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Schimmelpenninck van der Oyeschool,0267::SB25,3871 AD,1339,475,0,2,0,0,0,423,54,0,0,0,0,0,0,477,100,164,58,86,67
,Nijkerk,GR2014_Nijkerk,Gemeenteraad Nijkerk 2014,0267,Nijkerk,2014-03-19,Stembureau Mobiel stembureau nummer EEN,0267::SB30,3863 EN,0,336,1,2,0,0,0,303,36,0,0,0,0,0,0,339,99,72,70,35,60
