"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Ouder-Amstel"
"Nummer";"";"0437"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Jan Hekmanschool";"Het Kofschip";"De Aanbouw";"Dorpshuis"
"";"";"31";"Potters, S.C.C.M.";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Oosten, F.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Koopmans, S.M.G.";"0";"0";"0";"0";"0";"0"
"";"";"34";"Middendorp, J.";"4";"3";"1";"0";"0";"0"
"";"";"35";"van der Linde, R.E.";"0";"0";"0";"0";"0";"0"
"";"";"36";"van Keulen, J.M.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Laan-Geselschap, A.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Tielen, J.Z.C.M.";"2";"0";"1";"1";"0";"0"
"";"";"39";"Veldman, H.S.";"0";"0";"0";"0";"0";"0"
"";"";"40";"Heerema, R.J.";"5";"1";"0";"3";"0";"1"
"";"";"41";"van Haga, W.R.";"0";"0";"0";"0";"0";"0"
"";"";"42";"de Lange, L.A.";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Gent, T.";"0";"0";"0";"0";"0";"0"
"";"";"44";"de Veth, A.A.";"0";"0";"0";"0";"0";"0"
"";"";"45";"Van Wijngaarden, J.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Aartsen, A.A.";"0";"0";"0";"0";"0";"0"
"";"";"47";"Regterschot, K.";"1";"0";"0";"1";"0";"0"
"";"";"48";"Smals, B.M.G.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Pauwels-Paauw, M.S.";"0";"0";"0";"0";"0";"0"
"";"";"50";"Bolkestein, M.N.";"1";"0";"0";"1";"0";"0"
"";"";"51";"Snoeren, M.A.J.";"1";"0";"1";"0";"0";"0"
"";"";"52";"Heemskerk, J.J.";"2";"1";"1";"0";"0";"0"
"";"";"53";"Tönjann-Levert, W.E.";"0";"0";"0";"0";"0";"0"
"";"";"54";"van Rijn, R.K.";"0";"0";"0";"0";"0";"0"
"";"";"55";"de Reus, J.";"0";"0";"0";"0";"0";"0"
"";"";"56";"Dral, R.M.";"0";"0";"0";"0";"0";"0"
"";"";"57";"Korting, I.A.";"1";"0";"0";"1";"0";"0"
"";"";"58";"Arends-Drijver, K.";"0";"0";"0";"0";"0";"0"
"";"";"59";"Lock, K.P.";"0";"0";"0";"0";"0";"0"
"";"";"60";"Hoekstra, F.";"1";"0";"0";"0";"0";"1"
"";"";"61";"van Schie, A.G.";"0";"0";"0";"0";"0";"0"
"";"";"62";"Struijlaart, E.";"0";"0";"0";"0";"0";"0"
"";"";"63";"Haseloop-Amsing, T.H.";"0";"0";"0";"0";"0";"0"
"";"";"64";"Jacobs, B.";"0";"0";"0";"0";"0";"0"
"";"";"65";"Elbertsen, J.";"0";"0";"0";"0";"0";"0"
"";"";"66";"van Dijk, S.";"1";"0";"0";"1";"0";"0"
"";"";"67";"Mos, J.";"0";"0";"0";"0";"0";"0"
"";"";"68";"Böcker, B.M.";"0";"0";"0";"0";"0";"0"
"";"";"69";"de Rijk, R.H.";"0";"0";"0";"0";"0";"0"
"";"";"70";"Welter, Y.";"6";"1";"3";"2";"0";"0"
"";"";"71";"Derks, N.G.";"0";"0";"0";"0";"0";"0"
"";"";"72";"Joziasse, M.";"0";"0";"0";"0";"0";"0"
"";"";"73";"Bevers, H.";"0";"0";"0";"0";"0";"0"
"";"";"74";"Prins, A.J.";"0";"0";"0";"0";"0";"0"
"";"";"75";"Huisman-Peelen, H.";"0";"0";"0";"0";"0";"0"
"";"";"76";"Bonnevits-de Jong, L.";"0";"0";"0";"0";"0";"0"
"";"";"77";"Lochtenberg, D.S.K.";"1";"1";"0";"0";"0";"0"
"";"";"78";"Larson, C.R.";"85";"23";"33";"21";"3";"5"
"";"";"79";"Zevenbergen, E.F.A.";"0";"0";"0";"0";"0";"0"
"";"";"80";"van der Weijden, M.";"4";"0";"2";"1";"1";"0"
"2";"Partij van de Arbeid (P.v.d.A.)";"";"";"671";"125";"92";"117";"167";"170"
"";"";"1";"Asscher, L.F.";"366";"62";"62";"69";"77";"96"
"";"";"2";"Arib, K.";"79";"17";"7";"15";"23";"17"
"";"";"3";"Dijsselbloem, J.R.V.A.";"63";"14";"10";"7";"21";"11"
"";"";"4";"Dijksma, S.A.M.";"36";"8";"1";"11";"9";"7"
"";"";"5";"van Dijk, G.J.";"1";"0";"0";"0";"0";"1"
"";"";"6";"Kuiken, A.H.";"5";"0";"1";"1";"1";"2"
"";"";"7";"Nijboer, H.";"0";"0";"0";"0";"0";"0"
"";"";"8";"van den Hul, K.A.E.";"2";"0";"0";"0";"0";"2"
"";"";"9";"Moorlag, W.J.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Ploumen, E.M.J.";"47";"14";"4";"7";"12";"10"
"";"";"11";"Kerstens, J.W.M.";"0";"0";"0";"0";"0";"0"
"";"";"12";"de Kock, J.C.M.";"8";"3";"1";"0";"0";"4"
"";"";"13";"Marcouch, A.";"16";"3";"2";"1";"4";"6"
"";"";"14";"Volp, M.J.";"7";"1";"0";"0";"4";"2"
"";"";"15";"Moti, R.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Yücel, K.";"3";"0";"0";"0";"2";"1"
"";"";"17";"Servaes, M.";"1";"1";"0";"0";"0";"0"
"";"";"18";"Bozkurt, E.";"1";"0";"1";"0";"0";"0"
"";"";"19";"van der Linde, I.M.";"2";"0";"0";"1";"0";"1"
"";"";"20";"Oosterbaan, C.";"1";"0";"0";"0";"1";"0"
"";"";"21";"Mohandis, M.";"2";"0";"0";"0";"0";"2"
"";"";"22";"Ypma, L.";"1";"0";"0";"0";"0";"1"
"";"";"23";"Recourt, J.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Maij, M.E.";"0";"0";"0";"0";"0";"0"
"";"";"25";"de Kort, M.V.";"1";"0";"1";"0";"0";"0"
"";"";"26";"Roopram, R.D.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Hoogland, D.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schellekens, G.M.M.";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Vries, A.A.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Biemans, M.S.";"1";"0";"0";"0";"1";"0"
"";"";"31";"Brouwer, H.";"0";"0";"0";"0";"0";"0"
"";"";"32";"Vos, M.L.";"5";"0";"0";"2";"3";"0"
"";"";"33";"Reinaerts, J.L.H.";"0";"0";"0";"0";"0";"0"
"";"";"34";"Dibi, B.";"3";"0";"0";"0";"3";"0"
"";"";"35";"van Drooge, S.W.";"2";"0";"0";"0";"2";"0"
"";"";"36";"Asante, A.A.";"5";"0";"0";"0";"2";"3"
"";"";"37";"Ünver, E.";"1";"0";"0";"0";"1";"0"
"";"";"38";"Vermue, J.G.P.";"0";"0";"0";"0";"0";"0"
"";"";"39";"van Dekken, T.R.";"0";"0";"0";"0";"0";"0"
"";"";"40";"Hedin-Penninx, A.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Deen, B.";"0";"0";"0";"0";"0";"0"
"";"";"42";"Vorselman-Derksen, C.H.W.J.";"0";"0";"0";"0";"0";"0"
"";"";"43";"Pentenga, F.";"0";"0";"0";"0";"0";"0"
"";"";"44";"van den Boogaard, A.";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Laar, R.P.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Schrofer, T.T.";"0";"0";"0";"0";"0";"0"
"";"";"47";"van Houwelingen, H.E.F.";"0";"0";"0";"0";"0";"0"
"";"";"48";"Mulder, M.A.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Bolhuis, W.D.";"0";"0";"0";"0";"0";"0"
"";"";"50";"Günal-Gezer, S.";"0";"0";"0";"0";"0";"0"
"";"";"51";"Staal, J.J.";"1";"1";"0";"0";"0";"0"
"";"";"52";"Boot, E.";"1";"1";"0";"0";"0";"0"
"";"";"53";"Chahim, M.";"0";"0";"0";"0";"0";"0"
"";"";"54";"Koenders, P.T.C.";"0";"0";"0";"0";"0";"0"
"";"";"55";"Breederveld, R.";"0";"0";"0";"0";"0";"0"
"";"";"56";"Menenti, L.M.E.";"1";"0";"0";"1";"0";"0"
"";"";"57";"van de Burgt, R.H.M.";"0";"0";"0";"0";"0";"0"
"";"";"58";"Repetur, M.E.";"0";"0";"0";"0";"0";"0"
"";"";"59";"Akrouh, S.";"0";"0";"0";"0";"0";"0"
"";"";"60";"Engbers, A.H.M.G.";"1";"0";"0";"0";"0";"1"
"";"";"61";"Ronnes, T.L.";"0";"0";"0";"0";"0";"0"
"";"";"62";"Wijntuin, P.M.";"0";"0";"0";"0";"0";"0"
"";"";"63";"Brouwers, L.W.L.";"0";"0";"0";"0";"0";"0"
"";"";"64";"van Zantvoort, A.H.G.";"0";"0";"0";"0";"0";"0"
"";"";"65";"Cohen, F.";"0";"0";"0";"0";"0";"0"
"";"";"66";"Dankert, A.T.";"0";"0";"0";"0";"0";"0"
"";"";"67";"Bouteibi, H.";"0";"0";"0";"0";"0";"0"
"";"";"68";"Voigt, I.";"0";"0";"0";"0";"0";"0"
"";"";"69";"Schuurman Hess, J.N.";"0";"0";"0";"0";"0";"0"
"";"";"70";"Klomp, B.C.D.";"2";"0";"0";"1";"0";"1"
"";"";"71";"Keizer, H.M.";"0";"0";"0";"0";"0";"0"
"";"";"72";"Houben, T.A.H.";"0";"0";"0";"0";"0";"0"
"";"";"73";"van 't Zelfde, E.R.M.";"2";"0";"1";"0";"0";"1"
"";"";"74";"Doevendans, S.S.";"1";"0";"0";"1";"0";"0"
"";"";"75";"de Haan, F.G.";"1";"0";"0";"0";"0";"1"
"";"";"76";"Langenacker, J.";"1";"0";"1";"0";"0";"0"
"";"";"77";"Polsbroek, F.A.L.";"0";"0";"0";"0";"0";"0"
"";"";"78";"den Uyl, X.J.";"1";"0";"0";"0";"1";"0"
"";"";"79";"Voskuil, L.H.";"0";"0";"0";"0";"0";"0"
"";"";"80";"van den Bergh, H.J.";"0";"0";"0";"0";"0";"0"
"3";"PVV (Partij voor de Vrijheid)";"";"";"732";"132";"131";"176";"92";"201"
"";"";"1";"Wilders, G.";"654";"121";"116";"155";"81";"181"
"";"";"2";"Agema, M.";"51";"7";"11";"10";"9";"14"
"";"";"3";"Maeijer, V.";"7";"2";"0";"4";"0";"1"
"";"";"4";"Markuszower, G.";"3";"1";"1";"1";"0";"0"
"";"";"5";"Fritsma, S.R.";"1";"0";"1";"0";"0";"0"
"";"";"6";"Bosma, M.";"11";"1";"1";"3";"1";"5"
"";"";"7";"Madlener, B.";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Dijck, A.P.C.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Helder, L.M.J.S.";"1";"0";"1";"0";"0";"0"
"";"";"10";"Beertema, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"de Graaf, M.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Graus, D.J.G.";"0";"0";"0";"0";"0";"0"
"";"";"13";"de Roon, R.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Weerdenburg, V.D.D.";"1";"0";"0";"0";"1";"0"
"";"";"15";"Mulder, E.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Gerbrands, K.";"0";"0";"0";"0";"0";"0"
"";"";"17";"de Jong, L.W.E.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Popken, G.J.F.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Kops, A.";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Aalst, R.R.";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijk, E.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Housmans, R.W.P.E.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Jansen, C.A.";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Vree, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Aardema, M.";"0";"0";"0";"0";"0";"0"
"";"";"26";"van Dijk, A.J.A.";"0";"0";"0";"0";"0";"0"
"";"";"27";"de Winter, D.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Bezaan, I.A.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Kardol, J.C.";"1";"0";"0";"1";"0";"0"
"";"";"30";"Vlottes, E.";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Jong, R.G.J.";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Pijkeren, J.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Rijken, J.J.";"0";"0";"0";"0";"0";"0"
"";"";"34";"IJssennagger, H.";"0";"0";"0";"0";"0";"0"
"";"";"35";"van Deún, H.";"0";"0";"0";"0";"0";"0"
"";"";"36";"Vermeer, T.F.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Buitelaar, O.S.J.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Dulfer, T.F.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Boon, M.C.H.";"0";"0";"0";"0";"0";"0"
"";"";"40";"Braam, E.G.T.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Ludriks, M.S.";"0";"0";"0";"0";"0";"0"
"";"";"42";"Choenni, N.A.";"1";"0";"0";"1";"0";"0"
"";"";"43";"Roks, L.A.G.";"0";"0";"0";"0";"0";"0"
"";"";"44";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Hees, E.P.G.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Kooman, C.V.A.";"1";"0";"0";"1";"0";"0"
"";"";"47";"van der Sluijs, D.J.";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Hattem, A.W.J.A.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Stuger, O.F.";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Strien, G.A.";"0";"0";"0";"0";"0";"0"
"4";"SP (Socialistische Partij)";"";"";"407";"65";"61";"114";"48";"119"
"";"";"1";"Roemer, E.G.M.";"229";"47";"38";"60";"23";"61"
"";"";"2";"Leijten, R.M.";"42";"5";"6";"10";"6";"15"
"";"";"3";"Marijnissen, L.M.C.";"90";"10";"10";"29";"14";"27"
"";"";"4";"van Raak, A.A.G.M.";"7";"0";"2";"0";"2";"3"
"";"";"5";"Karabulut, S.";"13";"0";"1";"6";"1";"5"
"";"";"6";"Beckerman, S.M.";"2";"1";"0";"1";"0";"0"
"";"";"7";"van Nispen, M.";"1";"0";"0";"0";"0";"1"
"";"";"8";"Kwint, J.P.";"0";"0";"0";"0";"0";"0"
"";"";"9";"van Kent, B.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Laçin, C.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Futselaar, F.W.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Kooiman, C.J.E.";"3";"0";"0";"1";"1";"1"
"";"";"13";"Hijink, H.P.M.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Dijk, J.J.";"2";"0";"0";"0";"1";"1"
"";"";"15";"Smaling, E.M.A.";"1";"0";"0";"1";"0";"0"
"";"";"16";"Alkaya, M.Ö.";"2";"0";"0";"1";"0";"1"
"";"";"17";"van Gerven, H.P.J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Olders, D.W.J.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Heerschop, A.H.J.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Meijer, A.M.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Maes, S.A.A.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Meyer, R.P.E.";"2";"1";"0";"1";"0";"0"
"";"";"23";"van Dijk-van Leeuwen, S.Y.";"6";"0";"3";"2";"0";"1"
"";"";"24";"de Wit, D.H.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Peterse, B.";"1";"0";"0";"0";"0";"1"
"";"";"26";"Hoekstra, A.J.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Boerwinkel, E.M.J.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Hamerslag, P.H.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Buskoop, B.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Temmink, N.G.J.";"1";"0";"0";"0";"0";"1"
"";"";"31";"de Ridder, N.";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Sluijs, D.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Akhiat, A.";"1";"0";"0";"1";"0";"0"
"";"";"34";"van Gemert, N.M.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Dijk, J.P.";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Vos, A.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Bekkering, I.H.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Staarink, I.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Müller, G.J.N.";"0";"0";"0";"0";"0";"0"
"";"";"40";"Feenstra, F.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Olierook, M.W.";"0";"0";"0";"0";"0";"0"
"";"";"42";"ten Heuw, M.A.";"0";"0";"0";"0";"0";"0"
"";"";"43";"Helmer-Englebert, R.D.";"0";"0";"0";"0";"0";"0"
"";"";"44";"Vliegenthart, A.";"1";"0";"0";"1";"0";"0"
"";"";"45";"Douw-van Dam, P.W.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Alberts-Oosterbaan, R.";"2";"0";"1";"0";"0";"1"
"";"";"47";"Zoomermeijer, P.B.C.";"0";"0";"0";"0";"0";"0"
"";"";"48";"Verweij, B.";"0";"0";"0";"0";"0";"0"
"";"";"49";"van Dam, M.H.";"0";"0";"0";"0";"0";"0"
"";"";"50";"Poppe, R.J.L.";"1";"1";"0";"0";"0";"0"
"5";"CDA";"";"";"833";"227";"190";"193";"99";"124"
"";"";"1";"van Haersma Buma, S.";"524";"149";"116";"121";"59";"79"
"";"";"2";"Keijzer, M.C.G.";"191";"53";"32";"49";"29";"28"
"";"";"3";"Peters, W.P.H.J.";"2";"0";"0";"2";"0";"0"
"";"";"4";"Omtzigt, P.H.";"46";"14";"13";"8";"5";"6"
"";"";"5";"van Toorenburg, M.M.";"3";"0";"0";"2";"1";"0"
"";"";"6";"Knops, R.W.";"6";"0";"6";"0";"0";"0"
"";"";"7";"Heerma, P.E.";"3";"1";"0";"0";"0";"2"
"";"";"8";"van der Molen, H.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Bruins Slot, H.G.J.";"7";"2";"0";"2";"0";"3"
"";"";"10";"Geurts, J.L.";"9";"2";"6";"1";"0";"0"
"";"";"11";"Kuik, A.";"5";"0";"2";"1";"2";"0"
"";"";"12";"van Dam, C.J.L.";"2";"0";"2";"0";"0";"0"
"";"";"13";"Mulder, A.H.";"6";"0";"3";"1";"0";"2"
"";"";"14";"Rog, M.R.J.";"8";"0";"5";"2";"1";"0"
"";"";"15";"Amhaouch, M.";"1";"0";"0";"0";"0";"1"
"";"";"16";"van Helvert, M.J.F.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Ronnes, H.A.G.";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berg-Jansen, J.A.M.J.";"1";"0";"0";"1";"0";"0"
"";"";"19";"Slootweg, E.J.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Geluk-Poortvliet, L.W.D.";"3";"0";"1";"1";"1";"0"
"";"";"21";"Palland, H.M.";"0";"0";"0";"0";"0";"0"
"";"";"22";"de Pater-Postma, W.L.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Terpstra, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Steenbakkers, S.P.M.F.";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Anker, G.P.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Heijnen, V.L.W.A.";"0";"0";"0";"0";"0";"0"
"";"";"27";"den Bak, S.W.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schotman, C.J.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Erkel, P.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Zwinkels, C.C.M.";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanemaaijer, E.";"1";"0";"0";"1";"0";"0"
"";"";"32";"Hutten, G.J.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Kip, M.";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Mierlo, E.J.F.M.";"0";"0";"0";"0";"0";"0"
"";"";"35";"de Korte-Verhoef, M.C.";"2";"0";"1";"0";"0";"1"
"";"";"36";"Bergkamp, B.";"1";"0";"0";"0";"0";"1"
"";"";"37";"de Haan, J.";"0";"0";"0";"0";"0";"0"
"";"";"38";"van Opstal, J.M.M.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Gardeniers, B.H.M.";"1";"0";"0";"1";"0";"0"
"";"";"40";"Bal, M.";"1";"0";"0";"0";"0";"1"
"";"";"41";"Vrugt, R.";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Dekken, B.";"0";"0";"0";"0";"0";"0"
"";"";"43";"Vloet, W.J.M.M.";"0";"0";"0";"0";"0";"0"
"";"";"44";"von Martels, M.R.H.M.";"8";"5";"3";"0";"0";"0"
"";"";"45";"van der Broek, J.M.A.R.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Bond, J.H.M.";"0";"0";"0";"0";"0";"0"
"";"";"47";"?im?ek, F.";"0";"0";"0";"0";"0";"0"
"";"";"48";"Havelaar, R.B.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Sanderse, M.";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Leeuwen, J.";"2";"1";"0";"0";"1";"0"
"6";"Democraten 66 (D66)";"";"";"1431";"358";"301";"334";"233";"205"
"";"";"1";"Pechtold, A.";"862";"207";"186";"205";"141";"123"
"";"";"2";"van Veldhoven, S.";"127";"32";"34";"25";"11";"25"
"";"";"3";"Koolmees, W.";"5";"2";"1";"0";"1";"1"
"";"";"4";"Dijkstra, P.A.";"218";"58";"48";"53";"38";"21"
"";"";"5";"van Engelshoven, I.K.";"8";"2";"3";"1";"2";"0"
"";"";"6";"Bergkamp, V.A.";"79";"23";"10";"19";"10";"17"
"";"";"7";"Verhoeven, K.";"1";"1";"0";"0";"0";"0"
"";"";"8";"van Meenen, P.H.";"1";"0";"0";"0";"1";"0"
"";"";"9";"Paternotte, J.M.";"7";"1";"1";"3";"1";"1"
"";"";"10";"Van Weyenberg, S.P.R.A.";"1";"1";"0";"0";"0";"0"
"";"";"11";"Sjoerdsma, S.W.";"5";"1";"0";"0";"4";"0"
"";"";"12";"Jetten, R.A.A.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Van Eijs, J.M.";"10";"3";"2";"2";"2";"1"
"";"";"14";"Belhaj, S.";"20";"6";"2";"4";"6";"2"
"";"";"15";"Groothuizen, M.";"1";"0";"0";"0";"1";"0"
"";"";"16";"Bouali, A.";"1";"1";"0";"0";"0";"0"
"";"";"17";"Raemakers, R.";"1";"0";"0";"0";"0";"1"
"";"";"18";"Diertens, A.E.";"19";"5";"3";"4";"2";"5"
"";"";"19";"de Groot, T.C.";"8";"0";"1";"7";"0";"0"
"";"";"20";"den Boer, M.G.W.";"8";"3";"2";"0";"1";"2"
"";"";"21";"Sienot, M.F.";"0";"0";"0";"0";"0";"0"
