Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;
Nummer;;899;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;D'r Brikkeoave;Parochiezaal Gregorius-kerk;zaal cafe De Kroeg;Verpleeghuis Schuttershof;BS Meander;Zorgcentrum Huize Louise;Speeltuingebouw Buschkesberg;Brede School Langeberg;Verenigingsgebouw De Burcht;Parochiezaaltje Barbara-kerk;Trefcentrum;Zorgcentrum Emmastaete;Basisschool Fatima;Microhal Brunssum-Noord
;;21;Tellegen, O.C.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;22;Koerhuis, D.A.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ziengs, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bosman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Bosch, A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;El Yassini, Z.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dijkstra, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Wörsdörfer, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Weverling, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Nijkerken-de Haan, C.N.A.;207;24;19;7;13;6;4;9;15;9;15;16;24;26;20
;;31;Potters, S.C.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Oosten, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Koopmans, S.M.G.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;Middendorp, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Linde, R.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Keulen, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Laan-Geselschap, A.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Tielen, J.Z.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Veldman, H.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Heerema, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Haga, W.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;42;de Lange, L.A.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;43;van Gent, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Veth, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Van Wijngaarden, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Aartsen, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Regterschot, K.;44;6;4;1;1;1;4;0;2;3;4;4;9;1;4
;;48;Smals, B.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Pauwels-Paauw, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bolkestein, M.N.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;51;Snoeren, M.A.J.;5;0;2;0;0;0;0;0;1;0;0;0;1;1;0
;;52;Heemskerk, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;53;Tönjann-Levert, W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;van Rijn, R.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;de Reus, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Dral, R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;57;Korting, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Arends-Drijver, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Lock, K.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;60;Hoekstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;61;van Schie, A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;Struijlaart, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;63;Haseloop-Amsing, T.H.;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;64;Jacobs, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Elbertsen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;van Dijk, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Mos, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Böcker, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;de Rijk, R.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;70;Welter, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Derks, N.G.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;72;Joziasse, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;73;Bevers, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Prins, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;Huisman-Peelen, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;76;Bonnevits-de Jong, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;77;Lochtenberg, D.S.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Larson, C.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;79;Zevenbergen, E.F.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;80;van der Weijden, M.;4;1;0;0;0;1;0;0;0;0;0;0;1;1;0
2;Partij van de Arbeid (P.v.d.A.);;;739;62;34;31;27;24;45;51;30;47;58;53;70;81;126
;;1;Asscher, L.F.;449;42;21;22;14;15;29;36;16;24;33;37;37;51;72
;;2;Arib, K.;30;1;2;1;2;3;2;5;1;2;1;3;3;3;1
;;3;Dijsselbloem, J.R.V.A.;58;6;4;1;3;0;5;3;3;3;4;2;9;7;8
;;4;Dijksma, S.A.M.;28;1;1;2;0;1;2;0;0;3;5;3;1;1;8
;;5;van Dijk, G.J.;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0
;;6;Kuiken, A.H.;4;1;0;0;1;1;0;0;0;0;0;0;0;1;0
;;7;Nijboer, H.;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;8;van den Hul, K.A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Moorlag, W.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Ploumen, E.M.J.;47;5;1;1;2;0;3;0;4;2;5;0;4;4;16
;;11;Kerstens, J.W.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;de Kock, J.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Marcouch, A.;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;14;Volp, M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Moti, R.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Yücel, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Servaes, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bozkurt, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van der Linde, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Oosterbaan, C.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Mohandis, M.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;22;Ypma, L.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Recourt, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Maij, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Kort, M.V.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Roopram, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Hoogland, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schellekens, G.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Vries, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Biemans, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Brouwer, H.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;Vos, M.L.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;33;Reinaerts, J.L.H.;61;2;4;3;0;1;3;3;2;6;6;3;10;5;13
;;34;Dibi, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Drooge, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Asante, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Ünver, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermue, J.G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dekken, T.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Hedin-Penninx, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Deen, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Vorselman-Derksen, C.H.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Pentenga, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van den Boogaard, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Laar, R.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrofer, T.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Houwelingen, H.E.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Mulder, M.A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;49;Bolhuis, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Günal-Gezer, S.;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;51;Staal, J.J.;4;0;0;0;0;0;0;0;1;0;0;1;1;0;1
;;52;Boot, E.;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;53;Chahim, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;Koenders, P.T.C.;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;55;Breederveld, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Menenti, L.M.E.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;57;van de Burgt, R.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Repetur, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Akrouh, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;60;Engbers, A.H.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;61;Ronnes, T.L.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;62;Wijntuin, P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;63;Brouwers, L.W.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;64;van Zantvoort, A.H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Cohen, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;Dankert, A.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Bouteibi, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Voigt, I.;3;0;0;0;0;2;0;0;0;0;0;0;0;1;0
;;69;Schuurman Hess, J.N.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;70;Klomp, B.C.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Keizer, H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Houben, T.A.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;73;van 't Zelfde, E.R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Doevendans, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;de Haan, F.G.;5;0;0;0;2;0;0;0;0;0;0;0;0;0;3
;;76;Costongs, J.E.L.;3;0;0;0;0;0;0;0;0;1;0;0;1;1;0
;;77;Heuvelmans, L.F.A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;78;Op de Laak, B.M.T.J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;79;Reichrath, R.;9;0;0;0;0;0;0;0;1;0;2;2;1;3;0
;;80;Smeets, J.A.P.;5;0;0;0;0;0;1;1;0;0;0;0;0;2;1
3;PVV (Partij voor de Vrijheid);;;4611;338;273;271;227;398;315;200;305;301;358;275;311;370;669
;;1;Wilders, G.;4317;307;255;254;207;375;300;184;282;289;334;253;287;349;641
;;2;Agema, M.;100;13;6;7;10;7;3;4;10;2;7;10;8;3;10
;;3;Maeijer, V.;10;2;0;1;0;2;2;3;0;0;0;0;0;0;0
;;4;Markuszower, G.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Fritsma, S.R.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;6;Bosma, M.;11;1;1;0;0;0;1;1;2;1;0;1;0;2;1
;;7;Madlener, B.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;8;van Dijck, A.P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Helder, L.M.J.S.;20;1;2;1;0;0;0;0;1;2;2;1;3;4;3
;;10;Beertema, H.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Graaf, M.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Graus, D.J.G.;100;8;5;7;5;8;5;5;5;6;12;5;9;10;10
;;13;de Roon, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Weerdenburg, V.D.D.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Mulder, E.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Gerbrands, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, L.W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Popken, G.J.F.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kops, A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;van Aalst, R.R.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;van Dijk, E.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;22;Housmans, R.W.P.E.;20;1;0;1;1;3;0;0;5;1;2;1;2;0;3
;;23;Jansen, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Vree, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Aardema, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Dijk, A.J.A.;4;1;1;0;0;0;0;1;0;0;0;1;0;0;0
;;27;de Winter, D.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Bezaan, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kardol, J.C.;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0
;;30;Vlottes, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, R.G.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;van Pijkeren, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Rijken, J.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;34;IJssennagger, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Deún, H.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Vermeer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Boon, M.C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Roks, L.A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;48;van Hattem, A.W.J.A.;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;50;van Strien, G.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SP (Socialistische Partij);;;3224;218;216;150;122;258;229;135;167;182;329;247;209;294;468
;;1;Roemer, E.G.M.;2221;160;148;114;89;187;168;91;110;115;224;168;150;194;303
;;2;Leijten, R.M.;96;3;10;2;7;4;7;6;9;1;10;10;7;7;13
;;3;Marijnissen, L.M.C.;375;24;21;8;11;27;18;13;21;28;46;37;21;27;73
;;4;van Raak, A.A.G.M.;6;0;0;0;0;0;0;1;0;1;1;1;0;1;1
;;5;Karabulut, S.;11;0;0;3;0;0;1;0;0;2;1;1;0;0;3
;;6;Beckerman, S.M.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;7;van Nispen, M.;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;8;Kwint, J.P.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;van Kent, B.;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Laçin, C.;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;11;Futselaar, F.W.;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;12;Kooiman, C.J.E.;4;0;0;2;0;0;0;0;0;1;0;0;0;1;0
;;13;Hijink, H.P.M.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;van Dijk, J.J.;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Smaling, E.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Alkaya, M.Ö.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Gerven, H.P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Heerschop, A.H.J.;18;2;0;0;1;1;0;0;0;4;2;0;2;3;3
;;20;Meijer, A.M.;12;0;0;1;0;0;3;0;0;0;2;2;2;2;0
;;21;Maes, S.A.A.;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0
;;22;Meyer, R.P.E.;355;20;24;15;9;22;25;19;17;21;35;21;25;50;52
;;23;van Dijk-van Leeuwen, S.Y.;7;0;0;0;0;1;1;2;0;1;1;0;0;0;1
;;24;de Wit, D.H.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Peterse, B.;4;1;0;1;0;0;0;0;0;0;0;0;0;0;2
;;26;Hoekstra, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;27;Boerwinkel, E.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hamerslag, P.H.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Buskoop, B.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Temmink, N.G.J.;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;31;de Ridder, N.;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;32;van Sluijs, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Akhiat, A.;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0
;;34;van Gemert, N.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Dijk, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;44;Vliegenthart, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Unen, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Lunteren, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Raaimakers, J.A.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;48;van der Zanden-van der Weijden, N.;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;49;van Rijnsbergen, M.;76;4;8;1;4;10;1;3;8;7;5;5;2;4;14
;;50;Poppe, R.J.L.;3;0;0;1;0;0;0;0;1;0;0;0;0;0;1
5;CDA;;;1953;212;150;52;106;45;141;68;92;88;193;102;162;224;318
;;1;van Haersma Buma, S.;865;90;70;34;43;26;66;34;45;40;78;49;75;91;124
;;2;Keijzer, M.C.G.;177;25;6;4;8;0;9;8;9;7;15;8;20;27;31
;;3;Peters, W.P.H.J.;12;1;1;0;0;0;1;0;0;0;0;0;0;1;8
;;4;Omtzigt, P.H.;31;2;2;2;1;0;4;1;2;1;2;0;3;5;6
;;5;van Toorenburg, M.M.;9;3;0;0;1;0;1;0;0;0;1;1;0;1;1
;;6;Knops, R.W.;38;5;1;2;3;2;6;2;1;2;3;3;3;5;0
;;7;Heerma, P.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;van der Molen, H.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Geurts, J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
