"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Veendam"
"Nummer";"";"0047"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Cultuurcentrum van Beresteyn";"Waterschap Hunze en Aa's";"Huize St Franciscus";"Woonzorgcentrum A.G. Wildervanck";"Verpleeghuis Meander";"Zorglokatie Meander: De Breehorn";"Wijkcentrum Dukdalf";"O.B.S. de Viermaster";"Woon en zorgcentrum Westerhave";"Bijleveldcentrum";"O.B.S. de Sleutel";"Dorpshuis de Molenwiek";"Woonzorgcomplex De Meridiaan";"Buurthuis Noord-West";"O.S.G. Winkler Prins";"VV Borgercompagnie"
"1";"VVD";"";"";"2380";"199";"179";"71";"150";"122";"105";"66";"210";"148";"244";"124";"86";"153";"136";"59";"262";"66"
"";"";"1";"Rutte, M.";"1791";"151";"140";"53";"111";"96";"86";"49";"157";"103";"184";"100";"65";"101";"100";"48";"197";"50"
"";"";"2";"Hennis-Plasschaert, J.A.";"185";"17";"12";"6";"8";"10";"8";"6";"14";"19";"20";"5";"4";"10";"13";"7";"23";"3"
"";"";"3";"Zijlstra, H.";"27";"3";"1";"1";"1";"2";"1";"1";"1";"4";"0";"0";"1";"1";"3";"2";"4";"1"
"";"";"4";"van Ark, T.";"14";"2";"0";"0";"1";"0";"0";"1";"4";"0";"3";"0";"0";"2";"1";"0";"0";"0"
"";"";"5";"Dijkhoff, K.H.D.M.";"86";"8";"11";"4";"6";"2";"4";"1";"8";"3";"15";"6";"3";"5";"3";"0";"7";"0"
"";"";"6";"Dekker, S.";"3";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Visser, B.";"5";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"8";"Harbers, M.G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"ten Broeke, J.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Azmani, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wiersma, A.D.";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Lodders, W.J.H.";"7";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"3";"0";"0";"0";"1"
"";"";"13";"van 't Wout, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"15";"Duisenberg, P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Hermans, S.T.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"17";"Mulder, A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"de Vries, A.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"";"";"19";"Ye?ilgöz-Zegerius, D.";"7";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0";"1"
"";"";"20";"Rutte, A.C.L.";"133";"9";"5";"4";"11";"4";"3";"5";"15";"7";"12";"4";"8";"13";"7";"1";"22";"3"
"";"";"21";"Tellegen, O.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Koerhuis, D.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ziengs, E.";"33";"2";"2";"1";"1";"1";"0";"0";"3";"7";"3";"1";"0";"6";"3";"0";"1";"2"
"";"";"24";"Bosman, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Bosch, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"El Yassini, Z.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Dijkstra, R.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Wörsdörfer, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Weverling, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Nijkerken-de Haan, C.N.A.";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"31";"Potters, S.C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Oosten, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Koopmans, S.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Middendorp, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"van der Linde, R.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"van Keulen, J.M.";"40";"3";"3";"0";"5";"1";"1";"0";"2";"3";"4";"3";"1";"3";"2";"1";"5";"3"
"";"";"37";"Laan-Geselschap, A.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Tielen, J.Z.C.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Veldman, H.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Heerema, R.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"van Haga, W.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"de Lange, L.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Gent, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"de Veth, A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"Van Wijngaarden, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"46";"Aartsen, A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Regterschot, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Smals, B.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Pauwels-Paauw, M.S.";"4";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"50";"Bolkestein, M.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"51";"Snoeren, M.A.J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"52";"Heemskerk, J.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"53";"Tönjann-Levert, W.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"54";"van Rijn, R.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"55";"de Reus, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"56";"Dral, R.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"57";"Korting, I.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"58";"Arends-Drijver, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"59";"Lock, K.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"60";"Hoekstra, F.";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"61";"van Schie, A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"62";"Struijlaart, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"63";"Haseloop-Amsing, T.H.";"12";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"5";"0";"0";"1";"1"
"";"";"64";"Jacobs, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"65";"Elbertsen, J.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"66";"van Dijk, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Mos, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"68";"Böcker, B.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"69";"de Rijk, R.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"70";"Welter, Y.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Derks, N.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Joziasse, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"";"";"73";"Bevers, H.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"74";"Prins, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"Huisman-Peelen, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"76";"Bonnevits-de Jong, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"77";"Lochtenberg, D.S.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"78";"Larson, C.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"79";"Zevenbergen, E.F.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"80";"van der Weijden, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"2";"Partij van de Arbeid (P.v.d.A.)";"";"";"1591";"140";"135";"66";"84";"95";"51";"95";"150";"116";"111";"83";"63";"66";"138";"63";"117";"18"
"";"";"1";"Asscher, L.F.";"864";"73";"70";"38";"38";"66";"18";"55";"78";"61";"58";"42";"47";"33";"88";"45";"46";"8"
"";"";"2";"Arib, K.";"84";"4";"10";"4";"5";"4";"4";"3";"12";"3";"8";"7";"3";"4";"3";"2";"7";"1"
"";"";"3";"Dijsselbloem, J.R.V.A.";"112";"9";"9";"5";"6";"4";"5";"6";"9";"10";"5";"8";"3";"5";"8";"1";"16";"3"
"";"";"4";"Dijksma, S.A.M.";"78";"9";"6";"2";"7";"0";"2";"6";"5";"3";"11";"2";"2";"5";"4";"0";"13";"1"
"";"";"5";"van Dijk, G.J.";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"6";"Kuiken, A.H.";"14";"0";"1";"2";"4";"0";"0";"1";"0";"1";"1";"0";"0";"2";"0";"1";"1";"0"
"";"";"7";"Nijboer, H.";"201";"17";"11";"7";"12";"5";"14";"13";"24";"24";"17";"9";"3";"4";"12";"9";"19";"1"
"";"";"8";"van den Hul, K.A.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"9";"Moorlag, W.J.";"93";"13";"17";"3";"2";"6";"3";"3";"7";"3";"4";"6";"1";"9";"9";"0";"5";"2"
"";"";"10";"Ploumen, E.M.J.";"24";"2";"2";"0";"2";"0";"2";"1";"2";"5";"0";"2";"0";"0";"4";"1";"1";"0"
"";"";"11";"Kerstens, J.W.M.";"8";"0";"0";"0";"2";"0";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"1";"0"
"";"";"12";"de Kock, J.C.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Marcouch, A.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Volp, M.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Moti, R.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Yücel, K.";"9";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"";"";"17";"Servaes, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Bozkurt, E.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van der Linde, I.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Oosterbaan, C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"21";"Mohandis, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Ypma, L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"23";"Recourt, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"24";"Maij, M.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"de Kort, M.V.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Roopram, R.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"27";"Hoogland, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schellekens, G.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Vries, A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Biemans, M.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Brouwer, H.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Vos, M.L.";"4";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Reinaerts, J.L.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Dibi, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"van Drooge, S.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Asante, A.A.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Ünver, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Vermue, J.G.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"van Dekken, T.R.";"27";"3";"2";"0";"0";"1";"0";"3";"2";"1";"2";"4";"0";"0";"4";"1";"3";"1"
"";"";"40";"Hedin-Penninx, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Deen, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Vorselman-Derksen, C.H.W.J.";"5";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"";"";"43";"Pentenga, F.";"3";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"van den Boogaard, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Laar, R.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Schrofer, T.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van Houwelingen, H.E.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Mulder, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Bolhuis, W.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Günal-Gezer, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"51";"Staal, J.J.";"7";"2";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"52";"Boot, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"53";"Chahim, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"54";"Koenders, P.T.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"55";"Breederveld, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"56";"Menenti, L.M.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"57";"van de Burgt, R.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"58";"Repetur, M.E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"59";"Akrouh, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"60";"Engbers, A.H.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"61";"Ronnes, T.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"62";"Wijntuin, P.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"63";"Brouwers, L.W.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"64";"van Zantvoort, A.H.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"65";"Cohen, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"66";"Dankert, A.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Bouteibi, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"68";"Voigt, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"69";"Schuurman Hess, J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"70";"Klomp, B.C.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Keizer, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Houben, T.A.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"73";"van 't Zelfde, E.R.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"74";"Doevendans, S.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"de Haan, F.G.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"76";"Bloemhoff, C.E.";"10";"2";"0";"3";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
