Nr;Stembureau;Lijstnr 1 ;Lijstnr 2 ;Lijstnr 3 ;Lijstnr 4 ;Lijstnr 5 ;Lijstnr 6 ;Lijstnr 7 ;Lijstnr 8 ;Lijstnr 9 ;Lijstnr 10 ;Lijstnr 11 ;Lijstnr 12 ;Lijstnr 13 ;Lijstnr 14 ;Lijstnr 15 ;Lijstnr 16 ;Lijstnr 17 ;Lijstnr 18 ;Lijstnr 19 ;Lijstnr 20 ;Lijstnr 21 ;Lijstnr 22 ;Lijstnr 24 ;Lijstnr 28 ;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;Aantal opgeroepen;Opkomst percentage
18;Sporthal de Veerburg 2;336;58;166;122;135;137;25;92;0;33;53;1;9;0;5;31;1;0;0;4;0;0;5;2;1215;1;1216;2;1218;1587;76,75%
19;SV Wieringerwaard;353;81;226;100;134;139;19;93;15;51;29;2;7;0;4;27;2;0;1;1;0;0;1;1;1286;0;1286;4;1290;1757;73,42%
20;St. Tree (voormalige Ankerkerk);210;61;210;110;94;74;17;68;5;32;52;1;7;1;4;50;0;0;0;3;0;0;3;1;1003;0;1003;2;1005;1509;66,60%
21;Zorgcentrum Lelypark;463;112;333;235;279;169;56;102;20;54;100;1;9;0;2;61;0;2;2;4;0;2;5;0;2011;1;2012;5;2017;1396;144,48%
24;Verenigingsgebouw De Schakel;328;47;159;77;198;104;52;52;12;27;39;3;6;0;0;36;0;0;0;2;0;0;7;0;1149;0;1149;1;1150;1483;77,55%
25;MFC De Doorbraak;90;14;139;27;82;26;13;17;15;10;13;0;1;0;1;18;1;1;0;2;0;0;1;0;471;0;471;0;471;806;58,44%
26;De Meerbaak 1;318;43;153;89;228;117;55;69;12;17;39;1;9;0;2;19;0;0;1;4;0;5;1;0;1182;1;1183;1;1184;1339;88,42%
28;De Meerbaak 2;328;41;177;91;200;116;39;63;12;26;38;3;10;1;2;21;0;0;0;5;0;0;0;0;1173;2;1175;1;1176;1400;84,00%
31;Café Beentjes;422;89;215;109;119;147;13;96;1;38;38;4;10;0;4;54;0;0;2;6;0;2;0;0;1369;2;1371;2;1373;1231;111,54%
32;Dorpshuis De Lutters;131;42;65;47;53;52;2;30;1;15;18;1;4;0;1;15;1;1;0;0;1;0;1;0;481;0;481;0;481;592;81,25%
34;Dorpshuis Harmonie;574;71;194;90;252;155;16;88;2;47;78;4;7;0;0;24;1;0;0;1;0;0;0;0;1604;3;1607;3;1610;1849;87,07%
35;Rijvereniging Bucephalus;207;35;75;46;61;79;6;95;4;31;17;1;4;0;0;22;1;0;3;3;0;0;1;0;691;1;692;1;693;885;78,31%
36;Dorpshuis De Nieuwe Horn;176;58;94;85;48;66;3;65;7;30;27;2;5;0;3;30;0;0;1;2;1;0;2;1;706;0;706;2;708;810;87,41%
37;Woon- en Zorgcomplex De Trambaan;405;101;173;105;158;160;15;89;3;52;56;3;11;0;0;29;1;0;0;5;0;0;0;0;1366;2;1368;3;1371;1070;128,13%
38;De Roode Eenhoorn;370;82;100;85;115;146;14;88;5;44;41;9;10;0;0;27;0;0;0;7;0;1;0;1;1145;2;1147;3;1150;2412;47,68%
39;Ons Centrum (naast kerk Samenstroom) 1;207;42;96;71;121;80;20;38;7;22;33;0;4;2;1;37;0;0;0;1;0;0;3;0;785;0;785;4;789;1351;58,40%
40;Ons Centrum (naast kerk Samenstroom) 2;207;34;102;52;159;64;32;23;6;14;33;2;5;0;3;18;0;0;2;3;0;0;3;0;762;5;767;3;770;1240;62,10%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totaal;8618;1650;4375;2455;3887;2936;576;1867;174;820;1233;62;218;15;61;859;15;8;19;89;3;15;80;7;30042;26;30068;58;30126;36460;82,63%
