Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 25 ,Lijstnr 26 ,Lijstnr 27 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
16,RK Basisschool de Schakel,322,81,112,175,240,185,15,102,2,21,27,1,9,0,1,16,0,0,0,0,0,0,0,0,0,0,0,1309,0,1309,0,1309,1403,"93,30%"
17,Centrum Goud,146,71,69,135,223,110,17,75,1,26,41,2,4,3,2,9,0,1,0,3,0,0,0,1,0,0,0,939,1,940,1,941,1342,"70,12%"
18,Centrum d'n Hof,211,44,69,91,295,99,14,81,6,27,27,1,2,0,1,14,1,1,0,0,0,3,0,0,0,0,0,987,0,987,1,988,1225,"80,65%"
19,Woonzorgcentrum De Hassinkhof,156,16,45,82,383,68,2,20,2,7,27,1,1,0,0,7,0,0,0,2,0,0,0,1,0,0,0,820,0,820,1,821,1069,"76,80%"
20,Kulturhus Beltrum,216,25,66,100,578,99,2,30,6,2,26,3,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1176,2,1178,3,1181,1255,"94,10%"
21,De Hofmaat,205,137,162,225,178,142,24,78,2,25,45,4,7,0,1,20,0,0,0,2,1,0,1,1,0,0,0,1260,1,1261,1,1262,1385,"91,12%"
22,Het Assink Lyceum,247,45,145,114,140,126,13,60,0,27,37,5,3,1,0,13,0,0,0,0,0,0,0,2,0,0,0,978,0,978,0,978,1285,"76,11%"
23,OBS De Hofmaat,223,69,225,181,193,132,17,64,1,23,26,0,5,8,5,20,1,0,0,1,0,0,0,1,0,0,3,1198,0,1198,2,1200,1391,"86,27%"
24,Kard. Alfrinkschool,184,73,107,131,197,127,37,40,3,15,23,5,7,0,0,15,0,0,0,1,2,0,0,1,0,0,3,971,0,971,3,974,1368,"71,20%"
25,Basisschool de Marke,225,82,187,163,208,139,24,83,1,22,31,3,6,3,0,9,0,0,0,1,0,0,0,0,1,0,0,1188,2,1190,4,1194,1381,"86,46%"
26,Dorpsaccommodatie Rietmolen,143,9,74,54,270,69,3,22,0,7,13,0,2,0,5,8,0,0,0,3,0,2,0,2,0,0,0,686,1,687,0,687,806,"85,24%"
27,Gemeenschaphuis 't Haarhoes,181,35,77,40,111,84,10,20,0,9,11,2,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,587,1,588,1,589,728,"80,91%"
28,De Pickerhal,147,67,107,133,179,107,8,63,1,14,30,2,3,5,1,18,1,0,0,6,3,0,1,2,0,0,1,899,0,899,1,900,1426,"63,11%"
29,Kulturhus Ruurlo,457,72,97,89,203,190,23,78,1,22,26,1,8,0,0,24,1,1,0,2,0,1,0,1,0,0,0,1297,0,1297,1,1298,1397,"92,91%"

,Totaal,6702,2017,2995,3834,6099,3408,419,1973,80,575,782,64,118,69,24,382,9,10,4,54,12,15,2,33,2,2,17,29701,30,29731,65,29796,35130,"84,82 %"
