Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hilversum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Mozarthof School;Openbare Bibliotheek;Chr. Verpleeghuis 'Gooizicht';Zorgcentrum 'De Boomberg';Anna Gebouw;'Emmaushuis';Wijkcentrum 'De Koepel';Goudenregenschool Kerkelanden;Nieuw Kerkelanden;obs Elckerlycschool;Bavinckschool;Violenschool;Intern. school (vh Rembr.sch.);Hilversumse School Vereniging;Wijkcentrum 'De Zoutkeet';Verzorgingshuis 'Zuiderheide';Zorgcentrum 'St. Carolus'; Goudenregenschool;Woond.centr. 'De Egelantier';Diependaalse Kerk;Woondienstencentrum Lopes Dias;Fresh Forward;Da Costaschool;Sterrenschool Hilversum;Scouting clubhuis 'De Orion';Wijkcentrum De Geus;College de Opmaat;Sportcafé 'De Lieberg';Lorentzschool;Wijkcentrum 'St.Joseph';Gebouw 'Rotor Media';Evangelische Omroep;Zorgcentrum 'Gooiers Erf';Wijkcentrum 'De Kruisdam';Gebouw 'T Luye Gat';Station Hilversum;Ned. Inst. voor Beeld en Geluid
;;2;Hennis-Plasschaert, J.A.;1189;40;68;46;29;20;39;48;45;16;7;44;41;26;39;30;40;17;36;39;32;80;25;10;39;24;36;14;17;20;24;27;12;23;25;39;26;26;20
;;3;Zijlstra, H.;102;5;9;4;3;3;2;2;8;1;2;2;4;0;3;5;4;2;1;4;5;10;0;0;3;2;3;1;0;2;1;2;1;1;2;2;0;2;1
;;4;van Ark, T.;72;2;2;2;1;2;1;2;2;0;0;2;1;0;4;3;0;1;25;3;2;1;2;2;2;0;1;0;2;2;1;1;0;0;0;2;1;0;0
;;5;Dijkhoff, K.H.D.M.;843;43;57;32;25;25;19;37;28;13;16;29;34;17;29;26;22;14;0;28;25;52;15;9;20;17;19;10;18;18;27;6;8;14;16;24;8;27;16
;;6;Dekker, S.;18;0;2;1;0;1;0;0;1;0;0;1;0;0;2;1;0;0;0;1;0;1;1;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;1
;;7;Visser, B.;44;1;2;0;2;1;1;3;0;0;0;2;2;2;2;3;0;0;2;0;1;2;1;0;1;1;3;2;0;0;0;0;3;0;0;2;1;2;2
;;8;Harbers, M.G.J.;14;0;0;2;1;0;2;0;0;0;0;1;0;0;0;1;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;ten Broeke, J.H.;15;3;4;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;10;Azmani, M.;8;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Wiersma, A.D.;19;0;5;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;2;0
;;12;Lodders, W.J.H.;16;1;0;0;1;0;0;3;0;0;0;0;0;0;2;0;0;1;0;0;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0
;;13;van 't Wout, B.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Becker, B.;18;2;1;0;0;2;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;3;0;1;1;0;1;0;0;1;0;0;1;0
;;15;Duisenberg, P.J.;21;2;6;1;0;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0
;;16;Hermans, S.T.M.;42;2;0;5;1;0;0;1;0;1;0;3;2;0;1;4;0;1;2;1;3;3;0;3;2;0;0;2;1;0;1;0;0;1;1;1;0;0;0
;;17;Mulder, A.;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;1;0
;;18;de Vries, A.;27;0;5;3;0;0;0;1;0;0;0;1;0;2;1;0;3;1;1;1;1;2;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;1;0
;;19;Ye?ilgöz-Zegerius, D.;65;3;2;6;2;2;5;0;3;0;4;1;0;1;3;3;0;0;2;2;1;2;1;1;2;1;0;2;2;2;1;2;1;2;1;1;1;2;1
;;20;Rutte, A.C.L.;11;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;21;Tellegen, O.C.;26;1;4;2;1;0;0;2;1;3;0;0;1;0;0;2;2;0;0;0;0;0;2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0
;;22;Koerhuis, D.A.N.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Ziengs, E.;5;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bosman, A.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;van den Bosch, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;El Yassini, Z.;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;27;Dijkstra, R.J.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Wörsdörfer, M.;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Weverling, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;30;Nijkerken-de Haan, C.N.A.;71;2;4;5;1;1;0;5;3;1;1;2;3;0;3;2;4;0;2;4;2;6;2;1;1;0;2;1;0;1;4;1;1;0;0;1;0;5;0
;;31;Potters, S.C.C.M.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;32;van Oosten, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Koopmans, S.M.G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;34;Middendorp, J.;5;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Linde, R.E.;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Keulen, J.M.;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;37;Laan-Geselschap, A.J.M.;12;1;0;2;0;1;0;1;0;0;0;2;1;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Tielen, J.Z.C.M.;20;0;1;0;0;1;0;0;2;0;0;0;3;0;0;0;0;0;1;0;3;4;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0
;;39;Veldman, H.S.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Heerema, R.J.;18;0;0;3;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0
;;41;van Haga, W.R.;16;2;1;3;0;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;de Lange, L.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Gent, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Veth, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Van Wijngaarden, J.;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Aartsen, A.A.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Regterschot, K.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;48;Smals, B.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Pauwels-Paauw, M.S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bolkestein, M.N.;4;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;51;Snoeren, M.A.J.;13;1;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0
;;52;Heemskerk, J.J.;19;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;2;1;0;0;0;4;0;0;0
;;53;Tönjann-Levert, W.E.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;van Rijn, R.K.;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;de Reus, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;56;Dral, R.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;57;Korting, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Arends-Drijver, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Lock, K.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;60;Hoekstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;61;van Schie, A.G.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;Struijlaart, E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;63;Haseloop-Amsing, T.H.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;64;Jacobs, B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Elbertsen, J.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;van Dijk, S.;7;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0
;;67;Mos, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Böcker, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;de Rijk, R.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;70;Welter, Y.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Derks, N.G.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Joziasse, M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;73;Bevers, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Prins, A.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;Huisman-Peelen, H.;4;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;76;Bonnevits-de Jong, L.;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;77;Lochtenberg, D.S.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Larson, C.R.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;79;Zevenbergen, E.F.A.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;80;van der Weijden, M.;17;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;2;3;0;1;0;2;1;0;0;1;0;0;0;0;0;2;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;3314;102;34;103;58;74;95;85;116;76;68;69;86;86;90;43;79;67;89;99;107;103;133;43;98;90;126;74;95;98;127;97;65;50;106;131;86;132;34
;;1;Asscher, L.F.;1930;50;20;60;38;39;56;49;74;49;47;37;54;42;56;22;40;47;49;51;67;57;80;33;60;42;77;45;52;46;77;58;45;30;62;87;45;69;18
;;2;Arib, K.;326;14;5;12;6;9;16;12;11;6;5;9;9;8;8;5;8;6;9;9;13;12;10;1;9;15;13;7;6;10;6;14;3;2;4;10;7;12;5
;;3;Dijsselbloem, J.R.V.A.;348;11;3;10;7;8;6;6;10;12;6;8;9;5;8;5;13;6;16;19;10;9;8;5;7;10;19;5;9;16;18;10;7;6;9;12;9;10;1
;;4;Dijksma, S.A.M.;162;3;0;5;1;4;3;6;9;5;1;4;4;2;6;4;5;3;5;4;4;4;9;1;2;4;6;3;7;8;5;3;1;0;5;12;6;7;1
;;5;van Dijk, G.J.;9;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
;;6;Kuiken, A.H.;34;4;0;1;0;0;0;1;3;0;0;0;0;3;1;0;3;0;0;2;0;1;2;0;1;0;0;1;0;3;1;0;0;1;0;0;4;2;0
;;7;Nijboer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Hul, K.A.E.;18;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1
;;9;Moorlag, W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Ploumen, E.M.J.;170;10;4;6;3;3;1;4;2;1;4;6;2;11;2;2;3;3;4;7;8;7;3;2;4;6;4;1;6;4;7;5;2;3;10;5;6;4;5
;;11;Kerstens, J.W.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
;;12;de Kock, J.C.M.;18;1;1;0;0;2;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;3;0
;;13;Marcouch, A.;27;0;0;1;1;0;0;0;1;0;0;2;2;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;3;0;4;3;0
;;14;Volp, M.J.;32;1;0;2;1;2;0;1;0;0;0;0;1;1;2;1;1;0;1;1;1;2;1;0;2;2;2;1;0;1;1;0;1;1;0;0;1;0;1
;;15;Moti, R.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Yücel, K.;45;1;0;0;0;4;0;0;1;0;0;0;2;2;1;1;0;2;0;0;0;0;0;0;5;6;0;1;3;2;0;1;3;0;3;1;0;6;0
;;17;Servaes, M.;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;1;0;3;0;0;0;1;0
;;18;Bozkurt, E.;13;2;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0
;;19;van der Linde, I.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Oosterbaan, C.;9;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
;;21;Mohandis, M.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;22;Ypma, L.;9;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Recourt, J.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;24;Maij, M.E.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Kort, M.V.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Roopram, R.D.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;27;Hoogland, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schellekens, G.M.M.;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
