"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente 's-Hertogenbosch"
"Nummer";"";"0796"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Stadskantoor";"Stadsbibliotheek";"Wooncentrum Antoniegaarde";"Muziekcentrum De Toonzaal";"BS  Het Bossche Broek (centrum)";"Nutsschool L.W. Beekman";"Verkadefabriek";"Woon- en Zorgcentrum Nieuwehagen";"Stadsarchief";"Scouting Lucas";"Lucaskerk";"BS Het Bossche Broek (zuid)";"Brede Bossche School Zuid";"Provinciehuis";"Basisschool Oberon";"Park Eemwijk";"Zorgcentrum De Grevelingen";"Brede Bossche School de Graaf";"Brede Bossche School aan de Aa";"Verzamelgebouw Seringenstraat";"Welzijnsonderneming Divers";"Buurthuis Graafsewijk Noord";"Dependance Sancta Maria Mavo";"H. Sacramentskerk";"Dagactiviteitencentrum De Stijl";"Trefpunt De Slinger";"BBS-school Boschveld";"Steunpunt De Westhoek";"'t Buurthuis";"RK Annakerk";"Kindcentrum De Ontdekking";"Woonzorgcentrum De Taling";"BBS De Kruiskamp Zuid";"Gereformeerde Kerk";"BBS De Kruiskamp Noord";"Dagcentrum De Schalm";"Weener XL";"Nico Schuurmanshuis";"Novadic Kentron";"Avans Hogeschool";"Clubhuis Voetbalvereniging TGG";"Centrum voor Tandzorg";"Gymlokaal Klokkenlaan";"Jongerencentrum De Poort";"Steunpunt Epigoon";"Kindcentrum Wijboom";"SCC De Schans";"Montessorischool Merlijn";"Campanile Hotel";"Basisschool Meander";"Sociaal Cultureel Centrum d'n As";"Kindcentrum Caleidoscoop";"Basisschool 't Wikveld";"Jenaplanschool Antonius Abt";"Dorpshuis De Engelenburcht";"Tennisvereniging Engelen";"Mobiel stembureau";"Tijdelijke Unit Station";"Steunpunt van Meeuwenhof";"Sociaal Cultureel Centrum Perron- 3";"Basisschool De Krommenhoek";"Basisschool De Hobbit";"Gymlokaal BS De Overlaet";"Kindcentrum 't Ven";"HEVO Seniorenvereniging";"R.K. Basisschool De Troubadour";"Hub Noord-Brabant";"Vakschool Schilders - Stukadoors";"SCC de Biechten";"Kindcentrum Het IJzeren Kind";"Kindcentrum Meerlaer";"Rodenborch College";"EC 't Sparrenbos (De Vlek)";"Wijkonderkomen Rosmalen";"Wijkcentrum Windkracht 5";"Kindcentrum de Sprong";"Kindcentrum De Hoven";"B.O. De Witte Wielen";"Koning Willem I College";"Avans Hogeschool";"BBS Haren-Donk-Reit";"Verzorgingshuis Noorderkroon";"Activiteitencentrum Duinendaal";"Verzorgingshuis De Hooghe Clock";"BBS De Hambaken";"Dagcentrum Eygenweg";"Kindcentrum Sterrenbosch";"Tijdelijke Unit Maaspoort";"Basisschool 't Schrijverke";"Basisschool De Hoogakker";"Gemeenschapshuis De Meent";"Martinushuis";"Gemeenschapshuis 't Zijl"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"19";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"7"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"26";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"5";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0";"7"
"";"andere verklaring";"";"";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";"";"";"21683";"541";"443";"225";"52";"261";"240";"149";"101";"264";"134";"134";"667";"101";"132";"140";"122";"122";"218";"109";"154";"15";"93";"178";"162";"125";"267";"60";"108";"111";"139";"204";"145";"122";"129";"151";"84";"47";"119";"189";"192";"52";"101";"61";"126";"135";"211";"159";"324";"210";"582";"393";"380";"493";"551";"326";"437";"48";"636";"187";"434";"163";"320";"302";"514";"113";"686";"340";"166";"425";"262";"269";"217";"204";"136";"592";"309";"514";"95";"119";"453";"131";"88";"163";"139";"80";"145";"114";"429";"267";"78";"482";"181";"392"
"";"";"1";"Rutte, M.";"16976";"407";"325";"178";"40";"185";"180";"106";"85";"203";"94";"97";"518";"73";"96";"112";"101";"107";"153";"87";"121";"14";"72";"126";"114";"90";"189";"49";"79";"88";"110";"170";"116";"95";"109";"127";"65";"37";"93";"150";"140";"43";"83";"45";"100";"114";"174";"124";"251";"168";"470";"310";"299";"380";"403";"268";"344";"44";"453";"165";"326";"129";"256";"248";"420";"98";"536";"254";"129";"343";"202";"194";"167";"159";"112";"465";"244";"439";"74";"91";"340";"110";"69";"131";"116";"71";"118";"86";"341";"213";"67";"414";"153";"322"
"";"";"2";"Hennis-Plasschaert, J.A.";"1511";"30";"38";"12";"4";"18";"23";"12";"4";"14";"10";"6";"45";"8";"10";"4";"8";"5";"21";"6";"8";"1";"7";"16";"13";"6";"17";"3";"7";"7";"11";"14";"5";"8";"11";"12";"9";"2";"3";"12";"20";"3";"3";"7";"7";"7";"6";"6";"17";"16";"38";"27";"27";"38";"59";"19";"41";"1";"52";"9";"33";"7";"18";"18";"38";"8";"57";"30";"11";"29";"31";"27";"11";"15";"7";"54";"25";"43";"5";"11";"28";"9";"6";"12";"10";"3";"10";"12";"29";"21";"0";"15";"5";"20"
"";"";"3";"Zijlstra, H.";"134";"4";"3";"1";"1";"1";"5";"1";"0";"4";"0";"1";"2";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"2";"1";"0";"0";"1";"0";"2";"1";"1";"1";"0";"0";"1";"1";"2";"3";"0";"0";"0";"2";"0";"0";"4";"0";"4";"2";"4";"2";"4";"3";"2";"0";"0";"4";"1";"1";"2";"1";"2";"2";"0";"5";"2";"0";"4";"1";"4";"1";"0";"0";"0";"3";"5";"1";"0";"0";"0";"2";"0";"1";"0";"3";"0";"2";"4";"0";"6";"1";"3"
"";"";"4";"van Ark, T.";"118";"5";"3";"0";"0";"0";"1";"0";"1";"3";"0";"1";"3";"1";"0";"18";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"10";"0";"4";"2";"0";"0";"2";"3";"5";"2";"4";"0";"1";"0";"3";"0";"4";"2";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"1";"1";"2";"1";"5";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"3";"1";"0";"4";"0";"1"
"";"";"5";"Dijkhoff, K.H.D.M.";"2111";"78";"55";"22";"0";"36";"20";"22";"10";"29";"19";"22";"73";"13";"22";"0";"10";"7";"31";"11";"18";"0";"9";"21";"26";"21";"47";"4";"19";"10";"13";"11";"17";"12";"5";"8";"7";"4";"19";"16";"23";"4";"5";"4";"0";"13";"24";"14";"35";"14";"50";"43";"32";"55";"57";"32";"40";"3";"84";"9";"50";"19";"40";"23";"43";"6";"70";"36";"22";"34";"22";"31";"29";"24";"9";"57";"26";"2";"9";"9";"57";"9";"6";"13";"9";"1";"12";"15";"34";"16";"7";"29";"4";"30"
"";"";"6";"Dekker, S.";"24";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0"
"";"";"7";"Visser, B.";"72";"0";"2";"2";"7";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"3";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"1";"0";"3";"2";"0";"0";"5";"0";"2";"0";"1";"0";"0";"0";"3";"1";"0";"1";"3";"2";"2";"1";"0";"0";"1";"2";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"2";"0";"0";"1";"3"
"";"";"8";"Harbers, M.G.J.";"15";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1"
"";"";"9";"ten Broeke, J.H.";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0"
"";"";"10";"Azmani, M.";"12";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wiersma, A.D.";"17";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0"
"";"";"12";"Lodders, W.J.H.";"30";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0"
"";"";"13";"van 't Wout, B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"51";"0";"2";"2";"0";"4";"2";"1";"0";"1";"0";"0";"2";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0";"0";"4";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"15";"Duisenberg, P.J.";"9";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Hermans, S.T.M.";"28";"2";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
