Nr;Aanduiding van de politieke groepering;Totaal;Sb 1;Sb 2 ;Sb 3 ;Sb 4 ;Sb 5 ;Sb 6 ;Sb 7 ;Sb 8 ;Sb 9 ;Sb 10;Sb 11;Sb 12;Sb 13;Sb 14;Sb 15;Sb 16;Sb 17;Sb 18;Sb 19;Sb 20;Sb 21;Sb 22;Sb 23;Sb 24;Sb 25;Sb 26;Sb 27;Sb 28;Sb 29;Sb 30;Sb 31;Sb 32;Sb 33
16;Forum voor Democratie;417;25;11;13;19;11;7;13;35;20;21;11;15;11;25;4;6;14;14;9;9;7;22;5;11;3;11;15;8;15;5;9;8;5
17;De Burger Beweging;19;2;0;0;1;0;0;0;3;1;1;3;2;0;2;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
18;Vrijzinnige Partij;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;GeenPeil;17;1;0;1;1;0;1;1;2;4;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
20;Piratenpartij;61;6;4;1;5;1;0;1;4;2;4;2;2;1;1;0;3;3;3;2;2;0;1;0;1;0;3;2;1;2;1;2;1;0
21;Artikel 1;12;0;1;0;1;1;0;0;0;1;1;1;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
22;Niet Stemmers;22;2;0;1;0;0;4;0;2;0;0;1;4;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0
24;Lokaal in de Kamer;23;2;0;0;0;1;1;2;3;2;2;1;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Aantal op kandidaten uitgebrachte stemmen;28334;1488;697;723;1368;1328;983;1175;1963;1022;1449;756;695;586;1478;256;825;772;1055;969;650;405;1022;813;830;155;951;1152;856;369;172;518;621;232
;Aantal blanco stemmen;29;3;1;1;1;1;2;1;4;4;0;1;1;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0
;Aantal geldige stemmen;28363;1491;698;724;1369;1329;985;1176;1967;1026;1449;757;696;586;1480;256;825;772;1057;969;650;405;1023;813;830;155;951;1152;859;369;172;519;621;232
;Aantal ongeldige stemmen;57;11;1;4;1;7;0;3;4;0;2;3;2;1;2;1;1;0;3;0;3;0;0;0;1;0;0;2;0;3;0;0;2;0
;Aantal kiezers;28420;1502;699;728;1370;1336;985;1179;1971;1026;1451;760;698;587;1482;257;826;772;1060;969;653;405;1023;813;831;155;951;1154;859;372;172;519;623;232
;Aantal opgeroepen kiezers;32925;1618;825;1059;1676;681;1203;1499;2312;1048;1664;1014;1100;732;1681;275;1226;915;924;1148;746;452;1299;923;1044;147;1097;1310;1063;453;200;606;710;275
;Opkomstpercentage;86,32%;92,83%;84,73%;68,74%;81,74%;196,18%;81,88%;78,65%;85,25%;97,90%;87,20%;74,95%;63,45%;80,19%;88,16%;93,45%;67,37%;84,37%;114,72%;84,41%;87,53%;89,60%;78,75%;88,08%;79,60%;105,44%;86,69%;88,09%;80,81%;82,12%;86,00%;85,64%;87,75%;84,36%
