Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 24 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
11,Verpleeghuis Bornholm,432,86,180,85,140,178,48,104,10,46,50,5,5,21,1,38,2,0,2,6,0,0,0,1439,1,1440,15,1455,1890,"76,98%"
12,School Vesterhavet,293,77,141,74,118,172,27,95,3,29,48,1,2,12,2,39,1,1,0,7,11,2,3,1158,1,1159,4,1163,1426,"81,56%"
13,Wijkcentrum 't Kattegat,347,82,212,140,124,180,30,149,4,48,69,4,5,36,1,24,0,1,4,6,2,1,3,1472,1,1473,8,1481,1591,"93,09%"
14,IJwegschool,345,65,139,70,97,161,28,95,17,62,51,1,13,14,2,23,0,0,1,4,6,1,1,1196,1,1197,3,1200,1480,"81,08%"
15,Kerkcentrum de Ark,339,121,320,203,169,203,37,222,11,56,98,3,12,35,4,40,2,0,1,7,15,3,5,1906,3,1909,8,1917,1477,"129,79%"
16,Sociaal Cult. Cent. de Boskern,270,71,187,99,85,139,19,95,8,36,59,1,4,18,1,21,0,0,0,7,6,0,1,1127,2,1129,3,1132,1534,"73,79%"
17,School de Bosrank,191,65,135,91,77,84,18,82,3,39,47,0,4,21,2,11,1,0,0,4,3,0,0,878,0,878,6,884,1610,"54,91%"
18,School De Regenboog,238,43,130,80,77,135,31,78,2,28,29,0,6,6,7,16,2,0,1,2,3,0,0,914,1,915,4,919,1785,"51,48%"
19,School De Tovercirkel,298,58,144,90,101,184,24,90,3,33,64,0,8,7,2,26,1,0,2,6,0,0,1,1142,0,1142,7,1149,1561,"73,61%"
20,Soc.cult. de Veste centrum,498,95,182,79,163,217,33,139,11,37,58,4,3,37,7,25,1,1,3,3,1,2,1,1600,5,1605,1,1606,1810,"88,73%"
21,De Estafette,498,57,196,90,139,199,31,119,17,47,43,0,8,23,5,43,1,0,1,9,0,4,2,1532,1,1533,8,1541,1847,"83,43%"
22,Het Mozaiek,363,53,158,64,178,127,87,79,19,40,53,0,7,7,4,27,0,2,0,5,4,1,1,1279,1,1280,1,1281,1366,"93,78%"
23,De Rustende Jager,325,53,217,61,182,116,57,71,10,44,72,4,11,7,1,27,1,0,0,3,5,3,1,1271,0,1271,4,1275,1253,"101,76%"
24,Antoniusschool,213,37,150,86,200,87,51,67,17,38,54,1,6,16,5,14,1,1,0,1,5,3,2,1055,2,1057,7,1064,1460,"72,88%"
25,Verz.centr. Westerkim,403,77,125,83,212,131,68,78,26,44,63,2,4,8,1,24,1,0,0,1,1,1,0,1353,4,1357,0,1357,1385,"97,98%"
26,Wijkcentrum Linquenda,351,102,250,75,118,157,40,94,10,57,70,1,7,14,2,27,0,0,0,5,5,0,1,1386,0,1386,5,1391,1525,"91,21%"
27,School de Polderrakkers,329,54,193,72,142,129,45,87,10,40,37,0,5,6,2,32,2,1,0,5,2,4,0,1197,1,1198,15,1213,1507,"80,49%"
28,Dorpshuis Het Praatpunt,186,14,128,47,91,58,24,28,34,21,25,1,6,5,0,12,0,0,0,9,0,1,2,692,1,693,1,694,802,"86,53%"
29,Dorpshuis De Ontmoeting,125,9,37,11,69,18,4,8,9,7,8,1,4,0,0,9,0,0,0,1,0,0,0,320,1,321,0,321,353,"90,93%"
30,Clubhuis vv Kagia,388,35,177,45,165,109,67,70,53,28,44,0,5,1,2,36,0,0,0,3,2,0,3,1233,2,1235,2,1237,1510,"81,92%"
31,Dorpshuis de Meerkoet,307,50,175,65,121,97,35,62,64,22,47,3,5,2,4,35,0,0,0,2,0,1,1,1098,0,1098,1,1099,1193,"92,12%"
32,Dorpshuis het Eiland,185,21,123,41,65,84,5,45,2,23,29,0,5,2,2,22,0,0,0,2,1,2,0,659,0,659,2,661,815,"81,10%"
33,Dorpshuis de Oase,482,35,174,55,121,121,25,79,30,47,46,0,5,2,3,24,1,0,0,4,0,0,2,1256,1,1257,3,1260,1386,"90,91%"
34,Dorpshuis 't Oude Fort,180,17,65,12,64,71,6,32,0,17,11,1,1,0,1,17,0,0,1,2,1,0,1,500,1,501,2,503,588,"85,54%"
35,Cruquiushoeve,38,10,22,14,27,9,8,25,2,12,6,1,0,0,1,2,0,1,0,0,0,0,0,178,2,180,0,180,307,"58,63%"
36,Clubhuis sportver. D.S.O.V.,489,75,160,52,137,205,29,108,0,45,36,5,9,10,2,31,0,2,1,7,0,2,1,1406,0,1406,0,1406,1178,"119,35%"
37,Veren.gebouw de Luifel,305,33,105,53,115,87,9,61,16,52,35,3,6,0,0,22,1,0,0,2,1,2,1,909,2,911,3,914,1305,"70,04%"
38,School Aldoende,191,39,227,56,67,71,17,44,2,17,48,2,1,8,0,20,2,0,0,3,0,1,1,817,4,821,2,823,1103,"74,61%"
39,De Bataaf,190,30,201,46,78,57,5,26,1,17,35,2,5,3,1,21,0,0,0,1,0,0,1,720,0,720,5,725,929,"78,04%"
40,Verz.huis Eigen Haard,279,49,226,65,133,82,14,72,1,46,49,0,6,2,1,29,0,0,0,2,2,0,0,1058,2,1060,1,1061,1459,"72,72%"
41,Cult. centr. De Olm,378,50,373,116,156,132,12,92,5,55,53,2,12,12,4,50,1,0,1,4,1,3,1,1513,0,1513,2,1515,1429,"106,02%"
42,Clubhuis v.v. Zwanenburg,264,36,226,38,89,60,9,35,1,19,26,0,7,3,1,39,0,0,0,2,3,0,1,859,0,859,3,862,1143,"75,42%"
43,Dorpshuis de Vluchthaven,191,17,120,12,58,52,6,39,2,24,20,1,3,2,3,26,0,0,0,1,0,1,0,578,0,578,2,580,756,"76,72%"
44,Schuilhoeve,337,57,179,83,101,110,8,55,0,32,52,0,4,1,0,35,1,0,0,1,1,1,1,1059,0,1059,5,1064,1432,"74,30%"
45,Verz.huis Meerwende,407,49,91,29,161,101,8,38,1,19,36,2,2,2,2,10,0,0,0,4,0,1,2,965,1,966,4,970,991,"97,88%"
46,dr. Plesmanschool,292,53,124,41,77,124,14,85,2,27,26,1,6,2,2,22,0,0,0,1,0,0,0,899,1,900,6,906,1179,"76,84%"
47,Dorpshuis Het Dorpshuis,511,80,229,75,132,169,4,95,2,57,44,0,12,24,3,36,0,0,0,1,0,2,0,1476,2,1478,8,1486,1505,"98,74%"
48,Karavanserai,529,65,105,31,95,208,18,84,0,38,26,1,0,4,1,34,0,0,1,5,2,0,0,1247,1,1248,3,1251,1348,"92,80%"
49,Tyndale Seminary,309,48,146,46,87,128,19,69,4,46,34,1,8,10,1,29,3,0,0,3,4,2,0,997,1,998,2,1000,1293,"77,34%"
50,Verenigingsgebouw Rehoboth,97,13,57,7,14,26,4,11,0,15,14,0,1,0,0,8,1,0,0,4,0,0,0,272,2,274,1,275,342,"80,41%"
51,Buurthuis Het Dijkhuis,153,14,56,17,43,26,19,14,3,20,15,0,8,0,0,9,0,0,0,1,0,0,0,398,0,398,0,398,514,"77,43%"
52,Luchthaven Schiphol (Plaza),296,52,65,59,102,217,26,152,2,46,13,0,5,17,0,29,1,1,1,10,9,0,1,1104,1,1105,2,1107,0,0.00%
53,De Zevensprong,382,53,157,75,171,90,48,54,8,36,58,1,12,8,0,25,0,1,1,8,1,0,1,1190,1,1191,2,1193,1554,"76,77%"
54,Dorpshuis de Reede,467,49,190,80,189,112,45,67,17,40,85,1,12,24,3,36,1,0,0,6,2,0,3,1429,4,1433,2,1435,1593,"90,08%"
55,Dorpshuis Marijke,138,8,72,11,72,26,4,26,8,5,16,0,2,0,2,10,0,0,0,1,0,0,0,401,0,401,0,401,450,"89,11%"
56,Dorpshuis de Kern,116,13,39,23,71,28,14,6,3,12,10,2,0,0,3,12,0,0,0,0,3,0,0,355,1,356,0,356,428,"83,18%"
57,Kath. Scholengemeenschap,312,53,190,89,129,194,22,88,3,40,53,2,13,12,5,17,0,0,1,1,9,0,0,1233,0,1233,1,1234,1736,"71,08%"
58,School het Kompas,362,78,187,78,127,175,34,124,10,33,38,4,9,27,6,27,0,0,0,7,3,3,2,1334,11,1345,5,1350,1773,"76,14%"
59,Soc.cult. Amazone,349,57,155,86,122,151,33,93,2,37,52,2,1,16,1,25,1,0,1,4,12,0,0,1200,2,1202,10,1212,1777,"68,20%"
60,Soc.cult. Amazone,378,71,157,66,123,173,39,75,3,32,45,1,6,19,2,26,0,0,0,5,2,0,3,1226,4,1230,4,1234,1748,"70,59%"
61,Kerkelijk centrum De Lichtkring,550,105,218,111,191,247,35,136,3,70,95,4,11,16,3,36,0,0,1,7,6,1,3,1849,1,1850,6,1856,1450,"128,00%"
62,Woonvoorziening Getsewoud,563,53,176,62,163,229,36,113,5,49,32,1,5,24,2,36,1,1,5,6,2,1,0,1565,2,1567,1,1568,1785,"87,84%"
63,ROC MBO College Airport,48,19,23,21,12,49,7,43,0,13,3,0,0,7,0,4,1,0,0,4,13,1,0,268,0,268,2,270,587,"46,00%"
64,Schoollokalen,287,40,97,53,81,166,29,79,1,25,18,0,11,39,1,19,0,0,2,5,6,0,1,960,0,960,0,960,1974,"48,63%"
65,Gymzaal bij scholen,556,69,185,53,155,210,49,95,12,35,41,3,8,12,1,39,1,0,1,8,4,2,1,1540,2,1542,4,1546,1632,"94,73%"
66,Gymzaal bij scholen,463,41,149,53,143,204,43,62,4,34,20,2,7,24,1,32,1,2,0,4,0,2,1,1292,1,1293,2,1295,1290,"100,39%"
67,Gymzaal bij scholen,460,49,181,59,152,196,27,98,15,28,31,2,5,10,4,36,1,0,0,1,1,1,0,1357,2,1359,2,1361,1921,"70,85%"
68,Openbare Bibliotheek,525,92,166,107,138,227,43,113,0,46,65,1,4,24,4,34,1,0,2,5,8,0,2,1607,0,1607,9,1616,2127,"75,98%"
69,KDV Op Stoom,431,52,134,58,111,169,31,80,8,31,36,3,9,14,3,36,1,1,0,2,11,2,1,1224,1,1225,1,1226,1819,"67,40%"
70,Openbare Bibliotheek,538,68,173,76,126,203,55,127,5,33,37,1,5,40,0,40,1,0,0,1,7,1,2,1539,0,1539,12,1551,2213,"70,09%"
71,Het Braambos,458,83,216,81,129,253,43,152,4,54,53,2,8,100,1,36,0,0,0,5,10,1,0,1689,0,1689,11,1700,1698,"100,12%"
72,School de Optimist,521,92,188,89,109,247,27,114,3,44,31,2,8,79,2,34,0,0,0,10,11,5,1,1617,1,1618,7,1625,1948,"83,42%"
73,School Merlijn,504,72,145,79,139,182,18,65,11,27,33,1,10,39,3,29,0,1,1,3,6,0,0,1368,2,1370,6,1376,1528,"90,05%"
74,Wijkcentrum Floriande,703,94,212,86,158,296,53,129,5,53,58,2,9,53,1,51,0,0,2,8,12,1,1,1987,0,1987,6,1993,1848,"107,85%"
75,Het Brandpunt,110,24,55,26,45,61,7,51,4,15,13,1,0,7,2,13,0,2,0,3,2,0,1,442,0,442,0,442,831,"53,19%"
76,"Servicecentrum, Sloterweg 22",381,64,142,32,91,171,16,94,6,32,28,2,5,13,3,25,0,0,0,6,3,2,1,1117,1,1118,3,1121,1329,"84,35%"
77,Wijkcentrum De Nieuwe Silo,222,61,129,72,68,113,33,119,6,29,40,1,5,99,0,23,2,0,0,5,4,1,1,1033,2,1035,7,1042,1047,"99,52%"
78,De Poterne,238,46,98,45,87,115,33,47,0,30,17,1,5,11,0,13,2,2,0,3,2,0,0,795,0,795,2,797,1133,"70,34%"
79,De Wissel,323,45,89,43,93,120,11,78,5,30,25,0,7,1,1,22,0,0,1,3,0,1,0,898,0,898,2,900,1128,"79,79%"
80,Soc.cult. Amazone,268,50,120,57,96,123,28,87,6,22,45,1,8,13,2,25,0,0,0,9,0,2,3,965,2,967,2,969,1355,"71,51%"
81,In het Zomerpark,130,29,39,18,47,44,11,20,2,4,13,1,1,0,1,1,0,0,1,1,1,0,0,364,0,364,1,365,1217,"29,99%"

,Totaal,26485,4462,12096,5128,9182,10903,2223,6579,656,2808,3305,115,470,1381,148,2070,45,23,51,328,272,81,82,88893,108,89001,320,89321,106838,"83,60 %"
