LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 4,Sb 5,Sb 6,Sb 8,Sb 9,Sb 11,Sb 12,Sb 14,Sb 15,Sb 17,Sb 18,Sb 19
,,28,"Wörsdörfer, M. (Martin) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,29,"Weverling, A. (Arne) (m)",7,0,0,0,1,1,0,1,1,1,0,0,0,2,0
,,30,"Nijkerken - de Haan, C.N.A. (Chantal) (v)",26,2,2,2,0,3,1,3,2,4,2,1,2,1,1
,,31,"Potters, S.C.C.M. (Sjoerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Oosten, F. (Foort) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Koopmans, S.M.G. (Sven) (m)",4,1,0,0,0,0,0,1,1,0,0,0,1,0,0
,,34,"Middendorp, J. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van der Linde, R.E. (Roald) (m)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,36,"van Keulen, J.M. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Laan - Geselschap, A.J.M. (Antoinette) (v)",3,0,0,0,1,0,0,0,0,0,1,0,0,1,0
,,38,"Tielen, J.Z.C.M. (Judith) (v)",5,1,1,0,0,0,0,0,0,1,2,0,0,0,0
,,39,"Veldman, H.S. (Hayke) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Heerema, R.J. (Rudmer) (m)",14,3,0,0,4,3,0,3,0,0,0,0,1,0,0
,,41,"van Haga, W.R. (Wybren) (m)",5,0,1,0,0,0,1,0,0,0,1,2,0,0,0
,,42,"de Lange, L.A. (Leendert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"van Gent, T. (Tobias) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"de Veth, A.A. (Jeroen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"Van Wijngaarden, J. (Jeroen) (m)",5,0,0,0,0,0,0,2,0,2,0,1,0,0,0
,,46,"Aartsen, A.A. (Thierry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"Regterschot, K. (Kelly) (v)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,48,"Smals, B.M.G. (Bart) (m)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,49,"Pauwels - Paauw, M.S. (Mirjam) (v)",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,50,"Bolkestein, M.N. (Martijn) (m)",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,51,"Snoeren, M.A.J. (Mark) (m)",5,0,0,0,0,1,0,1,0,1,1,0,0,0,1
,,52,"Heemskerk, J.J. (Jacco) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,53,"Tönjann - Levert, W.E. (Wendelien) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,54,"van Rijn, R.K. (Robert) (m)",169,11,15,15,2,12,9,7,14,26,15,25,3,5,10
,,55,"de Reus, J. (Jan) (m)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,56,"Dral, R.M. (Rosemarijn) (v)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,57,"Korting, I.A. (Irene) (v)",2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,58,"Arends - Drijver, K. (Kathy) (v)",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,59,"Lock, K.P. (Krijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,60,"Hoekstra, F. (Falco) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,61,"van Schie, A.G. (André) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,62,"Struijlaart, E. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,63,"Haseloop - Amsing, T.H. (Tanja) (v)",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,64,"Jacobs, B. (Barry) (m)",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,,65,"Elbertsen, J. (Jenny) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,66,"van Dijk, S. (Saskia) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,67,"Mos, J. (Jasper) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,68,"Böcker, B.M. (Linda) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,69,"de Rijk, R.H. (Roeland) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,70,"Welter, Y. (Yvonne) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,71,"Derks, N.G. (Nick) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,72,"Joziasse, M. (Miranda) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,73,"Bevers, H. (Harry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,74,"Prins, A.J. (Anja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,75,"Huisman - Peelen, H. (Hennie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,76,"Bonnevits - de Jong, L. (Laurine) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,77,"Lochtenberg, D.S.K. (Dylan) (m)",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,78,"Larson, C.R. (Crys) (v)",8,0,0,0,0,0,0,0,1,4,0,0,0,3,0
,,79,"Zevenbergen, E.F.A. (Frederik) (m)",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,,80,"van der Weijden, M. (Maarten) (m)",8,1,1,1,0,1,0,1,0,2,0,1,0,0,0
2,Partij van de Arbeid (P.v.d.A.),1,"Asscher, L.F. (Lodewijk) (m)",494,46,37,30,30,22,47,41,37,64,38,21,39,23,19
,,2,"Arib, K. (Khadija) (v)",76,8,2,5,1,4,10,9,7,7,5,5,5,3,5
,,3,"Dijsselbloem, J.R.V.A. (Jeroen) (m)",94,7,3,6,4,3,13,7,6,15,13,7,4,3,3
,,4,"Dijksma, S.A.M. (Sharon) (v)",54,5,2,5,4,1,3,8,2,5,5,3,7,2,2
,,5,"van Dijk, G.J. (Gijs) (m)",5,0,0,2,0,0,1,2,0,0,0,0,0,0,0
,,6,"Kuiken, A.H. (Attje) (v)",4,0,0,0,0,0,1,0,1,0,0,0,2,0,0
,,7,"Nijboer, H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,8,"van den Hul, K.A.E. (Kirsten) (v)",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,9,"Moorlag, W.J. (William) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Ploumen, E.M.J. (Lilianne) (v)",47,4,6,3,3,3,4,2,3,6,2,6,4,1,0
,,11,"Kerstens, J.W.M. (John) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"de Kock, J.C.M. (Joke) (v)",3,0,0,1,0,0,0,0,0,1,0,0,1,0,0
,,13,"Marcouch, A. (Ahmed) (m)",10,1,1,2,0,0,1,1,2,1,0,0,1,0,0
,,14,"Volp, M.J. (Marith) (v)",9,0,1,0,0,2,2,0,0,2,0,2,0,0,0
,,15,"Moti, R. (Richard) (m)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,16,"Yücel, K. (Keklik) (v)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,17,"Servaes, M. (Michiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Bozkurt, E. (Emine) (v)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,19,"van der Linde, I.M. (Ilco) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,20,"Oosterbaan, C. (Christa) (v)",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,21,"Mohandis, M. (Mohammed) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Ypma, L. (Loes) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Recourt, J. (Jeroen) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,24,"Maij, M.E. (Marit) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,25,"de Kort, M.V. (Martijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Roopram, R.D. (Reshma) (v)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,27,"Hoogland, D. (Duco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Schellekens, G.M.M. (Giselle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"de Vries, A.A. (Albert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Biemans, M.S. (Mirthe) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,31,"Brouwer, H. (Harm) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Vos, M.L. (Mei Li) (v)",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,,33,"Reinaerts, J.L.H. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Dibi, B. (Bouchra) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van Drooge, S.W. (Bas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Asante, A.A. (Amma) (v)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,37,"Ünver, E. (Emre) (m)",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,38,"Vermue, J.G.P. (Joyce) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"van Dekken, T.R. (Tjeerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Hedin - Penninx, A. (Anna-Lena) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Deen, B. (Bob) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"Vorselman - Derksen, C.H.W.J. (Cindy) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Pentenga, F. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"van den Boogaard, A. (Anna) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Laar, R.P. (Roelof) (m)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,46,"Schrofer, T.T. (Tamar) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"van Houwelingen, H.E.F. (Heino) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Mulder, M.A. (Marinka) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,49,"Bolhuis, W.D. (Wimar) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"Günal - Gezer, S. (Sultan) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,51,"Staal, J.J. (Jelmer) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,52,"Boot, E. (Els) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,53,"Chahim, M. (Mohammed) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,54,"Koenders, P.T.C. (Petra) (v)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,55,"Breederveld, R. (Roy) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,56,"Menenti, L.M.E. (Laura) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,57,"van de Burgt, R.H.M. (Richard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,58,"Repetur, M.E. (Lou) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,59,"Akrouh, S. (Saami) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,60,"Engbers, A.H.M.G. (Anita) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,61,"Ronnes, T.L. (Thomas) (m)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,62,"Wijntuin, P.M. (Peggy) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,63,"Brouwers, L.W.L. (Luc) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,64,"van Zantvoort, A.H.G. (Anja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65,"Cohen, F. (Fred) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,66,"Dankert, A.T. (Anne) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,67,"Bouteibi, H. (Hafid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,68,"Voigt, I. (Ivonne) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,69,"Schuurman Hess, J.N. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,70,"Klomp, B.C.D. (Denise) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,71,"Keizer, H.M. (Marco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,72,"Houben, T.A.H. (Tirza) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,73,"van 't Zelfde, E.R.M. (Eric) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,74,"Doevendans, S.S. (Sandra) (v)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,75,"de Haan, F.G. (Foppe) (m)",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,76,"Langenacker, J. (Joyce) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,77,"Polsbroek, F.A.L. (Farida) (v)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,78,"den Uyl, X.J. (Xander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,79,"Voskuil, L.H. (Lars) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,80,"van den Bergh, H.J. (Harry) (m)",4,0,2,1,0,0,0,0,1,0,0,0,0,0,0
3,PVV (Partij voor de Vrijheid),1,"Wilders, G. (Geert) (m)",2125,144,109,201,96,128,198,183,153,235,151,110,175,102,140
,,2,"Agema, M. (Fleur) (v)",163,14,7,11,6,12,17,14,12,25,17,6,12,2,8
,,3,"Maeijer, V. (Vicky) (v)",10,0,0,0,0,0,1,2,2,3,1,0,0,0,1
,,4,"Markuszower, G. (Gidi) (m)",4,0,0,0,0,0,2,0,0,2,0,0,0,0,0
,,5,"Fritsma, S.R. (Sietse) (m)",5,1,0,0,0,1,2,1,0,0,0,0,0,0,0
,,6,"Bosma, M. (Martin) (m)",12,2,0,1,0,0,0,0,0,1,4,1,1,1,1
,,7,"Madlener, B. (Barry) (m)",3,0,0,1,0,1,0,0,0,0,1,0,0,0,0
,,8,"van Dijck, A.P.C. (Teun) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Helder, L.M.J.S. (Lilian) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,10,"Beertema, H.J. (Harm) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11,"de Graaf, M. (Machiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Graus, D.J.G. (Dion) (m)",5,0,0,0,0,0,0,0,0,1,0,1,0,2,1
,,13,"de Roon, R. (Raymond) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"van Weerdenburg, V.D.D. (Danai) (v)",8,1,1,0,1,0,0,1,2,1,0,0,0,0,1
,,15,"Mulder, E. (Edgar) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Gerbrands, K. (Karen) (v)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,17,"de Jong, L.W.E. (Léon) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Popken, G.J.F. (Gabriëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"Kops, A. (Alexander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"van Aalst, R.R. (Roy) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"van Dijk, E. (Emiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Housmans, R.W.P.E. (Robert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Jansen, C.A. (Chris) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"de Vree, J.H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Aardema, M. (Max) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"van Dijk, A.J.A. (Toon) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"de Winter, D. (Daniëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Bezaan, I.A. (Ilse) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Kardol, J.C. (Joyce) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Vlottes, E. (Elmar) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,31,"de Jong, R.G.J. (Rob) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,32,"van Pijkeren, J. (An) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Rijken, J.J. (Jeffrey) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"IJssennagger, H. (Han) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van Deún, H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Vermeer, T.F. (Tim) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Buitelaar, O.S.J. (Olaf) (m)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,38,"Dulfer, T.F. (Tessa) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Boon, M.C.H. (Maikel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Braam, E.G.T. (Ed) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Ludriks, M.S. (Menno) (m)",6,0,0,1,0,0,2,0,0,0,3,0,0,0,0
,,42,"Choenni, N.A. (Nathalie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Roks, L.A.G. (Louis) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Thiadens, F.M. (Folkert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Hees, E.P.G. (Elias) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Kooman, C.V.A. (Caroline) (v)",4,0,0,0,0,0,0,0,0,1,0,0,2,0,1
,,47,"van der Sluijs, D.J. (Dannij) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"van Hattem, A.W.J.A. (Alexander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Stuger, O.F. (Olaf) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"van Strien, G.A. (Gom) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,SP (Socialistische Partij),1,"Roemer, E.G.M. (Emile) (m)",616,31,31,69,23,24,54,75,49,74,37,17,59,46,27
,,2,"Leijten, R.M. (Renske) (v)",84,3,2,4,4,5,11,8,6,19,1,5,9,3,4
,,3,"Marijnissen, L.M.C. (Lillian) (v)",155,11,11,10,7,7,16,16,15,17,10,12,14,5,4
,,4,"van Raak, A.A.G.M. (Ronald) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,"Karabulut, S. (Sadet) (v)",15,0,1,5,0,0,2,2,0,3,1,0,0,0,1
,,6,"Beckerman, S.M. (Sandra) (v)",5,0,0,0,0,0,1,0,0,1,2,1,0,0,0
,,7,"van Nispen, M. (Michiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,8,"Kwint, J.P. (Peter) (m)",2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,9,"van Kent, B. (Bart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Laçin, C. (Cem) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11,"Futselaar, F.W. (Frank) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Kooiman, C.J.E. (Nine) (v)",10,0,1,0,0,1,2,2,1,1,0,0,1,0,1
,,13,"Hijink, H.P.M. (Maarten) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"van Dijk, J.J. (Jasper) (m)",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,,15,"Smaling, E.M.A. (Eric) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Alkaya, M.Ö. (Mahir) (m)",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
,,17,"van Gerven, H.P.J. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Olders, D.W.J. (Diederik) (m)",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,,19,"Heerschop, A.H.J. (Ton) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Meijer, A.M. (Ad) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Maes, S.A.A. (Bas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Meyer, R.P.E. (Ron) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"van Dijk - van Leeuwen, S.Y. (Sun Yoon) (v)",7,1,0,1,0,0,0,0,0,0,3,0,0,1,1
,,24,"de Wit, D.H. (Daniël) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Peterse, B. (Bert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Hoekstra, A.J. (Arnout) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Boerwinkel, E.M.J. (Hans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Hamerslag, P.H. (Patty) (v)",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,,29,"Buskoop, B. (Bram) (m)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30,"Temmink, N.G.J. (Nicole) (v)",3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
,,31,"de Ridder, N. (Nina) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Sluijs, D. (Denise) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Akhiat, A. (Aïsha) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"van Gemert, N.M. (Nicole) (v)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,35,"Dijk, J.P. (Jimmy) (m)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,36,"de Vos, A. (Anita) (v)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,37,"Bekkering, I.H. (Ineke) (v)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,38,"Staarink, I. (Inez) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Müller, G.J.N. (Nils) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Feenstra, F. (Fenna) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Olierook, M.W. (Marcel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
