Nr,Stembureau,Lijstnr 1 VVD,Lijstnr 2 PvdA,Lijstnr 3 PVV,Lijstnr 4 SP,Lijstnr 5 CDA,Lijstnr 6 D66,Lijstnr 7 CU,Lijstnr 8 GL,Lijstnr 9 SGP,Lijstnr 10 PvdD,Lijstnr 11 50+,Lijstnr 12 OP,Lijstnr 13 VNL,Lijstnr 14 DENK,Lijstnr 15 NW,Lijstnr 16 FvD,Lijstnr 17 DBB,Lijstnr 18 VP,Lijstnr 19 GP,Lijstnr 20  PPNL ,Lijstnr 21  Art1kel ,Lijstnr 22 NS,Lijstnr 23 LP,Lijstnr 24 LidK,Lijstnr 26 SNL,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
12,"Het Hooghuis, locatie ZuidWest",156,50,190,262,99,113,7,92,1,22,23,1,1,130,3,16,0,0,0,2,1,0,1,0,0,1170,5,1175,4,1179,1599,"73,73%"
13,D'n Iemhof,291,101,329,415,244,158,22,139,0,28,58,2,0,159,5,25,1,1,0,6,0,2,0,2,0,1988,7,1995,11,2006,2380,"84,29%"
14,Kinderboerderij De Elzenhoek,132,62,204,306,134,115,9,98,3,31,39,1,3,94,1,22,1,0,1,4,1,0,1,2,0,1264,4,1268,6,1274,1862,"68,42%"
15,SV Ruwaard,166,56,200,262,165,123,18,98,2,31,31,1,5,51,1,13,2,0,0,3,2,1,0,0,1,1232,3,1235,1,1236,1766,"69,99%"
16,Horizonschool De Komeet,154,57,304,316,137,121,5,74,1,16,38,0,3,128,0,14,0,0,0,5,0,0,0,2,1,1376,1,1377,5,1382,2045,"67,58%"
17,Rode Kruisgebouw,238,42,226,266,134,155,8,73,1,22,40,6,8,55,3,17,0,0,3,3,0,1,0,4,0,1305,2,1307,2,1309,1685,"77,69%"
18,Basisschool De Korenaer,424,100,318,463,326,247,16,164,3,53,80,3,7,43,3,22,0,0,1,8,4,1,0,2,0,2288,1,2289,6,2295,2698,"85,06%"
19,Wijkcentrum De Hille,367,87,383,548,266,237,9,198,0,47,95,3,0,59,4,31,1,0,0,10,1,0,0,1,0,2347,4,2351,5,2356,2780,"84,75%"
20,Basisschool De Lockaert,504,112,282,427,288,295,22,160,0,43,66,2,6,32,2,37,3,0,1,8,2,1,0,2,0,2295,4,2299,8,2307,2726,"84,63%"
21,Openbare Basisschool Mettegeupel,758,114,330,323,357,333,15,169,1,46,87,2,7,30,2,47,0,2,0,5,0,1,0,3,0,2632,4,2636,4,2640,3154,"83,70%"
22,St. Gemeenschapshuis Acropolis,228,39,146,174,166,130,19,90,0,28,21,1,8,1,1,8,0,0,0,1,0,4,0,0,0,1065,1,1066,4,1070,1247,"85,81%"
23,Gemeenschapshuis Haren,124,10,71,70,124,35,3,17,0,10,17,2,5,0,0,8,0,1,0,1,0,0,1,0,0,499,0,499,0,499,573,"87,09%"
24,Gemeenschapshuis De Bongerd,112,10,66,92,106,38,5,30,1,7,20,0,5,0,0,9,0,0,0,3,0,0,0,0,0,504,3,507,1,508,587,"86,54%"
25,Gemeenschapshuis Vidi Reo,604,125,246,349,377,293,10,191,0,54,82,2,8,5,4,31,0,1,2,5,1,0,0,1,0,2391,7,2398,7,2405,2806,"85,71%"
26,Dorpshuis 't Slotje,446,78,366,315,326,137,12,72,0,23,85,4,8,1,2,24,0,0,0,8,0,0,0,2,0,1909,3,1912,4,1916,2290,"83,67%"
27,Gemeenschapshuis Onder d'n Plag,186,35,58,57,171,86,1,53,0,19,24,1,1,0,0,11,0,0,0,2,2,1,0,0,1,709,0,709,1,710,822,"86,37%"
28,Parochiezaal St. Antonius Abt,111,15,62,52,145,47,3,15,0,9,22,0,0,0,0,3,1,0,1,0,0,1,0,2,0,489,0,489,0,489,567,"86,24%"
29,Gemeenschapshuis De Berchplaets,891,117,631,424,530,288,10,140,1,58,107,4,22,13,3,43,3,0,0,5,0,1,0,3,0,3294,2,3296,2,3298,3617,"91,18%"
30,Zalencentrum De Merx,566,89,517,416,374,185,12,120,6,33,102,5,19,12,3,40,3,0,3,4,0,1,0,2,0,2512,3,2515,4,2519,3884,"64,86%"
31,Gemeenschapshuis De Hoeve,448,68,310,281,318,179,10,86,1,38,56,3,14,1,2,34,0,1,2,2,2,0,1,4,0,1861,1,1862,1,1863,2330,"79,96%"
32,Gemeenschapshuis Avanti,175,37,105,63,223,52,8,24,0,4,15,1,5,0,0,21,0,0,0,0,0,0,0,0,0,733,0,733,0,733,851,"86,13%"
33,Gemeenschapshuis Hart van Oijen,207,19,125,143,191,67,4,25,1,19,17,5,3,0,0,12,0,1,0,0,0,0,0,0,0,839,0,839,2,841,954,"88,16%"
34,Gemeenschaphuis De Nolder,221,28,156,99,209,68,2,31,0,22,30,1,4,1,0,8,1,0,0,5,0,1,0,1,0,888,2,890,2,892,1073,"83,13%"
35,Mobiel stembureau 1,25,17,23,44,48,14,1,11,1,6,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,202,2,204,0,204,181,"112,71%"
36,Mobiel stembureau 2,38,13,28,58,51,11,1,15,1,3,11,0,0,0,0,2,0,0,0,0,0,0,1,1,0,234,2,236,2,238,165,"144,24%"
37,MFC De Koppellinck,798,92,550,414,623,213,11,91,7,33,125,6,14,6,4,52,0,0,0,1,0,0,0,2,1,3043,4,3047,3,3050,3718,"82,03%"
38,St. Ontmoetingscentrum Meteoor,141,35,309,253,108,101,2,78,0,21,31,1,2,142,0,17,0,0,0,8,0,0,0,1,0,1250,2,1252,5,1257,2079,"60,46%"

,Totaal,11541,2204,9167,9598,7942,5422,319,3449,42,1130,1753,74,201,1521,59,847,18,10,15,157,26,25,8,49,4,55581,106,55687,140,55827,69501,"80,33 %"
