Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;
Gebied;;Gemeente Westervoort;;;;;;;;;;
Nummer;;293;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Montessorischool;De Brug;De Bult Wijkcentrum;Het Startblok;Het Ravelijn;De Nieuwhof;Wesstar
;;22;Koerhuis, D.A.N.;1;0;0;0;0;0;1;0;0
;;23;Ziengs, E.;1;0;0;1;0;0;0;0;0
;;24;Bosman, A.;1;1;0;0;0;0;0;0;0
;;25;van den Bosch, A.;0;0;0;0;0;0;0;0;0
;;26;El Yassini, Z.;0;0;0;0;0;0;0;0;0
;;27;Dijkstra, R.J.;3;0;0;0;0;2;0;1;0
;;28;Wörsdörfer, M.;0;0;0;0;0;0;0;0;0
;;29;Weverling, A.;0;0;0;0;0;0;0;0;0
;;30;Nijkerken-de Haan, C.N.A.;5;2;1;0;0;0;2;0;0
;;31;Potters, S.C.C.M.;0;0;0;0;0;0;0;0;0
;;32;van Oosten, F.;0;0;0;0;0;0;0;0;0
;;33;Koopmans, S.M.G.;0;0;0;0;0;0;0;0;0
;;34;Middendorp, J.;0;0;0;0;0;0;0;0;0
;;35;van der Linde, R.E.;0;0;0;0;0;0;0;0;0
;;36;van Keulen, J.M.;0;0;0;0;0;0;0;0;0
;;37;Laan-Geselschap, A.J.M.;0;0;0;0;0;0;0;0;0
;;38;Tielen, J.Z.C.M.;0;0;0;0;0;0;0;0;0
;;39;Veldman, H.S.;9;4;2;1;1;1;0;0;0
;;40;Heerema, R.J.;1;1;0;0;0;0;0;0;0
;;41;van Haga, W.R.;0;0;0;0;0;0;0;0;0
;;42;de Lange, L.A.;0;0;0;0;0;0;0;0;0
;;43;van Gent, T.;0;0;0;0;0;0;0;0;0
;;44;de Veth, A.A.;1;0;0;0;0;0;0;0;1
;;45;Van Wijngaarden, J.;0;0;0;0;0;0;0;0;0
;;46;Aartsen, A.A.;0;0;0;0;0;0;0;0;0
;;47;Regterschot, K.;0;0;0;0;0;0;0;0;0
;;48;Smals, B.M.G.;0;0;0;0;0;0;0;0;0
;;49;Pauwels-Paauw, M.S.;0;0;0;0;0;0;0;0;0
;;50;Bolkestein, M.N.;0;0;0;0;0;0;0;0;0
;;51;Snoeren, M.A.J.;0;0;0;0;0;0;0;0;0
;;52;Heemskerk, J.J.;0;0;0;0;0;0;0;0;0
;;53;Tönjann-Levert, W.E.;0;0;0;0;0;0;0;0;0
;;54;van Rijn, R.K.;2;0;0;1;0;0;0;1;0
;;55;de Reus, J.;0;0;0;0;0;0;0;0;0
;;56;Dral, R.M.;0;0;0;0;0;0;0;0;0
;;57;Korting, I.A.;1;1;0;0;0;0;0;0;0
;;58;Arends-Drijver, K.;0;0;0;0;0;0;0;0;0
;;59;Lock, K.P.;0;0;0;0;0;0;0;0;0
;;60;Hoekstra, F.;0;0;0;0;0;0;0;0;0
;;61;van Schie, A.G.;0;0;0;0;0;0;0;0;0
;;62;Struijlaart, E.;0;0;0;0;0;0;0;0;0
;;63;Haseloop-Amsing, T.H.;0;0;0;0;0;0;0;0;0
;;64;Jacobs, B.;0;0;0;0;0;0;0;0;0
;;65;Elbertsen, J.;5;1;0;0;0;2;0;2;0
;;66;van Dijk, S.;0;0;0;0;0;0;0;0;0
;;67;Mos, J.;0;0;0;0;0;0;0;0;0
;;68;Böcker, B.M.;0;0;0;0;0;0;0;0;0
;;69;de Rijk, R.H.;1;0;0;0;0;1;0;0;0
;;70;Welter, Y.;0;0;0;0;0;0;0;0;0
;;71;Derks, N.G.;3;2;0;0;0;0;0;0;1
;;72;Joziasse, M.;1;0;0;0;1;0;0;0;0
;;73;Bevers, H.;0;0;0;0;0;0;0;0;0
;;74;Prins, A.J.;0;0;0;0;0;0;0;0;0
;;75;Huisman-Peelen, H.;1;0;0;1;0;0;0;0;0
;;76;Bonnevits-de Jong, L.;0;0;0;0;0;0;0;0;0
;;77;Lochtenberg, D.S.K.;0;0;0;0;0;0;0;0;0
;;78;Larson, C.R.;0;0;0;0;0;0;0;0;0
;;79;Zevenbergen, E.F.A.;0;0;0;0;0;0;0;0;0
;;80;van der Weijden, M.;1;0;0;0;0;1;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;606;114;51;46;47;90;98;123;37
;;1;Asscher, L.F.;389;69;34;28;23;49;73;91;22
;;2;Arib, K.;56;8;4;10;6;14;5;7;2
;;3;Dijsselbloem, J.R.V.A.;60;12;5;4;6;7;5;15;6
;;4;Dijksma, S.A.M.;26;6;2;0;6;1;4;5;2
;;5;van Dijk, G.J.;1;0;0;1;0;0;0;0;0
;;6;Kuiken, A.H.;4;0;1;1;0;0;0;1;1
;;7;Nijboer, H.;0;0;0;0;0;0;0;0;0
;;8;van den Hul, K.A.E.;3;2;0;1;0;0;0;0;0
;;9;Moorlag, W.J.;1;1;0;0;0;0;0;0;0
;;10;Ploumen, E.M.J.;15;3;1;0;2;5;2;1;1
;;11;Kerstens, J.W.M.;18;3;3;0;0;7;2;2;1
;;12;de Kock, J.C.M.;3;0;0;0;0;2;1;0;0
;;13;Marcouch, A.;0;0;0;0;0;0;0;0;0
;;14;Volp, M.J.;6;4;0;0;2;0;0;0;0
;;15;Moti, R.;2;0;0;0;0;0;0;0;2
;;16;Yücel, K.;3;1;0;0;1;0;0;1;0
;;17;Servaes, M.;0;0;0;0;0;0;0;0;0
;;18;Bozkurt, E.;0;0;0;0;0;0;0;0;0
;;19;van der Linde, I.M.;1;0;0;0;1;0;0;0;0
;;20;Oosterbaan, C.;1;0;0;0;0;0;1;0;0
;;21;Mohandis, M.;0;0;0;0;0;0;0;0;0
;;22;Ypma, L.;0;0;0;0;0;0;0;0;0
;;23;Recourt, J.;0;0;0;0;0;0;0;0;0
;;24;Maij, M.E.;1;0;0;0;0;1;0;0;0
;;25;de Kort, M.V.;0;0;0;0;0;0;0;0;0
;;26;Roopram, R.D.;0;0;0;0;0;0;0;0;0
;;27;Hoogland, D.;0;0;0;0;0;0;0;0;0
;;28;Schellekens, G.M.M.;2;0;0;0;0;1;1;0;0
;;29;de Vries, A.A.;0;0;0;0;0;0;0;0;0
;;30;Biemans, M.S.;0;0;0;0;0;0;0;0;0
;;31;Brouwer, H.;0;0;0;0;0;0;0;0;0
;;32;Vos, M.L.;0;0;0;0;0;0;0;0;0
;;33;Reinaerts, J.L.H.;0;0;0;0;0;0;0;0;0
;;34;Dibi, B.;2;2;0;0;0;0;0;0;0
;;35;van Drooge, S.W.;0;0;0;0;0;0;0;0;0
;;36;Asante, A.A.;0;0;0;0;0;0;0;0;0
;;37;Ünver, E.;0;0;0;0;0;0;0;0;0
;;38;Vermue, J.G.P.;0;0;0;0;0;0;0;0;0
;;39;van Dekken, T.R.;0;0;0;0;0;0;0;0;0
;;40;Hedin-Penninx, A.;4;0;0;1;0;2;1;0;0
;;41;Deen, B.;0;0;0;0;0;0;0;0;0
;;42;Vorselman-Derksen, C.H.W.J.;0;0;0;0;0;0;0;0;0
;;43;Pentenga, F.;0;0;0;0;0;0;0;0;0
;;44;van den Boogaard, A.;0;0;0;0;0;0;0;0;0
;;45;van Laar, R.P.;0;0;0;0;0;0;0;0;0
;;46;Schrofer, T.T.;0;0;0;0;0;0;0;0;0
;;47;van Houwelingen, H.E.F.;0;0;0;0;0;0;0;0;0
;;48;Mulder, M.A.;0;0;0;0;0;0;0;0;0
;;49;Bolhuis, W.D.;0;0;0;0;0;0;0;0;0
;;50;Günal-Gezer, S.;0;0;0;0;0;0;0;0;0
;;51;Staal, J.J.;1;1;0;0;0;0;0;0;0
;;52;Boot, E.;0;0;0;0;0;0;0;0;0
;;53;Chahim, M.;1;0;1;0;0;0;0;0;0
;;54;Koenders, P.T.C.;0;0;0;0;0;0;0;0;0
;;55;Breederveld, R.;0;0;0;0;0;0;0;0;0
;;56;Menenti, L.M.E.;0;0;0;0;0;0;0;0;0
;;57;van de Burgt, R.H.M.;0;0;0;0;0;0;0;0;0
;;58;Repetur, M.E.;0;0;0;0;0;0;0;0;0
;;59;Akrouh, S.;0;0;0;0;0;0;0;0;0
;;60;Engbers, A.H.M.G.;0;0;0;0;0;0;0;0;0
;;61;Ronnes, T.L.;0;0;0;0;0;0;0;0;0
;;62;Wijntuin, P.M.;1;0;0;0;0;0;1;0;0
;;63;Brouwers, L.W.L.;0;0;0;0;0;0;0;0;0
;;64;van Zantvoort, A.H.G.;0;0;0;0;0;0;0;0;0
;;65;Cohen, F.;0;0;0;0;0;0;0;0;0
;;66;Dankert, A.T.;0;0;0;0;0;0;0;0;0
;;67;Bouteibi, H.;0;0;0;0;0;0;0;0;0
;;68;Voigt, I.;0;0;0;0;0;0;0;0;0
;;69;Schuurman Hess, J.N.;0;0;0;0;0;0;0;0;0
;;70;Klomp, B.C.D.;0;0;0;0;0;0;0;0;0
;;71;Keizer, H.M.;0;0;0;0;0;0;0;0;0
;;72;Houben, T.A.H.;0;0;0;0;0;0;0;0;0
;;73;van 't Zelfde, E.R.M.;0;0;0;0;0;0;0;0;0
;;74;Doevendans, S.S.;0;0;0;0;0;0;0;0;0
;;75;de Haan, F.G.;1;1;0;0;0;0;0;0;0
;;76;de Jonge, A.;0;0;0;0;0;0;0;0;0
;;77;Isselman, R.G.W.;1;1;0;0;0;0;0;0;0
;;78;Jonkman, M.M.;0;0;0;0;0;0;0;0;0
;;79;Kruithof, J.G.;0;0;0;0;0;0;0;0;0
;;80;Weeda, H.J.;3;0;0;0;0;1;2;0;0
3;PVV (Partij voor de Vrijheid);;;1484;253;112;126;188;148;219;322;116
;;1;Wilders, G.;1400;251;105;116;179;136;205;304;104
;;2;Agema, M.;61;0;7;9;7;6;13;11;8
;;3;Maeijer, V.;2;0;0;0;0;0;0;2;0
;;4;Markuszower, G.;1;0;0;0;0;0;0;1;0
;;5;Fritsma, S.R.;0;0;0;0;0;0;0;0;0
;;6;Bosma, M.;4;0;0;0;0;3;0;1;0
;;7;Madlener, B.;0;0;0;0;0;0;0;0;0
;;8;van Dijck, A.P.C.;1;0;0;0;1;0;0;0;0
;;9;Helder, L.M.J.S.;1;0;0;0;0;1;0;0;0
;;10;Beertema, H.J.;0;0;0;0;0;0;0;0;0
;;11;de Graaf, M.;0;0;0;0;0;0;0;0;0
;;12;Graus, D.J.G.;3;1;0;0;0;0;0;0;2
;;13;de Roon, R.;3;1;0;1;0;1;0;0;0
;;14;van Weerdenburg, V.D.D.;0;0;0;0;0;0;0;0;0
;;15;Mulder, E.;0;0;0;0;0;0;0;0;0
;;16;Gerbrands, K.;0;0;0;0;0;0;0;0;0
;;17;de Jong, L.W.E.;0;0;0;0;0;0;0;0;0
;;18;Popken, G.J.F.;0;0;0;0;0;0;0;0;0
;;19;Kops, A.;3;0;0;0;1;1;0;0;1
;;20;van Aalst, R.R.;1;0;0;0;0;0;1;0;0
;;21;van Dijk, E.;0;0;0;0;0;0;0;0;0
;;22;Housmans, R.W.P.E.;0;0;0;0;0;0;0;0;0
;;23;Jansen, C.A.;0;0;0;0;0;0;0;0;0
;;24;de Vree, J.H.;0;0;0;0;0;0;0;0;0
;;25;Aardema, M.;0;0;0;0;0;0;0;0;0
;;26;van Dijk, A.J.A.;0;0;0;0;0;0;0;0;0
;;27;de Winter, D.;1;0;0;0;0;0;0;1;0
;;28;Bezaan, I.A.;0;0;0;0;0;0;0;0;0
;;29;Kardol, J.C.;0;0;0;0;0;0;0;0;0
;;30;Vlottes, E.;1;0;0;0;0;0;0;1;0
;;31;de Jong, R.G.J.;0;0;0;0;0;0;0;0;0
;;32;van Pijkeren, J.;0;0;0;0;0;0;0;0;0
;;33;Rijken, J.J.;1;0;0;0;0;0;0;1;0
;;34;IJssennagger, H.;0;0;0;0;0;0;0;0;0
;;35;van Deún, H.;0;0;0;0;0;0;0;0;0
;;36;Vermeer, T.F.;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;0;0;0;0;0;0;0;0;0
;;39;Boon, M.C.H.;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;0;0;0;0;0;0;0;0;0
;;43;Roks, L.A.G.;0;0;0;0;0;0;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;0;0;0;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;0;0;0;0;0;0;0;0;0
;;48;van Hattem, A.W.J.A.;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;0;0;0;0;0;0;0;0;0
;;50;van Strien, G.A.;1;0;0;0;0;0;0;0;1
4;SP (Socialistische Partij);;;1275;211;107;81;130;140;198;296;112
;;1;Roemer, E.G.M.;937;136;81;61;96;99;145;232;87
;;2;Leijten, R.M.;81;16;8;10;5;11;14;11;6
;;3;Marijnissen, L.M.C.;163;32;14;6;23;15;25;37;11
;;4;van Raak, A.A.G.M.;2;1;0;0;0;0;0;0;1
;;5;Karabulut, S.;21;5;2;0;1;6;2;4;1
;;6;Beckerman, S.M.;5;2;0;0;0;1;0;1;1
;;7;van Nispen, M.;0;0;0;0;0;0;0;0;0
;;8;Kwint, J.P.;2;1;0;0;0;0;0;1;0
;;9;van Kent, B.;2;0;0;0;0;0;1;0;1
;;10;Laçin, C.;6;2;1;1;0;0;0;0;2
;;11;Futselaar, F.W.;2;0;0;0;0;0;2;0;0
;;12;Kooiman, C.J.E.;9;0;0;2;1;1;2;3;0
;;13;Hijink, H.P.M.;2;0;1;0;0;0;1;0;0
;;14;van Dijk, J.J.;1;1;0;0;0;0;0;0;0
;;15;Smaling, E.M.A.;1;1;0;0;0;0;0;0;0
;;16;Alkaya, M.Ö.;3;1;0;0;0;1;0;1;0
;;17;van Gerven, H.P.J.;3;3;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;0;0;0;0;0;0;0;0;0
;;19;Heerschop, A.H.J.;0;0;0;0;0;0;0;0;0
;;20;Meijer, A.M.;0;0;0;0;0;0;0;0;0
;;21;Maes, S.A.A.;0;0;0;0;0;0;0;0;0
;;22;Meyer, R.P.E.;3;1;0;0;0;0;2;0;0
;;23;van Dijk-van Leeuwen, S.Y.;4;0;0;0;2;2;0;0;0
;;24;de Wit, D.H.;0;0;0;0;0;0;0;0;0
;;25;Peterse, B.;0;0;0;0;0;0;0;0;0
;;26;Hoekstra, A.J.;0;0;0;0;0;0;0;0;0
;;27;Boerwinkel, E.M.J.;6;1;0;1;0;0;1;3;0
;;28;Hamerslag, P.H.;3;2;0;0;0;0;0;0;1
;;29;Buskoop, B.;0;0;0;0;0;0;0;0;0
;;30;Temmink, N.G.J.;0;0;0;0;0;0;0;0;0
;;31;de Ridder, N.;1;0;0;0;0;0;0;0;1
;;32;van Sluijs, D.;0;0;0;0;0;0;0;0;0
;;33;Akhiat, A.;1;0;0;0;0;1;0;0;0
;;34;van Gemert, N.M.;0;0;0;0;0;0;0;0;0
;;35;Dijk, J.P.;0;0;0;0;0;0;0;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;2;0;0;0;0;1;1;0;0
;;43;Helmer-Englebert, R.D.;8;2;0;0;2;2;0;2;0
;;44;Vliegenthart, A.;0;0;0;0;0;0;0;0;0
;;45;Hoekstra, T.G.;0;0;0;0;0;0;0;0;0
;;46;Müller, E.;0;0;0;0;0;0;0;0;0
;;47;Inekci, H.H.;0;0;0;0;0;0;0;0;0
;;48;Mineur, A.C.;0;0;0;0;0;0;0;0;0
;;49;Roes, J.M.H.;3;1;0;0;0;0;1;1;0
;;50;Poppe, R.J.L.;4;3;0;0;0;0;1;0;0
5;CDA;;;1202;258;142;144;92;148;157;190;71
;;1;van Haersma Buma, S.;894;202;98;112;60;113;120;142;47
;;2;Keijzer, M.C.G.;168;26;28;21;14;21;12;31;15
;;3;Peters, W.P.H.J.;5;1;1;0;0;0;2;1;0
;;4;Omtzigt, P.H.;52;13;7;2;8;4;8;7;3
;;5;van Toorenburg, M.M.;11;3;1;0;0;0;4;2;1
;;6;Knops, R.W.;8;0;1;2;1;1;0;1;2
;;7;Heerma, P.E.;2;1;1;0;0;0;0;0;0
;;8;van der Molen, H.;0;0;0;0;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;8;3;0;0;1;0;4;0;0
;;10;Geurts, J.L.;5;1;0;0;3;1;0;0;0
;;11;Kuik, A.;8;1;0;0;2;1;2;0;2
;;12;van Dam, C.J.L.;0;0;0;0;0;0;0;0;0
;;13;Mulder, A.H.;3;1;0;1;0;1;0;0;0
;;14;Rog, M.R.J.;1;0;0;0;0;0;0;1;0
;;15;Amhaouch, M.;0;0;0;0;0;0;0;0;0
;;16;van Helvert, M.J.F.;0;0;0;0;0;0;0;0;0
;;17;Ronnes, H.A.G.;2;1;1;0;0;0;0;0;0
;;18;van den Berg-Jansen, J.A.M.J.;0;0;0;0;0;0;0;0;0
;;19;Slootweg, E.J.;1;0;0;0;0;0;1;0;0
;;20;Geluk-Poortvliet, L.W.D.;2;0;0;0;0;1;0;0;1
;;21;Palland, H.M.;2;0;0;0;0;0;2;0;0
;;22;de Pater-Postma, W.L.;1;0;0;1;0;0;0;0;0
;;23;Terpstra, J.H.;0;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;2;0;0;0;0;0;0;2;0
;;25;van den Anker, G.P.;0;0;0;0;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;1;0;0;0;1;0;0;0;0
;;27;den Bak, S.W.;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;0;0;0;0;0;0;0;0;0
;;31;Hanemaaijer, E.;1;0;1;0;0;0;0;0;0
;;32;Hutten, G.J.;14;4;2;2;0;5;0;1;0
;;33;Kip, M.;0;0;0;0;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;1;1;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;1;0;0;0;1;0;0;0;0
;;36;Bergkamp, B.;0;0;0;0;0;0;0;0;0
;;37;de Haan, J.;1;0;0;0;0;0;1;0;0
;;38;van Opstal, J.M.M.;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;0;0;0;0;0;0;0;0;0
;;40;Bal, M.;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;0;0;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;3;0;0;2;0;0;0;1;0
;;45;van der Broek, J.M.A.R.;0;0;0;0;0;0;0;0;0
;;46;Wissink, F.S.A.;2;0;0;1;1;0;0;0;0
;;47;Saris, I.G.;2;0;1;0;0;0;0;1;0
;;48;Buck, M.T.;0;0;0;0;0;0;0;0;0
;;49;Stukker, N.T.;0;0;0;0;0;0;0;0;0
;;50;Zoet, H.R.;1;0;0;0;0;0;1;0;0
6;Democraten 66 (D66);;;1186;243;117;120;79;162;191;188;86
;;1;Pechtold, A.;930;201;86;92;58;132;139;152;70
;;2;van Veldhoven, S.;63;11;10;7;6;5;14;10;0
;;3;Koolmees, W.;1;0;0;0;1;0;0;0;0
;;4;Dijkstra, P.A.;105;13;15;8;8;16;25;12;8
;;5;van Engelshoven, I.K.;10;2;1;1;0;3;0;3;0
;;6;Bergkamp, V.A.;6;1;0;0;0;0;3;2;0
;;7;Verhoeven, K.;5;3;0;0;0;0;1;0;1
;;8;van Meenen, P.H.;3;0;0;0;1;0;1;1;0
;;9;Paternotte, J.M.;2;2;0;0;0;0;0;0;0
;;10;Van Weyenberg, S.P.R.A.;0;0;0;0;0;0;0;0;0
;;11;Sjoerdsma, S.W.;1;0;0;0;0;1;0;0;0
;;12;Jetten, R.A.A.;5;2;0;1;0;1;0;0;1
;;13;Van Eijs, J.M.;9;2;1;0;2;0;1;0;3
;;14;Belhaj, S.;2;0;1;0;0;0;0;1;0
;;15;Groothuizen, M.;6;0;1;1;0;1;0;2;1
;;16;Bouali, A.;0;0;0;0;0;0;0;0;0
;;17;Raemakers, R.;0;0;0;0;0;0;0;0;0
;;18;Diertens, A.E.;7;2;0;2;1;0;2;0;0
;;19;de Groot, T.C.;0;0;0;0;0;0;0;0;0
;;20;den Boer, M.G.W.;9;1;1;3;0;0;4;0;0
;;21;Sienot, M.F.;0;0;0;0;0;0;0;0;0
;;22;Sneller, J.C.;0;0;0;0;0;0;0;0;0
;;23;Schonis, R.A.J.;0;0;0;0;0;0;0;0;0
;;24;van Beukering-Huijbregts, M.J.T.G.;1;0;0;0;0;1;0;0;0
;;25;Meijer, A.A.;0;0;0;0;0;0;0;0;0
;;26;Eurlings-Tonnaer, F.M.C.L.;0;0;0;0;0;0;0;0;0
;;27;Ramlal, M.R.;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;0;0;0;0;0;0;0;0;0
;;29;Lamers, C.B.M.;13;3;0;2;2;2;1;1;2
;;30;van Essen, J.;1;0;0;0;0;0;0;1;0
;;31;Verbrugge-Wormgoor, D.C.;0;0;0;0;0;0;0;0;0
;;32;van der Laan, J.M.P.;0;0;0;0;0;0;0;0;0
;;33;Zarroy, N.;0;0;0;0;0;0;0;0;0
;;34;Winkel, B.T.;0;0;0;0;0;0;0;0;0
;;35;Bamenga, P.;0;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;0;0;0;0;0;0;0;0;0
;;37;Guernaoui, R.;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;0;0;0;0;0;0;0;0;0
;;39;Keij, E.J.;1;0;1;0;0;0;0;0;0
;;40;Bosman, A.M.;0;0;0;0;0;0;0;0;0
;;41;Schukking, S.S.;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;0;0;0;0;0;0;0;0;0
;;43;Glastra van Loon, J.H.;0;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;1;0;0;0;0;0;0;1;0
;;46;Wirken, S.T.;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;2;0;0;1;0;0;0;1;0
;;48;Hoogeveen, T.C.;1;0;0;1;0;0;0;0;0
;;49;Terlouw, G.;0;0;0;0;0;0;0;0;0
;;50;Ross, H.J.;2;0;0;1;0;0;0;1;0
7;ChristenUnie;;;204;42;25;8;7;43;30;33;16
;;1;Segers, G.M.;143;32;15;6;5;34;19;25;7
;;2;Schouten, C.J.;27;6;5;1;0;4;2;3;6
;;3;Voordewind, J.S.;3;0;0;0;0;0;2;1;0
;;4;Dik-Faber, R.K.;6;1;1;0;1;2;0;0;1
;;5;Bruins, E.E.W.;0;0;0;0;0;0;0;0;0
;;6;van der Graaf, S.J.F.;10;1;1;1;0;1;3;3;0
;;7;Ceder, D.G.M.;3;2;0;0;1;0;0;0;0
;;8;Vreugdenhil, H.J.;0;0;0;0;0;0;0;0;0
;;9;Drost, N.;0;0;0;0;0;0;0;0;0
;;10;Gooijer-Medema, J.K.;4;0;0;0;0;0;2;0;2
;;11;Huisman, G.W.;1;0;0;0;0;1;0;0;0
;;12;Rots, D.G.;0;0;0;0;0;0;0;0;0
;;13;Tijhof, B.D.;0;0;0;0;0;0;0;0;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;0;0;0;0;0;0;0;0;0
;;16;Meijer, L.E.;0;0;0;0;0;0;0;0;0
;;17;Janssen, J.;0;0;0;0;0;0;0;0;0
;;18;Heuvelink, M.E.C.;1;0;0;0;0;0;1;0;0
;;19;van 't Foort, S.;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;0;0;0;0;0;0;0;0;0
;;21;Mostert, I.G.;0;0;0;0;0;0;0;0;0
