Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;
Gebied;;Gemeente Maasdriel;;;;;;;;;;;;;;;
Nummer;;263;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Kerkdriel;De Leijenstein;MFC De Kreek;De Boxhof;Dorpshuis Gelre's End;Rehoboth;De Lindeboom;De Weesboom;Dorpshuis Ons Huis;Dorpshuis De Vrijheid;De Vaste Burcht;Dorpshuis De Kil;De Drie Linden
;;47;van Houwelingen, H.E.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Mulder, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Bolhuis, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Günal-Gezer, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;51;Staal, J.J.;2;1;0;0;0;0;1;0;0;0;0;0;0;0
;;52;Boot, E.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;53;Chahim, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;Koenders, P.T.C.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;55;Breederveld, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Menenti, L.M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;57;van de Burgt, R.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Repetur, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Akrouh, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;60;Engbers, A.H.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;61;Ronnes, T.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;Wijntuin, P.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;63;Brouwers, L.W.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;64;van Zantvoort, A.H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Cohen, F.;2;1;0;0;0;0;1;0;0;0;0;0;0;0
;;66;Dankert, A.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Bouteibi, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Voigt, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;Schuurman Hess, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;70;Klomp, B.C.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Keizer, H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Houben, T.A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;73;van 't Zelfde, E.R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Doevendans, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;de Haan, F.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;76;Baggerman, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;77;Eigeman, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Keereweer, H.W.C.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;79;Meijers, J.P.M.;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;80;Nieuwenhuis, G.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;PVV (Partij voor de Vrijheid);;;3197;538;268;458;324;207;259;238;207;74;179;271;96;78
;;1;Wilders, G.;3036;512;256;431;317;191;242;226;196;71;173;253;93;75
;;2;Agema, M.;104;18;7;22;5;10;12;5;10;0;3;7;2;3
;;3;Maeijer, V.;21;7;3;3;1;1;1;2;0;1;0;1;1;0
;;4;Markuszower, G.;2;0;0;0;0;0;0;0;0;0;1;1;0;0
;;5;Fritsma, S.R.;6;0;0;0;0;0;0;0;1;0;0;5;0;0
;;6;Bosma, M.;10;0;1;1;1;3;2;1;0;1;0;0;0;0
;;7;Madlener, B.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;van Dijck, A.P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Helder, L.M.J.S.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Beertema, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Graaf, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Graus, D.J.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Roon, R.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Weerdenburg, V.D.D.;3;0;0;0;0;0;0;0;0;0;0;3;0;0
;;15;Mulder, E.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Gerbrands, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, L.W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Popken, G.J.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kops, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Aalst, R.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Dijk, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Housmans, R.W.P.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Jansen, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Vree, J.H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;Aardema, M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;26;van Dijk, A.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Winter, D.;3;0;1;1;0;0;0;0;0;0;1;0;0;0
;;28;Bezaan, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kardol, J.C.;3;0;0;0;0;0;0;3;0;0;0;0;0;0
;;30;Vlottes, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, R.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Pijkeren, J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;33;Rijken, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;IJssennagger, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Deún, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Vermeer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Boon, M.C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Roks, L.A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;2;0;0;0;0;0;1;1;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Hattem, A.W.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Strien, G.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SP (Socialistische Partij);;;1346;208;115;109;69;97;144;123;71;40;91;158;51;70
;;1;Roemer, E.G.M.;985;156;86;83;51;66;107;97;55;31;63;106;34;50
;;2;Leijten, R.M.;66;11;5;6;0;6;12;6;3;1;4;9;3;0
;;3;Marijnissen, L.M.C.;248;34;21;14;14;23;23;16;11;8;23;33;10;18
;;4;van Raak, A.A.G.M.;10;1;1;0;3;0;0;1;0;0;0;2;0;2
;;5;Karabulut, S.;5;1;0;0;0;2;0;2;0;0;0;0;0;0
;;6;Beckerman, S.M.;2;0;0;0;0;0;0;0;0;0;1;0;1;0
;;7;van Nispen, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Kwint, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Kent, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Laçin, C.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Futselaar, F.W.;2;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Kooiman, C.J.E.;5;0;0;2;0;0;0;1;0;0;0;2;0;0
;;13;Hijink, H.P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Dijk, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Smaling, E.M.A.;6;2;0;1;0;0;0;0;0;0;0;3;0;0
;;16;Alkaya, M.Ö.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;van Gerven, H.P.J.;2;0;0;0;1;0;1;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Heerschop, A.H.J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Meijer, A.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Maes, S.A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Meyer, R.P.E.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Dijk-van Leeuwen, S.Y.;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;24;de Wit, D.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Peterse, B.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hoekstra, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Boerwinkel, E.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hamerslag, P.H.;5;1;0;0;0;0;0;0;2;0;0;1;1;0
;;29;Buskoop, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Temmink, N.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Ridder, N.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;32;van Sluijs, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Akhiat, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Gemert, N.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Dijk, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Vliegenthart, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Hoekstra, T.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Müller, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Inekci, H.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Mineur, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Roes, J.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Poppe, R.J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;CDA;;;2852;289;204;202;241;259;480;211;264;162;64;277;94;105
;;1;van Haersma Buma, S.;1024;133;90;84;77;59;115;84;94;58;33;116;52;29
;;2;Keijzer, M.C.G.;157;21;11;13;12;9;22;16;8;12;3;21;6;3
;;3;Peters, W.P.H.J.;14;3;0;4;1;1;1;0;0;2;0;1;1;0
;;4;Omtzigt, P.H.;34;7;4;3;1;1;2;4;2;3;1;3;2;1
;;5;van Toorenburg, M.M.;57;12;4;6;3;5;6;3;1;3;3;7;1;3
;;6;Knops, R.W.;2;1;0;0;0;0;0;0;0;0;0;1;0;0
;;7;Heerma, P.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van der Molen, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;2;0;0;0;0;0;0;0;1;0;0;1;0;0
;;10;Geurts, J.L.;12;0;0;0;2;0;1;2;0;2;0;4;1;0
;;11;Kuik, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Dam, C.J.L.;3;2;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Mulder, A.H.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Rog, M.R.J.;2;0;0;0;0;0;0;0;0;0;1;0;1;0
;;15;Amhaouch, M.;2;0;0;0;0;0;0;2;0;0;0;0;0;0
;;16;van Helvert, M.J.F.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Ronnes, H.A.G.;2;0;0;0;0;0;1;0;0;0;0;1;0;0
;;18;van den Berg-Jansen, J.A.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Slootweg, E.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;3;1;0;0;0;0;0;0;2;0;0;0;0;0
;;21;Palland, H.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;22;de Pater-Postma, W.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Terpstra, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;7;2;0;2;0;2;1;0;0;0;0;0;0;0
