Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;
Gebied;;Gemeente Roerdalen;;;;;;;;;;;;;;
Nummer;;1669;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnr.;Partij;Volgnummer;Naam kandidaat;Totaal;C.C. De Beuk;Hotel Roerdalen;WZC Bergh;MFC de Roerparel;Sr. hof  De Vaert;Zaal o.d. Kerk;Andreasheem;Apollohal;BS De Berensprong;WZC Bosscherhof;Zaal Roerzicht;BS St.Martinus
;;61;van Schie, A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;Struijlaart, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;63;Haseloop-Amsing, T.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;64;Jacobs, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Elbertsen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;van Dijk, S.;1;0;1;0;0;0;0;0;0;0;0;0;0
;;67;Mos, J.;1;0;0;0;0;0;0;0;0;0;0;1;0
;;68;Böcker, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;de Rijk, R.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;70;Welter, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Derks, N.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Joziasse, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;73;Bevers, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Prins, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;Huisman-Peelen, H.;1;0;0;0;0;0;0;0;1;0;0;0;0
;;76;Bonnevits-de Jong, L.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;77;Lochtenberg, D.S.K.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Larson, C.R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;79;Zevenbergen, E.F.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;80;van der Weijden, M.;3;0;0;1;0;1;1;0;0;0;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;471;77;32;36;34;26;27;41;59;60;40;22;17
;;1;Asscher, L.F.;274;49;22;18;24;16;11;20;27;36;28;14;9
;;2;Arib, K.;33;8;2;2;3;0;1;2;8;5;0;1;1
;;3;Dijsselbloem, J.R.V.A.;54;4;2;6;4;3;6;7;9;7;4;1;1
;;4;Dijksma, S.A.M.;20;2;2;1;0;1;2;4;1;2;2;2;1
;;5;van Dijk, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Kuiken, A.H.;3;0;0;0;0;1;2;0;0;0;0;0;0
;;7;Nijboer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Hul, K.A.E.;1;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Moorlag, W.J.;1;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Ploumen, E.M.J.;36;7;1;5;2;1;2;4;7;4;1;1;1
;;11;Kerstens, J.W.M.;1;0;0;0;0;0;1;0;0;0;0;0;0
;;12;de Kock, J.C.M.;2;0;0;0;0;0;0;0;0;1;0;0;1
;;13;Marcouch, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Volp, M.J.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Moti, R.;2;0;0;1;0;0;0;0;1;0;0;0;0
;;16;Yücel, K.;1;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Servaes, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bozkurt, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van der Linde, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Oosterbaan, C.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Mohandis, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Ypma, L.;1;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Recourt, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Maij, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Kort, M.V.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Roopram, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Hoogland, D.;1;0;0;0;0;0;0;0;1;0;0;0;0
;;28;Schellekens, G.M.M.;1;0;0;1;0;0;0;0;0;0;0;0;0
;;29;de Vries, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Biemans, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Brouwer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Vos, M.L.;2;2;0;0;0;0;0;0;0;0;0;0;0
;;33;Reinaerts, J.L.H.;11;2;1;0;0;3;0;0;1;1;0;2;1
;;34;Dibi, B.;1;0;0;0;0;0;1;0;0;0;0;0;0
;;35;van Drooge, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Asante, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Ünver, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermue, J.G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dekken, T.R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Hedin-Penninx, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Deen, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Vorselman-Derksen, C.H.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Pentenga, F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van den Boogaard, A.;1;0;0;0;0;0;0;0;1;0;0;0;0
;;45;van Laar, R.P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrofer, T.T.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Houwelingen, H.E.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Mulder, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Bolhuis, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Günal-Gezer, S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;51;Staal, J.J.;3;1;0;0;1;0;0;0;0;0;1;0;0
;;52;Boot, E.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;53;Chahim, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;54;Koenders, P.T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;Breederveld, R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;56;Menenti, L.M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;57;van de Burgt, R.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Repetur, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;59;Akrouh, S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;60;Engbers, A.H.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;61;Ronnes, T.L.;1;0;0;0;0;0;0;0;0;0;0;0;1
;;62;Wijntuin, P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;63;Brouwers, L.W.L.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;64;van Zantvoort, A.H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Cohen, F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;66;Dankert, A.T.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Bouteibi, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Voigt, I.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;Schuurman Hess, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;70;Klomp, B.C.D.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Keizer, H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;72;Houben, T.A.H.;14;0;0;1;0;0;1;3;3;4;1;1;0
;;73;van 't Zelfde, E.R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;74;Doevendans, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;75;de Haan, F.G.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;76;Costongs, J.E.L.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;77;Heuvelmans, L.F.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;78;Op de Laak, B.M.T.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;79;Reichrath, R.;2;0;0;0;0;1;0;0;0;0;0;0;1
;;80;Smeets, J.A.P.;2;1;0;1;0;0;0;0;0;0;0;0;0
3;PVV (Partij voor de Vrijheid);;;3044;331;319;204;212;282;257;259;198;278;349;188;167
;;1;Wilders, G.;2838;314;306;190;193;269;235;241;180;260;324;167;159
;;2;Agema, M.;77;6;5;6;6;4;9;3;10;4;12;7;5
;;3;Maeijer, V.;7;0;1;0;2;2;0;0;1;1;0;0;0
;;4;Markuszower, G.;1;0;0;1;0;0;0;0;0;0;0;0;0
;;5;Fritsma, S.R.;2;0;0;0;0;0;2;0;0;0;0;0;0
;;6;Bosma, M.;9;0;0;1;0;1;0;1;0;3;3;0;0
;;7;Madlener, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Dijck, A.P.C.;2;1;0;0;0;0;0;1;0;0;0;0;0
;;9;Helder, L.M.J.S.;41;4;0;3;4;2;1;4;7;5;6;3;2
;;10;Beertema, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Graaf, M.;4;0;0;0;3;0;1;0;0;0;0;0;0
;;12;Graus, D.J.G.;24;5;3;2;2;0;3;3;0;4;1;1;0
;;13;de Roon, R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Weerdenburg, V.D.D.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Mulder, E.;2;0;0;0;0;0;0;0;0;0;1;1;0
;;16;Gerbrands, K.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, L.W.E.;1;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Popken, G.J.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kops, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Aalst, R.R.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;21;van Dijk, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Housmans, R.W.P.E.;27;0;1;0;1;4;6;5;0;0;1;8;1
;;23;Jansen, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Vree, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Aardema, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Dijk, A.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Winter, D.;2;0;0;1;0;0;0;0;0;1;0;0;0
;;28;Bezaan, I.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kardol, J.C.;1;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Vlottes, E.;1;1;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, R.G.J.;2;0;0;0;1;0;0;0;0;0;0;1;0
;;32;van Pijkeren, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Rijken, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;IJssennagger, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Deún, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Vermeer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Boon, M.C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Roks, L.A.G.;2;0;2;0;0;0;0;0;0;0;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Hattem, A.W.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Strien, G.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SP (Socialistische Partij);;;1471;193;139;112;109;101;112;127;119;131;166;87;75
;;1;Roemer, E.G.M.;1080;151;99;78;78;71;87;102;83;89;122;63;57
;;2;Leijten, R.M.;81;5;10;16;6;3;9;7;6;6;8;1;4
;;3;Marijnissen, L.M.C.;149;20;12;6;11;12;3;11;20;22;18;11;3
;;4;van Raak, A.A.G.M.;5;0;0;0;0;0;0;0;0;2;3;0;0
;;5;Karabulut, S.;9;1;2;1;1;1;0;0;0;0;3;0;0
;;6;Beckerman, S.M.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;7;van Nispen, M.;1;0;0;1;0;0;0;0;0;0;0;0;0
;;8;Kwint, J.P.;1;1;0;0;0;0;0;0;0;0;0;0;0
;;9;van Kent, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Laçin, C.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Futselaar, F.W.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kooiman, C.J.E.;3;2;0;0;0;0;0;0;0;1;0;0;0
;;13;Hijink, H.P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Dijk, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Smaling, E.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Alkaya, M.Ö.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Gerven, H.P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Heerschop, A.H.J.;40;4;4;3;2;2;6;2;4;6;0;5;2
;;20;Meijer, A.M.;4;0;0;0;1;0;0;2;0;0;1;0;0
;;21;Maes, S.A.A.;3;0;0;0;0;0;0;0;0;2;0;0;1
;;22;Meyer, R.P.E.;53;6;11;3;7;7;5;0;1;0;3;5;5
;;23;van Dijk-van Leeuwen, S.Y.;3;0;0;1;0;0;0;0;1;0;0;1;0
;;24;de Wit, D.H.;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Peterse, B.;11;1;1;1;1;0;1;0;2;0;3;1;0
;;26;Hoekstra, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Boerwinkel, E.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hamerslag, P.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Buskoop, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Temmink, N.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Ridder, N.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Sluijs, D.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Akhiat, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Gemert, N.M.;1;0;0;0;0;1;0;0;0;0;0;0;0
;;35;Dijk, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;40;Feenstra, F.;1;0;0;0;0;1;0;0;0;0;0;0;0
;;41;Olierook, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;3;0;0;0;0;3;0;0;0;0;0;0;0
;;44;Vliegenthart, A.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;45;van Unen, G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Lunteren, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Raaimakers, J.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van der Zanden-van der Weijden, N.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van Rijnsbergen, M.;18;2;0;2;2;0;0;3;2;3;1;0;3
;;50;Poppe, R.J.L.;1;0;0;0;0;0;0;0;0;0;1;0;0
5;CDA;;;2135;202;155;213;176;229;205;188;166;187;224;100;90
;;1;van Haersma Buma, S.;858;94;65;89;81;71;55;70;61;96;96;44;36
;;2;Keijzer, M.C.G.;135;10;13;10;10;14;16;15;14;16;12;3;2
;;3;Peters, W.P.H.J.;4;0;0;0;0;1;0;1;0;1;0;1;0
;;4;Omtzigt, P.H.;38;2;0;5;0;6;3;4;6;5;2;2;3
;;5;van Toorenburg, M.M.;14;1;0;1;1;2;3;1;1;1;1;1;1
;;6;Knops, R.W.;146;17;15;10;18;13;11;18;11;12;14;4;3
;;7;Heerma, P.E.;2;0;0;1;0;0;0;0;0;0;0;1;0
;;8;van der Molen, H.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;4;0;0;0;1;0;0;1;1;0;1;0;0
;;10;Geurts, J.L.;27;0;2;0;4;10;3;0;0;0;4;2;2
;;11;Kuik, A.;2;0;0;1;1;0;0;0;0;0;0;0;0
;;12;van Dam, C.J.L.;1;0;0;0;0;0;0;1;0;0;0;0;0
;;13;Mulder, A.H.;2;0;0;1;0;0;0;0;0;1;0;0;0
;;14;Rog, M.R.J.;1;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Amhaouch, M.;11;1;1;0;2;2;1;1;3;0;0;0;0
;;16;van Helvert, M.J.F.;717;56;47;81;40;94;93;58;60;46;76;31;35
;;17;Ronnes, H.A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Berg-Jansen, J.A.M.J.;2;0;0;0;0;0;0;1;1;0;0;0;0
;;19;Slootweg, E.J.;1;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;2;1;0;0;0;0;0;1;0;0;0;0;0
;;21;Palland, H.M.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;22;de Pater-Postma, W.L.;1;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Terpstra, J.H.;1;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Anker, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;100;11;7;6;12;8;15;8;2;4;10;10;7
;;27;den Bak, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;2;0;0;0;0;1;0;0;0;0;0;0;1
;;31;Hanemaaijer, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hutten, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bergkamp, B.;1;0;0;0;0;0;0;0;0;0;1;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bal, M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;4;0;1;0;2;1;0;0;0;0;0;0;0
;;45;van der Broek, J.M.A.R.;4;1;0;0;0;1;1;0;1;0;0;0;0
;;46;Knoops, J.J.M.;3;0;1;0;0;1;0;0;0;0;1;0;0
;;47;Claessens, C.M.J.P.;2;0;0;0;0;0;0;0;0;1;1;0;0
;;48;Breugelmans, M.A.M.;47;6;3;8;2;2;4;8;5;4;4;1;0
;;49;Stals, H.;1;0;0;0;0;1;0;0;0;0;0;0;0
;;50;van Leeuwen, J.;1;0;0;0;0;1;0;0;0;0;0;0;0
6;Democraten 66 (D66);;;1148;126;70;113;124;50;57;134;116;130;118;51;59
;;1;Pechtold, A.;770;92;48;76;89;31;35;87;69;83;81;36;43
;;2;van Veldhoven, S.;44;3;1;4;4;1;2;9;6;5;4;2;3
;;3;Koolmees, W.;3;0;0;1;0;0;0;0;1;1;0;0;0
;;4;Dijkstra, P.A.;77;5;3;9;7;3;1;11;14;12;7;2;3
;;5;van Engelshoven, I.K.;4;1;1;2;0;0;0;0;0;0;0;0;0
;;6;Bergkamp, V.A.;9;0;1;3;1;0;1;0;0;1;0;1;1
