contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,G.O.B.,Stadspartij,SP (Socialistische Partij),DNA Partij,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,PVV (Partij voor de Vrijheid),Samen Politiek Actief (S.P.A.),50PLUS
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool Lahrhof,1883::SB11,,1482,1132,2,1,0,0,0,991,145,1,0,1,0,0,1136,260,123,60,64,41,198,73,115,70,66,24,38
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zalencentrum De Oase,1883::SB12,,2183,1214,4,7,0,0,0,1075,149,1,1,0,0,0,1224,287,113,46,145,39,208,42,115,53,108,19,39
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis De Baandert,1883::SB13,,2179,1086,8,7,0,4,0,981,116,0,4,0,0,0,1097,221,144,53,125,31,126,45,80,27,131,48,55
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau DVO Sportpark Overhoven,1883::SB14,,1175,543,5,2,0,0,0,487,63,0,0,0,0,0,550,157,52,16,60,26,71,27,37,9,52,8,28
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Oos Kaar,1883::SB15,,1775,1083,4,5,0,0,0,958,134,0,0,0,0,0,1092,354,82,47,97,32,186,35,60,38,90,20,42
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Activiteitencentrum Sittard,1883::SB16,,1136,582,1,2,0,0,0,506,80,0,0,1,0,1,586,111,33,169,43,19,70,21,28,19,46,8,15
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Buurtcentrum Limbrichterveld,1883::SB17,,1595,696,3,8,0,0,0,649,58,0,0,0,0,0,707,110,74,92,75,20,84,40,28,8,86,25,54
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zorgcentrum Hoogstaete,1883::SB18,,2050,1135,4,1,0,0,0,1028,114,2,0,2,0,0,1142,283,138,69,90,30,108,53,124,89,72,32,47
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool De Lemborgh,1883::SB19,,1084,780,2,2,0,0,0,700,84,0,0,0,0,0,784,205,173,89,40,32,92,23,45,25,29,15,12
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Limbricht,1883::SB20,,1036,651,5,3,0,0,0,594,65,0,0,0,0,0,659,214,125,70,27,10,58,21,30,16,31,21,28
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis 't Tuurhoes,1883::SB21,,1015,631,7,3,0,0,0,555,84,0,2,0,2,0,639,214,185,42,22,5,28,17,18,13,51,15,21
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis 't Klaverblad,1883::SB22,,1142,733,1,3,0,0,0,627,110,0,0,0,0,0,737,294,70,25,20,30,33,58,26,96,40,27,14
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Jeugdhuis Scouting Munstergeleen,1883::SB23,,1893,1036,2,3,0,0,0,923,118,0,0,0,0,0,1041,185,337,38,64,66,129,30,51,33,46,19,38
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis 't Trefpunt,1883::SB24,,2078,1420,3,6,0,1,0,1236,192,0,1,0,0,0,1428,234,540,45,53,76,149,39,51,43,108,39,43
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Stadswinkel Sittard-Geleen,1883::SB25,,1706,1452,13,7,0,0,0,1289,184,1,0,1,0,0,1473,238,174,155,81,280,123,41,73,51,121,75,40
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Heemkundegebouw,1883::SB26,,1297,663,3,2,0,0,0,563,105,0,0,0,0,0,668,78,68,128,56,75,42,12,25,42,91,18,28
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau VuMaasland,1883::SB27,,2053,782,8,2,0,0,0,700,92,0,0,0,0,0,792,71,94,116,63,92,62,26,57,35,98,35,33
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Wijksteunpunt Olympiastaete,1883::SB28,,1768,709,6,4,0,0,0,640,80,1,0,1,0,0,720,106,106,70,45,114,39,17,29,27,63,71,22
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool de Springplank,1883::SB29,,1863,711,4,1,0,0,0,604,112,0,0,0,0,0,716,118,91,65,51,34,39,38,32,25,148,37,33
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis 't Volkshoes,1883::SB30,,1774,1098,8,0,0,0,0,924,182,0,0,0,0,0,1106,262,229,81,75,43,64,24,31,27,179,34,49
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool 't Heuvelke,1883::SB31,,1621,695,5,2,0,0,0,605,97,0,0,0,0,0,702,155,223,30,43,21,22,15,15,3,113,34,21
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool de Hoefer,1883::SB32,,2175,941,1,1,0,0,0,834,109,0,0,0,0,0,943,130,200,77,77,187,61,28,37,31,57,26,30
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau WZC Bunderhof,1883::SB33,,1840,871,3,1,0,0,0,774,101,0,0,0,0,0,875,226,155,59,48,129,56,24,23,15,47,22,67
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Wijksteunpunt Amusant,1883::SB34,,2026,752,0,3,0,0,0,681,74,0,0,0,0,0,755,100,113,70,73,97,55,24,29,18,105,28,40
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Scouting Verkenners Kluis,1883::SB35,,1967,1285,1,6,0,0,0,1119,175,2,0,2,0,0,1294,173,234,99,51,343,121,33,69,44,56,28,34
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau SBO-De Blinker,1883::SB36,,1582,702,3,5,0,0,0,604,106,0,0,0,0,0,710,69,161,66,44,138,58,7,29,27,54,32,17
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau WZC Oud Geleen,1883::SB37,,1597,900,6,3,0,0,0,793,116,0,0,0,0,0,909,88,333,64,59,122,59,24,33,17,59,13,29
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Basisschool de Driesprong,1883::SB38,,1766,1399,5,6,0,0,0,1236,177,3,0,3,0,0,1413,170,361,133,80,230,106,40,81,51,68,30,49
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zuyderland Medisch Centrum,1883::SB39,,1887,704,5,2,0,0,0,614,97,0,0,0,0,0,711,140,103,53,59,63,67,28,64,28,57,11,31
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Buchten,1883::SB40,,1392,912,4,9,0,0,0,817,109,0,0,1,0,1,926,90,509,65,32,20,29,5,11,18,87,26,20
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Holtum,1883::SB41,,1011,731,2,1,0,0,0,625,110,1,0,1,0,0,735,45,521,24,16,20,16,5,9,16,47,1,11
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Stadsarchief Born,1883::SB42,,1698,794,0,2,0,0,0,699,97,0,0,0,0,0,796,72,293,141,51,19,54,20,27,20,55,20,22
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Born,1883::SB43,,1654,1152,11,5,0,0,0,1034,135,0,0,1,0,1,1169,146,432,178,45,22,84,8,35,35,99,36,32
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zorgcentrum Aldenhof,1883::SB44,,1624,916,4,1,0,0,0,815,106,0,0,0,0,0,921,114,339,129,45,44,49,18,49,42,39,30,18
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Harmoniezaal Obbicht,1883::SB45,,1529,957,1,3,0,0,99,862,0,0,0,0,0,0,961,116,544,34,35,14,56,15,13,48,57,12,13
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Oos Hoes,1883::SB46,,1300,923,2,8,0,0,0,805,128,0,0,0,0,0,933,123,507,47,52,8,55,14,14,26,37,27,13
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zaal Aurora Grevenbicht,1883::SB47,,1294,817,3,2,0,0,0,734,88,0,0,0,0,0,822,105,492,26,32,7,49,4,7,27,39,13,16
