contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokale Partij Middelburg (LPM),Partij van de Arbeid (P.v.d.A.),CDA,Staatkundig Gereformeerde Partij (SGP),VVD,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Kindcentrum De Aventurijn,0687::SB12,,1379,862,2,4,0,0,0,790,77,0,1,0,1,0,867,168,97,87,59,89,77,56,76,153
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Hof Mondriaan,0687::SB14,,2001,915,1,6,0,9,0,848,65,0,9,0,0,0,913,245,106,101,18,63,123,46,104,109
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Ter Hoogekerk,0687::SB16,,2118,930,1,4,0,1,0,841,95,0,0,1,0,0,936,128,102,100,233,80,81,32,92,82
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau De Ontmoetingskerk,0687::SB17,,1721,936,1,3,0,9,0,844,87,0,9,0,0,0,931,185,135,73,79,80,99,58,143,84
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Het Getij,0687::SB19,,1611,1023,4,5,0,0,0,948,84,0,0,0,0,0,1032,213,212,94,63,85,115,50,94,97
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Wijkcentrum Palet,0687::SB20,,2185,1171,5,5,0,2,0,1057,126,0,0,2,0,0,1183,312,158,132,69,116,112,61,121,90
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Scalda Ravensteijnweg,0687::SB21,,1461,750,2,0,0,1,0,677,76,0,0,1,0,0,753,141,50,103,48,182,34,56,78,58
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau R.K. Franciscusschool,0687::SB22,,1383,582,6,2,0,0,0,529,59,0,2,0,2,0,588,145,65,56,25,69,77,38,54,53
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Hof Mondriaan,0687::SB23,,1707,715,3,5,0,10,0,675,58,0,0,10,0,0,733,191,104,58,23,57,113,37,61,71
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Het Talent,0687::SB25,,1189,1169,1,2,0,2,0,1046,128,0,0,2,0,0,1174,163,158,172,81,151,75,96,119,154
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Wijkcentrum Palet,0687::SB26,,2028,1058,2,4,0,0,0,954,110,0,0,0,0,0,1064,259,165,121,63,80,123,50,104,93
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau ZB| Planbureau en Bibliotheek van Zeeland,0687::SB28,,990,856,6,4,0,0,0,864,2,0,0,0,0,0,866,143,99,82,48,125,74,88,73,124
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Hof van Buren,0687::SB29,,1267,929,2,0,0,0,0,841,90,0,0,0,0,0,931,187,108,99,51,150,47,64,94,129
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Verenigingsgebouw achter Hervormde Kerk,0687::SB31,,1371,715,2,1,0,0,0,600,118,0,0,0,0,0,718,82,21,115,303,33,28,12,110,11
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Dorpshuis de Arne,0687::SB32,,1071,647,2,1,0,0,0,554,96,0,0,0,0,0,650,66,16,112,279,32,29,8,91,14
,Middelburg,GR2018_Middelburg,Gemeenteraad Middelburg 2018,0687,Middelburg,2018-03-21,Stembureau Sporthal De Blikken,0687::SB33,,1562,976,1,3,0,8,0,827,145,0,8,0,0,0,972,125,29,247,282,90,32,25,129,17
