contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Almelo Samen,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,ChristenUnie,Partij Vrij Almelo (PVA),Almelo Centraal,Leefbaar Almelo,GROENLINKS,PVV (Partij voor de Vrijheid),Minimapartij,14,DEMOCRATEN.NU
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum De Schelf,0141::SB15,7608 KH,2891,1744,9,11,0,7,0,1558,213,0,0,7,0,0,1771,240,328,84,120,104,146,133,165,31,53,94,164,38,10,34
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau OBS De Tandem,0141::SB16,7608 CL,2722,1338,8,6,0,0,0,1212,140,0,0,0,0,0,1352,191,226,70,121,70,149,84,107,19,45,63,104,37,20,32
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Hoog Schuilenburg,0141::SB17,7604 GC,1334,933,6,9,0,0,0,869,79,0,0,0,0,0,948,125,133,54,72,57,83,94,45,23,29,56,67,21,53,21
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau MFA Eninver,0141::SB18,7604 EH,1317,1074,5,21,2,0,0,950,152,0,0,2,0,0,1102,97,144,84,59,60,92,78,40,16,35,45,69,36,196,23
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau OBS Step,0141::SB19,7606 TW,1384,727,5,4,0,0,0,636,100,0,0,0,0,0,736,63,72,73,35,40,32,24,24,11,26,30,76,23,180,18
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum De Goossenmaat,0141::SB20,7605 CP,2549,495,2,0,0,1,0,432,66,0,0,1,0,0,498,52,31,32,24,25,23,24,23,7,26,18,79,17,105,9
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Café Het Kroegje,0141::SB21,7606 BM,1479,432,1,5,0,1,0,399,40,0,0,1,0,0,439,46,36,32,26,29,34,18,22,6,28,19,72,23,27,14
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Pniëlkerk,0141::SB22,7606 GX,1577,1080,11,3,0,0,0,965,128,0,1,0,1,0,1093,97,104,86,43,46,70,76,67,26,50,51,104,37,193,30
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum De Driehoek,0141::SB23,7606 JS,1000,491,0,2,0,0,0,449,44,0,0,0,0,0,493,80,73,37,27,12,88,13,19,11,22,26,41,8,23,11
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wooncomplex Windmolenbroek,0141::SB24,7609 KA,2629,734,2,2,0,0,0,669,69,0,0,0,0,0,738,106,102,35,45,56,84,77,59,12,21,45,57,13,9,13
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau PC Basisschool De Huve,0141::SB25,7609 GP,1554,998,4,8,0,0,0,891,118,0,1,0,1,0,1009,130,139,62,65,66,91,127,58,10,23,92,73,14,25,23
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum Möll'nwiek,0141::SB26,7609 LA,1499,1000,4,2,0,0,0,900,106,0,0,0,0,0,1006,164,173,87,61,61,131,73,43,8,20,53,72,18,3,33
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Basisschool De Mare,0141::SB27,7609 VK,1359,1014,0,8,0,2,0,916,104,0,2,0,0,0,1020,126,147,82,54,39,209,62,66,21,23,45,64,10,18,48
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau AOC Oost,0141::SB28,7609 PH,1990,1093,3,1,0,0,0,986,111,0,0,0,0,0,1097,132,98,83,47,40,235,83,64,33,26,54,84,18,42,54
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Gemeenschapscentrum 't Aahoes,0141::SB29,7611 BD,1205,672,1,0,0,0,0,613,60,0,0,0,0,0,673,102,103,27,66,39,114,78,43,11,13,19,35,7,2,13
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Verzorgingstehuis Trivium,0141::SB30,7627 NT,1263,854,2,2,0,0,0,751,107,0,0,0,0,0,858,77,373,38,23,14,175,31,36,7,8,21,38,3,0,10
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau ZGT-Meulenbelt-Obifit,0141::SB31,,0,150,3,1,0,0,0,138,18,2,0,2,0,0,156,16,24,13,7,7,26,14,12,3,2,8,8,1,5,4
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau IISPA,0141::SB33,7606 JZ,1228,497,4,3,0,0,0,459,45,0,0,0,0,0,504,44,62,50,29,30,95,23,46,10,15,28,31,6,5,23
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Het Sportpark / Zwembad,0141::SB34,7603 XZ,1545,348,1,1,0,0,0,319,31,0,0,0,0,0,350,32,52,20,27,17,67,16,12,7,14,24,21,11,4,24
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Basic-Fit Groenplein,0141::SB35,7604 BG,1615,244,0,3,0,0,0,215,32,0,0,0,0,0,247,21,27,24,11,13,29,23,20,4,8,15,22,5,13,9
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Soweco,0141::SB36,7602 PD,0,49,1,0,0,0,0,46,4,0,0,0,0,0,50,4,6,2,6,5,9,4,0,0,3,2,6,0,2,0
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau Wijkcentrum Erve Noordik,0141::SB37,7602 CH,1814,962,2,1,0,0,0,905,63,3,0,3,0,0,968,157,130,97,60,31,206,41,35,43,23,68,37,5,6,23
,Almelo,GR2018_Almelo,Gemeenteraad Almelo 2018,0141,Almelo,2018-03-21,Stembureau ROC van Twente Almelo,0141::SB38,7604 BB,913,336,1,3,0,0,0,288,52,0,0,0,0,0,340,30,24,37,14,19,51,11,4,6,15,27,13,16,62,7
