contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Pro'98 (Pro Barneveld - PvdA - D66),ChristenUnie,CDA,Burger Initiatief,VVD,Lokaal Belang,8
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,"Stembureau Locatie Burgthof, PCBS ""De Fontein""",0203::SB13,3772 TD,1285,912,0,1,0,0,0,761,152,0,0,0,0,0,913,198,200,189,84,70,73,96,2
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Tennisbaan De Watermolen,0203::SB14,3772 MB,1607,911,2,3,0,0,0,784,132,0,0,0,0,0,916,184,200,169,118,49,91,99,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Openbare Basisschool De Zandberg,0203::SB15,3771 KV,1609,1134,0,4,0,4,0,992,142,0,4,0,0,0,1134,266,295,162,150,76,63,119,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Ger.Gemeente in Nederland De Hoeksteen I,0203::SB16,3772 PP,1996,1085,1,4,0,0,0,925,165,0,0,0,0,0,1090,500,148,165,99,33,64,70,6
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Veluwehal Barneveld,0203::SB17,3771 CB,940,608,3,0,0,0,0,538,73,0,0,0,0,0,611,155,114,92,92,41,46,65,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Willem van Oranjeschool,0203::SB18,3773 AS,1301,695,0,1,0,0,0,650,46,0,0,0,0,0,696,168,86,213,112,16,36,59,5
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Moluks Sociaal-cultureel Centrum Jajasan Batu Tjapeu,0203::SB19,3772 KP,1389,406,0,3,0,0,0,356,53,0,0,0,0,0,409,81,99,68,44,31,33,50,0
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Dorpshuis De Belleman,0203::SB20,3785 KT,1056,757,0,1,0,0,0,663,95,0,0,0,0,0,758,153,38,88,216,9,46,206,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Evangeliegemeente de Kandelaar,0203::SB21,3781 TK,951,622,1,0,0,1,0,539,83,0,1,0,0,0,622,54,76,171,120,37,63,99,2
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Chr. Basissch.Dr.W.van den Bergh,0203::SB22,3781 EJ,1263,953,1,1,0,0,0,856,99,0,0,0,0,0,955,50,125,218,188,67,94,210,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Woon en Zorgcentrum Nieuw Avondrust,0203::SB23,3781 GH,1024,812,2,3,0,0,0,735,82,0,0,0,0,0,817,76,98,166,129,58,79,203,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau (N.H) Koningin Wilhelminaschool,0203::SB24,3781 GG,1163,620,0,3,0,0,0,540,83,0,0,0,0,0,623,74,56,130,95,44,75,145,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Kerkcentrum Odulf,0203::SB25,3781 BX,1109,697,0,1,0,0,0,621,77,0,0,0,0,0,698,78,89,130,125,53,65,156,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Kerkelijk Centrum 't Kerkheem,0203::SB26,3781 GA,954,584,0,1,0,0,0,521,64,0,0,0,0,0,585,42,80,141,117,39,80,85,0
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Restaurant Buitenlust,0203::SB27,3781 AC,815,700,0,3,0,0,0,634,69,0,0,0,0,0,703,47,86,146,114,54,112,138,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Kerkelijk Centrum Bethabara,0203::SB28,3781 GE,918,578,1,2,0,0,0,526,55,0,0,0,0,0,581,43,70,150,121,36,39,118,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Christelijke Basisschool De Bron,0203::SB29,3776 MK,1203,816,6,0,0,0,0,710,112,0,0,0,0,0,822,179,72,145,108,53,70,180,9
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Kerkelijk gebouw Eben-Haëzer,0203::SB30,3774 BN,1305,971,1,1,0,0,0,799,174,0,0,0,0,0,973,471,48,182,102,29,50,39,50
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Koningin Beatrixschool,0203::SB31,3774 BG,972,646,1,1,0,1,0,547,100,0,1,0,0,0,647,303,10,125,90,27,33,34,24
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Kulturhus De Essenburcht,0203::SB32,3774 DA,1442,1146,0,3,0,0,0,929,220,0,0,0,0,0,1149,635,43,152,122,46,38,56,54
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Dorpshuis De Koepel,0203::SB33,3886 PA,904,600,0,0,0,0,0,530,70,0,0,0,0,0,600,143,65,60,49,18,71,187,7
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Dr. Kruimelstaete,0203::SB34,3886 ME,786,503,0,4,0,0,0,451,56,0,0,0,0,0,507,194,46,51,44,23,26,117,2
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Multifunctioneel Centrum Glindster,0203::SB35,3794 MZ,603,440,0,0,0,0,0,376,64,0,0,0,0,0,440,57,77,52,94,53,54,48,5
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Sportpark Overbeek,0203::SB36,3784 WZ,1128,660,0,0,0,0,0,571,89,0,0,0,0,0,660,167,40,67,171,19,64,131,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Verenigingsgebouw De Kooi,0203::SB37,3775 KP,229,180,0,0,0,0,0,162,18,0,0,0,0,0,180,19,33,37,15,23,22,28,3
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Mobiel Stembureau,0203::SB38,,0,405,0,0,0,0,0,365,40,0,0,0,0,0,405,91,83,73,59,20,28,50,1
,Barneveld,GR2018_Barneveld,Gemeenteraad Barneveld 2018,0203,Barneveld,2018-03-21,Stembureau Ger.Gemeente in Nederland De Hoeksteen II,0203::SB39,3772 PP,1022,880,2,2,0,0,0,772,112,0,0,0,0,0,884,355,141,144,92,26,52,69,1
