contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Hart voor Hilversum,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,ChristenUnie,Hilversum1,Leefbaar Hilversum
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Sportcafé 'De Lieberg',0402::SB33,1221 EM,2208,1036,6,10,0,0,0,976,76,0,0,0,0,0,1052,176,309,88,71,50,105,104,50,27,56
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Lorentzschool,0402::SB34,1223 HN,1972,1466,8,4,2,0,0,1343,133,0,2,0,0,0,1476,244,370,153,96,92,133,221,74,22,61
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Wijkcentrum 'St.Joseph',0402::SB35,1223 LD,2373,1073,5,6,0,0,0,984,100,0,0,0,0,0,1084,120,378,89,82,60,116,110,44,35,39
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Heelo,0402::SB36,1212 CN,2007,495,6,5,0,0,0,472,34,0,0,0,0,0,506,61,186,27,36,26,46,49,19,18,27
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Evangelische Omroep,0402::SB37,1213 AC,1597,582,0,1,0,0,0,535,48,0,0,0,0,0,583,86,151,67,45,29,54,100,25,4,21
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Zorgcentrum 'Gooiers Erf',0402::SB38,1212 BK,1550,1034,4,8,0,0,0,949,97,0,0,0,0,0,1046,146,325,123,72,47,125,81,62,25,28
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Wijkcentrum 'De Kruisdam',0402::SB39,1218 CB,1535,1253,11,3,0,3,0,1192,78,0,0,3,0,0,1270,295,286,138,102,90,112,104,49,26,51
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Gebouw 'T Luye Gat',0402::SB40,1218 CR,1781,792,4,3,0,0,1,730,69,0,0,1,0,0,800,189,141,100,65,68,67,105,23,8,26
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Station Hilversum (paviljoen),0402::SB41,1211 EX,0,945,19,1,1,0,0,900,67,0,0,2,0,1,967,183,181,107,55,56,59,206,39,15,44
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau Ned. Inst. voor Beeld en Geluid,0402::SB42,1217 WE,633,358,2,1,0,0,0,328,33,0,0,0,0,0,361,79,41,87,10,16,31,51,12,6,25
,Hilversum,GR2018_Hilversum,Gemeenteraad Hilversum 2018,0402,Hilversum,2018-03-21,Stembureau A. Roland Holst College,0402::SB43,1217 PM,0,126,1,0,0,0,0,112,15,0,0,0,0,0,127,39,24,18,6,3,6,19,4,4,3
