contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GemeenteBelangen (GB),Hart Voor Katwijk,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),KiesKatwijk,JEZUS LEEFT,De Lokalen (DL),DURF
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau De Voorhof,0537::SB22,2231 GN,1520,935,9,2,0,0,0,840,105,0,1,0,1,0,945,268,125,49,124,55,105,67,25,16,11,37,53
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau de Kazerne Floraband,0537::SB23,2231 NA,1632,774,1,0,0,0,0,669,106,0,0,0,0,0,775,212,107,43,75,59,142,39,34,6,8,13,36
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Gereformeerde Kerk Vrijgemaakt,0537::SB24,2231 SE,1566,1077,2,1,0,0,0,945,135,0,0,0,0,0,1080,312,233,42,119,67,87,68,29,11,17,18,74
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Julianaschool,0537::SB25,2231 TK,1522,1120,3,1,0,5,0,987,142,0,0,5,0,0,1129,342,149,39,149,77,143,64,45,18,7,20,67
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Basisschool De Wegwijzer,0537::SB26,2231 VD,1533,1130,1,1,0,1,0,993,138,0,1,0,0,0,1131,322,186,48,135,69,131,69,54,10,7,37,62
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Basisschool De Schakel,0537::SB27,2231 ZD,1556,854,0,1,0,0,0,784,75,4,0,4,0,0,859,216,111,45,114,60,78,80,27,7,4,17,95
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,"Stembureau de Duinrand, tijdelijke locatie",0537::SB28,2231 BJ,1582,489,2,2,0,0,0,425,68,0,0,0,0,0,493,148,60,22,62,31,72,26,22,5,3,11,27
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,"Stembureau Brede School, locatie Duyfrak",0537::SB29,2235 SN,1432,775,4,0,0,0,0,678,101,0,0,0,0,0,779,156,72,16,85,77,104,117,91,9,7,11,30
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Zeehospitium,0537::SB30,2225 MJ,1203,721,2,1,0,1,0,627,98,0,0,1,0,0,725,134,115,121,59,67,58,49,15,34,3,12,54
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Het Anker,0537::SB31,2225 ES,1564,731,2,0,0,0,0,624,109,0,0,0,0,0,733,99,135,214,39,63,37,30,7,33,3,8,63
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Maranathacentrum,0537::SB32,2221 NT,1485,628,0,1,0,0,0,544,85,0,0,0,0,0,629,130,125,127,40,50,40,23,4,16,0,16,57
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Jeugdhuis de Poolster,0537::SB33,2221 NT,1529,1209,4,5,0,0,0,1091,127,0,0,0,0,0,1218,172,138,214,147,140,58,73,20,56,8,46,137
,Katwijk,GR2018_Katwijk,Gemeenteraad Katwijk 2018,0537,Katwijk,2018-03-21,Stembureau Bijzonder stembureau de River Queen,0537::SB34,2225 HX,0,401,0,1,0,0,0,350,52,0,0,0,0,0,402,54,62,62,29,50,38,30,11,22,1,6,36
