contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 Velsen,Velsen Lokaal,VVD,LGV,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),CDA,Forza! IJmond,GROENLINKS,ChristenUnie
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau COB Hofstede,0453::SB17,1991 PT,1732,1128,9,3,0,0,0,1045,96,0,0,1,0,0,1141,165,202,134,61,103,73,128,60,118,84
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau De Pionier,0453::SB18,1991 LB,1799,1202,3,4,0,0,0,1081,128,0,0,0,0,0,1209,216,160,155,113,86,83,140,87,108,54
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Basisschool De Westbroek,0453::SB19,1991 NN,1810,926,4,1,0,0,0,844,87,0,0,0,0,0,931,152,121,128,74,56,78,111,66,84,56
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Basisschool De Hoeksteen,0453::SB20,1991 ET,1611,643,1,1,0,0,0,587,58,0,0,0,0,0,645,100,114,72,47,51,48,71,48,62,30
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau RKBS De Rozenbeek,0453::SB21,1991 NS,1942,862,4,0,0,0,0,770,95,0,1,0,0,0,865,144,136,135,38,69,68,90,52,88,42
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Sporthal Het Polderhuis,0453::SB22,1991 RK,1723,1069,5,6,1,0,0,981,100,0,0,1,0,0,1081,155,168,130,87,92,62,125,108,96,46
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Stichting OIG-IHD,0453::SB32,1971 NL,1900,870,3,0,0,0,0,790,83,0,0,0,0,0,873,92,195,64,90,56,70,74,104,76,49
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Fransciscusschool,0453::SB33,1971 PE,1850,813,4,3,0,1,0,729,92,0,0,1,0,0,821,85,187,101,85,49,54,52,113,60,27
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau De Vliegende Hollander,0453::SB35,1972 CC,1872,637,2,2,0,0,0,581,60,0,0,0,0,0,641,44,113,49,92,59,63,37,124,36,20
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Buurthuis De Spil,0453::SB36,1971 VZ,1423,614,4,4,0,0,0,568,54,0,0,0,0,0,622,50,127,60,116,56,49,32,63,33,28
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Verpleeghuis Velserduin,0453::SB41,1972 TL,1752,716,2,3,1,0,0,655,67,0,0,1,0,0,722,65,130,39,100,85,97,38,92,54,16
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau CBS Het Kompas,0453::SB42,1972 RR,1540,743,2,5,1,0,0,665,84,0,1,0,0,0,749,69,163,64,101,47,53,70,107,41,28
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Woon-en zorgcentrum W.F. Visserhuis,0453::SB44,1972 EE,1476,726,3,2,0,0,0,658,73,0,0,0,0,0,731,68,124,61,71,60,50,60,161,45,26
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau IJmuider Zee en Havenmuseum,0453::SB46,1973 AK,1857,873,1,2,0,0,0,800,76,0,0,0,0,0,876,84,135,94,142,80,57,69,139,49,24
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Buurthuis De Brulboei,0453::SB48,1975 BJ,2230,722,3,6,0,0,0,681,50,0,0,0,0,0,731,61,138,48,76,64,79,51,126,52,27
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Woonzorgcentrum De Moerberg,0453::SB50,1973 XM,1881,787,0,0,0,0,0,715,72,0,0,0,0,0,787,81,118,48,117,96,61,82,115,42,27
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,"Stembureau De Pleiaden, ingang schoolplein",0453::SB53,1973 BS,1550,626,1,1,0,0,0,548,80,0,0,0,0,0,628,59,108,59,85,76,43,43,107,28,18
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Basisschool De Origon,0453::SB55,1974 TV,1802,818,2,1,1,0,0,755,65,0,1,0,0,0,820,68,143,72,134,58,68,70,94,55,56
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Buurtcentrum de Dwarsligger,0453::SB56,1974 BP,1109,660,3,1,0,0,0,599,65,0,0,0,0,0,664,48,197,33,99,67,44,42,78,26,26
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Dienstencentrum Zeewijk,0453::SB57,1974 PC,1615,770,1,6,0,0,0,714,63,0,0,0,0,0,777,55,169,50,117,94,68,54,87,47,29
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Wijkcentrum de Stek,0453::SB81,1951 CD,1921,690,3,1,0,0,0,617,77,0,0,0,0,0,694,27,188,25,254,31,53,17,51,34,10
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Woon en Zorgcentrum De Schulpen,0453::SB83,1951 EB,2137,750,4,3,0,0,0,708,49,0,0,0,0,0,757,34,136,19,336,35,53,34,60,27,16
,Velsen,GR2018_Velsen,Gemeenteraad Velsen 2018,0453,Velsen,2018-03-21,Stembureau Stembus,0453::SB84,,0,124,0,1,0,0,0,120,5,0,0,0,0,0,125,22,12,11,25,8,7,6,12,16,5
