contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),OpKoers.nu,VVD,Democraten 66 (D66),GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP)
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau De Horst Sibculo,0160::SB24,7693 PH,1100,628,0,1,0,0,0,582,47,0,0,0,0,0,629,404,31,31,75,32,12,15,21,7
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau R.K. kerk H. Alphonsus de Liguori,0160::SB25,7776 AG,1084,513,0,1,0,0,0,476,38,0,0,0,0,0,514,146,9,62,53,71,23,24,123,2
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ons Trefpunt Schuinesloot,0160::SB28,7777 RN,757,419,3,0,0,0,0,384,37,0,1,0,1,0,421,191,25,29,52,24,28,16,39,15
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Zorgcentrum  Oostloorn,0160::SB29,7772 ZC,1293,836,2,3,0,0,0,773,68,0,0,0,0,0,841,317,147,62,138,82,16,32,29,13
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ver.gebouw Pro Rege,0160::SB30,7775 AS,1433,796,4,3,0,0,0,738,65,0,0,0,0,0,803,252,163,59,133,48,28,37,60,16
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau MFC De Baron,0160::SB31,7701 GM,1183,777,3,3,0,0,0,739,44,0,0,0,0,0,783,214,56,111,117,105,64,34,69,7
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Chr. Geref. Kerk.,0160::SB32,7701 EA,1289,720,1,1,0,0,0,672,50,0,0,0,0,0,722,220,73,85,84,88,40,41,75,14
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau O.B.S. De Eiber,0160::SB34,7701 VE,1332,516,2,2,0,0,0,481,39,0,0,0,0,0,520,115,32,108,87,44,29,18,72,11
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Zwembad De Kiefer,0160::SB35,7701 PZ,1092,751,2,3,0,0,0,691,68,0,0,3,0,0,759,163,82,87,121,154,45,37,45,17
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau van Dedem Marke,0160::SB36,7701 LR,1303,716,2,1,0,0,0,654,65,0,0,0,0,0,719,210,80,86,95,84,34,28,87,12
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Chr. Daltonschool De Groen,0160::SB37,7701 AT,1403,784,0,2,0,0,0,708,78,0,0,0,0,0,786,232,75,67,114,129,54,40,66,7
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau CNS,0160::SB38,7707 DZ,1685,1053,4,0,0,0,0,983,74,0,0,0,0,0,1057,244,196,75,83,197,50,74,105,29
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau De Reestkerk,0160::SB39,7707 PM,1160,557,3,0,0,2,0,493,69,0,0,2,0,0,562,112,71,33,52,122,35,45,35,52
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau O.B.S. 't Spectrum,0160::SB40,7772 LD,1571,1180,3,1,0,0,0,1072,112,0,0,0,0,0,1184,330,284,91,179,95,48,80,47,26
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Marslanden - Restaurant Het Heemse,0160::SB41,7773 AH,965,822,0,5,0,0,0,745,82,0,0,0,0,0,827,217,212,48,74,164,26,25,35,21
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Gemeentehuis,0160::SB42,7772 HZ,1056,708,3,0,0,0,0,657,54,0,0,0,0,0,711,189,117,60,104,88,33,63,44,10
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Hardenberg Buurtkamer,0160::SB43,7772 CE,1187,707,1,1,0,0,0,667,42,0,0,0,0,0,709,236,124,53,96,61,31,36,50,20
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Dorpshuis De Heujmansbelt,0160::SB45,7695 TJ,854,576,0,1,0,0,0,529,48,0,0,0,0,0,577,224,92,25,112,43,15,24,22,19
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Geref.Ver.gebouw 't Kruispunt,0160::SB46,7691 BA,1244,849,2,1,0,3,0,801,54,0,0,3,0,0,855,215,378,23,83,45,14,18,26,47
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Herv.Ver.gebouw  Rheezerveen,0160::SB47,7797 HD,628,334,1,1,0,0,0,301,35,0,0,0,0,0,336,113,68,8,41,43,6,11,17,27
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Jeugdgebouw  Kronkelhonk,0160::SB48,7776 PL,1302,617,3,2,0,4,0,585,41,0,0,4,0,0,626,177,18,63,62,59,22,21,190,5
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau O.B.S. Baalder,0160::SB50,7772 GW,1206,863,7,0,0,0,0,795,75,0,0,0,0,0,870,208,213,76,138,86,28,65,36,13
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ver.gebouw Hoogenweg,0160::SB51,7793 HP,417,321,1,0,0,0,0,297,25,0,0,0,0,0,322,101,28,22,89,44,7,13,14,3
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ver. gebouw De Bo,0160::SB52,7691 CG,1226,793,3,1,0,0,0,733,64,0,0,0,0,0,797,211,271,27,109,85,22,21,28,19
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Ver. geb. a/d Lutteresweg,0160::SB53,7775 PP,563,283,0,2,0,0,0,259,26,0,0,0,0,0,285,123,48,20,36,21,7,10,13,5
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Wijkcentrum De Wiekstee,0160::SB54,7772 LZ,1472,851,0,2,0,0,0,779,73,0,1,0,1,0,852,257,192,47,109,106,37,43,35,25
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Wijkcentrum Baalder,0160::SB55,7772 DP,1265,786,1,1,0,0,0,740,47,0,1,0,1,0,787,199,210,76,125,41,17,60,36,22
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau De Wingerd,0160::SB56,7692 AE,938,649,3,1,0,0,0,612,41,0,0,0,0,0,653,168,296,10,33,21,8,28,17,68
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Dedemsvaart - CBS de Ark,0160::SB57,7701 KK,1252,503,1,1,0,0,0,462,43,0,0,0,0,0,505,128,60,63,82,59,29,34,37,11
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau Dedemsvaart - Clubgebouw Korfbal,0160::SB58,7701 VT,1061,470,6,1,0,0,0,448,29,0,0,0,0,0,477,134,48,45,77,67,29,14,52,4
,Hardenberg,GR2018_Hardenberg,Gemeenteraad Hardenberg 2018,0160,Hardenberg,2018-03-21,Stembureau LOC,0160::SB59,7772 XP,0,121,0,0,0,0,0,113,8,0,0,0,0,0,121,39,27,10,17,15,3,6,4,0
