contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),ChristenUnie,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Stadskanaal,VVD,Democraten 66 (D66),Lokaal Betrokken,GROENLINKS
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Westerschool,0037::SB11,9501 XC,1964,545,1,2,0,0,0,497,51,0,0,0,0,0,548,78,122,44,67,88,27,28,62,29
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Parochiehuis,0037::SB12,9581 JD,1764,501,1,2,0,0,0,456,48,0,0,0,0,0,504,117,126,59,48,60,40,14,26,11
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Musselhorst,0037::SB13,9581 CZ,1371,474,5,4,0,0,0,429,54,0,0,0,0,0,483,85,124,64,63,48,32,10,32,16
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau MFA Lint,0037::SB14,9581 AG,1536,564,2,2,0,0,0,518,50,0,0,0,0,0,568,141,115,82,74,50,44,14,32,12
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau A-Horst Zorgcentrum,0037::SB15,9581 EN,1104,476,0,3,0,0,0,444,35,0,0,0,0,0,479,159,64,40,44,43,82,13,23,8
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Chr Gereformeerde Kerk  Mussel,0037::SB16,9584 AR,1193,698,2,3,0,0,0,638,65,0,0,0,0,0,703,106,48,418,12,43,28,9,18,16
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau 'd Ekkelkaamp,0037::SB17,9591 AH,1195,649,8,1,0,1,0,594,65,0,0,1,0,0,659,230,50,214,41,17,34,19,16,28
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Brinkhof Dorpsstraat 3A,0037::SB18,9591 AR,1102,769,4,0,0,0,0,704,69,0,0,0,0,0,773,319,68,284,21,16,21,11,10,19
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau De Drijscheer,0037::SB19,9661 TV,935,448,2,1,0,0,0,409,42,0,0,0,0,0,451,114,74,61,97,26,15,17,27,17
,Stadskanaal,GR2018_Stadskanaal,Gemeenteraad Stadskanaal 2018,0037,Stadskanaal,2018-03-21,Stembureau Mobiel stembureau,0037::SB20,,0,78,0,0,0,0,0,68,10,0,0,0,0,0,78,17,10,18,6,9,5,4,4,5
