contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,ChristenUnie,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Burger Partij Amersfoort (BPA),Amersfoort 2014,10,Vrede en Recht,Actief,DENK,Staatkundig Gereformeerde Partij (SGP)
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Bron 2,0307::SB11,,1487,660,3,4,0,0,0,608,59,0,0,0,0,0,667,65,47,88,65,47,78,59,55,32,1,1,6,106,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum De Liendert,0307::SB12,,1688,634,3,6,0,0,0,583,58,0,2,0,2,0,641,77,64,51,74,38,54,61,47,42,4,8,6,94,14
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Rustenburg,0307::SB13,,1186,648,0,4,0,0,0,604,48,0,0,0,0,0,652,76,58,60,73,48,56,81,71,37,0,4,2,71,11
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Burgemeester Molendijkflat,0307::SB14,,1320,856,0,3,0,0,0,793,67,1,0,1,0,0,860,75,124,140,71,59,132,78,62,91,1,1,6,1,15
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Undineflat,0307::SB15,,901,380,2,0,0,0,0,349,33,0,0,0,0,0,382,44,33,40,37,38,48,33,29,23,0,1,9,36,9
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau ABC School Het Scala,0307::SB16,,1120,661,3,6,0,0,0,589,82,1,0,1,0,0,671,119,37,48,23,58,30,45,31,23,0,1,8,231,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Schuilenburght,0307::SB17,,965,667,4,2,0,0,0,617,56,0,0,0,0,0,673,61,108,98,37,34,143,61,33,45,0,4,12,14,17
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Prins Willem III-flat,0307::SB18,,1451,753,1,1,0,0,0,695,60,0,0,0,0,0,755,105,72,78,87,56,62,132,58,50,1,2,10,28,12
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Kerkgebouw De Kandelaar,0307::SB19,,1556,972,7,5,0,0,0,893,91,0,0,0,0,0,984,192,134,123,44,54,70,186,41,77,2,5,4,21,19
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum Nijenstede,0307::SB20,,1469,783,3,2,0,0,0,719,69,0,0,0,0,0,788,132,60,105,58,65,78,110,52,63,1,5,7,31,16
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Wijkcentrum Het Klokhuis,0307::SB21,,1657,940,1,3,0,0,0,851,93,0,0,0,0,0,944,121,107,109,76,73,118,120,54,64,3,3,10,67,15
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Eemgaarde,0307::SB22,,604,386,2,1,0,0,0,367,22,0,0,0,0,0,389,44,70,47,38,32,45,36,14,20,2,1,8,1,28
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw Guido de Brès,0307::SB23,,1804,1324,3,5,0,0,0,1198,134,0,0,0,0,0,1332,251,153,95,87,76,150,310,60,101,3,7,13,5,13
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Corderiuscollege,0307::SB24,,1313,770,0,3,0,0,0,666,107,0,0,0,0,0,773,179,94,91,24,55,72,117,26,52,1,7,7,35,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Seniorenflat Otto Scheltus,0307::SB25,,1247,572,4,4,0,0,0,530,50,0,0,0,0,0,580,91,107,29,39,50,67,93,32,41,2,1,3,1,16
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Martuskerk,0307::SB26,,691,774,1,1,0,0,0,703,73,0,0,0,0,0,776,150,91,106,44,45,63,158,39,51,1,0,8,6,12
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum De Amerhorst,0307::SB27,,1432,939,3,4,0,0,0,859,87,0,0,0,0,0,946,142,124,109,64,66,86,172,39,53,1,10,2,38,33
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Fonteinkerk,0307::SB28,,1070,800,2,0,0,0,0,800,2,0,0,0,0,0,802,145,146,84,36,48,117,130,31,41,2,3,4,6,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Juliana van Stolberg,0307::SB29,,1443,924,4,1,0,0,0,869,60,0,0,0,0,0,929,141,112,59,98,64,105,178,62,60,4,5,15,12,9
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau MBO Leusderweg,0307::SB30,,1146,406,0,1,0,0,0,368,39,0,0,0,0,0,407,56,38,41,57,37,33,75,23,25,0,1,2,11,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau St. Ansfriduskerk,0307::SB31,,1619,1047,0,0,0,1,0,943,103,0,1,0,0,0,1046,219,178,65,67,62,115,206,41,47,5,9,9,2,22
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Gymzaal Lyceum De Amersfoortse Berg,0307::SB32,,1491,939,4,1,0,0,0,842,102,0,0,0,0,0,944,176,156,72,55,70,76,190,61,54,2,7,7,6,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Zon en Schild,0307::SB33,,473,164,2,4,0,0,0,164,6,0,0,0,0,0,170,23,17,16,21,18,11,35,4,5,0,3,2,6,3
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Zorgcentrum De Lichtenberg,0307::SB34,,278,135,1,0,0,0,0,119,17,0,0,0,0,0,136,23,25,15,13,14,23,6,9,4,0,2,0,0,1
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Bergkerk,0307::SB35,,1765,1554,2,0,0,0,0,1360,196,0,0,0,0,0,1556,301,436,101,42,72,232,188,64,79,11,3,9,1,15
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Nieuw-Apostolische Kerk,0307::SB36,,1014,600,2,2,0,0,0,533,71,0,0,0,0,0,604,109,119,42,18,39,68,128,25,39,0,1,4,5,3
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Verpleeghuis Birkhoven,0307::SB37,,283,98,0,0,0,0,0,91,7,0,0,0,0,0,98,12,13,12,11,5,10,14,6,8,0,2,1,1,3
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Kubus,0307::SB38,,1473,638,3,2,0,0,0,587,56,0,0,0,0,0,643,66,46,59,124,45,49,106,75,37,4,7,5,8,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw de Magneet,0307::SB39,,1478,459,3,2,0,0,0,401,63,0,0,0,0,0,464,36,26,37,89,34,35,55,62,46,3,7,10,15,4
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Emmauskerk,0307::SB40,,1649,989,6,3,0,0,0,933,65,0,0,0,0,0,998,129,63,109,113,60,87,188,99,80,11,8,16,18,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Westerkerk,0307::SB41,,1421,585,0,0,0,0,0,525,60,0,0,0,0,0,585,68,55,88,68,24,51,145,33,29,3,2,8,4,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum Puntenburg,0307::SB42,,1301,731,6,3,0,0,0,680,60,0,0,0,0,0,740,133,118,54,67,42,65,107,52,38,2,5,29,8,11
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Orthodoxe Parochie,0307::SB43,,1592,483,3,0,0,0,0,451,35,0,0,0,0,0,486,60,34,52,50,24,52,103,46,36,3,6,12,0,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Café De Plank,0307::SB44,,369,330,0,1,0,0,0,286,45,0,0,0,0,0,331,24,69,16,5,13,148,16,14,17,2,0,1,0,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Verenigingsgebouw Juliana en Bernhard,0307::SB45,,1221,651,5,3,0,0,0,605,54,0,0,0,0,0,659,98,85,42,117,46,43,76,48,58,1,1,10,22,4
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Apostolisch Genootschap,0307::SB46,,1074,523,2,3,0,0,0,468,60,0,0,0,0,0,528,120,34,38,41,41,41,54,17,15,3,6,2,106,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Socïeteitsruimte Seniorenflat,0307::SB47,,1434,957,6,7,0,0,0,892,78,0,0,0,0,0,970,89,104,125,52,81,169,119,79,77,5,6,11,16,24
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Meander Medisch Centrum,0307::SB48,,0,401,3,0,0,0,0,373,31,0,0,0,0,0,404,57,49,49,37,28,52,60,24,26,0,2,1,11,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum De Koperhorst,0307::SB49,,1566,887,7,3,0,0,0,832,65,0,0,0,0,0,897,70,74,165,83,73,155,99,53,68,4,2,4,15,22
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Zevensprong 1,0307::SB50,,1904,776,4,0,0,0,0,708,72,0,0,0,0,0,780,90,73,95,77,54,103,95,76,63,0,8,13,21,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Zevensprong 2,0307::SB51,,1253,810,1,2,0,0,0,734,79,0,0,0,0,0,813,104,84,88,77,55,78,119,84,80,3,8,9,13,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Kerkelijk Centrum De Hoeksteen,0307::SB52,,787,621,1,1,0,0,0,581,42,0,0,0,0,0,623,53,65,103,63,27,81,85,46,47,3,4,11,23,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Weesboom,0307::SB53,,1392,808,4,3,0,0,0,774,41,0,0,0,0,0,815,87,67,95,84,76,85,118,70,54,4,7,16,28,17
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Drieslag,0307::SB54,,1185,450,3,0,0,0,0,409,44,0,0,0,0,0,453,56,52,60,44,22,52,55,36,37,2,4,4,19,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Zielhorst,0307::SB55,,1539,1081,3,5,0,0,0,999,90,0,0,0,0,0,1089,137,128,113,77,64,170,122,92,106,1,5,24,24,18
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Overseldert,0307::SB56,,1217,400,2,1,0,0,0,376,27,0,0,0,0,0,403,43,48,35,40,25,68,43,40,45,0,1,4,4,4
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Zonnewijzer,0307::SB57,,1148,485,1,1,0,0,0,442,45,0,0,0,0,0,487,45,73,73,44,37,62,44,35,44,2,1,11,7,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Kameleon,0307::SB58,,1095,741,6,1,0,0,0,688,60,0,0,0,0,0,748,102,117,93,44,32,117,76,59,59,2,9,13,14,4
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Kerkgebouw De Lichtkring,0307::SB59,,1550,996,1,3,0,0,0,916,84,0,0,0,0,0,1000,129,132,136,65,79,139,112,71,104,3,8,7,6,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Kerkgebouw Het Brandpunt,0307::SB60,,1302,1119,2,4,0,0,0,1042,83,0,0,0,0,0,1125,185,178,102,77,88,149,106,94,96,2,7,12,10,13
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Mobiel Stembureau Het Pluspunt,0307::SB61,,1477,683,3,0,0,0,0,640,46,0,0,0,0,0,686,92,99,64,57,51,76,106,55,52,0,6,14,6,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Meander,0307::SB62,,1305,798,2,2,0,0,0,740,62,0,0,0,0,0,802,142,138,58,56,44,80,116,62,65,3,3,13,13,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Gymzaal Dopheide 1,0307::SB63,,1219,722,5,0,0,0,0,656,71,0,0,0,0,0,727,104,88,76,41,49,105,104,54,72,2,7,7,7,6
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Gymzaal Dopheide 2,0307::SB64,,1583,730,6,0,0,0,0,656,80,0,0,0,0,0,736,101,119,81,36,63,101,86,54,69,0,4,5,1,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Dubbelster,0307::SB65,,1592,1029,5,4,0,0,0,930,108,0,0,0,0,0,1038,151,126,118,68,79,122,170,73,81,4,8,7,12,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Kerkgebouw De Inham,0307::SB66,,1509,1041,3,1,0,0,0,958,87,0,0,0,0,0,1045,83,149,104,61,74,210,141,76,117,1,4,5,4,12
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Faam,0307::SB67,,1688,1062,4,2,0,0,0,976,92,0,0,0,0,0,1068,134,180,92,60,51,247,91,72,110,2,6,5,4,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau De Neng,0307::SB68,,1697,1218,1,2,0,0,0,1128,94,1,0,1,0,0,1222,146,154,108,75,64,376,85,55,128,2,1,8,5,11
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Bieshaar 1,0307::SB69,,1550,1054,5,1,0,0,0,968,94,2,0,2,0,0,1062,133,145,78,58,69,251,98,58,131,0,1,14,9,9
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Bieshaar 2,0307::SB70,,1535,894,2,1,0,0,0,806,91,0,0,0,0,0,897,114,128,63,45,53,220,82,59,99,0,8,9,7,7
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Malelande,0307::SB71,,1489,991,2,1,0,0,0,889,105,0,0,0,0,0,994,166,228,92,44,53,179,81,52,74,3,3,2,6,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Nieuwland 1,0307::SB72,,1398,754,3,3,0,0,0,671,90,1,0,1,0,0,761,96,153,61,47,42,103,67,54,70,0,9,11,33,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Nieuwland 2,0307::SB73,,1650,770,4,2,0,0,0,685,90,0,1,0,1,0,775,104,143,66,39,47,117,78,68,69,2,3,8,15,11
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Nieuwland 3,0307::SB74,,1591,761,4,3,0,0,0,694,75,1,0,1,0,0,769,124,145,90,36,43,110,55,53,69,1,5,4,21,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Nieuwland 4,0307::SB75,,1434,660,1,5,0,0,0,584,82,0,0,0,0,0,666,79,135,55,29,56,96,65,43,62,0,9,2,21,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal Nieuwland 5,0307::SB76,,1672,808,3,3,0,0,0,750,64,0,0,0,0,0,814,122,141,78,38,51,130,80,40,78,2,2,9,27,10
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Boogkerk,0307::SB77,,1633,1121,5,3,0,0,0,1008,122,1,0,1,0,0,1130,144,208,221,52,53,163,74,50,93,3,2,13,21,24
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Informatiecentrum Vathorst,0307::SB78,,2085,973,4,1,0,0,0,872,106,0,0,0,0,0,978,149,323,104,18,28,140,57,51,58,0,2,7,19,17
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Brink 1,0307::SB79,,1613,731,8,2,0,0,0,660,81,0,0,0,0,0,741,79,173,116,41,32,96,61,48,47,0,5,5,14,14
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Brink 2,0307::SB80,,1582,739,2,3,0,3,0,642,99,0,3,0,0,0,741,96,175,93,24,26,106,59,37,58,2,6,8,44,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Brink 3,0307::SB81,,1626,727,2,3,0,0,0,732,0,0,0,0,0,0,732,82,190,90,30,22,111,51,38,77,0,1,4,23,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Schoolgebouw De Gondelier,0307::SB82,,1600,664,3,0,0,0,0,610,56,0,1,0,1,0,666,78,174,66,41,21,109,43,43,60,1,1,4,14,9
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau St. Pieters en Bloklands Gasthuis,0307::SB83,,1559,913,1,4,0,0,0,816,102,0,0,0,0,0,918,134,208,123,44,39,127,57,58,75,0,4,6,30,8
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau ABC-school De Bron,0307::SB84,,1869,976,3,5,0,0,0,861,124,1,0,1,0,0,985,172,261,114,19,40,132,75,41,81,2,2,9,16,12
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau ICOON,0307::SB85,,1795,1599,0,5,0,0,0,1442,163,1,0,1,0,0,1605,242,343,162,80,85,209,158,110,139,2,5,10,28,26
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Woon- en zorgcentrum St. Jozef,0307::SB86,,1697,1101,6,0,0,0,0,1023,84,0,0,0,0,0,1107,367,169,95,54,23,184,49,66,65,2,9,9,5,4
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Sporthal De Dissel,0307::SB87,,1596,1007,1,1,0,0,0,838,171,0,0,0,0,0,1009,228,239,94,24,41,173,61,50,64,2,1,5,20,5
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Feefa,0307::SB88,,321,177,0,0,0,0,0,159,18,0,0,0,0,0,177,10,30,28,11,4,29,9,8,10,0,0,1,3,34
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Station Ned. Spoorwegen 1,0307::SB89,,0,1155,6,0,0,0,0,1097,64,0,0,0,0,0,1161,266,164,83,68,73,96,252,49,61,2,9,12,14,6
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Station Ned. Spoorwegen 2,0307::SB90,,0,760,6,1,0,0,0,716,51,0,0,0,0,0,767,182,98,66,32,42,70,154,37,38,2,3,12,4,20
,Amersfoort,GR2018_Amersfoort,Gemeenteraad Amersfoort 2018,0307,Amersfoort,2018-03-21,Stembureau Mobiel Stembureau Stembus,0307::SB91,,0,144,0,0,0,0,0,137,7,0,0,0,0,0,144,27,17,16,8,9,16,19,11,14,1,0,1,3,2
