contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LokaalBelang,VVD,CDA,GroenLinksaf,Democraten 66 (D66),Partij van de Arbeid,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Lijst IJpelaar
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Zorgcentrum Elzenhoven,0867::SB20,,1959,1108,0,0,0,1,0,978,131,0,0,1,0,0,1109,264,154,118,65,60,17,108,308,14
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Steunpunt Achter de Hoven,0867::SB22,,1479,889,4,1,0,0,0,811,83,0,0,0,0,0,894,199,137,93,57,43,8,129,201,22
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basisschool De Bron,0867::SB23,,1243,632,1,5,0,0,0,549,89,0,0,0,0,0,638,136,107,66,26,27,11,64,180,15
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Buurthuis Capelle,0867::SB24,,797,372,5,0,0,0,0,335,42,0,0,0,0,0,377,118,98,17,32,28,14,14,41,10
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Soc Cult Centrum  Den Bolder,0867::SB25,,1636,837,5,2,0,0,0,765,79,0,0,0,0,0,844,203,171,182,85,75,46,28,22,25
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Zorgcentrum De Stroming,0867::SB26,,1444,762,5,3,0,0,0,701,69,0,0,0,0,0,770,173,158,227,48,41,60,12,9,34
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Buurthuiskamer 't Schooltje,0867::SB27,,1000,461,1,5,0,0,0,434,33,0,0,0,0,0,467,76,97,106,48,38,22,9,25,40
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Sporthal de Slagen,0867::SB35,,1552,734,5,3,0,0,0,680,62,0,0,0,0,0,742,167,211,49,77,111,32,42,21,24
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basisschool de Hoef,0867::SB36,,2097,862,1,2,0,0,0,797,69,0,0,1,0,0,866,284,156,43,167,107,25,15,16,49
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Basisschool Villa Vlinderhof,0867::SB37,,1830,681,3,3,0,0,0,617,70,0,0,0,0,0,687,147,189,33,72,114,8,38,59,21
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Bs De Hugo,0867::SB38,,1158,347,5,5,0,0,0,337,20,0,0,0,0,0,357,140,27,26,57,33,19,9,10,26
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Kinderboerderij 't Erf,0867::SB39,,1446,509,4,3,0,0,0,472,44,0,0,0,0,0,516,148,55,31,131,53,27,7,2,55
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Parkpaviljoen,0867::SB40,,1294,637,1,2,0,0,0,580,60,0,0,0,0,0,640,183,163,73,67,69,19,14,22,27
,Waalwijk,GR2018_Waalwijk,Gemeenteraad Waalwijk 2018,0867,Waalwijk,2018-03-21,Stembureau Dr. Mollercollege,0867::SB41,,2020,648,3,6,0,0,0,595,62,0,0,0,0,0,657,225,86,37,154,62,24,12,11,37
