contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar 3B,CDA,VVD,Democraten 66 (D66),ChristenUnie,Partij van de Arbeid (P.v.d.A.),WIJ Lansingerland,GROENLINKS,Partij Neeleman
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau KBS De Oosthoek I,1621::SB20,2665 ES,878,498,2,0,0,0,0,445,55,0,0,0,0,0,500,157,86,68,30,36,37,36,39,9
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau CBS De Wiekslag,1621::SB21,2665 ES,1929,1355,4,5,0,0,0,1199,165,0,0,0,0,0,1364,401,253,203,84,107,108,88,95,16
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Brandweerkazerne Bleiswijk,1621::SB22,2665 JA,1688,909,5,2,0,0,0,794,122,0,0,0,0,0,916,271,195,174,27,103,26,54,32,27
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau CBS Prinses Maximaschool,1621::SB23,2652 HJ,1460,1074,4,0,0,0,0,945,133,0,0,0,0,0,1078,187,174,339,156,43,45,52,65,13
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Woonzorgcentrum De Oudelandse Hof,1621::SB24,2652 EL,1619,965,3,4,0,2,0,867,107,0,0,2,0,0,974,250,143,196,111,53,59,64,70,19
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau 't Manneke,1621::SB25,2651 CL,2159,916,5,2,0,0,0,802,121,0,0,0,0,0,923,202,99,259,125,66,28,72,52,13
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,"Stembureau Basisschool De Klipper, Gouden Uillaan",1621::SB26,2652 KJ,1214,712,4,0,0,1,0,611,104,0,1,0,0,0,715,123,76,254,118,26,33,32,46,4
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau KBS De Oosthoek II,1621::SB27,2665 ES,879,438,3,3,0,0,0,403,41,0,0,0,0,0,444,135,74,76,32,30,25,28,28,10
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,Stembureau Jongeren Centrum Spectrum II,1621::SB28,2661 AL,925,676,2,1,0,0,0,604,70,0,5,0,0,0,674,161,81,139,56,53,34,108,39,5
,Lansingerland,GR2018_Lansingerland,Gemeenteraad Lansingerland 2018,1621,Lansingerland,2018-03-21,"Stembureau Basisschool De Klipper II, Oudelandselaan",1621::SB29,2652 ER,838,645,6,1,0,0,0,562,90,0,0,0,0,0,652,144,103,143,78,43,37,38,50,9
