contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Peel en Maas,VVD,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,AndersNu,6
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Mafcentrum,1894::SB11,5993 CC,2054,996,3,2,0,0,0,875,127,1,0,1,0,0,1002,473,183,146,116,71,7
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Hoës van Bree,1894::SB12,5993 BT,1590,986,12,1,0,0,0,897,102,0,0,0,0,0,999,492,117,183,111,72,11
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Zorgcentrum Ter Borcht,1894::SB13,5991 AN,1901,1049,10,11,0,0,0,952,118,0,0,0,0,0,1070,301,323,241,144,32,8
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Basisschool De Diamant,1894::SB14,5991 BN,1529,702,2,3,0,0,0,640,66,0,1,0,1,0,706,123,321,124,103,20,11
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Sporthal de Kazing,1894::SB15,5991 PX,1862,866,9,1,0,0,0,768,108,0,0,0,0,0,876,195,338,169,123,24,17
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeenschapshuis de Paort,1894::SB16,5995 BB,1253,789,5,4,0,0,0,722,76,0,0,0,0,0,798,227,355,128,58,16,5
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Woonzorgcomplex Hof van Kessel,1894::SB17,5995 XZ,1633,794,4,1,0,1,0,714,86,0,0,1,0,0,800,242,378,114,47,3,10
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeenschapshuis Kessel-Eik,1894::SB18,5995 NM,532,364,2,1,0,0,0,332,35,0,0,0,0,0,367,73,67,193,16,9,6
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Zorgcentrum Sint Jozef,1894::SB19,5768 AW,1946,563,6,6,0,0,0,505,70,0,0,0,0,0,575,106,186,174,90,7,0
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeenschapshuis d'n Binger,1894::SB20,5768 BE,1561,1126,11,1,0,0,0,1008,130,0,0,0,0,0,1138,182,400,371,159,8,6
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Oranjehotel,1894::SB21,5768 AR,1515,829,10,3,0,0,0,742,100,0,0,0,0,0,842,77,292,289,153,8,10
