contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,GPR Burgerbelangen,ChristenUnie
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.11:Wooncentrum De Ulenpas,0275::SB11,6882 GS,1088,421,5,3,0,0,0,415,14,0,0,0,0,0,429,34,132,48,31,90,22,49,15
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.14:Soc.Cult.Centr. De Poort,0275::SB14,6882 DA,1779,658,9,0,0,0,0,618,49,0,0,0,0,0,667,63,168,59,66,121,74,84,23
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.15:Attent wwz locatie Rhederhof,0275::SB15,6991 DV,1605,965,9,2,0,0,0,905,75,4,0,4,0,0,980,79,134,173,144,172,115,95,53
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.16:CKC Rheko,0275::SB16,6991 ZP,1521,522,5,2,0,0,0,473,56,0,0,0,0,0,529,47,88,75,90,92,57,61,12
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.17:Ons Huis,0275::SB17,6991 EW,1462,829,6,2,0,0,0,780,57,0,0,0,0,0,837,105,88,133,143,123,88,111,38
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb18:Sport/gezondh.centr De Cirkel,0275::SB18,6991 HE,1492,843,4,3,0,0,0,771,79,0,0,0,0,0,850,97,105,105,169,129,111,91,36
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.19: M.F.A. Nieuw Bergstein,0275::SB19,6955 AX,911,633,2,0,0,0,0,581,54,0,0,0,0,0,635,73,88,112,106,68,120,42,24
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.20:Attent wwz loc. Oude Plataan,0275::SB20,6953 CG,1764,1054,10,4,0,1,0,1001,68,0,0,1,0,0,1069,124,135,167,172,123,171,105,57
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.21:Zalencentrum Theothorne,0275::SB21,6951 CN,1683,736,8,18,0,0,0,710,52,0,0,0,0,0,762,68,166,98,54,115,82,116,37
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.23: Intermezzo (Geldershof),0275::SB23,6952 AA,1575,766,4,4,0,0,0,712,62,0,0,0,0,0,774,79,90,109,87,121,113,88,79
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.24:Obs. Annie M.G. Schmidt,0275::SB24,6952 EK,1622,750,4,9,0,1,0,716,48,0,0,1,0,0,764,68,164,85,91,118,78,106,40
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.25:Attent wwz locatie Beverode,0275::SB25,6952 GG,1187,848,1,2,0,2,0,797,56,0,0,2,0,0,853,89,118,158,148,113,75,99,48
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.26.Obs de Wensvogel,0275::SB26,6951 GZ,1641,606,5,8,2,0,0,569,52,0,0,2,0,0,621,48,138,70,47,115,51,83,54
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.27:Wijkcentrum De Drieschaar,0275::SB27,6951 LZ,1815,1013,0,2,0,1,0,943,71,0,1,0,0,0,1014,107,108,176,161,159,109,123,70
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.28:Dorpshuis Spankeren,0275::SB28,6956 CP,765,417,0,2,0,0,0,387,32,0,0,0,0,0,419,41,52,62,67,54,37,86,18
,Rheden,GR2018_Rheden,Gemeenteraad Rheden 2018,0275,Rheden,2018-03-21,Stembureau stb.29: 't Sprengenhus Laag-Soeren,0275::SB29,6957 AB,768,465,1,0,0,0,0,436,30,0,0,0,0,0,466,49,63,60,119,55,53,55,11
