contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Seniorenpartij Schagen,JESS,Democraten 66 (D66),SP (Socialistische Partij),Wens4U (wij en Schagen voor u),Duurzaam Schagen,GROENLINKS
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Dinner Events, Burgerbrug",0441::SB14,1754 KE,643,305,1,0,0,0,0,271,35,0,0,0,0,0,306,88,29,25,42,51,12,11,2,22,23
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau De Zandstee, 't Zand",0441::SB15,1756 TH,1928,1049,4,2,0,0,0,942,111,0,2,0,0,0,1053,535,90,30,244,43,22,22,8,15,40
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Sportcomplex Oudesluis,0441::SB16,1757 PN,638,308,1,0,0,0,0,287,22,0,0,0,0,0,309,111,43,17,57,21,6,13,5,17,18
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Cultureel Centrum, Petten",0441::SB17,1755 NH,1321,845,2,6,0,0,0,760,93,0,0,0,0,0,853,230,61,83,52,237,24,45,7,54,52
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Brekers, Callantsoog",0441::SB18,1759 NE,390,201,0,0,0,0,0,182,19,0,0,0,0,0,201,62,40,12,19,21,6,11,1,19,10
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Dorpshuis Kolfweid, Callantsoog",0441::SB19,1759 HA,1685,953,2,7,0,0,0,875,88,0,0,1,0,0,963,166,101,77,235,120,21,79,7,72,75
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Dorpshuis Waarland,0441::SB20,1738 BJ,1997,1063,1,3,0,0,0,989,78,0,0,0,0,0,1067,658,68,40,99,39,96,16,3,18,26
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Ahoj Tuitjenhorn,0441::SB22,1747 HA,2075,1244,6,4,0,0,0,1148,105,0,1,0,0,0,1253,610,85,122,164,108,34,29,19,21,52
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Dorpshuis Warmenhuizen,0441::SB24,1749 AJ,2310,1452,1,3,0,0,0,1314,140,0,2,0,0,0,1454,562,128,192,103,244,44,42,10,34,93
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Bibliotheek Tuitjenhorn,0441::SB26,1747 EZ,2309,902,3,3,0,0,0,824,84,0,0,0,0,0,908,423,101,73,93,116,19,24,10,12,31
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Dorpshuis Sint Maarten,0441::SB27,1744 KJ,1147,617,1,1,0,0,0,563,56,0,0,0,0,0,619,131,74,53,115,117,24,34,11,25,33
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Dorpshuis Dirkshorn,0441::SB28,1746 AA,1552,837,1,1,0,0,0,775,66,0,0,2,0,0,841,228,109,95,90,169,25,33,14,42,32
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,"Stembureau Albert Heijn, Warmenhuizen",0441::SB29,1749 GX,1306,992,3,1,0,0,0,907,92,0,0,3,0,0,999,370,115,107,71,164,33,39,10,23,60
,Schagen,GR2018_Schagen,Gemeenteraad Schagen 2018,0441,Schagen,2018-03-21,Stembureau Stembureau de Bus,0441::SB30,,0,357,1,0,0,0,0,336,22,0,0,0,0,0,358,85,59,43,50,23,25,21,14,19,18
